x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0045309433975195545,100000.0,453.09433975195543,99773.45283012402,7983243.2326,79.832432326
1-2,0.0009610218102229726,99546.90566024804,95.66674747970706,99499.07228650819,7883469.779769876,79.19351915041969
2-3,0.00041720688603414454,99451.23891276833,41.49174169903382,99430.49304191882,7783970.707483368,78.2692180869755
3-4,0.0002439100425948896,99409.74717106929,24.247035666842716,99397.62365323587,7684540.214441449,77.30167748256623
4-5,0.00017205062984252073,99385.50013540244,17.09933789550992,99376.95046645468,7585142.590788214,76.32041475320085
5-6,0.00013866224993977405,99368.40079750694,13.77864602749955,99361.51147449319,7485765.640321759,75.33346194809215
6-7,0.00012295774786594008,99354.62215147945,12.216420579817354,99348.51394118954,7386404.128847266,74.3438399633356
7-8,0.0001165714759328941,99342.40573089963,11.580490858775367,99336.61548547023,7287055.614906076,73.3529207521446
8-9,0.00011567857413160185,99330.82524004085,11.490448231083255,99325.08001592531,7187718.9994206065,72.36141431474984
9-10,0.00011844320288133703,99319.33479180977,11.76370012078576,99313.45294174938,7088393.919404681,71.36972810241994
10-11,0.00012437199139450514,99307.57109168898,12.351080377224749,99301.39555150036,6989080.466462932,70.3781231343382
11-12,0.00013481233431659917,99295.22001131176,13.386220396205228,99288.52690111366,6889779.070911432,69.386815096704
12-13,0.00015358439000697334,99281.83379091555,15.248139881551479,99274.20972097477,6790490.544010318,68.39610314119378
13-14,0.0001857422665880384,99266.585651034,18.438000615278703,99257.36665072636,6691216.334289343,67.40653252456906
14-15,0.0002337957896744862,99248.14765041872,23.203799053659644,99236.54575089189,6591958.967638616,66.4189622042866
15-16,0.00029409699965661973,99224.94385136505,29.18175827778302,99210.35297222616,6492722.421887725,65.43437738411382
16-17,0.0003569635344114248,99195.76209308727,35.40926983538326,99178.05745816957,6393512.068915498,64.45348000770134
17-18,0.00041088237952991824,99160.35282325189,40.74324172304398,99139.98120239037,6294334.011457329,63.47631722001482
18-19,0.00044767604322514855,99119.60958152884,44.373474623480355,99097.4228442171,6195194.030254939,62.50220371539303
19-20,0.00046531882378565134,99075.23610690536,46.1015723315509,99052.18532073958,6096096.6074107215,61.52997304828865
20-21,0.0004674465096763348,99029.13453457381,46.29082329445472,99005.98912292658,5997044.422089982,60.55838466402277
21-22,0.00046080273071723787,98982.84371127935,45.6115646763151,98960.0379289412,5898038.432967056,59.586471875579775
22-23,0.0004524565860142379,98937.23214660303,44.76480228675012,98914.84974545965,5799078.395038115,58.61371163532417
23-24,0.000447967579921525,98892.46734431628,44.3006192687018,98870.31703468192,5700163.545292655,57.64001746913907
24-25,0.0004507446291426728,98848.16672504757,44.55528025191466,98825.88908492161,5601293.228257973,56.66562581619064
25-26,0.00046226526618782076,98803.61144479566,45.67347774484648,98780.77470592324,5502467.3391730515,55.690953586726266
26-27,0.0004826792718009061,98757.93796705082,47.668409582495144,98734.10376225958,5403686.564467128,54.71647824674095
27-28,0.0005114382160318348,98710.26955746833,50.484204166493136,98685.02745538509,5304952.460704869,53.742660054396545
28-29,0.0005477740177265211,98659.78535330184,54.04326701101433,98632.76371979633,5206267.433249484,52.76990431922976
29-30,0.000590988929210668,98605.74208629082,58.27490192960031,98576.60463532602,5107634.669529688,51.79855210723883
30-31,0.000640591203581071,98547.46718436122,63.128640613496046,98515.90286405447,5009058.064894361,50.828886911152026
31-32,0.0006963309927605551,98484.33854374773,68.57769722953445,98450.04969513296,4910542.162030307,49.8611478194474
32-33,0.0007581842901407655,98415.7608465182,74.61728377608075,98378.45220463016,4812092.112335173,48.895543467267906
33-34,0.0008263173695535064,98341.14356274212,81.2609950676488,98300.51306520829,4713713.660130544,47.932264049005816
34-35,0.0009010498154355959,98259.88256767446,88.5370490523264,98215.61404314829,4615413.147065335,46.97149056621928
35-36,0.0009828241501131465,98171.34551862214,96.48516922480385,98123.10293400974,4517197.533022187,46.01340145801831
36-37,0.0010721842106051049,98074.86034939734,105.15431672392448,98022.28319103537,4419074.430088177,45.05817713474146
37-38,0.0011697616305022442,97969.7060326734,114.6012030686056,97912.40543113911,4321052.146897142,44.106002986842164
38-39,0.0012762688075351406,97855.1048296048,124.8894179521059,97792.66012062875,4223139.741466003,43.15707135381195
39-40,0.001392496675563237,97730.2154116527,136.0890000628054,97662.17091162129,4125347.0813453738,42.21158281467878
40-41,0.0015193158994526237,97594.1264115899,148.27630795031777,97519.98825761474,4027684.9104337525,41.26974704858304
41-42,0.0016576804878772665,97445.85010363958,161.53408434141622,97365.08306146886,3930164.9221761376,40.331783426345694
42-43,0.0018086331513568427,97284.31601929816,175.9516390595782,97196.34019976837,3832799.839114669,39.39792143221073
43-44,0.0019733119859147398,97108.36438023858,191.62509936410078,97012.55183055652,3735603.4989149002,38.4684009740678
44-45,0.0021529582400223483,96916.73928087448,208.65769243085632,96812.41043465905,3638590.9470843435,37.54347261456393
