x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.009282963046519807,100000.0,928.2963046519807,99535.85184767401,7398040.6732,73.980406732
1-2,0.0005247250212628136,99071.70369534801,51.98540182808466,99045.71099443398,7298504.821352326,73.66891402004862
2-3,0.0003876356227216779,99019.71829351992,38.38357016243371,99000.5265084387,7199459.110357893,72.70732773665183
3-4,0.00029986933677178263,98981.33472335749,29.68146719627903,98966.49398975934,7100458.583849454,71.735328723284
4-5,0.0002485593060948191,98951.65325616121,24.59535427028658,98939.35557902607,7001492.089859695,70.75669642158049
5-6,0.00022137990636004616,98927.05790189092,21.900462814795475,98916.10767048353,6902552.734280669,69.77416371895087
6-7,0.00020569651520288253,98905.15743907612,20.34444622081041,98894.98521596572,6803636.626610186,68.78950302264175
7-8,0.00019078436645009102,98884.81299285531,18.86567639837763,98875.38015465612,6704741.64139422,67.80355282543393
8-9,0.0001695540274308717,98865.94731645694,16.763119543273657,98857.5657566853,6605866.261239564,66.81639574134714
9-10,0.00014318759227324992,98849.18419691366,14.153976683331052,98842.107208572,6507008.695482879,65.82764186015453
10-11,0.00012155489944408823,98835.03022023033,12.01388215997352,98829.02327915034,6408166.588274307,64.83699730748535
11-12,0.00012248482970288047,98823.01633807036,12.104320326893523,98816.9641779069,6309337.564995157,63.844818735456485
12-13,0.00016766130356208884,98810.91201774347,16.56676631505374,98802.62863458594,6210520.60081725,62.85257846524104
13-14,0.00026953900819815446,98794.34525142841,26.628929834656066,98781.03078651108,6111717.972182664,61.86303433287137
14-15,0.00041273610141280754,98767.71632159376,40.76500218002073,98747.33382050376,6012936.941396153,60.87957852359024
15-16,0.0005722382158854229,98726.95131941374,56.49533448282832,98698.70365217232,5914189.607575648,59.904509645409036
16-17,0.0007249869043418128,98670.45598493092,71.53478843451016,98634.68859071366,5815490.903923476,58.93852263955916
17-18,0.0008685840893833891,98598.9211964964,85.64145418164337,98556.10046940559,5716856.215332762,57.98092054110531
18-19,0.0009958458220283612,98513.27974231476,98.10403804569533,98464.22772329192,5618300.114863357,57.030890957639166
19-20,0.0011105939679868372,98415.17570426906,109.29930049552594,98360.52605402129,5519835.8871400645,56.08724312728758
20-21,0.001237227421278316,98305.87640377354,121.6267259595456,98245.06304079377,5421475.3610860435,55.14904662279107
21-22,0.0013719905161151875,98184.24967781399,134.70785938984645,98116.89574811907,5323230.29804525,54.21674367847314
22-23,0.0014575715993570993,98049.54181842414,142.91422748451126,97978.08470468188,5225113.402297131,53.290543794415754
23-24,0.0014895044049374737,97906.62759093964,145.8323530692774,97833.711414405,5127135.317592449,52.367602109777074
24-25,0.0014925629697222558,97760.79523787036,145.91414286264515,97687.83816643905,5029301.606178043,51.44497437792735
