x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00511929585298524,100000.0,511.929585298524,99744.03520735074,8059159.7389,80.591597389
1-2,0.00041579002792609934,99488.07041470148,41.366147576042465,99467.38734091345,7959415.7036926495,80.00371974765406
2-3,0.00022683678289618197,99446.70426712543,22.558170465582744,99435.42518189264,7859948.316351736,79.03679035193564
3-4,0.0001794198840414602,99424.14609665985,17.83866876358391,99415.22676227806,7760512.891169843,78.05460942681968
4-5,0.00015067116917460763,99406.30742789627,14.977664563491615,99398.81859561453,7661097.664407565,77.06852676289674
5-6,0.00013600033453717758,99391.32976333279,13.517254097908195,99384.57113628383,7561698.845811951,76.0800651708515
6-7,0.00012909121947668928,99377.81250923488,12.828803005742916,99371.398107732,7462314.274675667,75.09034548312499
7-8,0.00012462101410392218,99364.98370622913,12.38296503588998,99358.79222371119,7362942.876567936,74.09997568495909
8-9,0.00011883283490114594,99352.60074119324,11.806351200877685,99346.6975655928,7263584.084344224,73.1091489317463
9-10,0.00011163666641493371,99340.79438999236,11.090075124710095,99335.24935243,7164237.386778631,72.1177783082069
10-11,0.00010664839117193143,99329.70431486765,10.59335316076429,99324.40763828726,7064902.137426201,71.12577437088704
11-12,0.00011065841840436919,99319.11096170689,10.99049573635053,99313.6157138387,6965577.729787914,70.13330729947369
12-13,0.00013178308823881297,99308.12046597054,13.087130802197663,99301.57690056945,6866264.114074076,69.1410136639018
13-14,0.00017417952091051524,99295.03333516834,17.29516133511326,99286.38575450078,6766962.537173506,68.15006058089294
14-15,0.0002306321983152377,99277.73817383322,22.89664299879575,99266.28985233382,6667676.151419005,67.16184588879378
15-16,0.00029551762043946204,99254.84153083443,29.33155458628808,99240.17575354128,6568409.861566671,66.17722380349713
16-17,0.00035432960112657616,99225.50997624814,35.158535371465106,99207.9307085624,6469169.68581313,65.19663831772365
17-18,0.0003954593799115451,99190.35144087668,39.225754874017326,99170.73856343966,6369961.755104568,64.21957037728052
18-19,0.00041089390053125635,99151.12568600266,40.74059277518647,99130.75538961506,6270791.016541128,63.24477884799634
19-20,0.0004067207474310351,99110.38509322748,40.3102499032952,99090.22996827583,6171660.261151513,62.27057089270902
20-21,0.00039837531494680965,99070.07484332418,39.467072267513274,99050.34130719042,6072570.031183237,61.295704487826335
21-22,0.00039518233040143185,99030.60777105668,39.13514636003632,99011.04019787666,5973519.689876047,60.31993364804842
22-23,0.00039176043628125,98991.47262469665,38.78094250357457,98972.08215344486,5874508.649678171,59.343582774548835
23-24,0.0003907091014891824,98952.69168219306,38.66171725708575,98933.36082356452,5775536.567524726,58.36664439684016
24-25,0.000392934921085486,98914.02996493598,38.86677655851952,98894.59657665672,5676603.206701161,57.38926225848304
25-26,0.00039764604460492217,98875.16318837747,39.3173175515245,98855.5045296017,5577708.610124504,56.411624823291824
26-27,0.0004091349326386572,98835.84587082594,40.437197142645076,98815.62727225461,5478853.105594902,55.43386670414618
