x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005867919900185441,100000.0,586.7919900185441,99706.60400499073,7791811.781,77.91811781
1-2,0.00041505848096258025,99413.20800998146,41.262295104239925,99392.57686242934,7692105.17699501,77.37508255666283
2-3,0.00030646415020568936,99371.94571487722,30.45393889779574,99356.71874542833,7592712.600132581,76.40700346069461
3-4,0.00023187916342993687,99341.49177597942,23.03522200689606,99329.97416497597,7493355.881387153,75.43027336739705
4-5,0.00018638630836966444,99318.45655397253,18.511600470067844,99309.2007537375,7394025.907222177,74.4476521662824
5-6,0.00016215535582721492,99299.94495350246,16.102017907558047,99291.89394454868,7294716.70646844,73.46143756559196
6-7,0.0001490761109465277,99283.8429355949,14.800849184664377,99276.44251100258,7195424.812523891,72.47327057224749
7-8,0.00013875256637904353,99269.04208641023,13.773834351478703,99262.1551692345,7096148.370012889,71.48400166726641
8-9,0.0001253700245626224,99255.26825205876,12.443635418730281,99249.0464343494,6996886.214843654,70.49385224646274
9-10,0.00010924624634135915,99242.82461664002,10.841906065681759,99237.40366360718,6897637.168409305,69.50262847771444
10-11,9.692969890325093e-05,99231.98271057433,9.618526205708571,99227.17344747148,6798399.764745697,68.51016757948189
11-12,0.00010036071599309749,99222.36418436862,9.958027512071107,99217.38517061259,6699172.591298226,67.51676042359013
12-13,0.00013375445936759646,99212.40615685655,13.270101748068747,99205.77110598252,6599955.206127614,66.52348694872866
13-14,0.00020457005429121402,99199.13605510848,20.293172648435068,99188.98946878426,6500749.435021631,65.5323190658661
14-15,0.00030096652828255253,99178.84288246004,29.849512021414743,99163.91812644934,6401560.445552847,64.54562545299643
15-16,0.0004095398690781624,99148.99337043862,40.605465764161025,99128.69063755654,6302396.527426398,63.56490684559451
16-17,0.0005097736278661082,99108.38790467446,50.522842454127414,99083.12648344738,6203267.8367888415,62.59074502105047
17-18,0.0005908491024009349,99057.86506222033,58.52825065776581,99028.60093689144,6104184.710305395,61.622413389095634
18-19,0.00064361545913496,98999.33681156256,63.71750361603039,98967.47805975455,6005156.109368503,60.65854886279536
19-20,0.0006747473964620152,98935.61930794653,66.756551545394,98902.24103217383,5906188.631308748,59.69729277102086
20-21,0.0007057860178509882,98868.86275640114,69.78026093429624,98833.972625934,5807286.3902765745,58.73726295997664
21-22,0.000741676425148122,98799.08249546685,73.27695031315226,98762.44402031027,5708452.417650641,57.77839503633608
22-23,0.0007638014963537254,98725.8055451537,75.40691800411531,98688.10208615163,5609689.9736303305,56.82090860291493
23-24,0.000767833083816145,98650.39862714958,75.74703979757626,98612.5251072508,5511001.871544179,55.863959479505795
24-25,0.0007593315270629905,98574.65158735201,74.85084071952625,98537.22616699224,5412389.346436928,54.90650242512635
25-26,0.0007465156033278732,98499.80074663248,73.53163818204764,98463.03492754145,5313852.120269936,53.947846391472076
