x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006945305315694898,100000.0,694.5305315694898,99652.73473421525,7525783.8785,75.25783878499999
1-2,0.00041436335988901546,99305.46946843051,41.14854798429491,99284.89519443837,7426131.143765785,74.78068613457965
2-3,0.0003822189828046252,99264.32092044622,37.94070777100483,99245.35056656072,7326846.2485713465,73.81147808831865
3-4,0.00028166937898746935,99226.38021267521,27.949032893678744,99212.40569622838,7227600.898004786,72.83950984116953
4-5,0.00022019806601078913,99198.43117978153,21.843302697092255,99187.50952843299,7128388.492308558,71.8598914068457
5-6,0.00018685905359791847,99176.58787708444,18.532043349782793,99167.32185540955,7029200.982780125,70.87560817772678
6-7,0.0001679191668580853,99158.05583373466,16.65053812286823,99149.73056467323,6930033.660924715,69.88876095498276
7-8,0.00015206480815814865,99141.4052956118,15.075918776806471,99133.8673362234,6830883.930360042,68.90041461478447
8-9,0.00013152897971039314,99126.32937683498,13.037984965371477,99119.8103843523,6731750.063023818,67.91081749262243
9-10,0.00010699178796906092,99113.29139186961,10.604308257514665,99107.98923774085,6632630.252639465,66.91968513502063
10-11,8.774938159668268e-05,99102.6870836121,8.696199506156514,99098.33898385902,6533522.263401724,65.92679225629318
11-12,9.061919388197876e-05,99093.99088410594,8.979817572465832,99089.50097531971,6434423.924417865,64.93253392068102
12-13,0.00013562051603845207,99085.01106653347,13.437960332519003,99078.2920863672,6335334.423442545,63.9383732741222
13-14,0.00023331864069109378,99071.57310620094,23.11524476826713,99060.01548381681,6236256.131356178,62.946977986017735
14-15,0.0003674087049963949,99048.45786143267,36.39126563475897,99030.26222861529,6137196.115872361,61.96155143029291
15-16,0.0005170533365289441,99012.06659579792,51.19451938998333,98986.46933610293,6038165.853643745,60.98414123900334
16-17,0.0006561830566727163,98960.87207640793,64.93644753009501,98928.40385264289,5939179.3843076425,60.01543094448468
17-18,0.0007750319217797203,98895.93562887784,76.6475070466527,98857.61187535452,5840250.980455,59.0545096046357
18-19,0.0008637665540672138,98819.28812183118,85.35679597636927,98776.609723843,5741393.368579646,58.09992641822377
19-20,0.00092974321532848,98733.9313258548,91.79720277292158,98688.03272446834,5642616.758855803,57.14972232021524
20-21,0.0010003133329406105,98642.13412308188,98.67304195303475,98592.79760210536,5543928.726131335,56.2024410300555
21-22,0.0010758546958403283,98543.46108112884,106.0184453484911,98490.4518584546,5445335.92852923,55.258216717659174
22-23,0.0011243753314566798,98437.44263578035,110.68063219135342,98382.10231968467,5346845.476670776,54.31719205114018
23-24,0.0011339961600257244,98326.762003589,111.50217053983323,98271.01091831908,5248463.374351091,53.37777088764011
24-25,0.0011148749372933313,98215.25983304916,109.49773164761893,98160.51096722535,5150192.3634327715,52.437802152000685
25-26,0.0010846862164634865,98105.76210140155,106.41396790703615,98052.55511744802,5052031.852465546,51.49577093386008
26-27,0.0010657931430337441,97999.34813349451,104.4470332624552,97947.12461686328,4953979.297348098,50.5511454076184
27-28,0.0010607905701122647,97894.90110023205,103.84598794919893,97842.97810625745,4856032.172731235,49.604546489701946
28-29,0.0010759840562654522,97791.05511228285,105.22161614619249,97738.44430420976,4758189.194624977,48.65669144444413
29-30,0.001105163228380985,97685.83349613665,107.95879111367775,97631.8541005798,4660450.750320767,47.708563089704114
30-31,0.0011408799828047684,97577.87470502297,111.32464401559245,97522.21238301518,4562818.896220188,46.76079398135641
31-32,0.0011801574598229406,97466.55006100738,115.02587613770395,97409.03712293853,4465296.683837173,45.81363227735262
32-33,0.0012265792905850953,97351.52418486968,119.40936347205519,97291.81950313365,4367887.646714234,44.867172684627455
33-34,0.0012817317381893466,97232.11482139763,124.62548753785612,97169.8020776287,4270595.827211101,43.92165937206666
34-35,0.0013497213443162755,97107.48933385978,131.0680510468756,97041.95530833634,4173426.025133472,42.977385717233936
35-36,0.0014309377702048987,96976.4212828129,138.76722403287917,96907.03767079646,4076384.0698251356,42.03479583905405
36-37,0.00153130095335098,96837.65405878001,148.28759198048223,96763.51026278977,3979477.0321543394,41.09431471500554
37-38,0.0016546003163423239,96689.36646679953,159.98225634290537,96609.37533862807,3882713.5218915497,40.15657216271829
38-39,0.00179854071856522,96529.38421045663,173.61202804053286,96442.57819643636,3786104.1465529217,39.22229668738308
39-40,0.001957335578170029,96355.7721824161,188.600581054689,96261.47189188875,3689661.5683564856,38.29206579727675
40-41,0.002128278274014203,96167.1716013614,204.67050199257315,96064.83635036512,3593400.0964645967,37.36618262373567
41-42,0.002322608255234826,95962.50109936883,222.88329724637515,95851.05945074564,3497335.2601142316,36.44481146331058
42-43,0.0025358231701292575,95739.61780212246,242.77874112194166,95618.2284315615,3401484.200663486,35.528491535173835
43-44,0.0027693879443985692,95496.83906100052,264.4677948237052,95364.60516358867,3305865.9722319245,34.61754341544474
44-45,0.0030249781144458324,95232.37126617681,288.075838866965,95088.33334674333,3210501.367068336,33.712290520362096
45-46,0.003304478027301675,94944.29542730984,313.74133805718424,94787.42475828125,3115413.0337215927,32.813061803242086
46-47,0.003609983671147588,94630.55408925266,341.61475505385073,94459.74671172573,3020625.6089633116,31.920193620702562
47-48,0.003943809635891526,94288.93933419882,371.8576275042048,94103.01052044671,2926165.862251586,31.034030957544758
48-49,0.004308499698261121,93917.08170669462,404.6417181948588,93714.7608475972,2832062.8517311392,30.154928158604225
49-50,0.004706840588564213,93512.43998849975,440.1481480735459,93292.36591446298,2738348.090883542,29.28324927913662
50-51,0.005141878584836653,93072.2918404262,478.56642425595464,92833.00862829822,2645055.724969079,28.419368134869455
51-52,0.0056169386709307495,92593.72541617024,520.09327697563,92333.67877768243,2552222.7163407807,27.56366810893073
52-53,0.006135646076275374,92073.63213919461,564.9312197632715,91791.16652931298,2459889.037563098,26.716541754802282
53-54,0.0067019500816556275,91508.70091943134,613.2867455991833,91202.05754663175,2368097.871033785,25.878390221261824
54-55,0.007320150026365809,90895.41417383216,665.3680684611086,90562.73013960161,2276895.813487153,25.04962251596899
55-56,0.00799492348828992,90230.04610537106,721.3823149573135,89869.35494789241,2186333.0833475515,24.230654618023156
56-57,0.008731356631336295,89508.66379041375,781.53206514848,89117.8977578395,2096463.728399659,23.42190844574073
57-58,0.00953497672569419,88727.13172526527,846.0111359380069,88304.12615729627,2007345.8306418196,22.62381068349382
58-59,0.01041178684678618,87881.12058932726,914.9994954327877,87423.62084161086,1919041.7044845233,21.836791470289715
59-60,0.01136830274932714,86966.12109389447,988.6571935300376,86471.79249712946,1831618.0836429123,21.06128295253475
60-61,0.01241159189387285,85977.46390036444,1067.117194001509,85443.90530336369,1745146.291145783,20.297717703887585
61-62,0.013549314574520133,84910.34670636294,1150.476998156081,84335.1082072849,1659702.3858424192,19.546527016100924
62-63,0.014789767057483331,83759.86970820685,1238.7889617495337,83140.47522733209,1575367.2776351343,18.808139066156865
63-64,0.016141926590246516,82521.08074645732,1332.0492275571191,81855.05613267876,1492226.802407802,18.08297696672937
64-65,0.017615498078714993,81189.0315189002,1430.1852287339175,80473.93890453324,1410371.7462751232,17.3714567089866
65-66,0.01922096215384222,79758.84629016629,1533.0417659774052,78992.32540717759,1329897.80737059,16.67398500891502
66-67,0.020969624257972466,78225.80452418888,1640.3657281498433,77405.62166011396,1250905.4819634124,15.990957070650634
67-68,0.022873664272853072,76585.43879603903,1751.7896152097335,75709.54398843416,1173499.8603032983,15.322754282684757
68-69,0.024946186084090428,74833.64918082929,1866.8141378165087,73900.24211192103,1097790.3163148642,14.669741865215542
69-70,0.02720126632892297,72966.83504301279,1984.7903131835806,71974.439886421,1023890.0742029431,14.032266489280728
70-71,0.029654001403860465,70982.04472982921,2104.901654067242,69929.59390279559,951915.6343165222,13.410653890567524
71-72,0.03232055161455346,68877.14307576197,2226.147257843148,67764.0694468404,881986.0404137266,12.805206502882662
72-73,0.035218181131244294,66650.99581791883,2347.326843293271,65477.33239627219,814221.9709668861,12.21620113810792
73-74,0.03836529216904447,64303.66897462555,2467.0290477530293,63070.15445074903,748744.6385706139,11.6438867409894
74-75,0.04178145154380997,61836.63992687252,2583.6245747366493,60544.8276395042,685674.4841198649,11.08848224823887
75-76,0.04548740746364679,59253.01535213587,2695.266052772323,57905.38232574971,625129.6564803607,10.55017458209115
76-77,0.04950509410696445,56557.74929936355,2799.8967015430953,55157.800948592005,567224.2741546109,10.029116808596093
77-78,0.05385762121667752,53757.852597820456,2895.2700626353976,52310.21756650276,512066.4732060189,9.525426490469227
78-79,0.05856924561566702,50862.58253518506,2978.98308915039,49373.09099060986,459756.25563951617,9.039184263234608
79-80,0.06366532123340367,47883.59944603467,3048.524740543427,46359.33707576296,410383.1646489063,8.570432661634232
80-81,0.06917222394421146,44835.07470549124,3101.341828083691,43284.4037914494,364023.82757314335,8.11917522083573
81-82,0.07511724727509406,41733.73287740755,3134.9231322649457,40166.27131127508,320739.423781694,7.685375873849172
82-83,0.08152846487149518,38598.80974514261,3146.9017043883846,37025.35889294842,280573.1524704189,7.268958662792111
83-84,0.08843455554421262,35451.90804075422,3135.173730778397,33884.321175365025,243547.79357747047,6.869807777271023
84-85,0.09586458679650543,32316.73430997582,3098.030381238282,30767.71911935668,209663.47240210546,6.487767928252102
85-86,0.10384775298837733,29218.70392873754,3034.2967482320664,27701.555554621507,178895.75328274877,6.122645060474397
86-87,0.11241306477958433,26184.407180505474,2943.469460597175,24712.672450206886,151194.19772812727,5.7742074008340625
87-88,0.12158898724990158,23240.9377199083,2825.842080101687,21828.016679857457,126481.52527792039,5.442186834379566
88-89,0.13140302516858124,20415.095639806612,2682.6053261765014,19073.79297671836,104653.50859806294,5.126280593758429
89-90,0.14188125531283363,17732.49031363011,2515.907985520503,16474.536320869858,85579.71562134457,4.82615324230932
90-91,0.15304780754433664,15216.582328109607,2328.864563635073,14052.15004629207,69105.17930047472,4.541438925665762
91-92,0.16492429855239024,12887.717764474533,2125.497812247141,11824.968858350963,55053.02925418265,4.271743861891385
92-93,0.17752922474672098,10762.219952227391,1910.6085646726212,9806.915669891081,43228.060395831686,4.016649035953315
93-94,0.19087732368429827,8851.61138755477,1689.5718919499125,8006.825441579815,33421.144725940605,3.7757130608930956
94-95,0.2049789165560341,7162.0394956048585,1468.0670961406088,6428.005947534554,25414.31928436079,3.548475165482799
95=96,0.21983924750995612,5693.97239946425,1251.7586076406799,5068.09309564391,18986.313336826235,3.3344582665368505
96-97,0.2354578387701104,4442.21379182357,1045.954058777555,3919.236762434793,13918.220241182325,3.133172083432924
97-98,0.2518278834036589,3396.2597330460153,855.2729000620537,2968.6232830149884,9998.983478747532,2.9441162527872122
98-99,0.26893569993490773,2540.9868329839614,683.3620724539262,2199.3057967569985,7030.360195732544,2.7667834026029046
99-100,0.28676027452528474,1857.6247605300352,532.6929862945592,1591.2782673827555,4831.054398975545,2.600662147503408
100-101,0.3052729168538799,1324.931774235476,404.46578735325005,1122.698880558851,3239.7761315927896,2.4452399697805074
101-102,0.32443705489342306,920.4659868822259,298.63327391363754,771.1493499254071,2117.0772510339384,2.300005954815166
102-103,0.34420819129146746,621.8327129685883,214.03991341678403,514.8127562601964,1345.9279011085314,2.1644533538339603
103-104,0.364534039939651,407.7927995518043,148.65435667891953,333.46562121234456,831.115144848335,2.0380819518191458
104-105,0.3853548555724272,259.1384428728848,99.8602572265442,209.2083142596127,497.6495236359905,1.9204002235982507
105-106,0.40660396205234867,159.2781856463406,64.76314135231162,126.8966149701848,288.44120937637774,1.810927266693188
106-107,0.428208476695824,94.51504429402898,40.47214314198448,74.27897272303674,161.54459440619294,1.7091945056243134
107-108,0.45009021903731505,54.0429011520445,24.324181216935674,41.880810543576665,87.2656216831562,1.6147471698020572
108-109,0.47216678339994794,29.718719935108826,14.032192398524243,22.702623735846704,45.38481113957953,1.5271455580414568
109-110,0.4943527461803367,15.686527536584583,7.754677965744061,11.809188553712552,22.68218740373283,1.4459661228932128
