x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00473841886396964,100000.0,473.841886396964,99763.07905680152,7660474.7223,76.60474722299999
1-2,0.0008782689171724943,99526.15811360303,87.4107311167726,99482.45274804464,7560711.643243198,75.96708027866511
2-3,0.0007022301498419269,99438.74738248625,69.82888647449684,99403.83293924901,7461229.190495154,75.03341893272149
3-4,0.0005355698937154758,99368.91849601176,53.219001117530794,99342.30899545299,7361825.357555904,74.08579532695
4-5,0.00037444868635120833,99315.69949489423,37.18863320991451,99297.10517828928,7262483.048560452,73.12522678183234
5-6,0.00027264623130355506,99278.51086168432,27.06791183586729,99264.9769057664,7163185.943382163,72.15243138932628
6-7,0.00022542885467427535,99251.44294984845,22.374139108953518,99240.25588029397,7063920.966476397,71.17197248251374
7-8,0.00021141314407297353,99229.0688107395,20.978329420711873,99218.57964602915,6964680.710596102,70.18790757655805
8-9,0.00019643981120055169,99208.09048131878,19.48841856371751,99198.34627203693,6865462.130950073,69.20264363159839
9-10,0.00018340526507526145,99188.60206275506,18.191711853764215,99179.50620682818,6766263.784678035,68.21614221760206
10-11,0.00018418396353913307,99170.4103509013,18.265599244231268,99161.27755127917,6667084.278471207,67.22856399283432
11-12,0.00019040440155733738,99152.14475165706,18.879004784565755,99142.70524926478,6567923.000919928,66.24085658833076
12-13,0.00020865569079982652,99133.2657468725,20.684720045656462,99122.92338684967,6468780.295670663,65.25337632059946
13-14,0.0002471915420573924,99112.58102682684,24.49979174130958,99100.33113095618,6369657.372283814,64.26689030083614
14-15,0.00028910964063809776,99088.08123508553,28.647319557394216,99073.75757530682,6270557.041152857,63.28265683413549
15-16,0.0003331022545783454,99059.43391552813,32.99692077451704,99042.93545514088,6171483.28357755,62.30081315465841
16-17,0.0003714627592620769,99026.43699475362,36.784633525963386,99008.04467799063,6072440.34812241,61.32140600437967
17-18,0.00038790006916377377,98989.65236122765,38.398092997418125,98970.45331472895,5973432.303444419,60.34400728721114
18-19,0.00041339147905269117,98951.25426823023,40.905605356062615,98930.8014655522,5874461.85012969,59.367229789787245
19-20,0.0004642462644358534,98910.34866287417,45.918759880787135,98887.38928293377,5775531.048664138,58.391575065107155
20-21,0.0005132914094700428,98864.42990299338,50.746262571359715,98839.05677170769,5676643.659381204,57.41846349542677
21-22,0.0005757467579318308,98813.68364042201,56.891657995274564,98785.23781142438,5577804.602609497,56.44769425767837
22-23,0.0006529377672826858,98756.79198242673,64.48203926100635,98724.55096279623,5479019.364798072,55.47992451772872
23-24,0.0006891898214633039,98692.30994316572,68.01773546953143,98658.30107543095,5380294.813835275,54.51584644166951
24-25,0.0007154720968609451,98624.29220769618,70.56292914726696,98589.01074312255,5281636.512759845,53.55309928751702
25-26,0.0007632972332836476,98553.72927854891,75.225788888102,98516.11638410485,5183047.502016722,52.59108447705244
26-27,0.0008057783267494038,98478.50348966081,79.35184376268421,98438.82756777947,5084531.385632617,51.63087583034239
