x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.010330193153529439,100000.0,1033.019315352944,99483.49034232352,7158914.8213,71.589148213
1-2,0.0008958179125837659,98966.98068464706,88.6563940516384,98922.65248762124,7059431.330957676,71.33117815781581
2-3,0.0007520540668663946,98878.32429059542,74.36184590767651,98841.14336764159,6960508.678470055,70.39468688823732
3-4,0.0006183178058316792,98803.96244468774,61.09224926627496,98773.4163200546,6861667.535102413,69.44729103292491
4-5,0.0004894226872276755,98742.87019542146,48.32700087561672,98718.70669498366,6762894.118782358,68.48994874665838
5-6,0.0004077194842574789,98694.54319454584,40.23968825030771,98674.4233504207,6664175.412087374,67.52324086399598
6-7,0.0003595793794202006,98654.30350629553,35.47405323192587,98636.56647967958,6565500.988736954,66.55057869135919
7-8,0.000325068828974498,98618.8294530636,32.05790740514312,98602.80049936104,6466864.422257274,65.57433766069083
8-9,0.0002878592097030453,98586.77154565846,28.379110144307916,98572.5819905863,6368261.621757913,64.59549817805508
9-10,0.00025850892702170166,98558.39243551415,25.47822427748856,98545.6533233754,6269689.039767327,63.61395397017587
10-11,0.00024361146398889426,98532.91421123667,24.003747482091487,98520.91233749563,6171143.386443951,62.63027370949509
11-12,0.0002520272651033365,98508.91046375458,24.826931292489515,98496.49699810834,6072622.474106455,61.64541304454706
12-13,0.00029890978981587176,98484.08353246209,29.437856708896998,98469.36460410764,5974125.977108347,60.66082724056797
13-14,0.0003836657789572452,98454.64567575319,37.77367832514742,98435.75883659061,5875656.612504239,59.67881527759396
14-15,0.0005084266402803609,98416.87199742804,50.03775957655467,98391.85311763977,5777220.8536676485,58.7015288782865
15-16,0.0007071062066444894,98366.83423785148,69.55579901755443,98332.0563383427,5678829.000550008,57.73113513868478
16-17,0.0009750626251171223,98297.27843883392,95.8460023564381,98249.3554376557,5580496.944211666,56.77163226532425
17-18,0.0012623421777156526,98201.43243647748,123.96381007665951,98139.45053143916,5482247.58877401,55.826554183109835
18-19,0.001522593911235867,98077.46862640082,149.33215655998467,98002.80254812083,5384108.138242571,54.896483500729936
19-20,0.0017353930398286465,97928.13646984083,169.94380643315162,97843.16456662425,5286105.33569445,53.979433554547676
20-21,0.001865346517492289,97758.19266340768,182.35290424102774,97667.01621128716,5188262.171127826,53.07240272937113
21-22,0.0019291980444789572,97575.83975916666,188.2431192517764,97481.71819954077,5090595.154916539,52.17065174617991
22-23,0.0019520942922865107,97387.59663991487,190.10977154027879,97292.54175414474,4993113.436716998,51.27052734629803
23-24,0.001950606165783347,97197.4868683746,189.5940171840974,97102.68985978255,4895820.894962853,50.36983005119054
24-25,0.0019442922582002043,97007.89285119051,188.61169505488465,96913.58700366307,4798718.2051030705,49.46729656796353
25-26,0.0019578254720412614,96819.28115613562,189.55525483220683,96724.50352871952,4701804.618099407,48.56268877391314
26-27,0.001963136052011513,96629.72590130342,189.69729861283943,96534.877251997,4605080.1145706875,47.656971719802534
27-28,0.0019224681934517998,96440.02860269058,185.40288756425446,96347.32715890845,4508545.237318691,46.74972936697063
28-29,0.0018960314374868242,96254.62571512633,182.5017963594072,96163.37481694663,4412197.9101597825,45.8388142635145
29-30,0.0018842822659806875,96072.12391876693,181.02699935523154,95981.61041908931,4316034.535342836,44.92494138041776
30-31,0.0018625249496130299,95891.09691941169,178.59956045816543,95801.79713918261,4220052.924923747,44.00880853902779
31-32,0.0018607750960806075,95712.49735895352,178.09943146922163,95623.44764321891,4124251.127784564,43.08999599412037
32-33,0.0019148929557002608,95534.3979274843,182.9381456184053,95442.9288546751,4028627.680141345,42.16939414010112
33-34,0.0019943798855692777,95351.4597818659,190.16703344862128,95256.37626514159,3933184.75128667,41.24933965651452
34-35,0.0020871998617389077,95161.29274841727,198.62063706739224,95061.98242988357,3837928.3750215285,40.33077172635784
35-36,0.002223555396942622,94962.67211134988,211.15476208128462,94857.09473030924,3742866.392591645,39.41408038942809
36-37,0.0023986884673833095,94751.5173492686,227.27937193276017,94637.87766330222,3648009.297861336,38.50080083060005
37-38,0.0025809492611732986,94524.23797733584,243.96226217057398,94402.25684625056,3553371.4201980336,37.592172084476665
38-39,0.0027694027455069836,94280.27571516526,261.1000544127341,94149.7256879589,3458969.163351783,36.688152820021905
39-40,0.002974297926136136,94019.17566075253,279.6410391848053,93879.35514116012,3364819.4376638243,35.78865070892595
40-41,0.0032077332647769035,93739.53462156773,300.69142343030904,93589.18890985257,3270940.082522664,34.89392278004847
41-42,0.00347796298803992,93438.84319813742,324.97683828838757,93276.35477899322,3177350.893612812,34.00460434720095
42-43,0.003772524161191646,93113.86635984902,351.2743105845005,92938.22920455677,3084074.5388338184,33.12153881479978
43-44,0.00409303631798854,92762.59204926452,379.68065820839473,92572.75172016033,2991136.3096292615,32.24507038398327
44-45,0.0044413912869786685,92382.91139105613,410.3086577179591,92177.75706219715,2898563.5579091012,31.375538119160424
45-46,0.004819733914722281,91972.60273333816,443.2834726191491,91750.9609970286,2806385.800846904,30.5132802317624
46-47,0.005230452449547076,91529.31926071901,478.7397521326041,91289.94938465272,2714634.8398498753,29.65863683654529
47-48,0.005676176698280089,91050.57950858641,516.8191777715367,90792.16991970064,2623344.8904652228,28.811951605621925
48-49,0.006159782304831484,90533.76033081487,557.668254875608,90254.92620337706,2532552.720545522,27.973572635130235
49-50,0.006684399818549361,89976.09207593926,601.436173546189,89675.37398916617,2442297.794342145,27.1438527501379
50-51,0.007253427535192975,89374.65590239307,648.2725900708152,89050.51960735767,2352622.4203529786,26.323149405154638
51-52,0.007870547365001486,88726.38331232226,698.3252023849097,88377.2207111298,2263571.900745621,25.511824287683524
52-53,0.00853974319849045,88028.05810993735,751.7370105206596,87652.18960467703,2175194.6800344912,24.710242696912758
53-54,0.00926532140283849,87276.32109941669,808.6431658434299,86871.99951649498,2087542.4904298142,23.918772745380608
54-55,0.010051933197388714,86467.67793357326,869.1673223216005,86033.09427241246,2000670.4909133192,23.137784415238798
55-56,0.010904598734708101,85598.51061125165,933.4174105043528,85131.80190599947,1914637.3966409068,22.367648490244104
