x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004898740546828222,100000.0,489.8740546828222,99755.06297265859,8180056.0164,81.800560164
1-2,0.00029278441253039746,99510.12594531718,29.135013765725553,99495.55843843432,8080300.953427342,81.20079114227661
2-3,0.0002132343374489237,99480.99093155145,21.21276319005176,99470.38454995642,7980805.3949889075,80.2244259959187
3-4,0.0001790189340753833,99459.7781683614,17.805183471074137,99450.87557662587,7881335.010438951,79.24142960682812
4-5,0.000160788501893383,99441.97298489032,15.98912586156278,99433.97842195955,7781884.134862325,78.25552833756366
5-6,0.0001524184529225698,99425.98385902875,15.154354640097557,99418.4066817087,7682450.156440366,77.26803254301146
6-7,0.0001475599898088905,99410.82950438866,14.669060988560942,99403.49497389438,7583031.749758657,76.27973519146514
7-8,0.00014118876920927976,99396.1604434001,14.03362155713176,99389.14363262153,7483628.254784763,75.29091889868543
8-9,0.00012987105131225085,99382.12682184298,12.90686129200019,99375.67339119698,7384239.111152141,74.30148002758557
9-10,0.00011436989487269198,99369.21996055098,11.364847240469622,99363.53753693074,7284863.4377609445,73.31106594831874
10-11,9.96365057633367e-05,99357.8551133105,9.899669503630134,99352.9052785587,7185499.900224014,72.31939429478894
11-12,9.4112124656658e-05,99347.95544380687,9.349847167111657,99343.28052022331,7086146.994945455,71.3265508413358
12-13,0.000107555122034174,99338.60559663977,10.68437584765127,99333.26340871594,6986803.714425232,70.33321710589391
13-14,0.00014506471260565095,99327.92122079212,14.408976345610947,99320.71673261932,6887470.451016516,69.3407288340066
14-15,0.00019885039196348056,99313.51224444651,19.748530837078114,99303.63797902798,6788149.734283897,68.35071664342918
15-16,0.0002591891613919957,99293.76371360943,25.735867348385398,99280.89577993524,6688846.096304869,67.36421146847998
16-17,0.0003133558985096422,99268.02784626104,31.10622205904531,99252.47473523152,6589565.200524934,66.38154644041447
17-18,0.00035636851715865485,99236.921624202,35.36491460660652,99219.2391668987,6490312.7257897025,65.40219728265772
18-19,0.00038319160641004274,99201.5567095954,38.01320387392682,99182.55010765843,6391093.486622804,64.42533462788509
19-20,0.0003974656942348732,99163.54350572148,39.41410666229164,99143.83645239033,6291910.936515145,63.44983966967778
20-21,0.0004122688920561388,99124.12939905918,40.86579500337946,99103.6965015575,6192767.100062755,62.47487002010968
21-22,0.00042940551026879824,99083.2636040558,42.54689936699742,99061.9901543723,6093663.403561197,61.500430869051065
22-23,0.0004356859928777984,99040.7167046888,43.1506529928111,99019.1413781924,5994601.413406825,60.52663604284103
23-24,0.00042744202917515724,98997.56605169599,42.31572051653859,98976.40819143772,5895582.272028632,59.552800206724186
24-25,0.0004094738216719126,98955.25033117946,40.51958452760885,98934.99053891565,5796605.863837195,58.57805264942837
25-26,0.00038938990092953873,98914.73074665185,38.51639720591076,98895.4725480489,5697670.873298279,57.60184383346905
26-27,0.0003748008401660467,98876.21434944595,37.05888821061046,98857.68490534063,5598775.40075023,56.62408737619315
27-28,0.0003688895999530592,98839.15546123534,36.46073651779333,98820.92509297644,5499917.715844889,55.645130618320124
