x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004926819502963769,100000.0,492.68195029637695,99753.65902485182,7974944.6339,79.749446339
1-2,0.0003320115828571763,99507.31804970362,33.03758217155457,99490.79925861784,7875190.974875148,79.14182724673087
2-3,0.000237183448371825,99474.28046753207,23.59365286559533,99462.48364109927,7775700.175616531,78.16794591597456
3-4,0.00018717342578060506,99450.68681466646,18.614525747335172,99441.3795517928,7676237.6919754315,77.18637183753849
4-5,0.00016362427457295903,99432.07228891912,16.269500697560414,99423.93753857035,7576796.312423639,76.20072817559098
5-6,0.00015682119697760352,99415.80278822157,15.59050519173828,99408.0075356257,7477372.374885068,75.2131166793833
6-7,0.00015581403196873964,99400.21228302983,15.487947854367517,99392.46830910265,7377964.367349443,74.22483511747038
7-8,0.00015197884919265336,99384.72433517546,15.104376031789057,99377.17214715957,7278571.89904034,73.23632427145768
8-9,0.00013948792284929344,99369.61995914367,13.860861882424643,99362.68952820246,7179194.726893181,72.24738033460271
9-10,0.00011959053143116581,99355.75909726125,11.88200803118836,99349.81809324566,7079832.037364978,71.25738962383042
10-11,0.00010055833609489732,99343.87708923007,9.989854981308968,99338.88216173941,6980482.2192717325,70.26585254974401
11-12,9.653124714630268e-05,99333.88723424876,9.588824018612227,99329.09282223946,6881143.337109993,69.27286879333444
12-13,0.00012379388976993842,99324.29841023014,12.295741248872499,99318.1505396057,6781814.2442877535,68.27950816503572
13-14,0.00019052957491121934,99312.00266898127,18.92187365210288,99302.54173215521,6682496.093748148,67.28789989284279
14-15,0.0002831721479749388,99293.08079532917,28.11703496786251,99279.02227784523,6583193.552015993,66.30062738798283
15-16,0.000385803629029185,99264.96376036131,38.296783254197926,99245.81536873421,6483914.529738148,65.31926557079264
16-17,0.00047710331908015546,99226.66697710712,47.341372156039064,99202.99629102909,6384668.714369413,64.34428273039181
17-18,0.0005484832380764929,99179.32560495108,54.39819765804639,99152.12650612206,6285465.718078384,63.37475758924308
18-19,0.0005919755894155948,99124.92740729304,58.67953732771034,99095.5876386292,6186313.591572262,62.40926226511525
19-20,0.0006141752587511837,99066.24786996533,60.84403841904486,99035.8258507558,6087218.003933633,61.445932745163965
20-21,0.0006355441793657225,99005.40383154628,62.92230813089204,98973.94267748084,5988182.178082877,60.48338723279719
21-22,0.0006609018992782692,98942.4815234154,65.3912739581303,98909.78588643632,5889208.235405396,59.521533569093634
22-23,0.0006720466182107718,98877.09024945727,66.45001412066904,98843.86524239693,5790298.449518959,58.56056680987072
23-24,0.0006645824917958371,98810.6402353366,65.66782150354199,98777.80632458483,5691454.584276563,57.59961245794244
24-25,0.000644021868655635,98744.97241383306,63.593921654305895,98713.17545300591,5592676.777951978,56.63758509662115
25-26,0.000617897251759005,98681.37849217876,60.97495257010744,98650.8910158937,5493963.602498972,55.6737622279406
26-27,0.0005977451346054202,98620.40353960865,58.94986638862424,98590.92860641434,5395312.711483078,54.70787502219227
27-28,0.0005903159181850572,98561.45367322004,58.182395022760865,98532.36247570865,5296721.782876664,53.74029689576126
28-29,0.0005993989388730294,98503.27127819728,59.0427562796736,98473.74990005745,5198189.420400955,52.771744054265966
29-30,0.0006205275616242144,98444.22852191761,61.08735708068248,98413.68484337727,5099715.670500897,51.803094473593205
30-31,0.0006461391076317996,98383.14116483692,63.5691950382611,98351.3565673178,5001301.98565752,50.83494922446157
31-32,0.0006752861629404056,98319.57196979866,66.3938464974284,98286.37504654995,4902950.629090202,49.8674936318505
32-33,0.0007119934216909145,98253.17812330123,69.95561648401615,98218.20031505922,4804664.254043652,48.90085334455153
33-34,0.0007561939518235422,98183.22250681721,74.24555903020027,98146.0997273021,4706446.053728593,47.93533898728784
34-35,0.0008074097783849248,98108.97694778701,79.2141473349844,98069.36987411953,4608299.954001291,46.9712364491763
35-36,0.0008657878344594734,98029.76280045202,84.8729760475792,97987.32631242824,4510230.584127171,46.008788099468646
36-37,0.0009326519591575459,97944.88982440444,91.34849338420078,97899.21557771234,4412243.257814743,45.048223196993845
37-38,0.0010098697264795356,97853.54133102024,98.81932901901135,97804.13166651073,4314344.04223703,44.08980997062141
38-39,0.001098838285344619,97754.72200200123,107.41663110901894,97701.01368644672,4216539.91057052,43.133874499527494
39-40,0.0012003100159032898,97647.30537089221,117.20703866264901,97588.70185156088,4118838.896884073,42.18077376779167
40-41,0.0013149008571684056,97530.09833222957,128.24240989676755,97465.97712728118,4021250.1950325123,41.230863741512906
41-42,0.0014379159502279342,97401.8559223328,140.0556822125255,97331.82808122654,3923784.2179052313,40.28449130408783
42-43,0.0015738421452618741,97261.80024012028,153.07472034194276,97185.26287994931,3826452.389824005,39.34178043566175
43-44,0.0017238337116096888,97108.72551977834,167.39929474244602,97025.02587240712,3729267.1269440553,38.40300762864515
44-45,0.0018890537287971556,96941.3262250359,183.12737377994554,96849.76253814592,3632242.1010716483,37.468458938140586
45-46,0.0020708182757900287,96758.19885125595,200.36864651370658,96658.0145279991,3535392.3385335025,36.53842651585915
46-47,0.0022703863126555144,96557.83020474225,219.223576076562,96448.21841670397,3438734.324005503,35.61321041197772
47-48,0.0024890791682878597,96338.60662866569,239.79441886129047,96218.70941923503,3342286.1055887993,34.69311237260823
48-49,0.0027283424317313767,96098.8122098044,262.19046699099465,95967.7169763089,3246067.396169564,33.77843410887015
49-50,0.0029901146872824817,95836.6217428134,286.56249025272194,95693.34049768704,3150099.6791932555,32.86947747017674
50-51,0.00327676581271991,95550.05925256068,313.09516756215254,95393.5116687796,3054406.3386955685,31.966556196705994
51-52,0.0035909673195224055,95236.96408499853,341.9928256397588,95065.96767217865,2959012.827026789,31.070003705555802
52-53,0.003935336100986044,94894.97125935878,373.4436061989877,94708.24945625928,2863946.8593546106,30.180175212099673
53-54,0.004312922882445991,94521.52765315979,407.66405949906436,94317.69562341025,2769238.609898351,29.297438146153123
54-55,0.004726781772718059,94113.86359366073,444.85569499458927,93891.43574616344,2674920.9142749407,28.422177266295087
55-56,0.005179866375955179,93669.00789866614,485.1929444833808,93426.41142642444,2581029.478528777,27.554786117954936
56-57,0.005675594226251649,93183.81495418276,528.8735221340618,92919.37819311573,2487603.0671023526,26.695655981947873
57-58,0.006218295655097016,92654.9414320487,576.155819730177,92366.86352218362,2394683.688909237,25.845180536490332
58-59,0.006812490111273387,92078.78561231852,627.2858164419822,91765.14270409752,2302316.825387053,25.003770521915353
59-60,0.007462934576768341,91451.49979587653,682.4965599239698,91110.25151591454,2210551.6826829556,24.171847237245938
60-61,0.008174303616017975,90769.00323595256,741.9733913739943,90398.01654026557,2119441.431167041,23.34983701052205
61-62,0.008952004650571426,90027.02984457857,805.9223898458,89624.06864965567,2029043.4146267753,22.538157908015936
62-63,0.009802695030908417,89221.10745473277,874.6073066986548,88783.80380138344,1939419.3459771196,21.737225655499778
63-64,0.010733306742466584,88346.50014803412,948.2500857122196,87872.37510517801,1850635.5421757363,20.947468649859317
64-65,0.011750798160263492,87398.2500623219,1026.9991960425807,86884.75046430061,1762763.1670705583,20.169318788574923
65-66,0.01286315825150569,86371.25086627931,1111.0070682734488,85815.7473321426,1675878.4166062577,19.40319724211088
66-67,0.014086747801051527,85260.24379800586,1201.0395518386763,84659.72402208652,1590062.669274115,18.649520555456174
67-68,0.015458819921527792,84059.20424616718,1299.4561011884227,83409.47619557296,1505402.9452520285,17.908841259589604
68-69,0.01695567466604203,82759.74814497876,1403.2473649898352,82058.12446248384,1421993.4690564557,17.18218700430798
69-70,0.018589101172308563,81356.50077998893,1512.3442240242148,80600.32866797682,1339935.3445939717,16.469923506389947
70-71,0.02037446760894967,79844.15655596471,1626.7821815134093,79030.76546520801,1259335.0159259948,15.772413038683629
71-72,0.022326527837203756,78217.3743744513,1746.3223863241749,77344.21318128922,1180304.2504607867,15.090052049181516
72-73,0.02445673985427914,76471.05198812713,1870.2326248566808,75535.9356756988,1102960.0372794976,14.42323609528404
73-74,0.02677839950595,74600.81936327045,1997.6905443808664,73601.97409108002,1027424.1016037988,13.772289773396897
74-75,0.029306310669141106,72603.12881888959,2127.72984871805,71539.26389453057,953822.1275127188,13.137479651766155
75-76,0.03205188303909772,70475.39897017153,2258.869244925686,69345.9643477087,882282.8636181882,12.519019069216073
76-77,0.03503763042427362,68216.52972524584,2390.1455573396397,67021.45694657601,812936.8992704795,11.917007542669303
77-78,0.03829103308150389,65826.3841679062,2520.56025380908,64566.104041001665,745915.4423239034,11.33155727377133
78-79,0.04183434225753523,63305.82391409712,2648.3575045175976,61981.64516183832,681349.3382829018,10.76282237803996
79-80,0.04567616924129052,60657.46640957952,2770.600701471849,59272.1660588436,619367.6931210635,10.210906089266661
80-81,0.05032292507417083,57886.865708107674,2913.036405807691,56430.34750520383,560095.5270622199,9.675692753628782
81-82,0.0550875087739983,54973.829302299986,3028.3713040307357,53459.64365028462,503665.1795570161,9.16190823796122
82-83,0.060273199129274604,51945.45799826925,3130.918933791053,50379.99853137373,450205.5359067315,8.666889334611925
83-84,0.06591138988755908,48814.5390644782,3217.4341164603065,47205.82200624805,399825.53737535776,8.190705987149357
84-85,0.07203469923249309,45597.1049480179,3284.5737408028917,43954.81807761645,352619.7153691097,7.7333794715938
85-86,0.0786767922741112,42312.531207215005,3329.0142283819027,40648.024093024054,308664.89729149325,7.294881409478539
86-87,0.08587215056976169,38983.516978833104,3347.5984397452175,37309.7177589605,268016.87319846917,6.8751332350027425
87-88,0.09365578259825119,35635.918539087885,3337.5098393858043,33967.16361939498,230707.15543950867,6.474006140362384
88-89,0.10206286958813247,32298.408699702082,3296.468275021897,30650.174562191132,196739.99182011368,6.091321515227727
89-90,0.1111283419717305,29001.940424680186,3222.9375533576144,27390.471648001378,166089.81725792255,5.726851887351054
90-91,0.12088638307453851,25779.002871322573,3116.3304163823286,24220.83766313141,138699.34560992118,5.380322361661823
91-92,0.13136985852240576,22662.672454940242,2977.1920741451218,21174.07641786768,114478.50794678976,5.051412545206448
92-93,0.1426096723073149,19685.48038079512,2807.3399063172687,18281.810427636487,93304.43152892208,4.7397589352174805
93-94,0.1546340535200596,16878.140474477852,2609.9352774494923,15573.172835753106,75022.6211012856,4.44495773777511
94-95,0.16746778141895538,14268.20519702836,2389.4646691767484,13073.472862439985,59449.44826553248,4.1665680752835
95=96,0.18113136069032143,11878.74052785161,2151.6124350970294,10802.934310303097,46375.975403092496,3.9041155326489867
96-97,0.1956401633385231,9727.128092754581,1903.016928881243,8775.61962831396,35573.0410927894,3.6570959849173352
97-98,0.21100355841987675,7824.111163873338,1650.9152970499579,6998.653515348359,26797.42146447544,3.4249796434652566
98-99,0.22722405553163877,6173.19586682338,1402.6986004507587,5471.846566598001,19798.76794912708,3.207215253857672
99-100,0.24429649224304678,4770.497266372621,1165.4157484298748,4187.789392157683,14326.921382529079,3.0032343763238223
100-101,0.2622072991159167,3605.0815179427464,945.2786879124768,3132.442173986508,10139.131990371396,2.8124556795479427
101-102,0.2809338781871812,2659.8028300302694,747.2287242536435,2286.188467903448,7006.689816384887,2.6342891801138317
102-103,0.3004441313643053,1912.5741057766259,574.6216658799214,1625.2632728366652,4720.501348481439,2.468140363410712
103-104,0.32069617376048104,1337.9524398967046,429.07622814837316,1123.414325822518,3095.2380756447737,2.313414126950386
104-105,0.3416382633165308,908.8762117483315,310.5068905514075,753.6227664726277,1971.8237498222556,2.1695184936452656
105-106,0.36320897201723057,598.369321196924,217.33310603858283,489.7027681776326,1218.200983349628,2.035868050375391
106-107,0.385337615696319,381.0362151583412,146.8275866430648,307.62242183680877,728.4982151719953,1.9118870757974142
107-108,0.4079449491330928,234.2086285152764,95.54422704619586,186.43651499217845,420.87579333518653,1.7970123304305787
108-109,0.43094412138333055,138.66440146908053,59.75660865823832,108.78609713996137,234.43927834300808,1.6906954911227414
109-110,0.45424187375667663,78.90779281084221,35.84322366040058,60.98618098064192,125.65318120304671,1.5924052204103918
