x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01330782588973566,100000.0,1330.7825889735661,99334.60870551322,7367839.3209,73.67839320899999
1-2,0.0008469769492076043,98669.21741102643,83.570552743493,98627.43213465468,7268504.7121944865,73.66537308100936
2-3,0.0005444114129745088,98585.64685828294,53.671151305123765,98558.81128263038,7169877.280059832,72.72739499662202
3-4,0.0004340855922260171,98531.97570697781,42.771311027962994,98510.59005146383,7071318.468777202,71.76673783347701
4-5,0.0003435537598245858,98489.20439594986,33.8363364723607,98472.28622771367,6972807.878725738,70.79768713222013
5-6,0.00027973079764430933,98455.36805947749,27.540998639641696,98441.59756015766,6874335.592498025,69.82184646697168
6-7,0.00023579145870920886,98427.82706083785,23.2084409202527,98416.22284037773,6775893.994937867,68.84124334828314
7-8,0.00020465774917312758,98404.6186199176,20.139267754992375,98394.5489860401,6677477.772097489,67.85736143024829
8-9,0.00018126931934036417,98384.47935216261,17.83408760582263,98375.5623083597,6579083.223111449,66.87114945805557
9-10,0.00016451258106780673,98366.64526455679,16.182550703453586,98358.55398920506,6480707.660803089,65.88318269239787
10-11,0.00015771881157513272,98350.46271385334,15.511718097093352,98342.7068548048,6382349.106813883,64.89394081838809
11-12,0.0001684983660969624,98334.95099575624,16.569278573009793,98326.66635646974,6284006.399959079,63.90409855627296
12-13,0.00020598622480638915,98318.38171718323,20.252232278996086,98308.25560104374,6185679.7336026095,62.91478384373703
13-14,0.0002727919402393795,98298.12948490423,26.814937464088782,98284.72201617219,6087371.478001566,61.92764307825828
14-15,0.00035759137796720174,98271.31454744014,35.14097478366744,98253.74406004831,5989086.755985393,60.9444046166105
15-16,0.00044690247686660973,98236.17357265647,43.90198928751836,98214.2225780127,5890833.011925345,59.96602674643496
16-17,0.0005329151480128384,98192.27158336894,52.32814894456789,98166.10750889666,5792618.789347333,58.99261414305077
17-18,0.0006170233643266016,98139.94343442438,60.55463807273091,98109.66611538801,5694452.681838436,58.02380236384977
18-19,0.000699919305559155,98079.38879635165,68.64765769600882,98045.06496750364,5596343.015723048,57.05931780777186
19-20,0.0007839004648722725,98010.74113865563,76.83066554106811,97972.3258058851,5498297.950755544,56.098932493297966
20-21,0.000877841013658924,97933.91047311456,85.9704032413012,97890.9252714939,5400325.624949659,55.14255071466987
21-22,0.0009733015112059098,97847.94006987326,95.23554793839294,97800.32229590407,5302434.699678165,54.19056033158893
22-23,0.0010523172158107778,97752.70452193487,102.86685386049612,97701.27109500462,5204634.377382261,53.242868346567185
23-24,0.0011050388316725809,97649.83766807437,107.90686252974608,97595.88423680949,5106933.106287256,52.29842904241628
