x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.014418090079727833,100000.0,1441.8090079727833,99279.09549601362,7037709.9201,70.377099201
1-2,0.0011168406063733949,98558.19099202722,110.07378979060054,98503.15409713192,6938430.824603986,70.39933215865604
2-3,0.0006466915734986221,98448.11720223661,63.66556782149116,98416.28441832586,6839927.670506854,69.47748585639238
3-4,0.0005075251177389219,98384.45163441512,49.9325803994358,98359.4853442154,6741511.386088528,68.52212188099782
4-5,0.00039839905403538583,98334.51905401569,39.176379370144474,98314.93086433061,6643151.900744312,67.55666234656817
5-6,0.0003246668632039821,98295.34267464555,31.91324057373769,98279.38605435868,6544836.969879982,66.58338830501037
6-7,0.0002764449122206416,98263.42943407182,27.164425124401195,98249.84722150961,6446557.583825624,65.60485035941913
7-8,0.00024428693134047726,98236.26500894742,23.997835725385666,98224.26609108473,6348307.736604114,64.62285324086686
8-9,0.000221465317994504,98212.26717322203,21.750610980478804,98201.3918677318,6250083.470513029,63.638521443451
9-10,0.00020714768164869517,98190.51656224155,20.339937865756145,98180.34659330867,6151882.078645297,62.652507533614084
10-11,0.0002070136577969151,98170.17662437579,20.32256734958124,98160.015340701,6053701.732051989,61.66538494898507
11-12,0.00023285941393364935,98149.85405702621,22.85511749339234,98138.42649827951,5955541.716711288,60.6780496408181
12-13,0.00029840909199538925,98126.99893953282,29.281988653778512,98112.35794520592,5857403.290213008,59.69206593001402
13-14,0.00040753425861395857,98097.71695087904,39.97818034929845,98077.72786070438,5759290.932267803,58.70973465316916
14-15,0.0005436971304032834,98057.73877052974,53.313711183371815,98031.08191493805,5661213.204407099,57.733466785882264
15-16,0.0006828271572788102,98004.42505934637,66.92008296401767,97970.96501786435,5563182.122492161,56.76460138532916
16-17,0.0008177507163133784,97937.50497638235,80.08846484838173,97897.46074395816,5465211.157474296,55.803046634608805
17-18,0.0009600766879137016,97857.41651153397,93.95062433218511,97810.44119936788,5367313.696730338,54.84830775292049
18-19,0.0011161671216180986,97763.46588720179,109.12036631872719,97708.90570404242,5269503.25553097,53.900536439766306
19-20,0.0012869959363270781,97654.34552088306,125.6807458500569,97591.50514795803,5171794.349826927,52.960206965095644
20-21,0.0014829744371248758,97528.664775033,144.63251674829527,97456.34851665885,5074202.844678969,52.02781004316535
21-22,0.0016789267470491895,97384.0322582847,163.50065649393528,97302.28193003773,4976746.49616231,51.10433795720064
22-23,0.0018358027530836938,97220.53160179076,178.47771957082773,97131.29274200535,4879444.2142322725,50.18944181685996
