x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.016355721006594482,100000.0,1635.572100659448,99182.21394967027,6672161.6946,66.721616946
1-2,0.0013797297511767956,98364.42789934055,135.71632763020497,98296.56973552544,6572979.48065033,66.82272871425297
2-3,0.0007461356370208105,98228.71157171034,73.29194228229156,98192.0656005692,6474682.910914805,65.91436258621863
3-4,0.0005794725121242824,98155.41962942806,56.87836759127777,98126.98044563242,6376490.845314235,64.96320701788834
4-5,0.0004524086194679665,98098.54126183678,44.38062562408893,98076.35094902474,6278363.864868603,64.00058333294575
5-6,0.0003690505973859248,98054.16063621269,36.18694655896972,98036.0671629332,6180287.513919578,63.02932454695978
6-7,0.00031664248891477917,98017.97368965372,31.036655147475294,98002.45536207999,6082251.446756645,62.052409551072536
7-8,0.0002834508713859217,97986.93703450625,27.774482686868236,97973.04979316282,5984248.991394565,61.071905832582594
8-9,0.00026111343917825875,97959.16255181938,25.57845383292765,97946.37332490292,5886275.941601403,60.089079860065404
9-10,0.00024907753021901404,97933.58409798644,24.39305525262257,97921.38757036014,5788329.5682765,59.10464343350333
10-11,0.0002553256649883659,97909.19104273382,24.99872931145897,97896.69167807809,5690408.180706141,58.11924417006452
11-12,0.0002957407699203963,97884.19231342236,28.948346397807665,97869.71814022346,5592511.489028063,57.13395959912508
12-13,0.00038855541662752464,97855.24396702455,38.02218508879529,97836.23287448015,5494641.77088784,56.15071352475943
13-14,0.0005390348980132148,97817.22178193576,52.726896167161755,97790.85833385219,5396805.5380133595,55.17234531608836
14-15,0.0007258121256560723,97764.4948857686,70.95865584673192,97729.01555784522,5299014.679679507,54.20183151225871
15-16,0.0009142918289926843,97693.53622992187,89.32040192041833,97648.87602896166,5201285.664121662,53.24083726358753
16-17,0.0010981881399628722,97604.21582800146,107.18779223268764,97550.6219318851,5103636.788092701,52.289101908121985
17-18,0.0013004389274991436,97497.02803576877,126.78893057318908,97433.63357048218,5006086.166160815,51.34603861283065
18-19,0.0015347157058889205,97370.23910519558,149.4356352409032,97295.52128757513,4908652.532590333,50.41224688056058
19-20,0.0018022778650035006,97220.80346995467,175.21890211175483,97133.1940188988,4811357.011302758,49.48896573138968
20-21,0.00211627691338548,97045.58456784292,205.3753301669242,96942.89690275946,4714223.8172838595,48.57741687349233
21-22,0.0024338226690232678,96840.209237676,235.6918965156123,96722.3632894182,4617280.9203811,47.679377778386005
22-23,0.002692434827427465,96604.51734116039,260.10136697616076,96474.46665767231,4520558.557091681,46.79448416606914
23-24,0.0028419250153895645,96344.41597418423,273.8036058501321,96207.51417125916,4424084.090434009,45.919465551791355
24-25,0.0028976149099614063,96070.6123683341,278.3756388076076,95931.4245489303,4327876.57626275,45.048912144638976
25-26,0.0029289085355122045,95792.23672952648,280.5666997929158,95651.95337963002,4231945.151713819,44.178372864002526
26-27,0.0029503526935820783,95511.67002973356,281.7931129407471,95370.7734732632,4136293.198334189,43.30667861892193
27-28,0.0029833323422657917,95229.87691679281,284.10237175585854,95087.82573091488,4040922.424860926,42.43334713528702
28-29,0.0030375784170012026,94945.77454503695,288.40523554346646,94801.57192726522,3945834.599130011,41.55882258097045
29-30,0.0031169905919849633,94657.36930949349,295.0461295997374,94509.84624469362,3851033.027202746,40.683921973484566
30-31,0.0032185782429871575,94362.32317989375,303.71252034452874,94210.46691972148,3756523.180958052,39.80956651307281
31-32,0.003351417380013712,94058.61065954922,315.22966250435627,93900.99582829703,3662312.7140383306,38.93649596095238
32-33,0.0035301725553231827,93743.38099704486,330.93031083897256,93577.91584162538,3568411.7182100336,38.06574587194079
33-34,0.0037583423268876866,93412.45068620589,351.07596727227633,93236.91270256975,3474833.802368408,37.19882924430686
34-35,0.004031300849359448,93061.37471893361,375.15839894699496,92873.79551946011,3381596.8896658383,36.33727633917966
35-36,0.004332178739778751,92686.21631998662,401.5332558119803,92485.44969208063,3288723.0941463783,35.4823319445095
36-37,0.004674146042260886,92284.68306417463,431.3520861057121,92069.00702112178,3196237.6444542976,34.6345410563055
37-38,0.005074105691932433,91853.33097806892,466.0735095387732,91620.29422329953,3104168.637433176,33.79484014765162
38-39,0.0055241659357112595,91387.25746853014,504.83837466572857,91134.83828119727,3012548.343209876,32.96464328462061
39-40,0.006004325926891311,90882.4190938644,545.687665263892,90609.57526123246,2921413.5049286787,32.14497956872615
40-41,0.006503333555629271,90336.73142860051,587.4898968054871,90042.98648019777,2830803.9296674463,31.33613409407922
41-42,0.006943334964245857,89749.24153179502,623.1590467422589,89437.6620084239,2740760.9431872484,30.537984459916494
42-43,0.007412761500781623,89126.08248505276,660.6703929606864,88795.74728857241,2651323.2811788246,29.748006501054
43-44,0.007913573224326943,88465.41209209207,700.0775164110287,88115.37333388656,2562527.533890252,28.966434149684094
44-45,0.008447851953854087,87765.33457568104,741.4285531758247,87394.62029909313,2474412.1605563653,28.193502281047554
45-46,0.009017809095429158,87023.90602250522,784.7649712495198,86631.52353688046,2387017.5402572723,27.429446106911893
46-47,0.009625793714988569,86239.1410512557,830.1201819171898,85824.08096029711,2300386.016720392,26.674500565273156
47-48,0.010274300880643928,85409.02086933852,877.5179783327803,84970.26188017213,2214561.935760095,25.928899701917942
48-49,0.01096598029217926,84531.50289100574,926.9707947710632,84068.01749362021,2129591.673879923,25.19287604085073
49-50,0.011703645209436023,83604.53209623467,978.4777815552371,83115.29320545706,2045523.6563863026,24.46665994173332
50-51,0.012490281685453563,82626.05431467944,1032.022692947932,82110.04296820547,1962408.3631808455,23.750478943446314
51-52,0.013329058104360149,81594.03162173151,1087.5715884550586,81050.24582750398,1880298.32021264,23.044557093705944
52-53,0.014223335017931823,80506.46003327645,1145.0703521610296,79933.92485719593,1799248.0743851361,22.34911426538239
53-54,0.015176675268289466,79361.38968111543,1204.4420400304673,78759.1686611002,1719314.1495279402,21.6643654607911
54-55,0.016192854377247927,78156.94764108496,1265.5840717222795,77524.15560522382,1640554.98086684,20.99052010578322
55-56,0.017275871175219334,76891.36356936269,1328.3652915112627,76227.18092360705,1563030.8252616164,20.32778133595754
56-57,0.018429958634177006,75562.99827785142,1392.62293253519,74866.68681158383,1486803.6443380094,19.67634527776292
57-58,0.019659594859874004,74170.37534531624,1458.1595298937045,73441.29558036938,1411936.9575264256,19.03640032766246
58-59,0.020969514188159698,72712.21581542253,1524.7398411940328,71949.84589482551,1338495.6619460562,18.4081264328924
59-60,0.022364718318726124,71187.4759742285,1592.0878479847038,70391.43205023614,1266545.8160512308,17.791694377670442
60-61,0.02385048740683294,69595.3881262438,1659.8839280786283,68765.44616220448,1196154.3840009947,17.187265078990713
61-62,0.025432391019394276,67935.50419816516,1727.7623068674377,67071.62304473144,1127388.9378387902,16.594988896383864
62-63,0.027116298846169184,66207.74189129772,1795.3089150544633,65310.08743377048,1060317.314794059,16.015004960219404
63-64,0.028908391039594594,64412.43297624325,1862.0598002889178,63481.403076098795,995007.2273602884,15.447440523280177
64-65,0.03081516803796845,62550.37317595434,1927.5002602546672,61586.623045827,931525.8242841896,14.89241034044362
65-66,0.03284345970619336,60622.87291569967,1991.064883880463,59627.34047375944,869939.2012383626,14.350016081357175
66-67,0.03500043360610975,58631.80803181921,2052.1387042238607,57605.738679707276,810311.8607646031,13.820345780994007
67-68,0.037293602184615984,56579.669327595344,2110.0596796404598,55524.639487775115,752706.1220848958,13.303473332916457
68-69,0.03973082864235903,54469.60964795489,2164.1227271390817,53387.548284385346,697181.4825971207,12.799458029956655
