x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.009387747150668355,100000.0,938.7747150668355,99530.61264246659,7761753.208,77.61753207999999
1-2,0.0006739693846554364,99061.22528493317,66.76423304849996,99027.84316840892,7662222.595357533,77.34835273153972
2-3,0.0004943605992166892,98994.46105188467,48.93896108474291,98969.99157134231,7563194.752189124,76.40018109927509
3-4,0.00038588055530812783,98945.52209079993,38.18115300965051,98926.43151429511,7464224.760617781,75.4377217168862
4-5,0.00030375771998823075,98907.34093779029,30.043868373361775,98892.31900360361,7365298.329103487,74.4666498893751
5-6,0.0002495985479740904,98877.29706941692,24.679629776129246,98864.95725452885,7266406.010099883,73.4891246571849
6-7,0.00021468676807363308,98852.61743964079,21.22234895373574,98842.00626516392,7167541.052845354,72.50734718503372
7-8,0.00019118388657029208,98831.39509068705,18.894970228601633,98821.94760557274,7068699.04658019,71.52280952923914
8-9,0.0001731546801711038,98812.50012045844,17.109846855265136,98803.94519703081,6969877.098974617,70.53639054247098
9-10,0.00015952349440571516,98795.39027360317,15.760185887621581,98787.51018065936,6871073.153777586,69.54851977150847
10-11,0.0001544346385766122,98779.63008771556,15.2549964713278,98772.00258947989,6772285.643596927,68.55953639007545
11-12,0.00016677206764384832,98764.37509124423,16.471139043519393,98756.13952172248,6673513.641007447,67.57004876345412
12-13,0.00020707404259910604,98747.90395220071,20.44812766957044,98737.67988836592,6574757.501485724,66.58123603988861
13-14,0.00027881816942885843,98727.45582453113,27.527008505364257,98713.69232027845,6476019.821597358,65.59492258270308
14-15,0.00036906503237439957,98699.92881602577,36.42669242383749,98681.71546981385,6377306.129277079,64.61307729171943
15-16,0.00046823625966897737,98663.50212360194,46.197829200197575,98640.40320900184,6278624.413807265,63.6367479226679
16-17,0.0005590325087895672,98617.30429440174,55.130279029763564,98589.73915488685,6179984.010598264,62.66632468627604
17-18,0.0006293336547123062,98562.17401537197,62.028493189484344,98531.15976877723,6081394.271443377,61.701097121649426
18-19,0.0006726787285842589,98500.14552218249,66.2589526552262,98467.01604585488,5982863.1116746,60.73963728639613
19-20,0.0006973992439721978,98433.88656952725,68.64771807483338,98399.56271048984,5884396.095628746,59.7801864856001
20-21,0.0007184792011461427,98365.23885145242,70.67337823054105,98329.90216233715,5785996.532918256,58.82155729480875
21-22,0.0007596226789618771,98294.56547322188,74.66678115216244,98257.2320826458,5687666.630755919,57.86349024865871
22-23,0.0008024754445579817,98219.89869206972,78.81905686735857,98180.48916363604,5589409.398673274,56.90709798221939
23-24,0.0008405135933192391,98141.07963520236,82.48891149641354,98099.83517945415,5491228.909509637,55.952399646722256
24-25,0.0008670105983983264,98058.59072370594,85.01783742145687,98016.08180499522,5393129.074330184,54.99904735043657
25-26,0.0008805761010296506,97973.57288628448,86.27318681614868,97930.43629287642,5295112.992525188,54.04633960497792
26-27,0.0008953124120705087,97887.29969946833,87.63971440499978,97843.47984226584,5197182.556232312,53.093532789121774
27-28,0.0009165400063918108,97799.65998506334,89.63730098782688,97754.84133456943,5099339.076390046,52.140662627752015
28-29,0.0009462578164603521,97710.0226840755,92.45887271132476,97663.79324771985,5001584.235055476,51.18803678131394
29-30,0.0009856826588760291,97617.56381136418,96.21993985058589,97569.45384143888,4903920.441807756,50.23604616157062
30-31,0.0010354488385973138,97521.34387151359,100.97836225020801,97470.85469038849,4806350.987966318,49.28511848953585
31-32,0.0010958119525035152,97420.36550926337,106.754400942312,97366.98830879222,4708880.133275929,48.33568534320658
32-33,0.0011668249306189147,97313.61110832106,113.54794752974277,97256.83713455619,4611513.144967137,47.38816176325017
33-34,0.0012484735481639055,97200.06316079131,121.35170773610885,97139.38730692325,4514256.307832581,46.442935951234524
34-35,0.0013407710217711501,97078.7114530552,130.16032314713948,97013.63129148164,4417116.920525658,45.500366191630626
35-36,0.0014438177908179795,96948.55112990807,139.9760429153878,96878.56310845037,4320103.289234176,44.56078238286791
36-37,0.0015578349065427989,96808.57508699269,150.81177752318678,96733.16919823109,4223224.726125726,43.62449010669472
37-38,0.0016831792912853796,96657.7633094695,162.69234554446285,96576.41713669727,4126491.5569274942,42.69177576265335
38-39,0.0018203477761089644,96495.07096392504,175.65458783465766,96407.24367000771,4029915.139790797,41.76291182061924
39-40,0.0019699751121412057,96319.41637609039,189.74685307686414,96224.54294955196,3933507.8961207895,40.83816165124952
40-41,0.002132829538755217,96129.66952301352,205.02819870946036,96027.1554236588,3837283.3531712373,39.91778367918542
41-42,0.0023098081797913225,95924.64132430406,221.56752117442622,95813.85756371684,3741256.1977475784,39.00203478581755
42-43,0.002501933571429383,95703.07380312964,239.44273323703396,95583.35243651112,3645442.3401838616,38.09117299286421
43-44,0.002710351967272167,95463.6310698926,258.74004027322775,95334.26104975598,3549858.9877473502,37.18545950916493
44-45,0.002936333652908476,95204.89102961936,279.55332545175565,95065.11436689348,3454524.7266975944,36.285160240589434
45-46,0.003181275265980781,94925.33770416761,301.9836289531413,94774.34588969105,3359459.6123307007,35.390546861159144
46-47,0.0034467040004559635,94623.35407521448,326.1386930276028,94460.28472870067,3264685.2664410095,34.50189753204021
47-48,0.003734283530746187,94297.21538218687,352.13253839692646,94121.14911298841,3170224.9817123087,33.61949734001559
