x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01021404833716992,100000.0,1021.404833716992,99489.29758314151,7387616.0019,73.876160019
1-2,0.0008894029240343753,98978.595166283,88.03185195770679,98934.57924030416,7288126.704316858,73.63336175940749
2-3,0.0006007413108588278,98890.56331432529,59.40764663701569,98860.85949100679,7189192.125076554,72.69846468793577
3-4,0.0004583081181443232,98831.15566768828,45.29512096808688,98808.50810720424,7090331.265585547,71.74186335962932
4-5,0.00035761981867638953,98785.86054672019,35.32778153650918,98768.19665595194,6991522.757478343,70.77452905491211
5-6,0.0002958122975586543,98750.53276518367,29.211621982410154,98735.92695419246,6892754.560822391,69.79966961001105
6-7,0.00025859027322026255,98721.32114320126,25.528373407085695,98708.55695649772,6794018.633868199,68.82017537035452
7-8,0.0002336249507380789,98695.79276979418,23.05779972389881,98684.26386993223,6695310.076911701,67.83784687284866
8-9,0.00021182407315683966,98672.73497007028,20.901260630885616,98662.28433975483,6596625.813041769,66.85358235020726
9-10,0.00019261073583703582,98651.8337094394,19.001402282448016,98642.33300829817,6497963.528702014,65.86764061416797
10-11,0.00018455582455719692,98632.83230715695,18.203263694859082,98623.73067530952,6399321.195693716,64.88023354906105
11-12,0.00020462152732669806,98614.62904346209,20.17867601162897,98604.53970545628,6300697.4650184065,63.89211748939928
12-13,0.0002727869553932281,98594.45036745047,26.89527993440555,98581.00272748327,6202092.92531295,62.905091536069676
13-14,0.0003965008170128119,98567.55508751606,39.08211612315546,98548.01402945448,6103511.922585467,61.922119475990726
14-15,0.0005537440215187873,98528.4729713929,54.55955285728424,98501.19319496426,6004963.908556012,60.946483056725285
15-16,0.0007211971700535029,98473.91341853561,71.01910768154154,98438.40386469483,5906462.7153610485,59.97997348046171
16-17,0.0008745659617311539,98402.89431085407,86.05982190010118,98359.86439990402,5808024.311496354,59.022901228380995
17-18,0.001005646272333074,98316.83448895397,98.87195811140438,98267.39850989827,5709664.447096449,58.074128167114026
18-19,0.0011083419067764969,98217.96253084257,108.85908387113659,98163.53298890701,5611397.048586551,57.132085659223996
19-20,0.001191379541828812,98109.10344697144,116.88517871388835,98050.6608576145,5513233.515597644,56.19492301830666
20-21,0.0012768936148288038,97992.21826825755,125.12563780964854,97929.65544935272,5415182.85474003,55.26135595701849
21-22,0.001376498252089392,97867.0926304479,134.71388194288215,97799.73568947647,5317253.199290677,54.33136978298669
22-23,0.0014565453818569918,97732.37874850503,142.35164492403342,97661.20292604301,5219453.463601201,53.405570706842546
23-24,0.0015114364042873082,97590.027103581,147.5011196597374,97516.27654375113,5121792.260675157,52.48274247571366
24-25,0.0015474285265057862,97442.52598392127,150.78534440230106,97367.13331172011,5024275.984131406,51.56143001629954
25-26,0.0015713866416602598,97291.74063951896,152.88294158481472,97215.29916872656,4926908.8508196855,50.64056638758936
26-27,0.0015787509687130814,97138.85769793415,153.3580656902957,97062.178665089,4829693.551650959,49.71948060856878
27-28,0.001586224830502708,96985.49963224385,153.84080771537646,96908.57922838617,4732631.37298587,48.797308782564194
28-29,0.0015989137720554413,96831.65882452848,154.82547286551238,96754.24608809572,4635722.793757483,47.87404088737149
29-30,0.0016198448205016942,96676.83335166296,156.6014677671967,96598.53261777936,4538968.547669387,46.949909200675236
30-31,0.0016509140957759007,96520.23188389577,159.34661134468206,96440.55857822343,4442370.015051608,46.025272923042046
31-32,0.001693403629001399,96360.8852725511,163.17787281432547,96279.29633614393,4345929.456473385,45.100555522930065
32-33,0.00174879031288168,96197.70739973677,168.22961882208597,96113.59259032573,4249650.160137241,44.176210379717105
33-34,0.0018180460617044075,96029.47778091469,174.58601388712285,95942.18477397112,4153536.5675469153,43.25272472087114
34-35,0.0019025352476862915,95854.89176702757,182.36731024992446,95763.70811190261,4057594.382772944,42.330592711270334
35-36,0.0020036064269251387,95672.52445677764,191.6900848817522,95576.67941433676,3961830.6746610412,41.41032858865236
36-37,0.002122302446442434,95480.8343718959,202.6392083758395,95379.51476770798,3866253.9952467047,40.49246134766402
37-38,0.0022591990137323867,95278.19516352005,215.25240454362637,95170.56896124824,3770874.480478997,39.57751796208229
38-39,0.002415088831308547,95062.94275897642,229.58545132852765,94948.15003331217,3675703.9115177486,38.666001754618165
39-40,0.0025906592456343375,94833.3573076479,245.6809139036027,94710.51685069609,3580755.761484436,37.75839918719891
40-41,0.0027867248922651905,94587.67639374429,263.58983230797173,94455.8814775903,3486045.2446337403,36.85517371335168
41-42,0.00300407160162466,94324.08656143631,283.356309788397,94182.40840654212,3391589.36315615,35.95676869817444
42-43,0.0032436551160285932,94040.73025164791,305.0356957958226,93888.21240375,3297406.954749608,35.06360431193936
43-44,0.0035065857219063645,93735.69455585208,328.69224816252705,93571.34843177082,3203518.742345858,34.1760815612995
44-45,0.0037944522934171424,93407.00230768956,354.42841412763295,93229.78810062574,3109947.393914087,33.29458517113836
45-46,0.004108811562828034,93052.57389356193,382.33549156477727,92861.40614777955,3016717.6058134614,32.419496630626575
46-47,0.0044521822753323115,92670.23840199715,412.5847928641914,92463.94600556506,2923856.199665682,31.5511889262893
47-48,0.004827809262748848,92257.65360913296,445.40235465364674,92034.95243180614,2831392.253660117,30.690052726203582
48-49,0.005239105831877091,91812.25125447931,481.0141009851073,91571.74420398676,2739357.3012283104,29.83651161799241
49-50,0.005688506021544375,91331.2371534942,519.5382925027492,91071.46800724283,2647785.557024324,28.991018183344767
50-51,0.006178585893544138,90811.69886099146,561.0878815513001,90531.1549202158,2556714.089017081,28.154016730055123
51-52,0.006710646865169262,90250.61097944016,605.6399796487907,89947.79098961577,2466182.9340968654,27.32594170092303
52-53,0.007285866392266955,89644.97099979136,653.1412814431256,89318.4003590698,2376235.1431072494,26.507177330815132
53-54,0.007905244790672493,88991.82971834824,703.502198293386,88640.07861920154,2286916.7427481795,25.698052843570938
54-55,0.008572122268472489,88288.32752005485,756.8183383808547,87909.91835086442,2198276.664128978,24.89883686639817
55-56,0.009291470045191423,87531.509181674,813.2963955719221,87124.86098388804,2110366.7457781136,24.109795038469983
56-57,0.010070308271631486,86718.21278610209,873.2791355209831,86281.5732183416,2023241.8847942255,23.331222124984578
57-58,0.010915144145144825,85844.93365058111,937.0098249264863,85376.42873811786,1936960.3115758838,22.563478462922337
58-59,0.011835145670903604,84907.92382565462,1004.8976470906092,84405.47500210932,1851583.8828377659,21.806962170453122
59-60,0.01283628909190384,83903.02617856402,1077.0034997136236,83364.52442870721,1767178.4078356565,21.06215339688361
60-61,0.013921615306017964,82826.0226788504,1153.0720250624747,82249.48666631915,1683813.8834069492,20.329527230056293
61-62,0.015093211773591311,81672.95065378792,1232.707140391694,81056.59708359207,1601564.39674063,19.609483726499246
62-63,0.016356782505279166,80440.24351339623,1315.7435678203153,79782.37172948607,1520507.799657038,18.90232715921376
63-64,0.01771582271557272,79124.49994557591,1401.7556134941663,78423.62213882882,1440725.4279275518,18.208335331263058
64-65,0.019177233470449095,77722.74433208174,1490.5072140203556,76977.49072507156,1362301.805788723,17.527711064448397
65-66,0.0207511505048044,76232.23711806138,1581.9066257548282,75441.28380518396,1285324.3150636514,16.860640113093638
66-67,0.02236766265625334,74650.33049230656,1669.7534096297354,73815.45378749169,1209883.0312584674,16.207336568766532
67-68,0.02420810924601335,72980.57708267683,1766.721782854539,72097.21619124956,1136067.5774709757,15.566711348198432
68-69,0.02619750381235931,71213.85529982229,1865.6252457098985,70281.04267696734,1063970.361279726,14.940496576125982
69-70,0.02834664782306463,69348.23005411238,1965.78985449679,68365.335126864,993689.3186027587,14.328978804900766
70-71,0.03066816311498796,67382.4401996156,2066.4956671277328,66349.19236605172,925323.9834758947,13.732420208212844
71-72,0.03316699403189394,65315.94453248786,2166.3335424965403,64232.777761239595,858974.791109843,13.1510735588091
72-73,0.03584317723119242,63149.61098999132,2263.4826987951155,62017.869640593766,794742.0133486034,12.585065860097908
73-74,0.03869498739838893,60886.128291196204,2355.987966964529,59708.13430771394,732724.1437080096,12.034336297483994
74-75,0.04173128739739645,58530.140324231674,2442.538107280455,57308.871270591444,673016.0094002957,11.498622857763161
75-76,0.04495714760966854,56087.60221695122,2521.5386119398486,54826.8329109813,615707.1381297043,10.977597789759331
76-77,0.04840803313615143,53566.063605011375,2593.0277819645858,52269.54971402908,560880.305218723,10.470814308002462
77-78,0.052128323858176,50973.03582304679,2657.1389194181897,49644.4663633377,508610.75550469395,9.978035392483575
78-79,0.056162577271784024,48315.8969036286,2713.5452933055917,46959.1242569758,458966.28914135625,9.499281159093771
79-80,0.0605152921580499,45602.35161032301,2759.639630792814,44222.5317949266,412007.1648843804,9.034778916776615
80-81,0.06583566339566746,42842.71197953019,2820.5783648418796,41432.422797109255,367784.6330894538,8.584532026478097
81-82,0.07111898210326092,40022.13361468831,2846.3334042773354,38598.966912549644,326352.21029234456,8.15429315773839
82-83,0.07678850045445862,37175.80021041098,2854.673951352006,35748.463234734976,287753.24337979493,7.740337578509217
83-84,0.0828662973696717,34321.12625905897,2844.0646546452285,32899.09393173635,252004.78014505995,7.34255566798435
84-85,0.08937472927611424,31477.06160441374,2813.253859302048,30070.434674762713,219105.6862133236,6.960804949550959
85-86,0.09633626006531917,28663.80774511169,2761.36403739539,27283.125726413997,189035.2515385609,6.594910669912613
86-87,0.10377326285493924,25902.443707716302,2687.9810994661107,24558.453157983247,161752.1258121469,6.244666628267246
87-88,0.1117077924847927,23214.462608250193,2593.236371688392,21917.844422405997,137193.67265416365,5.9098362503298425
88-89,0.12016132826492569,20621.2262365618,2477.8739350368005,19382.289269043402,115275.82823175765,5.5901538981892145
89-90,0.12915448723102865,18143.352301525,2343.295363155365,16971.704619947315,95893.53896271426,5.285326403249863
90-91,0.13870670905264976,15800.056938369635,2191.573900765737,14704.269987986767,78921.83434276695,4.995034805925875
91-92,0.14883591477700103,13608.483037603897,2025.4310216290778,12595.76752678936,64217.56435478018,4.718936282415151
92-93,0.159558142760426,11583.05201597482,1848.1702671663506,10658.966882391644,51621.796827990824,4.456666235876035
93-94,0.17088716641378857,9734.88174880847,1663.566357427186,8903.098570094877,40962.82994559918,4.207840526733974
94-95,0.18283409972737796,8071.315391381284,1475.7116831989263,7333.459549781821,32059.731375504303,3.9720578147321985
95-96,0.19540699789256233,6595.603708182358,1288.8271199049664,5951.1901482298745,24726.271825722484,3.7489019837634614
96-97,0.2086104616363255,5306.776588277392,1107.0491138813911,4753.252031336697,18775.08167749261,3.5379446195203594
97-98,0.2224452550558579,4199.727474396001,934.2094492071124,3732.6227497924447,14021.829646155913,3.338747509604183
98-99,0.23690794770195017,3265.5180251888883,773.6271735312248,2878.704438423276,10289.206896363468,3.1508651359437243
