x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005978143622712463,100000.0,597.8143622712463,99701.09281886437,7912610.8757,79.126108757
1-2,0.0005433195185224254,99402.18563772875,54.007147640767535,99375.18206390836,7812909.782881135,78.59897378268204
2-3,0.0004614788804995893,99348.17849008799,45.84708618927918,99325.25494699334,7713534.600817227,77.64142954655993
3-4,0.00035201927714794025,99302.3314038987,34.95633491990563,99284.85323643875,7614209.345870233,76.67704512294353
4-5,0.0002763890355234279,99267.3750689788,27.43641405425742,99253.65686195168,7514924.492633794,75.70387035430153
5-6,0.0002309565451480207,99239.93865492454,22.920113372442884,99228.47859823832,7415670.835771843,74.72466162597591
6-7,0.00020404607201769223,99217.0185415521,20.244842910710243,99206.89612009675,7316442.357173605,73.74180825751661
7-8,0.00018580510213022207,99196.77369864138,18.431266668064588,99187.55806530734,7217235.461053508,72.75675601082938
8-9,0.00016862897671754822,99178.34243197332,16.724342396846254,99169.9802607749,7118047.902988201,71.77018417978188
9-10,0.00015168527857884446,99161.61808957647,15.041357664246389,99154.09741074435,7018877.9227274265,70.78220442497224
10-11,0.00014121394380956723,99146.57673191222,14.000879115531198,99139.57629235445,6919723.825316682,69.79286681805765
11-12,0.00014958660107061098,99132.5758527967,14.828905077194383,99125.1614002581,6820584.249024328,68.80265331904928
12-13,0.00019130381560448207,99117.7469477195,18.961603185218248,99108.26614612689,6721459.087624069,67.81287200938255
13-14,0.0002720297477691915,99098.78534453428,26.95781758150691,99085.30643574352,6622350.821477942,66.82575168256786
14-15,0.0003754298844661392,99071.82752695277,37.19452476229315,99053.23026457163,6523265.515042199,65.843799169522
15-16,0.0004797317149048966,99034.63300219047,47.510054325117906,99010.8779750279,6424212.284777627,64.86834039800536
16-17,0.0005506469333056203,98987.12294786535,54.50695568798845,98959.86947002137,6325201.406802599,63.89923475333214
17-18,0.0005862103746293016,98932.61599217737,57.99532588383113,98903.61832923545,6226241.537332578,62.934164581525756
18-19,0.000602684318588294,98874.62066629353,59.590183381941166,98844.82557460255,6127337.919003342,61.970785604158166
19-20,0.0006233591504418404,98815.03048291159,61.59725345271233,98784.23185618523,6028493.093428739,61.007855424092256
20-21,0.0006508399999532601,98753.43322945888,64.2726844784453,98721.29688721967,5929708.861572554,60.04559707604857
21-22,0.0006708839352335513,98689.16054498043,66.2089723913122,98656.05605878477,5830987.564685334,59.084376971954214
22-23,0.00068528691139516,98622.95157258913,67.58501787585404,98589.1590636512,5732331.5086265495,58.1237066749863
23-24,0.0006961206325371717,98555.36655471327,68.60642410599982,98521.06334266027,5633742.349562898,57.16322252665269
24-25,0.0007054888970514766,98486.76013060728,69.48131577871547,98452.01947271792,5535221.286220238,56.20269444217433
25-26,0.0007153604145324498,98417.27881482856,70.40382537013144,98382.0769021435,5436769.266747519,55.24201981825532
26-27,0.0007274725250383183,98346.87498945843,71.54464947820917,98311.10266471932,5338387.189845376,54.281208126008934
27-28,0.0007432920740387105,98275.33033998022,73.04727411524331,98238.80670292261,5240076.087180656,53.3203609598949
28-29,0.0007640173497903833,98202.28306586498,75.02824805134719,98164.7689418393,5141837.280477733,52.35965111960856
29-30,0.0007906061434098348,98127.25481781363,77.58001049490576,98088.46481256618,5043672.511535894,51.39930308760952
30-31,0.0008238178099196237,98049.67480731873,80.77506836309662,98009.28727313719,4945584.046723328,50.43957622951926
31-32,0.000864260467316406,97968.89973895563,84.67064707086392,97926.5644154202,4847574.759450191,49.48075126256253
32-33,0.0009124374759666236,97884.22909188477,89.31323892953809,97839.57247242,4749648.19503477,48.523120007169226
33-34,0.0009687897803391432,97794.91585295524,94.7427150474695,97747.5444954315,4651808.622562351,47.566978119361806
34-35,0.0010337324969820448,97700.17313790777,100.9958439334275,97649.67521594105,4554061.078066919,46.61262034447653
35-36,0.0011076853536886137,97599.17729397434,108.10917922059369,97545.12270436404,4456411.402850978,45.660337785717296
36-37,0.0011910973365214267,97491.06811475374,116.12135156611217,97433.00743897069,4358866.280146614,44.710416702132406
37-38,0.001284466305492923,97374.94676318763,125.07483811648169,97312.4093441294,4261433.272707643,43.76313840839673
38-39,0.0013883545053413428,97249.87192507114,135.0172978310411,97182.36327615562,4164120.8633635137,42.81877992160109
39-40,0.0015034009125049462,97114.8546272401,146.00256106437797,97041.85334670791,4066938.500087358,41.877615074415274
40-41,0.001630331287881405,96968.85206617572,158.0913534734297,96889.806389439,3969896.6467406503,40.939915881766055
41-42,0.0017699666920553679,96810.7607127023,171.35182189402545,96725.08480175528,3873006.8403512114,40.0059540059274
42-43,0.0019232310942754538,96639.40889080826,185.8599161112022,96546.47893275267,3776281.755549456,39.076002211646724
43-44,0.0020911585857065493,96453.54897469706,201.69966706030488,96352.6991411669,3679735.2766167033,38.15033573914444
