x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007677354638206241,100000.0,767.7354638206241,99616.13226808968,7224584.1451,72.245841451
1-2,0.0008615288541388162,99232.26453617937,85.4914591594545,99189.51880659965,7124968.0128319105,71.80092126421441
2-3,0.000668945243048171,99146.77307701991,66.32376221344894,99113.61119591318,7025778.4940253105,70.8624020326662
3-4,0.00048689683268813064,99080.44931480646,48.24195695269613,99056.32833633012,6926664.882829397,69.90950213418425
4-5,0.00037502740058329445,99032.20735785377,37.139791299441704,99013.63746220405,6827608.554493067,68.94331386375588
5-6,0.00031730499052358066,98995.06756655432,31.411628976086746,98979.36175206628,6728594.9170308625,67.96899161170057
6-7,0.0002884825775732411,98963.65593757824,28.549290550943955,98949.38129230277,6629615.555278797,66.99040665454453
7-8,0.00026753079786421657,98935.10664702729,26.46818801806057,98921.87255301826,6530666.173986494,66.00959351351466
8-9,0.00023902303517656662,98908.63845900923,23.641442969654076,98896.81773752441,6431744.301433476,65.02712403729011
9-10,0.0002035025601332997,98884.99701603958,20.123350051537756,98874.9353410138,6332847.483695951,64.04255119377449
10-11,0.00017826721539648563,98864.87366598804,17.62436572896103,98856.06148312356,6233972.548354938,63.05548489766167
11-12,0.00019534450601143988,98847.24930025908,19.309267085148758,98837.5946667165,6135116.486871814,62.06663847807988
12-13,0.0002918582440152724,98827.94003317393,28.843749037728784,98813.51815865506,6036278.892205098,61.07866753246985
13-14,0.0004832044747187176,98799.0962841362,47.74016542266004,98775.22620142487,5937465.374046443,60.09635307767283
14-15,0.0007315125969293003,98751.35611871355,72.2378609646903,98715.2371882312,5838690.147845018,59.12516422383162
15-16,0.000999402512750563,98679.11825774887,98.62015874280418,98629.80817837747,5739974.9106567865,58.1680806638749
16-17,0.0012361091790791157,98580.49809900606,121.8562585783727,98519.56996971687,5641345.102478409,57.22577194540761
17-18,0.001415618335472289,98458.64184042769,139.37985867500853,98388.95191109019,5542825.532508693,56.29597797511743
18-19,0.0015192550802228845,98319.26198175269,149.37203824954247,98244.57596262792,5444436.580597603,55.375075756854734
19-20,0.0015673842260613257,98169.88994350315,153.8699369716232,98092.95497501733,5346192.0046349745,54.45857184633407
20-21,0.00160430564377723,98016.02000653153,157.24765407706042,97937.396179493,5248099.049659957,53.54327842846749
21-22,0.0016503262456845252,97858.77235245447,161.4989003837228,97778.02290226262,5150161.653480465,52.62851280140027
22-23,0.0016842739885046256,97697.27345207075,164.54897642314626,97614.99896385917,5052383.630578202,51.714684064922736
23-24,0.0017080199948187927,97532.7244756476,166.58784355355834,97449.43055387081,4954768.631614343,50.80108915496841
24-25,0.0017239264203692695,97366.13663209404,167.85205538935108,97282.21060439937,4857319.201060472,49.887151417070726
25-26,0.0017399851239019626,97198.2845767047,169.12356923225573,97113.72279208856,4760036.990456073,48.97243826046803
26-27,0.0017579121981602481,97029.16100747244,170.5687457122905,96943.8766346163,4662923.267663984,48.056926590397715
27-28,0.0017647854363567472,96858.59226176016,170.93463300957066,96773.12494525537,4565979.391029367,47.14067471360534
28-29,0.0017625151347990344,96687.65762875059,170.41345991894025,96602.45089879112,4469206.266084112,46.22313101476119
29-30,0.0017617420830829812,96517.24416883165,170.03849079542618,96432.22492343394,4372603.8151853215,45.303861013028886
30-31,0.0017641055497562101,96347.20567803622,169.96664024012674,96262.22235791615,4276171.590261888,44.38293316519822
31-32,0.0017876913947939797,96177.2390377961,171.9352226029117,96091.27142649464,4179909.3679039716,43.46048409916752
32-33,0.0018487767290523121,96005.30381519318,177.49237155912633,95916.55762941363,4083818.096477477,42.53742172764416
33-34,0.001945722788624817,95827.81144363405,186.45435650992079,95734.58426537909,3987901.5388480634,41.61528348368624
34-35,0.0020601800628366404,95641.35708712414,197.03841705353298,95542.83787859738,3892166.954582684,40.6954383869431
35-36,0.0021773998840385247,95444.3186700706,207.82044840434773,95340.40844586842,3796624.116704087,39.77841918310671
36-37,0.002297240383305506,95236.49822166625,218.78112967941473,95127.10765682654,3701283.708258218,38.864130636590104
37-38,0.002428173887968087,95017.71709198684,230.71953953710144,94902.35732221829,3606156.6006013914,37.95246519246788
38-39,0.002574407433482177,94786.99755244974,244.02035109648355,94664.9873769015,3511254.243279173,37.04362764878426
39-40,0.002739572161192724,94542.97720135326,259.0073083771058,94413.47354716471,3416589.2559022717,36.1379486561522
40-41,0.002926575804765785,94283.96989297615,275.92918506604974,94146.00530044312,3322175.782355107,35.23584959485884
41-42,0.0031610903068127983,94008.0407079101,297.16790624423754,93859.45675478799,3228029.7770546637,34.337805072274506
42-43,0.003421166370369877,93710.87280166586,320.6004865670684,93550.57255838232,3134170.320299876,33.44510862611624
43-44,0.0037082869435918894,93390.27231509879,346.31792748457195,93217.1133513565,3040619.7477414934,32.55820624960212
44-45,0.004024170156365772,93043.95438761421,374.4247044768953,92856.74203537576,2947402.6343901367,31.677529763099663
45-46,0.004370780741276633,92669.52968313731,405.0381956422199,92467.01058531621,2854545.892354761,30.80350037509892
46-47,0.004750340854539883,92264.49148749509,438.2877833363952,92045.3475958269,2762078.881769445,29.936531782043133
47-48,0.005165341222789576,91826.2037041587,474.3136753253638,91589.04686649602,2670033.534173618,29.07703276916255
48-49,0.005618553280452318,91351.89002883334,513.2654613970209,91095.25729813483,2578444.487307122,28.225409310013063
49-50,0.006113042760863196,90838.62456743632,555.3003963187363,90560.97436927696,2487349.2300089872,27.382066184439434
50-51,0.006652185053094788,90283.32417111758,600.5813795948197,89983.03348132016,2396788.2556397105,26.547408147012646
51-52,0.007239682525829956,89682.74279152276,649.2745858562897,89358.10549859461,2306805.22215839,25.721840683673207
52-53,0.007879583940194754,89033.46820566648,701.5466862132098,88682.69486255987,2217447.1166597954,24.905770395661925
53-54,0.008576306017046332,88331.92151945326,757.5615900245514,87953.14072444098,2128764.4217972355,24.099605048537516
54-55,0.009334657183820757,87574.35992942871,817.4766280337464,87165.62161541184,2040811.2810727945,23.30375332137592
55-56,0.010159863495969198,86756.88330139496,881.4380916779023,86316.16425555601,1953645.6594573825,22.518624287947073
56-57,0.011057596703630001,85875.44520971706,949.5760398737261,85400.65718978019,1867329.4952018266,21.744626658314345
57-58,0.012034004411794398,84925.86916984332,1021.9982842653684,84414.87002771064,1781928.8380120464,20.982167806235402
58-59,0.013095742258839424,83903.87088557796,1098.78346763647,83354.47915175972,1697513.9679843357,20.231652605149563
59-60,0.01425000801147988,82805.08741794148,1179.973159096958,82215.100838393,1614159.488832576,19.493482093502795
60-61,0.015504577441873012,81625.11425884452,1265.562905227988,80992.33280623052,1531944.387994183,18.76805198870749
61-62,0.01686784181300434,80359.55135361654,1355.4922003968024,79681.80525341813,1450952.0551879525,18.055751068135514
62-63,0.018348846749965304,79004.05915321973,1449.6333740276225,78279.24246620592,1371270.2499345343,17.35695943514884
63-64,0.01995733221578111,77554.42577919211,1547.7794400794758,76780.53605915238,1292991.0074683283,16.67204668821413
64-65,0.021703773239601515,76006.64633911263,1649.6310168466891,75181.83083068929,1216210.471409176,16.001370011550165
65-66,0.023599420960913976,74357.01532226594,1754.7825059872846,73479.62406927231,1141028.6405784867,15.345272206438466
66-67,0.025656343454621557,72602.23281627866,1862.7078207068414,71670.87890592523,1067549.0165092144,14.704079683205718
67-68,0.027887465687085815,70739.52499557182,1972.7460760347585,69753.15195755444,995878.1376032892,14.07810043487894
68-69,0.03030660782145576,68766.77891953706,2084.087799859161,67724.73501960747,926124.9856457348,13.467622014539598
69-70,0.032928520940928456,66682.6911196779,2195.7623909317776,65584.80992421201,858400.2506261274,12.872909539381435
70-71,0.03576891909053467,64486.92872874612,2306.627736095596,63333.61486069832,792815.4407019153,12.294203745332108
71-72,0.03884450635165001,62180.300992650526,2415.3630968565226,60972.61944422226,729481.825841217,11.731719116757555
72-73,0.042172997459504584,59764.937895794006,2520.46657404677,58504.70460877062,668509.2063969946,11.185642116161914
73-74,0.04577313025425432,57244.47132174724,2620.2586421462624,55934.34200067411,610004.501788224,10.656129538862254
74-75,0.049664668023742,54624.212679600976,2712.8933887906605,53267.765985205646,554070.1597875499,10.143307017301202
75-76,0.05386838955554764,51911.319290810316,2796.379169899785,50513.129705860425,500802.3938023442,9.6472676989159
76-77,0.05840606447391677,49114.94012091053,2868.6103593344615,47680.6349412433,450289.2640964838,9.168071120273536
77-78,0.06330041120262024,46246.32976157607,2927.4116905197398,44782.623916316195,402608.62915524055,8.705742298489369
78-79,0.06857503467943112,43318.91807105633,2970.5963089981233,41833.61991655727,357826.00523892435,8.260271058754972
79-80,0.07425434076650929,40348.32176205821,2996.038033476633,38850.30274531989,315992.3853223671,7.831611614129449
80-81,0.08036342417172816,37352.28372858158,3001.7574210627413,35851.40501805021,277142.0825770472,7.419682410609367
81-82,0.08692792664058878,34350.526307518834,2986.020030925612,32857.516292056025,241290.67755899695,7.024366246935259
82-83,0.09397386222203032,31364.506276593223,2947.4437914985765,29890.784380843936,208433.16126694094,6.645510674672757
83-84,0.10152740658250388,28417.062485094648,2885.1106568046225,26974.507156692336,178542.37688609702,6.28292867989949
84-85,0.10961464767185372,25531.951828290024,2798.6759040327524,24132.61387627365,151567.8697294047,5.936399643424981
85-86,0.11826129556369779,22733.275924257272,2688.466663209684,21389.04259265243,127435.25585313104,5.605670571972109
86-87,0.12749235003328702,20044.809261047587,2555.559838659952,18767.02934171761,106046.2132604786,5.2904575882672376
87-88,0.13733172542514102,17489.249422387635,2401.828799567145,16288.335022604062,87279.18391876099,4.990447663639394
88-89,0.14780183362250737,15087.42062282049,2229.9484326869006,13972.44640647704,70990.84889615692,4.705300572635966
89-90,0.15892312747180207,12857.472190133589,2043.3496918377505,11835.797344214714,57018.40248967988,4.434651045439085
90-91,0.17071360883364556,10814.12249829584,1846.1178780532018,9891.063559269238,45182.60514546517,4.178111090621115
91-92,0.18318830750415852,8968.004620242638,1642.8335880717227,8146.587826206777,35291.54158619593,3.935272458104631
92-93,0.19635873952768151,7325.171032170915,1438.3613507017667,6605.990356820032,27144.953759989156,3.7057092101703972
93-94,0.21023235582860536,5886.809681469149,1237.597867649901,5268.010747644198,20538.963403169124,3.4889803670437827
94-95,0.22481199451839054,4649.211813819248,1045.1985808031693,4126.612523417663,15270.952655524925,3.284632593020127
95=96,0.24009535254605954,3604.0132330160786,865.3068277616593,3171.359819135249,11144.340132107262,3.0922028892721167
96-97,0.2560744943906373,2738.706405254419,701.3128580099252,2388.0499762494564,7972.980312972013,2.911221260400617
97-98,0.27273541705539806,2037.3935472444941,555.6693788137039,1759.558857837642,5584.930336722557,2.741213323403319
98-99,0.2900576915200693,1481.72416843079,429.78549176452935,1266.8314225485253,3825.3714788849147,2.581702829978233
99-100,0.3080142008479293,1051.9386766662608,324.0120508343866,889.9326512490675,2558.540056336389,2.4322140758668143
100-101,0.32657099416495733,727.9266258318742,237.71972187705805,609.0667648933452,1668.6074050873217,2.292274174173033
101-102,0.3456872736092544,490.2069039548161,169.45828813257398,405.4777598885291,1059.5406401939765,2.1614151731564304
102-103,0.3653155280403422,320.7486158222421,117.17444995731121,262.16139084358645,654.0628803054474,2.039176002766999
103-104,0.38540182283539465,203.57416586493085,78.45785460653933,164.34523856166118,391.90148946186093,1.9251042380391388
104-105,0.405886249617608,125.11631125839152,50.78299034265784,99.7248160870626,227.55625090019976,1.818757671253976
105-106,0.42670353349752127,74.33332091573368,31.718290691348766,58.474175570059295,127.83143481313715,1.7197056883554338
106-107,0.44778378869245333,42.61503022438492,19.08231968911849,33.07387037982567,69.35725924307786,1.6275304482452453
107-108,0.4690534066279039,23.53271053526643,11.038098043755083,18.013661513388886,36.28338886325219,1.5418278658923472
108-109,0.4904360542667435,12.494612491511345,6.12780844992879,9.43070826654695,18.269727349863306,1.4622084008027851
109-110,0.511853754909507,6.366804041582555,3.258872555457056,4.737367763854027,8.839019083316355,1.3882976491167927
