x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.014628764786571795,100000.0,1462.8764786571794,99268.56176067141,7449588.6838,74.495886838
1-2,0.0010964935625641843,98537.12352134282,108.04532161474427,98483.10086053544,7350320.122039328,74.59442552579966
2-3,0.0004068632566400092,98429.07819972807,40.0471753044155,98409.05461207587,7251837.021178793,73.67575876778685
3-4,0.0003340927111829521,98389.03102442366,32.87105812561329,98372.59549536086,7153427.966566717,72.7055434135842
4-5,0.00028372442145558425,98356.15996629804,27.90604458303081,98342.20694400652,7055055.371071356,71.72967482147317
5-6,0.00025246518098396604,98328.25392171502,24.82446042218315,98315.84169150393,6956713.16412735,70.74989015533626
6-7,0.00023456729192329747,98303.42946129284,23.058769235508358,98291.90007667508,6858397.322435846,69.76763028533357
7-8,0.0002235694473516509,98280.37069205733,21.972488161138646,98269.38444797676,6760105.42235917,68.78388201791243
8-9,0.00021566657662552103,98258.3982038962,21.191052365341537,98247.80267771352,6661836.037911193,67.79915162149503
9-10,0.00021029543515422596,98237.20715153086,20.65883622626702,98226.87773341773,6563588.23523348,66.81366893003327
10-11,0.00021028824895695305,98216.5483153046,20.65378596382138,98206.22142232268,6465361.357500062,65.82761732518142
11-12,0.00022173475347173237,98195.89452934077,21.77344246539961,98185.00780810807,6367155.136077739,64.84135784490708
12-13,0.0002525603862779606,98174.12108687537,24.79489394420052,98161.72363990327,6268970.128269631,63.85562772415503
13-14,0.00030744820274477403,98149.32619293117,30.175833938627264,98134.23827596186,6170808.404629728,62.87163288823634
14-15,0.00038030960641567446,98119.15035899254,37.31565545486884,98100.4925312651,6072674.166353766,61.890814832124256
15-16,0.00046535707054635837,98081.83470353768,45.64307527145044,98059.01316590195,5974573.673822501,60.91417123141362
16-17,0.000549725143306503,98036.19162826623,53.89295949207244,98009.24514852019,5876514.660656598,59.94229848237246
17-18,0.000621839744094938,97982.29866877415,60.929287530024304,97951.83402500914,5778505.415508078,58.97499338163234
18-19,0.0006722561246765227,97921.36938124412,65.82824030325348,97888.45526109249,5680553.581483069,58.01137808200549
19-20,0.0007051755360421807,97855.54114094087,69.00533367876065,97821.03847410149,5582665.126221976,57.050066466663246
20-21,0.0007407493674332567,97786.5358072621,72.43531454271891,97750.31814999074,5484844.087747875,56.08997233073619
21-22,0.0007812430956315783,97714.10049271939,76.33846635578723,97675.9312595415,5387093.769597884,55.13118109294035
22-23,0.0008069943046727107,97637.7620263636,78.79311787626489,97598.36546742548,5289417.8383383425,54.173894695682634
23-24,0.0008132557893471495,97558.96890848734,79.3403962675659,97519.29871035356,5191819.472870917,53.21724420581944
24-25,0.0008082507434730412,97479.62851221977,78.7879822184775,97440.23452111053,5094300.174160563,52.26015170464007
25-26,0.0007987601204610265,97400.8405300013,77.79990711474906,97361.94057644393,4996859.939639453,51.302020726405594
26-27,0.0008019435523030106,97323.04062288655,78.04758491804785,97284.01683042753,4899497.999063008,50.342631793101205
27-28,0.0008331031515689014,97244.9930379685,81.01511017422743,97204.48548288138,4802213.982232581,49.38263485049144
28-29,0.0009032160746707676,97163.97792779427,87.76006674333945,97120.09789442261,4705009.496749699,48.423393083454705
29-30,0.0010062186818658484,97076.21786105093,97.6799039766686,97027.37790906259,4607889.398855276,47.466717393653845
30-31,0.0011350770625274086,96978.53795707427,110.07811399251865,96923.498900078,4510862.020946214,46.51402378269368
31-32,0.001271033721077243,96868.45984308174,123.12307896937368,96806.89830359706,4413938.522046136,45.566312597478294
32-33,0.0013985348260181533,96745.33676411236,135.30172271946554,96677.68590275262,4317131.6237425385,44.62366629896291
33-34,0.0015039363380435476,96610.0350413929,145.29534231841126,96537.38737023369,4220453.937839786,43.68546120526214
34-35,0.0015988977289874105,96464.73969907449,154.2372532322119,96387.62107245838,4123916.5504695517,42.750507214701145
35-36,0.0016806546722050863,96310.50244584227,161.8646959180242,96229.57009788326,4027528.929397093,41.818169640033496
36-37,0.0018229057554105216,96148.63774992425,175.26990512921824,96061.00279735964,3931299.35929921,40.887728118668086
37-38,0.0020339793345034132,95973.36784479504,195.2078468590075,95875.76392136553,3835238.3565018503,39.96148559362918
38-39,0.0022866779235169703,95778.15999793603,219.0138040223565,95668.65309592485,3739362.5925804847,39.04191302757399
39-40,0.002520290605783587,95559.14619391368,240.83681844922106,95438.72778468906,3643693.93948456,38.13024796277044
40-41,0.00270288495539024,95318.30937546445,257.6344243841753,95189.49216327236,3548255.211699871,37.22532674937702
41-42,0.0029294136166981137,95060.67495108028,278.47203561420787,94921.43893327317,3453065.7195365983,36.32486010975201
42-43,0.0031748674818010527,94782.20291546607,300.92093388978213,94631.74244852118,3358144.280603325,35.43011427576094
43-44,0.0034408169902646864,94481.28198157629,325.0928003041965,94318.73558142419,3263512.5381548037,34.54136596909411
44-45,0.003728961111136093,94156.1891812721,351.1047678297366,93980.63679735723,3169193.8025733796,33.6589004942836
45-46,0.004041137512270179,93805.08441344237,379.0792454648326,93615.54479070996,3075213.1657760222,32.7830115500151
46-47,0.004379333494061949,93426.00516797754,409.1436336485288,93221.43335115327,2981597.6209853124,31.914000985319635
47-48,0.004745697725826983,93016.861534329,441.4299082470285,92796.14658020549,2888376.187634159,31.052178497424023
48-49,0.005142552828024271,92575.43162608198,476.0740477142754,92337.39460222484,2795580.0410539536,30.197861267830522
49-50,0.0055724088457237185,92099.3575783677,513.2152748551679,91842.7499409401,2703242.646451729,29.351373533214165
50-51,0.00603797765939465,91586.14230351252,552.9950811387479,91309.64476294315,2611399.8965107887,28.513046087875633
51-52,0.006542188378685225,91033.14722237377,595.5559978333548,90735.36922345709,2520090.2517478457,27.683215714731084
52-53,0.007088203763477634,90437.59122454042,641.0400744776392,90117.0711873016,2429354.8825243884,26.86222454214568
53-54,0.007679437714073714,89796.55115006278,689.5870214955414,89451.75763931501,2339237.811337087,26.050419324322252
54-55,0.008319573868731715,89106.96412856724,741.3319702860423,88736.29814342422,2249786.053697772,25.248150643441143
55-56,0.009012585341723833,88365.6321582812,796.4028011018853,87967.43075773025,2161049.7555543478,24.45577203231522
56-57,0.009762755628352104,87569.22935717931,854.9169867772587,87141.77086379068,2073082.3247966175,23.673639016975738
57-58,0.010574700694645858,86714.31237040205,916.9778992590285,86255.82342077255,1985940.5539328267,22.902108079342646
58-59,0.011453392258414562,85797.33447114303,982.6705264243943,85305.99920793083,1899684.7305120542,22.141535540955434
59-60,0.012404182254554422,84814.66394471863,1052.0565494290756,84288.63567000409,1814378.7313041233,21.392276369646616
60-61,0.013432828460558764,83762.60739528955,1125.1687365500554,83200.02302701453,1730090.0956341191,20.65468291202468
61-62,0.014545521237567064,82637.4386587395,1202.0046190288408,82036.43634922508,1646890.0726071047,19.92910355569127
62-63,0.015748911317460652,81435.43403971066,1282.5194287903196,80794.1743253155,1564853.6362578797,19.21588132623944
63-64,0.017050138536874995,80152.91461092034,1366.6182982505038,79469.60546179509,1484059.4619325642,18.515352425255042
