x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01373282184248436,100000.0,1373.282184248436,99313.35890787578,7093724.8361,70.937248361
1-2,0.0013771438857185369,98626.71781575156,135.82318140844976,98558.80622504733,6994411.477192124,70.91801929633975
2-3,0.0004985174456822283,98490.89463434312,49.09942921607021,98466.34491973509,6895852.670967077,70.0151287747826
3-4,0.0004186232995036522,98441.79520512704,41.21002911783309,98421.19019056813,6797386.326047342,69.04980056370732
4-5,0.0003464657768294502,98400.5851760092,34.092435183478514,98383.53895841747,6698965.135856774,68.07850912547246
5-6,0.0003094967586760562,98366.49274082572,30.444110665617373,98351.27068549291,6600581.596898356,67.10193088097033
6-7,0.0002905775700284393,98336.0486301601,28.574250057150362,98321.76150513154,6502230.326212863,66.12255034435663
7-8,0.00027384528547624084,98307.47438010295,26.921038386067526,98294.01386090992,6403908.564707732,65.14162432804659
8-9,0.0002497133296913351,98280.55334171689,24.541964218866994,98268.28235960746,6305614.550846822,64.15933098099778
9-10,0.00022025340025247982,98256.01137749803,21.641220601140283,98245.19076719746,6207346.268487214,63.17523153508327
10-11,0.0002014104977901375,98234.37015689688,19.785433393401227,98224.47744020018,6109101.077720016,62.18903900908358
11-12,0.0002139193253656876,98214.58472350347,21.00999770512303,98204.07972465092,6010876.600279816,61.20146633213193
12-13,0.00028042428475609385,98193.57472579835,27.535862960126057,98179.80679431828,5912672.520555166,60.21445432724156
13-14,0.00042733301339720854,98166.03886283822,41.94958920052414,98145.06406823796,5814492.713760847,59.23120440751516
14-15,0.0006495192122034959,98124.0892736377,63.733481163198654,98092.2225330561,5716347.649692609,58.25631291977127
15-16,0.0009079664474349035,98060.3557924745,89.03551288309573,98015.83803603295,5618255.427159552,57.293851136431606
16-17,0.0011657431355277766,97971.3202795914,114.20939409452693,97914.21558254413,5520239.589123519,56.34546491125987
17-18,0.0014025774274669628,97857.11088549688,137.25217484512953,97788.4847980743,5422325.373540975,55.41064235879257
18-19,0.0016085497126043001,97719.85871065175,157.18725064475169,97641.26508532937,5324536.8887429,54.4877669595168
19-20,0.00179374782957894,97562.671460007,175.00283017931076,97475.17004491734,5226895.623657571,53.57474888128895
20-21,0.0019809632843528304,97387.66862982769,192.92139590440857,97291.20793187548,5129420.453612654,52.67012267343286
21-22,0.0021535469111799996,97194.74723392328,209.3134476885363,97090.09051007901,5032129.245680778,51.773674904156195
22-23,0.002244468141378873,96985.43378623475,217.68071631101404,96876.59342807924,4935039.1551707,50.8843334767982
23-24,0.002218282166556026,96767.75306992372,214.65818093270894,96660.42397945737,4838162.561742621,49.99767389707392
