x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.012281085476805335,100000.0,1228.1085476805335,99385.94572615973,6721728.1786,67.217281786
1-2,0.0016478292332216071,98771.89145231947,162.7592101557234,98690.5118472416,6622342.23287384,67.04683018114186
2-3,0.0005881304792163623,98609.13224216375,57.995036200693406,98580.13472406339,6523651.7210265985,66.15666898889093
3-4,0.0005013892247560399,98551.13720596305,49.412478282523935,98526.43096682179,6425071.586302535,65.19530640092677
4-5,0.0004078098945698449,98501.72472768053,40.16997797614328,98481.63973869245,6326545.155335713,64.22776020243487
5-6,0.00036511227440131873,98461.55474970439,35.94952219575454,98443.5799886065,6228063.51559702,63.25375961642246
6-7,0.000345061877606649,98425.60522750864,33.96292414437494,98408.62376543645,6129619.935608414,62.276680152892446
7-8,0.0003226880698984111,98391.64230336426,31.749809149007472,98375.76739878976,6031211.311842978,61.29800428828451
8-9,0.00028281148167441194,98359.89249421525,27.817306933624884,98345.98384074843,5932835.5444441885,60.31762941173518
9-10,0.00022995957415471627,98332.07518728163,22.612402135816826,98320.76898621372,5834489.56060344,59.33455130984644
10-11,0.00019272398065034075,98309.46278514582,18.946591003549837,98299.98948964405,5736168.791617226,58.34808399018063
11-12,0.00020624647624997543,98290.51619414227,20.27207261383299,98280.38015783536,5637868.802127582,57.35923485223874
12-13,0.0003077985626312253,98270.24412152843,30.247439890026072,98255.12040158342,5539588.421969746,56.37096428822413
13-14,0.0005447160423734395,98239.99668163841,53.5129021952019,98213.2402305408,5441333.301568163,55.388166585567255
14-15,0.0009116258218245273,98186.48377944321,89.50933396749554,98141.72911245946,5343120.061337622,54.41808134549252
15-16,0.0013356218012553912,98096.97444547572,131.02045770657037,98031.46421662244,5244978.332225163,53.467279310845896
16-17,0.0017581860349522103,97965.95398776914,172.2423722020665,97879.8328016681,5146946.86800854,52.538118177781705
17-18,0.0021567437650265495,97793.71161556708,210.91597778567876,97688.25362667424,5049067.035206872,51.62977201494362
18-19,0.0025289978462601135,97582.7956377814,246.78667999998996,97459.4022977814,4951378.781580198,50.740284178363495
19-20,0.002894640691651654,97336.0089577814,281.75277229216397,97195.13257163533,4853919.379282416,49.867663891867174
20-21,0.003278753042122337,97054.25618548924,318.2169377190935,96895.1477166297,4756724.24671078,49.01098039038876
21-22,0.0036380734563235657,96736.03924777015,351.9328166571873,96560.07283944156,4659829.098994151,48.17055913421185
22-23,0.0038449623460426598,96384.10643111296,370.59325998459747,96198.80980112066,4563269.026154709,47.34462138128696
23-24,0.003812804487806402,96013.51317112836,366.0807539089373,95830.4727941739,4467070.216353589,46.525432398164284
24-25,0.003576229762544699,95647.43241721942,342.05719452144274,95476.4038199587,4371239.7435594145,45.70159002796671
