x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006544018166132256,100000.0,654.4018166132256,99672.79909169339,7946251.2894,79.462512894
1-2,0.000519796695493813,99345.59818338677,51.6395136475806,99319.77842656297,7846578.490308307,78.98264879158445
2-3,0.00032239776190692626,99293.9586697392,32.01215004600275,99277.95259471619,7747258.711881744,78.02346502922535
3-4,0.00025281553390127663,99261.94651969319,25.0949620054562,99249.39903869046,7647980.759287028,77.04846648125823
4-5,0.0002138291503020296,99236.85155768773,21.219731647229008,99226.24169186411,7548731.3602483375,76.06782401656665
5-6,0.0001961473029577579,99215.6318260405,19.46087859392773,99205.90138674353,7449505.118556473,75.08398607608574
6-7,0.00018812830386576867,99196.17094744656,18.66160739032196,99186.8401437514,7350299.21716973,74.09861839388807
7-8,0.0001800956488297859,99177.50934005623,17.86143789391958,99168.57862110928,7251112.377025979,73.11246698244487
8-9,0.00016525493315295163,99159.64790216231,16.386620985542052,99151.45459166954,7151943.79840487,72.12554652736834
9-10,0.00014400613442239993,99143.26128117676,14.27723781113226,99136.1226622712,7052792.3438132005,71.13738495863093
10-11,0.00012416493584288104,99128.98404336564,12.308343943914473,99122.82987139368,6953656.221150929,70.14755864045712
11-12,0.00012006549597854065,99116.67569942171,11.900492827595235,99110.72545300792,6854533.391279535,69.1562074989923
12-13,0.00014876462482020744,99104.77520659412,14.74328470149997,99097.40356424337,6755422.665826527,68.1644517304454
13-14,0.00021889883008017173,99090.03192189262,21.690692060309164,99079.18657586246,6656325.262262284,67.17451930491968
14-15,0.00031561185454006695,99068.34122983231,31.26714290175555,99052.70765838143,6557246.075686421,66.18911747471398
15-16,0.0004270060110645127,99037.07408693056,42.28942595336083,99015.92937395388,6458193.36802804,65.20985628431744
16-17,0.0005250459224465878,98994.7846609772,51.97680802972409,98968.79625696233,6359177.438654087,64.23749958578186
17-18,0.0005880249921214643,98942.80785294747,58.180843808205,98913.71743104338,6260208.642397124,63.27098227999838
18-19,0.0006011417025922253,98884.62700913927,59.443673040471126,98854.90517261902,6161294.924966081,62.30791490366478
19-20,0.0005768076046698133,98825.1833360988,57.003117281150296,98796.68177745822,6062440.019793462,61.345092567908026
20-21,0.0005410977137784705,98768.18021881765,53.443236510462185,98741.45860056242,5963643.338016003,60.38020873528041
21-22,0.0005154592816075791,98714.7369823072,50.883427408981184,98689.2952686027,5864901.879415441,59.412627320950236
22-23,0.0004983805405960257,98663.85355489822,49.172144671977286,98639.26748256222,5766212.584146839,58.44301004256256
23-24,0.0004989531788242022,98614.68141022624,49.20410876836834,98590.07935584206,5667573.316664277,57.47190211047576
24-25,0.0005142291032237704,98565.47730145787,50.68523700155158,98540.1346829571,5568983.237308434,56.5003426126164
25-26,0.0005349342362314585,98514.79206445631,52.698935050500886,98488.44259693107,5470443.102625477,55.52915443445561
26-27,0.0005552505946188618,98462.09312940581,54.671135757520325,98434.75756152705,5371954.660028546,54.558607168429226
27-28,0.0005787826369415585,98407.42199364828,56.956507196104475,98378.94374005024,5273519.902467019,53.58863991790577
28-29,0.0006050603682404792,98350.46548645217,59.50796886385529,98320.71150202025,5175140.958726969,52.619384495336696
29-30,0.0006366382804930099,98290.95751758832,62.57578618200892,98259.66962449731,5076820.247224948,51.65093896166893
30-31,0.0006739066457804662,98228.38173140632,66.19675925305525,98195.2833517798,4978560.577600451,50.68352435260234
31-32,0.0007222335338802906,98162.18497215326,70.89602174584901,98126.73696128034,4880365.294248671,49.717366169397486
32-33,0.0007863191171589813,98091.28895040741,77.13105572847088,98052.72342254317,4782238.557287391,48.75293829307489
33-34,0.0008654859022561674,98014.15789467894,84.82987187935466,97971.74295873925,4684185.833864848,47.79091035907524
34-35,0.0009499082501902498,97929.32802279959,93.02387662444454,97882.81608448736,4586214.090906109,46.83187542998724
35-36,0.0010317342534519748,97836.30414617514,100.94106621875436,97785.83361306577,4488331.274821621,45.87592830689619
36-37,0.0011177639175704427,97735.36307995638,109.24506232142166,97680.74054879567,4390545.441208555,44.922792557865584
37-38,0.0012150185308564413,97626.11801763496,118.61754248700439,97566.80924639145,4292864.700659759,43.972502316278785
38-39,0.0013225340199888222,97507.50047514796,128.95698658245942,97443.02198185673,4195297.891413368,43.025386467399365
39-40,0.001441453691637633,97378.5434885655,140.36666099788854,97308.36015806656,4097854.8694315115,42.08170221721066
40-41,0.0015710789544145516,97238.17682756761,152.7688531794322,97161.7924009779,4000546.509273445,41.141726838087585
41-42,0.0017123646588459668,97085.40797438819,166.24562150498474,97002.2851636357,3903384.7168724667,40.205678673176166
42-43,0.0018663522666719089,96919.1623528832,180.88529834124628,96828.71970371257,3806382.431708831,39.27378589849726
43-44,0.002034176679361995,96738.27705454195,196.7827471860088,96639.88568094894,3709553.7120051184,38.34628675383207
44-45,0.002217074005399112,96541.49430735594,214.0396374712252,96434.47448862033,3612913.8263241695,37.423429710149875
45-46,0.0024163901719862235,96327.45466988471,232.76471475675785,96211.07231250634,3516479.3518355493,36.50547358368976
46-47,0.0026335903570061806,96094.68995512795,253.07404882532364,95968.15293071528,3420268.279523043,35.59268759928524
47-48,0.002870269256714312,95841.61590630263,275.0912436496818,95704.07028447778,3324300.126592328,34.68535140144396
48-49,0.0031281622272694718,95566.52466265294,298.9475926411273,95417.05086633237,3228596.05630785,33.78375500945232
49-50,0.003409157351530007,95267.57707001182,324.7821607306823,95105.18598964647,3133179.0054415176,32.8881987114982
50-51,0.003715308490813132,94942.79490928113,352.74177206798197,94766.42402324713,3038073.8194518713,31.998992892033396
51-52,0.004048849386803235,94590.05313721315,382.98087864229086,94398.562697892,2943307.395428624,31.11645778609551
52-53,0.004412208882644456,94207.07225857086,415.66128102719443,93999.24161805726,2848908.832730732,30.240923153957173
53-54,0.004808027334996058,93791.41097754367,450.9516677678793,93565.93514365972,2754909.5911126747,29.372727869210525
54-55,0.005239174290655107,93340.45930977579,489.02693469371644,93095.94584242893,2661343.655969015,28.512219413198082
55-56,0.005708767502254238,92851.43237508208,530.0672396806256,92586.39875524177,2568247.710126586,27.659753268553878
56-57,0.006220193357396604,92321.36513540146,574.2567421610106,92034.23676432096,2475661.311371344,26.815692204512576
57-58,0.006777128794185977,91747.10839324044,621.7819700751318,91436.21740820288,2383627.074607023,25.980405446572515
58-59,0.007383564773169041,91125.32642316532,672.8297501216134,90788.91154810452,2292190.85719882,25.154267723052165
59-60,0.008043831370885313,90452.4966730437,727.5846303135284,90088.70435788693,2201401.9456507154,24.33765818104575
60-61,0.008762624553110181,89724.91204273017,786.2257172912788,89331.79918408454,2111313.241292828,23.530959164243555
61-62,0.009545034675996008,88938.68632543889,848.9228450138462,88514.22490293196,2021981.4421087436,22.734554845009015
62-63,0.01039657675010792,88089.76348042504,915.8319869230927,87631.8474869635,1933467.2172058115,21.948829702959287
63-64,0.011323222485171612,87173.93149350195,987.089821208031,86680.38658289793,1845835.369718848,21.174166842027066
64-65,0.012331434111461915,86186.84167229391,1062.8073593568924,85655.43799261547,1759154.98313595,20.41094613751762
65-66,0.01342819994633061,85124.03431293702,1143.0625529924257,84552.5030364408,1673499.5451433347,19.659542203922527
66-67,0.014457757979148594,83980.97175994459,1214.1765645589915,83373.88347766509,1588947.0421068938,18.92032217308487
67-68,0.015790798449894197,82766.7951953856,1306.9537812740052,82113.3183047486,1505573.1586292288,18.19054555724984
