x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00832282294181695,100000.0,832.282294181695,99583.85885290915,7359220.7654,73.59220765399999
1-2,0.0004359155403939088,99167.7177058183,43.22874925336238,99146.10333119163,7259636.906547091,73.2056467013071
2-3,0.00040186909024259054,99124.48895656494,39.83506819773646,99104.57142246606,7160490.8032158995,72.23735404430215
3-4,0.0002835284109108019,99084.6538883672,28.093314462615563,99070.6072311359,7061386.231793433,71.26619465966019
4-5,0.0002323577292027397,99056.56057390459,23.016557477586105,99045.05229516579,6962315.624562298,70.28626457676997
5-6,0.00022265657087577371,99033.544016427,22.050469312372634,99022.5187817708,6863270.572267132,69.30248372338063
6-7,0.00022715822296374164,99011.49354711463,22.49127492714853,99000.24790965105,6764248.053485361,68.31780646018225
7-8,0.00022382632682779946,98989.00227218748,22.15634477493242,98977.92409980002,6665247.80557571,67.33321533283517
8-9,0.00019765384575558753,98966.84592741255,19.561177699853797,98957.06533856262,6566269.88147591,66.34817771490823
9-10,0.0001515284064872714,98947.2847497127,14.993324384366254,98939.78808752052,6467312.816137347,65.36119543347172
10-11,0.00010661726965523622,98932.29142532832,10.547890792504644,98927.01747993207,6368373.028049827,64.37102523655301
11-12,9.996712083297524e-05,98921.74353453582,9.88892188892553,98916.79907359136,6269446.010569895,63.37783571698864
12-13,0.0001751497317619406,98911.8546126469,17.324384803481173,98903.19242024516,6170529.211496303,62.38412206161724
13-14,0.00035509687098183115,98894.53022784342,35.11713824112532,98876.97165872286,6071626.019076058,61.39496294777496
14-15,0.000605035513296621,98859.4130896023,59.81345574287022,98829.50636173086,5972749.047417335,60.41659423978038
15-16,0.0008830089449671852,98799.59963385943,87.24093023587452,98755.97916874148,5873919.541055605,59.45286785395601
16-17,0.0011322505122520466,98712.35870362355,111.76711870778554,98656.47514426966,5775163.561886864,58.50496977006049
17-18,0.0013277946765319847,98600.59158491578,130.92134060935558,98535.1309146111,5676507.086742594,57.5707203729496
18-19,0.0014460838749711608,98469.67024430641,142.39540231401904,98398.4725431494,5577971.955827983,56.64659932331301
19-20,0.0015044280723289557,98327.27484199239,147.92631254789802,98253.31168571844,5479573.483284834,55.727909596704144
20-21,0.0015579217163952765,98179.34852944448,152.95573917556223,98102.87065985671,5381320.171599115,54.81112120014964
21-22,0.001646474843168827,98026.39279026892,161.39798969576387,97945.69379542103,5283217.300939258,53.89586570060674
22-23,0.0016889254234201483,97864.99480057316,165.28667778156864,97782.35146168237,5185271.607143837,52.983925638684745
23-24,0.001678900258583418,97699.70812279159,164.02806523087926,97617.69409017616,5087489.255682155,52.072717037066916
24-25,0.0016357744480920396,97535.68005756072,159.54637321543814,97455.906870953,4989871.561591978,51.159448097836645
25-26,0.0015799243669511343,97376.13368434529,153.84692636738825,97299.2102211616,4892415.654721025,50.24245130311183
26-27,0.0015088838700282926,97222.2867579779,146.6971402963781,97148.93818782971,4795116.444499863,49.32116497564674
27-28,0.0014505895720590203,97075.58961768151,140.8168380008897,97005.18119868106,4697967.506312033,48.39494176460132
28-29,0.0014113579265729937,96934.77277968063,136.80965992315433,96866.36794971905,4600962.325113352,47.46451859510421
29-30,0.001394648747746593,96797.96311975748,134.99915804939067,96730.46354073279,4504095.957163634,46.5308960230001
30-31,0.0014017698952116357,96662.96396170808,135.49923286344966,96595.21434527636,4407365.493622901,45.59518261170667
31-32,0.0014325996554031119,96527.46472884463,138.28521270747885,96458.32212249089,4310770.279277625,44.658484415673946
32-33,0.001486210499625652,96389.17951613716,143.25461064718488,96317.55221081356,4214311.957155134,43.72183660355349
33-34,0.001561347355746169,96245.92490548997,150.27332035253113,96170.7882453137,4117994.40494432,42.78616896235391
34-35,0.0016567585349034448,96095.65158513744,159.2072909307842,96016.04793967205,4021823.6166990064,41.85229560710985
35-36,0.0017714011144778568,95936.44429420665,169.9419243418005,95851.47333203575,3925807.5687593343,40.92092006995931
36-37,0.0019045510760089363,95766.50236986486,182.39219513413846,95675.30627229779,3829956.0954272985,39.99264879315967
37-38,0.002055847940727276,95584.11017473073,196.50639606896922,95485.85697669625,3734280.789155001,39.0680080855345
38-39,0.002225298734887811,95387.60377866175,212.26591401263576,95281.47082165543,3638794.9321783045,38.147461389446335
39-40,0.0024132599029339234,95175.33786464912,229.6828266169465,95060.49645134064,3543513.461356649,37.2314250819467
40-41,0.002620409946321443,94945.65503803217,248.79653882166411,94821.25676862134,3448452.9649053086,36.320281992092944
41-42,0.002847720824810653,94696.8584992105,269.6702159923494,94562.02339121433,3353631.708136687,35.41439242321483
42-43,0.003096432671294495,94427.18828321816,292.3874308586334,94280.99456778885,3259069.684745473,34.51410281295735
43-44,0.0033680340098314167,94134.80085235952,317.0492107794543,93976.27624696979,3164788.690177684,33.619752328804736
44-45,0.0036642481906606268,93817.75164158006,343.7715267045078,93645.8658782278,3070812.4139307146,32.73167774966939
45-46,0.003987025917733569,93473.98011487555,372.68318135172103,93287.63852419969,2977166.548052487,31.850216973682684
46-47,0.004338543332037706,93101.29693352383,403.9240110150023,92899.33492801632,2883878.909528287,30.97571145101699
47-48,0.0047212049660063544,92697.37292250883,437.64329737749165,92478.55127382009,2790979.574600271,30.108507788385918
48-49,0.005137650886568279,92259.72962513134,473.99828170310576,92022.73048427979,2698501.023326451,29.248958720028433
49-50,0.005590767421772306,91785.73134342823,513.1526765783838,91529.15500513904,2606478.292842171,28.397423593975564
50-51,0.006083700972147877,91272.57866684985,555.275075565958,90994.94112906686,2514949.1378370323,27.554268484259012
51-52,0.00661987451664527,90717.3035912839,600.5371662627127,90417.03500815254,2423954.1967079653,26.719866009563123
52-53,0.0072030065206223105,90116.76642502118,649.1116561768252,89792.21059693277,2333537.161699813,25.89459491582356
53-54,0.007837132034200453,89467.65476884435,701.169823213697,89117.06985723751,2243744.9511028803,25.078839463267432
54-55,0.00852662583207548,88766.48494563065,756.8786035599535,88388.04564385068,2154627.881245643,24.27298864616921
55-56,0.009276227491405655,88009.6063420707,816.3971298581058,87601.40777714165,2066239.8356017922,23.47743526508742
56-57,0.010091068334458334,87193.2092122126,879.8726324611594,86753.27289598202,1978638.4278246507,22.69257486565267
57-58,0.010976700179151078,86313.33657975144,947.435617098085,85839.6187712024,1891885.1549286686,21.918804554387865
58-59,0.011939125845114099,85365.90096265335,1019.1942344746651,84856.30384541601,1806045.5361574662,21.15652170001218
59-60,0.012984831356649736,84346.70672817869,1095.2277623541938,83799.0928470016,1721189.2323120502,20.406122527805017
60-61,0.014120819767755477,83251.4789658245,1175.579129875494,82663.68940088675,1637390.1394650487,19.668000614586227
61-62,0.015354646508554773,82075.899835949,1260.2464288525457,81445.77662152273,1554726.450064162,18.94254529248787
