x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005186806697579466,100000.0,518.6806697579466,99740.65966512103,7993465.665,79.93465665
1-2,0.00041786394137261114,99481.31933024206,41.56965618828227,99460.53450214792,7893725.005334879,79.3488170289596
2-3,0.00030253857679914863,99439.74967405378,30.084360343651834,99424.70749388194,7794264.470832732,78.38177887998488
3-4,0.0002355324029637264,99409.66531371012,23.41419734915795,99397.95821503554,7694839.76333885,77.40534825317044
4-5,0.0002006475541814679,99386.25111636096,19.94160820576301,99376.28031225808,7595441.805123814,76.42346622201401
5-6,0.0001873882518399083,99366.3095081552,18.62007903051646,99356.99946863994,7496065.524811557,75.43870313706618
6-7,0.00018269047747164848,99347.68942912469,18.149876817511835,99338.61449071593,7396708.525342917,74.45274840155975
7-8,0.00017594414399153526,99329.53955230718,17.47645080960403,99320.80132690238,7297369.910852201,73.4662613331595
8-9,0.00015969952839283363,99312.06310149758,15.860089641028498,99304.13305667706,7198049.109525299,72.47910157871603
9-10,0.00013476138051054913,99296.20301185655,13.381293397333534,99289.51236515788,7098744.976468622,71.49059844333615
10-11,0.00011031712634503835,99282.8217184592,10.952595587407181,99277.3454206655,6999455.464103464,70.50016652379338
11-12,0.00010271780090096537,99271.8691228718,10.196988087629837,99266.77062882797,6900178.118682799,69.50788959299477
12-13,0.00013105368833266214,99261.67213478417,13.0086082433309,99255.1678306625,6800911.348053971,68.51497865983194
13-14,0.0002047324863393731,99248.66352654084,20.31942564964856,99238.50381371602,6701656.1802233085,67.52389344196224
14-15,0.00030695702565359384,99228.34410089119,30.458837365740894,99213.11468220832,6602417.676409593,66.53761822021875
15-16,0.0004243640065138962,99197.88526352544,42.09601202813544,99176.83725751138,6503204.561727384,65.55789515523654
16-17,0.0005259732719653517,99155.7892514973,52.15329490691689,99129.71260404385,6404027.724469873,64.5855151051926
17-18,0.0005885186553725492,99103.63595659038,58.324338575703194,99074.47378730253,6304898.011865829,63.61924011171009
18-19,0.0005962096063995819,99045.31161801468,59.05176625550047,99015.78573488693,6205823.538078527,62.65640883651672
19-20,0.0005627335469400754,98986.25985175917,55.70288910471242,98958.4084072068,6106807.75234364,61.69348919222864
20-21,0.0005152281432074363,98930.55696265446,50.97180717034597,98905.07105906929,6007849.343936433,60.72794421044603
21-22,0.00047861258956375925,98879.58515548412,47.325014306256506,98855.92264833099,5908944.2728773635,59.758991338665
22-23,0.00045436726076408595,98832.26014117786,44.90614331547054,98809.80706952013,5810088.350229032,58.78736701892234
23-24,0.00045419288003463644,98787.35399786239,44.868512823290274,98764.91974145074,5711278.543159512,57.813862929086
24-25,0.0004733793039622153,98742.4854850391,46.74264905040696,98719.1141605139,5612513.623418061,56.83990630627216
25-26,0.0005000958276472577,98695.7428359887,49.35732919882467,98671.06417138928,5513794.509257548,55.86658908297898
26-27,0.0005185273511158957,98646.38550678987,51.15084897399323,98620.81008230288,5415123.445086158,54.89429153705214
27-28,0.0005366995136712458,98595.23465781588,52.91601449115214,98568.7766505703,5316502.635003855,53.922511097572645
28-29,0.0005543825090145928,98542.31864332472,54.630137853601845,98515.00357439791,5217933.858353285,52.95119832972135
29-30,0.0005766555472532242,98487.68850547112,56.79347191282753,98459.2917695147,5119418.854778887,51.98029248594352
30-31,0.0006054533415857447,98430.89503355829,59.59531431334354,98401.09737640162,5020959.563009372,51.00999601088219
31-32,0.0006475669592913533,98371.29971924495,63.70200344072981,98339.44871752459,4922558.46563297,50.040595983606195
32-33,0.000706751638725722,98307.59771580422,69.47905578483368,98272.8581879118,4824219.016915446,49.07269762467088
33-34,0.0007806479249898651,98238.11866001939,76.68938348685228,98199.77396827597,4725946.158727534,48.107050737433184
34-35,0.0008612506694691612,98161.42927653254,84.54159668046337,98119.1584781923,4627746.3847592585,47.14424411774141
35-36,0.0009432342854610192,98076.88767985208,92.50948307094592,98030.6329383166,4529627.226281066,46.184451132533106
36-37,0.0010274858819187798,97984.37819678114,100.67756524578293,97934.03941415825,4431596.593342749,45.227582956568995
37-38,0.0011180767658211825,97883.70063153535,109.44149142871588,97828.979885821,4333662.553928591,44.27358718528474
38-39,0.0012173470823764725,97774.25914010663,119.02520909572996,97714.74653555876,4235833.57404277,43.32258419849532
39-40,0.0013269520800822685,97655.2339310109,129.58381579567543,97590.44202311305,4138118.8275072114,42.3747776840165
40-41,0.001448223631107836,97525.65011521522,141.23895113600932,97455.03063964722,4040528.3854840985,41.430417338522574
41-42,0.001580582829486237,97384.41116407921,153.9241281455714,97307.44910000643,3943073.3548444514,40.48977970612689
42-43,0.0017250548743699288,97230.48703593363,167.7279255986995,97146.62307313428,3845765.905744445,39.55308692759257
43-44,0.0018827414050986706,97062.75911033494,182.7440754701458,96971.38707259987,3748619.282671311,38.62057206111473
44-45,0.0020548437803032294,96880.01503486479,199.07329633007527,96780.47838669975,3651647.895598711,37.69247862197968
45-46,0.00224267191224129,96680.94173853472,216.82363248604838,96572.5299222917,3554867.4172120113,36.769060719597086
46-47,0.002447653868258505,96464.11810604867,236.11077183041533,96346.06272013346,3458294.8872897197,35.850583151424374
47-48,0.002671346294853824,96228.00733421826,257.05833085343056,96099.47816879154,3361948.824569586,34.93732144834814
48-49,0.0029154457257760213,95970.94900336483,279.7980930705285,95831.04995682956,3265849.3464007946,34.029561865500476
49-50,0.0031818008401406006,95691.15091029431,304.4701843603954,95538.91581811411,3170018.296443965,33.12760131201368
50-51,0.0034724257404747717,95386.68072593391,331.22316545118167,95221.06914320833,3074479.3806258505,32.231747212794616
51-52,0.0037895143241287524,95055.45756048273,360.214018012062,94875.3505514767,2979258.3114826423,31.342317295006165
52-53,0.004135455824672947,94695.24354247066,391.6079964765336,94499.4395442324,2884382.9609311656,30.459639291571435
53-54,0.004512851602667508,94303.63554599413,425.57831281111214,94090.84638958857,2789883.521386933,29.584050553663335
54-55,0.004924533267417238,93878.05723318302,462.3056159253092,93646.90442522036,2695792.6749973446,28.715897563807534
55-56,0.005373582212839838,93415.75161725772,501.97722128956036,93164.76300661293,2602145.770572124,27.855535340909263
56-57,0.005863350651164771,92913.77439596815,544.7860396067765,92641.38137616476,2508981.007565511,27.003326728209895
57-58,0.006397484227583734,92368.98835636138,590.9291461276875,92073.52378329754,2416339.626189346,26.15964155488052
58-59,0.006979946296880817,91778.0592102337,640.6059245193791,91457.756247974,2324266.102406048,25.324855661655583
59-60,0.007615043939110871,91137.45328571432,694.0157112693789,90790.44543007964,2232808.346158074,24.499349780580978
60-61,0.008307455785132319,90443.43757444494,751.3548587050763,90067.7601450924,2142017.9007279947,23.683508258571855
61-62,0.009062261713723237,89692.08271573986,812.813127218947,89285.67615213039,2051950.1405829024,22.877717614007533
