x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005039198006928016,100000.0,503.91980069280163,99748.0400996536,7707581.4482,77.075814482
1-2,0.0006569627027992575,99496.0801993072,65.36521376566854,99463.39759242436,7607833.408100347,76.46364955142546
2-3,0.0003217318160884253,99430.71498554152,31.990024507268878,99414.71997328788,7508370.010507923,75.51358764341315
3-4,0.00024997685729485106,99398.72496103426,24.84738088487461,99386.30127059182,7408955.290534635,74.53772966845453
4-5,0.00020893446978124312,99373.87758014938,20.762628422314673,99363.49626593821,7309568.989264043,73.55624201509653
5-6,0.00019630122022588068,99353.11495172707,19.503137698266215,99343.36338287793,7210205.492998105,72.57150917212152
6-7,0.00019475332465540313,99333.6118140288,19.34555115081134,99323.93903845339,7110862.129615227,71.58565967507653
7-8,0.0001886348665678904,99314.266262878,18.73413336478593,99304.8991961956,7011538.190576773,70.59950654035661
8-9,0.00016772979578524348,99295.5321295132,16.65481932647033,99287.20471984996,6912233.291380578,69.6127322462486
9-10,0.00013456433493074549,99278.87731018673,13.359396097916354,99272.19761213777,6812946.086660728,68.62432645540876
10-11,0.00010623216905143025,99265.5179140888,10.545191280027261,99260.2453184488,6713673.88904859,67.63349479382221
11-12,0.00010350373406763163,99254.97272280877,10.27326030159163,99249.83609265798,6614413.643730141,66.64062728829052
12-13,0.00014647377877850598,99244.69946250718,14.536746154010588,99237.43108943017,6515163.807637483,65.64747379882783
13-14,0.00025600365599510257,99230.16271635317,25.40328444037533,99217.46107413298,6415926.376548053,64.65701759340868
14-15,0.0004206512827214282,99204.7594319128,41.73060930710482,99183.89412725925,6316708.915473919,63.673446230261426
15-16,0.0006070417124456977,99163.02882260569,60.19609482777663,99132.9307751918,6217525.02134666,62.700031404539786
16-17,0.0007746321300682761,99102.83272777792,76.76823841171867,99064.44860857206,6118392.090571469,61.73781235272926
17-18,0.0008914511866395423,99026.0644893662,88.27690269728933,98981.92603801755,6019327.641962897,60.78528590429114
18-19,0.0009424646627832367,98937.7875866689,93.2453686143894,98891.1649023617,5920345.71592488,59.83907524451861
19-20,0.0009432674051737352,98844.54221805451,93.23683485361,98797.92380062772,5821454.5510225175,58.89505298309931
20-21,0.000925988772004959,98751.3053832009,91.4426000056769,98705.58408319806,5722656.62722189,57.950187139454265
21-22,0.0009119029143649408,98659.86278319523,89.9682164028409,98614.87867499382,5623951.043138692,57.003434674314406
22-23,0.0008991224198605275,98569.8945667924,88.62640212829143,98525.58136572826,5525336.164463698,56.055007350339096
23-24,0.0008905815036459274,98481.2681646641,87.70559588304435,98437.41536672258,5426810.58309797,55.10500305524249
24-25,0.0008860349719473375,98393.56256878105,87.18013745042852,98349.97250005584,5328373.167731248,54.15367660873648
25-26,0.0008828581864109892,98306.38243133062,86.79059450594968,98262.98713407764,5230023.195231192,53.20125780118589
26-27,0.0008782204619244697,98219.59183682468,86.25845531296905,98176.4626091682,5131760.208097114,52.24782665176078
27-28,0.0008805058229310826,98133.33338151171,86.40697146605825,98090.12989577868,5033583.745487946,51.29331259867579
28-29,0.0008929496480113212,98046.92641004565,87.55096842644218,98003.15092583242,4935493.615592168,50.33807582046232
29-30,0.000916600318734278,97959.37544161921,89.78959475279896,97914.48064424281,4837490.464666335,49.38261848708224
30-31,0.0009501357146125663,97869.58584686641,92.98938888744833,97823.09115242268,4739575.984022092,48.427465417478764
31-32,0.0009981470038735313,97776.59645797896,97.59541680348303,97727.79874957721,4641752.892869669,47.47304632212818
32-33,0.0010652261785232323,97679.00104117548,104.05022900105818,97626.97592667495,4544025.094120092,46.51997917346237
33-34,0.001149564473217574,97574.95081217441,112.16869692962797,97518.8664637096,4446398.118193417,45.56905313488142
34-35,0.001243958947369671,97462.78211524479,121.23969984779951,97402.16226532089,4348879.251729707,44.620922544437306
35-36,0.0013432849045713843,97341.542415397,130.7574245142979,97276.16370313984,4251477.089464386,43.67587552004835
36-37,0.0014476337964421685,97210.78499088269,140.7256177314749,97140.42218201695,4154200.925761246,42.73395103383709
37-38,0.0015603634842496121,97070.05937315122,151.46457605980697,96994.32708512132,4057060.503579229,41.79517896433242
38-39,0.0016853571720555228,96918.59479709141,163.3424488468211,96836.923572668,3960066.1764941076,40.85971515357703
39-40,0.0018262925887228853,96755.2523482446,176.70340028361164,96666.90064810279,3863229.2529214397,39.92785052140406
40-41,0.0019861111572838956,96578.54894796098,191.81573361983413,96482.64108115107,3766562.352273337,38.99998905867656
41-42,0.0021630023155426977,96386.73321434115,208.48472713021616,96282.49085077604,3670079.711192186,38.076606487231004
42-43,0.0023556045288866986,96178.24848721093,226.55791771686435,96064.9695283525,3573797.22034141,37.15806096028695
43-44,0.002565072913043676,95951.69056949407,246.12308244055757,95828.62902827379,3477732.2508130576,36.244616745905816
44-45,0.002792888322052565,95705.5674870535,267.2949617900054,95571.9200061585,3381903.621784784,35.33654008417293
45-46,0.0030407302179774774,95438.2725252635,290.2020392191384,95293.17150565393,3286331.7017786256,34.4341071440569
46-47,0.0033106015466658244,95148.07048604437,314.99734931336735,94990.57181138768,3191038.530272972,33.53760632214828
47-48,0.003604667850408522,94833.07313673099,341.8417298914143,94662.15227178528,3096047.958461584,32.64734397036443
48-49,0.003925358387613944,94491.23140683958,370.91194775880786,94305.77543296017,3001385.8061897987,31.763643689509042
49-50,0.004274949787818912,94120.31945908077,402.3596397010455,93919.13963923024,2907080.0307568386,30.88684831781414
50-51,0.0046557531499705415,93717.95981937973,436.3276866378898,93499.79597606078,2813160.891117608,30.017308278363533
51-52,0.005070046313795306,93281.63213274184,472.9421951394175,93045.16103517213,2719661.0951415473,29.15537639040673
52-53,0.0055204384963718905,92808.68993760242,512.3446647293829,92552.51760523774,2626615.934106375,28.301400826499265
53-54,0.006009605943192439,92296.34527287303,554.6646650867992,92019.01294032963,2534063.4165011374,27.455728707450003
54-55,0.006540924765991505,91741.68060778623,600.0754307611514,91441.64289240565,2442044.403560808,26.6187014166552
55-56,0.0071179642454133035,91141.60517702508,648.7426869196405,90817.23383356526,2350602.760668402,25.7906666895191
56-57,0.007745532764698134,90492.86249010544,700.9154313884345,90142.40477441123,2259785.5268348367,24.971975298957123
57-58,0.008429221375190001,89791.947058717,756.8761994672664,89413.50895898338,2169643.1220604256,24.163003399866653
58-59,0.0091751511336883,89035.07085924974,816.9102313322633,88626.6157435836,2080229.613101442,23.36415968478257
59-60,0.009988341881770845,88218.16062791747,881.1531485326159,87777.58405365117,1991602.9973578586,22.5758844118044
60-61,0.010873373339890878,87337.00747938486,949.6478887121935,86862.18353502876,1903825.4133042074,21.798610557541586
61-62,0.011834056852094507,86387.35959067267,1022.312924698352,85876.2031283235,1816963.2297691787,21.03274412342796
62-63,0.012875141931737187,85365.04666597431,1099.0870918337876,84815.50312005742,1731087.0266408552,20.278639727269663
63-64,0.014001228567437326,84265.95957414052,1179.826960451975,83676.04609391453,1646271.5235207977,19.536613976042638
64-65,0.01521965352207008,83086.13261368855,1264.5421508691065,82453.861538254,1562595.4774268833,18.80693478287427
65-66,0.01653984443371871,81821.59046281944,1353.316377574476,81144.9322740322,1480141.6158886293,18.089866103998805
66-67,0.01773507564255474,80468.27408524496,1427.1109277276469,79754.71862138114,1398996.6836145972,17.385692678490337
67-68,0.019338395016776654,79041.16315751732,1528.5292357255635,78276.89853965455,1319241.964993216,16.690568714989205
68-69,0.02108340686126184,77512.63392179176,1634.2303978611815,76695.51872286116,1240965.0664535617,16.00984257231748
69-70,0.022981157632301536,75878.40352393058,1743.773552270833,75006.51674779516,1164269.5477307006,15.343885659949507
70-71,0.025046206788373583,74134.62997165974,1856.791272449748,73206.23433543487,1089263.0309829055,14.693039290805256
71-72,0.027287776305564705,72277.83869921,1972.3014942737302,71291.68795207313,1016056.7966474707,14.057653285343413
72-73,0.029710677150130687,70305.53720493626,2088.825117762363,69261.12464605508,944765.1086953975,13.437990039695821
73-74,0.0323216948650539,68216.7120871739,2204.8797527788693,67114.27221078447,875503.9840493425,12.834156869515185
74-75,0.03513651178425462,66011.83233439503,2319.425524717711,64852.11957203618,808389.711838558,12.246133507452297
75-76,0.03816879949930684,63692.40680967732,2431.0627051468596,62476.87545710389,743537.5922665218,11.673881228704799
76-77,0.041450623012027274,61261.34410453046,2539.3208796869717,59991.68366468697,681060.7168094178,11.11729960817251
77-78,0.045016725196698686,58722.023224843484,2643.473182506937,57400.28663359002,621069.0331447308,10.576424295986715
78-79,0.04889723879100998,56078.550042336545,2742.086252473733,54707.50691609968,563668.7465111408,10.051414419338565
79-80,0.05309894338653868,53336.46378986281,2832.1098712160956,51920.40885425477,508961.23959504114,9.54246313741885
80-81,0.05811963873114589,50504.35391864672,2935.2948041016793,49036.70651659588,457040.8307407864,9.049533263547845
81-82,0.06323835731748587,47569.05911454504,3008.189157542207,46064.964535773935,408004.1242241905,8.577090483158965
82-83,0.06877454238574988,44560.86995700283,3064.65343960378,43028.543237200945,361939.1596884165,8.122353985405912
83-84,0.07475622667423211,41496.21651739905,3102.1005680976978,39945.1662333502,318910.6164512156,7.685293822329531
84-85,0.08121225303420504,38394.115949301355,3118.072659499269,36835.07961955172,278965.4502178654,7.2658386140791364
85-86,0.08817209252323617,35276.04328980209,3110.3625528021144,33720.862013401034,242130.3705983137,6.863875537546777
86-87,0.09566561920704547,32165.680736999973,3077.149764921237,30627.105854539353,208409.50858491266,6.479250673690252
87-88,0.10372283770227844,29088.530972078737,3017.144977014623,27579.958483571427,177782.40273037332,6.111769717797769
88-89,0.11237356001422484,26071.385995064116,2929.7344587703583,24606.51876567894,150202.4442468019,5.7611990507615705
89-90,0.12164702902964228,23141.651536293757,2815.1131562293926,21734.09495817906,125595.92548112296,5.427267163026245
90-91,0.1315714871597371,20326.538380064365,2674.392883474542,18989.341938327096,103861.8305229439,5.109666416432635
91-92,0.14217369012967127,17652.145496589823,2509.6706639560334,16397.310164611805,84872.4885846168,4.808055122875184
92-93,0.15347836780429042,15142.474832633789,2324.0423218301794,13980.453671718698,68475.178420005,4.522059912718696
93-94,0.16550763623219575,12818.432510803608,2121.548465065035,11757.65827827109,54494.7247482863,4.251278360467019
94-95,0.17828036776326717,10696.884045738572,1907.0444215952978,9743.361834940923,42737.06647001521,3.9952818304168507
95=96,0.1918115290969304,8789.839624143275,1685.9925788237094,7946.84333473142,32993.70463507429,3.7536185011214136
96-97,0.20611150035898027,7103.847045319565,1464.1845728315245,6371.754758903803,25046.86130034287,3.5258165245611846
97-98,0.2211853916484524,5639.66247248804,1247.4109527423466,5015.956996116867,18675.106541439065,3.3113872740685846
98-99,0.23703237676146155,4392.251519745693,1041.1058170594633,3871.6986112159616,13659.149545322198,3.109828634338556
99-100,0.2536450667608263,3351.14570268623,850.0015754831051,2926.1449149446776,9787.450934106237,2.920628287293136
100-101,0.27100894845757173,2501.1441272031248,677.8324398541498,2162.22790727605,6861.306019161559,2.743266949127851
101-102,0.28910191442059957,1823.3116873489748,527.1228993980424,1559.7502376499538,4699.078111885508,2.5772215164801513
102-103,0.30789391155140333,1296.1887879509325,399.0886360312851,1096.6444699352899,3139.3278742355546,2.4219680832128865
103-104,0.327346734296494,897.1001519196474,293.66280506778526,750.2687493857547,2042.6834043002648,2.2769847936479075
104-105,0.34741398602511725,603.4373468518621,209.64257398622667,498.61605985874877,1292.41465491451,2.141754503026782
105-106,0.36804122786998517,393.7947728656355,144.9327117342504,321.3284169985103,793.7985950557613,2.0157672212845976
106-107,0.3891663284325821,248.86206113138508,96.84873461666592,200.43769382305211,472.470178057251,1.8985223215997296
107-108,0.41072002035543215,152.01332651471915,62.4349165604224,120.79586823450795,272.03248423419893,1.7895305001950508
108-109,0.4326266611793377,89.57840995429675,38.75400841228135,70.20140574815608,151.23661599969097,1.6883154777680525
109-110,0.45480518659914815,50.824401542015394,23.115201427106346,39.26680082846222,81.03521025153489,1.5944154341796803
