x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.003717792611995039,100000.0,371.7792611995039,99814.11036940025,7517617.4013,75.176174013
1-2,0.0011934757397033956,99628.22073880049,118.90386444157309,99568.7688065797,7417803.2909306,74.45484056548764
2-3,0.0006772654064500553,99509.31687435892,67.39421793848004,99475.61976538968,7318234.52212402,73.54320933952414
3-4,0.0004686272289594379,99441.92265642044,46.60119265687706,99418.622060092,7218758.902358631,72.59271250516748
4-5,0.0003621263123471598,99395.32146376357,35.9936612262332,99377.32463315045,7119340.2802985385,71.62651295306719
5-6,0.0003013509493125669,99359.32780253733,29.942027756353145,99344.35678865915,7019962.955665388,70.65227906550028
6-7,0.00026506514474821367,99329.38577478098,26.32875801814348,99316.2213957719,6920618.598876729,69.67342589400995
7-8,0.0002443265616176714,99303.05701676283,24.262374479029237,99290.92582952332,6821302.377480957,68.69176621953832
8-9,0.00023626202284260237,99278.7946422838,23.455808847561286,99267.06673786002,6722011.4516514335,67.70843135104366
9-10,0.00024191267920789893,99255.33883343624,24.011124942884376,99243.3332709648,6622744.384913573,66.72431390343068
10-11,0.00026472091289630464,99231.32770849335,26.268607658904727,99218.19340466389,6523501.051642608,65.7403382811359
11-12,0.0003087661986692054,99205.05910083445,30.631168987318514,99189.7435163408,6424282.858237944,64.75761333611167
12-13,0.00037695714244225653,99174.42793184712,37.3845089565346,99155.73567736885,6325093.114721603,63.7774600431093
13-14,0.0004697064195187532,99137.0434228906,46.565305707841105,99113.76077003668,6225937.379044234,62.8013219285363
14-15,0.0005844341944569222,99090.47811718275,57.911863756766984,99061.52218530436,6126823.618274197,61.83059901102422
15-16,0.000715901245342942,99032.56625342598,70.89753751033507,98997.1174846708,6027762.096088893,60.86646367078633
16-17,0.0008571133416400337,98961.66871591564,84.82136656737244,98919.25803263196,5928764.978604222,59.90971105816368
17-18,0.001000448645233814,98876.84734934827,98.92120797564611,98827.38674536045,5829845.72057159,58.96067559652038
18-19,0.0011387082440603479,98777.92614137263,112.47923882836517,98721.68652195846,5731018.333826229,58.01922107196196
19-20,0.001265903979439058,98665.44690254427,124.90098186706386,98602.99641161073,5632296.64730427,57.08479335088312
20-21,0.001377715595152811,98540.5459206772,135.7608468697887,98472.66549724231,5533693.65089266,56.15651505875715
21-22,0.0014716371333048622,98404.78507380742,144.81613580949903,98332.37700590267,5435220.985395418,55.23329969491616
22-23,0.0015468815539038448,98259.96893799792,151.99653343735375,98183.97067127925,5336888.6083895145,54.3139659626505
23-24,0.001604128566552692,98107.97240456057,157.37780114071882,98029.28350399021,5238704.637718235,53.39733876178561
24-25,0.001645194816024278,97950.59460341986,161.14781046804197,97870.02069818584,5140675.3542142445,52.48232922962534
25-26,0.0016726886706717548,97789.44679295181,163.57129976182887,97707.6611430709,5042805.3335160585,51.56799121885941
26-27,0.0016896919029525084,97625.87549318999,164.95765133949286,97543.39666752024,4945097.6723729875,50.653555191092124
27-28,0.0016994923046095337,97460.9178418505,165.63407987240694,97378.1008019143,4847554.275705467,49.73844268090699
28-29,0.0017053769390460495,97295.28376197809,165.925133205619,97212.32119537528,4750176.174903553,48.822265491555804
29-30,0.0017104857793495765,97129.35862877248,166.1383866918604,97046.28943542654,4652963.853708178,47.90481394499642
30-31,0.0017177194476105358,96963.22024208061,166.55560911276544,96879.94243752424,4555917.564272751,46.98603813794903
31-32,0.001729691802370627,96796.66463296785,167.4283973124633,96712.95043431161,4459037.621835227,46.06602550555786
32-33,0.0017487173024663117,96629.23623565538,168.97721732939524,96544.74762699068,4362324.671400916,45.14497724852403
33-34,0.001776823608693413,96460.25901832599,171.39286552444332,96374.56258556376,4265779.923773925,44.22318545675366
34-35,0.0018157811505181084,96288.86615280155,174.83950816501815,96201.44639871904,4169405.361188361,43.301012129189466
35-36,0.0018671429466845797,96114.02664463653,179.45862692698685,96024.29733117303,4073203.9147896417,42.3788707744973
36-37,0.0019322895451012918,95934.56801770953,185.37336279442889,95841.88133631232,3977179.617458469,41.457210884863535
37-38,0.002012475377784787,95749.1946549151,192.69289668573938,95652.84820657223,3881337.7361221565,40.53650529501258
38-39,0.0021088740346600497,95556.50175822937,201.5166254008773,95455.74344552893,3785684.8879155843,39.61724025324692
39-40,0.0022226209247923783,95354.98513282849,211.93798523949073,95249.01614020874,3690229.144470055,38.69990792122305
40-41,0.002354852527214876,95143.047147589,224.04784502242404,95031.02322507778,3594980.1283298465,37.78500096547461
41-42,0.002506741965002915,94918.99930256658,237.93743882782607,94800.03058315266,3499949.1051047686,36.87300888990863
42-43,0.002679531001249754,94681.06186373875,253.7008404951338,94554.2114434912,3405149.074521616,35.964415771151494
