x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.002027252174947651,100000.0,202.72521749476513,99898.63739125262,8124097.9542,81.24097954199999
1-2,0.0010235667650984799,99797.27478250524,102.14917371477299,99746.20019564785,8024199.316808747,80.40499436779623
2-3,0.0005429840796097081,99695.12560879046,54.13286602026333,99668.05917578033,7924453.116613099,79.48686626575024
3-4,0.00029492522800477215,99640.9927427702,29.38664250328335,99626.29942151856,7824785.057437319,78.5297781771155
4-5,0.00023640031850731788,99611.60610026692,23.548215409128588,99599.83199256235,7725158.758015801,77.5527979163374
5-6,0.00022671582665574933,99588.05788485779,22.578188868406148,99576.76879042358,7625558.926023239,76.57101752942904
6-7,0.00022328737397445646,99565.47969598939,22.231714499824534,99554.36383873947,7525982.157232815,75.58826794399475
7-8,0.00020942343881292627,99543.24798148956,20.846689302891427,99532.82463683812,7426427.793394076,74.60503795069101
8-9,0.00017896412311095659,99522.40129218667,17.81093927715292,99513.4958225481,7326894.968757237,73.62056053336465
9-10,0.0001428446588411395,99504.59035290951,14.213699262088701,99497.48350327846,7227381.472934689,72.63364883269792
10-11,0.00011871376154539005,99490.37665364741,11.81087685012214,99484.47121522235,7127883.989431411,71.64395421122467
11-12,0.00011436528619734837,99478.56577679729,11.376894645565166,99472.8773294745,7028399.518216189,70.65240098038804
12-13,0.00013299620841834297,99467.18888215172,13.228758983357336,99460.57450266005,6928926.640886715,69.66042489746117
13-14,0.00018387522853727375,99453.96012316836,18.287119646584493,99444.81656334507,6829466.066384055,68.66962419521685
14-15,0.00027936656716112,99435.67300352178,27.779002620349534,99421.7835022116,6730021.249820709,67.68216120569072
15-16,0.0004102908223547445,99407.89400090143,40.78614657818312,99387.50092761235,6630599.466318497,66.7009349001838
16-17,0.0005338857740289578,99367.10785432324,53.050685289824294,99340.58251167834,6531211.965390885,65.72810768494885
17-18,0.0006087636171912985,99314.05716903342,60.45878468016419,99283.82777669333,6431871.382879207,64.76295064586984
18-19,0.0006204829622368313,99253.59838435326,61.585166738188285,99222.80580098416,6332587.555102513,63.80209542207195
19-20,0.0005809271914185049,99192.01321761507,57.623337649656335,99163.20154879024,6233364.749301529,62.841397680136744
20-21,0.0005171904273909941,99134.38987996541,51.27135747116475,99108.75420122984,6134201.547752738,61.87763454417982
21-22,0.00045710894030332594,99083.11852249425,45.29177930976619,99060.47263283936,6035092.793551508,60.909394895371584
22-23,0.0004172160469186248,99037.82674318447,41.320170569203086,99017.16665789987,5936032.320918669,59.93702119808653
23-24,0.0004013189473252487,98996.50657261527,39.72917380659902,98976.64198571196,5837015.1542607695,58.961829627586305
24-25,0.0004068569633030017,98956.77739880867,40.261253950730406,98936.6467718333,5738038.512275058,57.98530088697227
25-26,0.00042884886407049995,98916.51614485795,42.4202355865336,98895.30602706468,5639101.865503225,57.008698701489465
26-27,0.00045860147362450875,98874.09590927142,45.343806087282886,98851.42400622778,5540206.5594761595,56.03294278978742
27-28,0.00048441757371574354,98828.75210318413,47.87438430717914,98804.81491103054,5441355.135469932,55.05842196397235
28-29,0.0005059471989109547,98780.87771887695,49.97790838783133,98755.88876468303,5342550.320558902,54.08486383127111
29-30,0.0005269776934588728,98730.8998104891,52.028981855250606,98704.88531956148,5243794.431794219,53.11198866676511
30-31,0.0005508539918147883,98678.87082863385,54.35764990372883,98651.692003682,5145089.546474657,52.1397286295426
31-32,0.000579759702342545,98624.51317873012,57.17851840417898,98595.92391952804,5046437.854470975,51.16819025839629
32-33,0.0006145549260945326,98567.33466032594,60.57504106751167,98537.04713979218,4947841.930551447,50.19758267383676
33-34,0.0006549346538909964,98506.75961925843,64.5154905171626,98474.50187399985,4849304.883411655,49.22814334929761
34-35,0.0007007548844326834,98442.24412874127,68.98388340773009,98407.7521870374,4750830.381537655,48.260078014115486
35-36,0.0007528357986629366,98373.26024533354,74.05891194387259,98336.23078936161,4652422.6293506175,47.29356959145116
36-37,0.0008124869784977605,98299.20133338968,79.8668210801088,98259.26792284963,4554086.398561256,46.32882400657259
37-38,0.0008809774623058129,98219.33451230956,86.52902006802023,98176.07000227555,4455827.130638407,45.366089607133
38-39,0.0009592077067312591,98132.80549224155,94.12974331131772,98085.74062058589,4357651.060636131,44.40565047313001
39-40,0.0010474818467708332,98038.67574893023,102.69373312845633,97987.328882366,4259565.320015545,43.447805546904526
40-41,0.001146435873916513,97935.98201580177,112.27732313015761,97879.84335423668,4161577.991133179,42.492839766100644
41-42,0.0012552267738421378,97823.70469267161,122.79093324666819,97762.30922604828,4063698.1477789422,41.541037119230786
42-43,0.0013746138276615884,97700.91375942495,134.30102702887788,97633.76324591051,3965935.838552894,40.59261767314137
43-44,0.0015055643980164,97566.61273239607,146.89281856494912,97493.16632311359,3868302.0753069837,39.64780540159667
44-45,0.0016491509284423042,97419.71991383113,160.65982154448383,97339.39000305888,3770808.90898387,38.7068338147471
45-46,0.0018065568513781307,97259.06009228664,175.70402136831777,97171.20808160248,3673469.518980811,37.76994673293315
46-47,0.0019790841649914184,97083.35607091832,192.13613268417794,96987.28800457623,3576298.3108992083,36.837398866668366
47-48,0.002168162519115123,96891.21993823415,210.07591150141917,96786.18198248344,3479311.022894632,35.90945624497875
48-49,0.002375359708938518,96681.14402673273,229.65249413518282,96566.31777966513,3382524.840912149,34.98639651985155
49-50,0.0026023935246141496,96451.49153259755,251.00473700380834,96325.98916409563,3285958.5231324835,34.06850916371712
50-51,0.0028511449452548435,96200.48679559374,274.2815316583124,96063.34602976458,3189632.5339683876,33.15609556888939
51-52,0.003123672697796709,95926.20526393542,299.64206838619805,95776.38422974233,3093569.187938623,32.249469052036886
52-53,0.0034222292262384322,95626.56319554923,327.256019372545,95462.93518586295,2997792.8037088807,31.34895476248181
53-54,0.003749278136185703,95299.30717617668,357.30360878928445,95120.65537178204,2902329.8685230175,30.45488948998943
54-55,0.004107513194591109,94942.0035673874,389.9755323739599,94747.01580120041,2807209.2131512356,29.56762136538177
55-56,0.00449987897597499,94552.02803501343,425.47268309055477,94339.29169346816,2712462.1973500354,28.68750944554661
56-57,0.004929593254857849,94126.55535192287,464.0056323658429,93894.55253573995,2618122.9056565673,27.814923173039315
57-58,0.005400171249990519,93662.54971955702,505.7938081963594,93409.65281545884,2524228.3531208276,26.950241699364728
58-59,0.005915451829369469,93156.75591136065,551.0643021739835,92881.22376027366,2430818.7003053688,26.09385306008628
59-60,0.006479625785906994,92605.69160918667,600.0502272726369,92305.66649555035,2337937.476545095,25.246153189067776
60-61,0.007097266291745907,92005.64138191404,652.9885372303208,91679.14711329888,2245631.8100495446,24.407544758347594
61-62,0.007773361634157048,91352.65284468372,710.1172068013321,90997.59424128305,2153952.6629362456,23.578435829316973
62-63,0.008513350327165851,90642.53563788239,771.6716604279084,90256.69980766844,2062955.0686949624,22.759238299957577
63-64,0.00932315867979114,89870.86397745449,837.8803255517337,89451.92381467862,1972698.368887294,21.95036613181082
64-65,0.010209240883151102,89032.98365190276,908.9591766479293,88578.50406357879,1883246.4450726155,21.1522333390022
65-66,0.011178621653625487,88124.02447525483,985.105128203706,87631.47191115298,1794667.9410090367,20.365251719898225
66-67,0.01205263496367817,87138.91934705112,1050.2535860194005,86613.79255404143,1707036.4690978837,19.589828309658188
67-68,0.013262405508513332,86088.66576103172,1141.74279500967,85517.79436352689,1620422.6765438423,18.822717975928153
68-69,0.014591812006143595,84946.92296602204,1239.5295304205556,84327.15820081177,1534904.8821803154,18.068987416934014
69-70,0.016052308654528166,83707.3934356015,1343.6969160943,83035.54497755434,1450577.7239795036,17.329146977864923
70-71,0.017656367380264548,82363.6965195072,1454.2436845450356,81636.57467723468,1367542.1790019493,16.603700863256638
71-72,0.0194175516586957,80909.45283496217,1571.063480099681,80123.92109491232,1285905.6043247145,15.893144240484293
72-73,0.021350592076453123,79338.38935486249,1693.92158711848,78491.42856130326,1205781.6832298022,15.197960193477286
73-74,0.02347146276552842,77644.467767744,1822.429234159875,76733.25315066407,1127290.2546684989,14.518616548966948
74-75,0.02579745758207692,75822.03853358413,1956.0158228567384,74844.03062215575,1050557.0015178348,13.855562602059399
75-76,0.02834726460220028,73866.02271072738,2093.8996908931244,72819.07286528082,975712.9708956791,13.209225772406164
76-77,0.031141037156867293,71772.12301983425,2235.058349787909,70654.5938449403,902893.8980303983,12.580008226604683
77-78,0.03420045922568491,69537.06467004634,2378.1995449217347,68347.96489758548,832239.304185458,11.96828350656498
78-79,0.03754880255254683,67158.8651251246,2521.7349662364268,65897.99764200639,763891.3392878725,11.37439320728032
79-80,0.04121097233550585,64637.130158888176,2663.7589828244313,63305.25066747596,697993.3416458662,10.798643750582512
80-81,0.04521353778174532,61973.371176063745,2802.0353591310845,60572.3534964982,634688.0909783902,10.241303303886244
81-82,0.04958474321361049,59171.33581693266,2933.995492088919,57704.3380708882,574115.737481892,9.702598894473516
82-83,0.05435449477603953,56237.34032484374,3056.7522209050762,54708.9642143912,516411.3994110038,9.182713770389153
83-84,0.05955431714910052,53180.588103938666,3167.1336101176457,51597.021298879845,461702.4351966126,8.681785058379562
84-85,0.06521727403994358,50013.454493821024,3261.7411674077734,48382.58391011714,410105.41389773274,8.199901767401405
85-86,0.07137784565482813,46751.71332641325,3337.0365779114964,45083.1950374575,361722.8299876156,7.73710318298118
86-87,0.07807175588431971,43414.676748501755,3389.4600449056798,41719.94672604892,316639.63495015807,7.2933776930882095
87-88,0.08533574163664573,40025.216703596074,3415.5815515688314,38317.42592781166,274919.6882241091,6.868662080208273
88-89,0.09320725670250367,36609.635152027244,3412.2836614000053,34903.49332132724,236602.26229629747,6.462841307043065
89-90,0.10172410281929718,33197.35149062724,3376.970796360914,31508.866092446784,201698.76897497024,6.075748814838942
90-91,0.11092398132463775,29820.380694266325,3307.795351224386,28166.483018654133,170189.90288252346,5.7071673439516655
91-92,0.12084396005527093,26512.585343041937,3203.8858041565213,24910.64244096368,142023.41986386932,5.356830276121769
