x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.003939368019540431,100000.0,393.9368019540431,99803.03159902297,7794479.6989,77.944796989
1-2,0.0006744331128965094,99606.06319804596,67.17762726602459,99572.47438441294,7694676.667300977,77.25108713514469
2-3,0.00040763468939971985,99538.88557077994,40.57550270283914,99518.59781942851,7595104.192916564,76.30288554432177
3-4,0.00027617954316985213,99498.3100680771,27.479397820773833,99484.57036916671,7495585.595097135,75.33379803102815
4-5,0.0002481868824268831,99470.83067025633,24.687355356463303,99458.4869925781,7396101.0247279685,74.35447130471731
5-6,0.0002505410406542766,99446.14331489986,24.915340235169346,99433.68564478228,7296642.5377353905,73.37280556602687
6-7,0.0002575748966705128,99421.2279746647,25.608412522429756,99408.42376840347,7197208.852090608,72.39106777000036
7-8,0.000257817012662382,99395.61956214227,25.62588170723814,99382.80662128865,7097800.428322205,71.40958987518209
8-9,0.00024617091830867545,99369.99368043503,24.462002596639966,99357.76267913671,6998417.621700916,70.42787628836123
9-10,0.0002289169081971308,99345.53167783839,22.74187195489088,99334.16074186093,6899059.85902178,69.44509473656373
10-11,0.00021843235523106815,99322.7898058835,21.695310905419458,99311.94215043078,6799725.698279919,68.46088104823984
11-12,0.00022450202449819824,99301.09449497808,22.293296749009468,99289.94784660358,6700413.756129488,67.47572914685594
12-13,0.00025526038504726853,99278.80119822908,25.341945020891178,99266.13022571863,6601123.808282885,66.49076871005403
13-14,0.00031830217767026887,99253.45925320819,31.592592221603464,99237.66295709739,6501857.678057166,65.50761783999992
14-15,0.00041415812034861646,99221.86666098659,41.09354179379526,99201.3198900897,6402620.015100068,64.52831649475043
15-16,0.0005285282000735904,99180.77311919279,52.419835498594104,99154.5632014435,6303418.695209979,63.55484532909115
16-17,0.0006359570884656853,99128.35328369419,63.04137893869601,99096.83259422483,6204264.132008536,62.58818921618349
17-18,0.000721080008203597,99065.3119047555,71.43401592097298,99029.59489679501,6105167.299414311,61.62769976724053
18-19,0.0007785563588179799,98993.87788883453,77.07231311440275,98955.34173227733,6006137.704517515,60.67180953616269
19-20,0.0008151039996318275,98916.80557572012,80.62748385557333,98876.49183379233,5907182.362785238,59.718693182659756
20-21,0.0008505267163206712,98836.17809186455,84.06281000615861,98794.14668686147,5808305.870951446,58.76700195299783
21-22,0.0008892997261794905,98752.1152818584,87.82022907980215,98708.20516731849,5709511.7242645845,57.81660178081745
22-23,0.0009199052998637877,98664.29505277859,90.76180792637551,98618.9141488154,5610803.519097266,56.86761878849764
23-24,0.0009301995589298237,98573.53324485221,91.69305714651584,98527.68671627896,5512184.604948451,55.91951940341261
24-25,0.0009245135121456448,98481.84018770569,91.04779195450189,98436.31629172844,5413656.918232172,54.971118613480215
25-26,0.0009181242477209645,98390.79239575118,90.33497225101864,98345.62490962567,5315220.601940444,54.02152449958287
26-27,0.0009197576785169838,98300.45742350016,90.41260051699612,98255.25112324167,5216874.977030818,53.07070906654447
27-28,0.0009285988324337789,98210.04482298317,91.19773295589127,98164.44595650522,5118619.725907576,52.119105893226454
28-29,0.0009481139774910432,98118.84709002728,93.02785038136123,98072.3331648366,5020455.279951071,51.16708388699918
29-30,0.0009772010698592944,98025.81923964592,95.7909354348158,97977.92377192852,4922382.946786235,50.21516764631546
30-31,0.0010108067095465979,97930.0283042111,98.98832967598482,97880.5341393731,4824405.023014307,49.263796881868686
31-32,0.0010491557973879985,97831.03997453512,102.64000275378055,97779.71997315822,4726524.488874934,48.313137528796815
32-33,0.001096214400054962,97728.39997178134,107.13127934339764,97674.83433210965,4628744.768901776,47.363353643754586
33-34,0.0011508204276738285,97621.26869243794,112.34455018669316,97565.0964173446,4531069.934569666,46.41478230369135
34-35,0.0012111696009330074,97508.92414225124,118.09984474077733,97449.87421988085,4433504.838152322,45.46768285213041
35-36,0.0012758740798947373,97390.82429751047,124.25842834077619,97328.69508334008,4336054.963932442,44.52221238714047
36-37,0.0013472861417476109,97266.56586916969,131.04589625091347,97201.04292104424,4238726.268849102,43.57845094017696
37-38,0.001427936681243025,97135.51997291877,138.7033720209452,97066.1682869083,4141525.2259280575,42.636568240770295
38-39,0.001518092115183861,96996.81660089783,147.25010247975803,96923.19154965795,4044459.057641149,41.696822631637914
39-40,0.0016172154412369551,96849.56649841808,156.62661441834703,96771.2531912089,3947535.866091491,40.75945828994464
40-41,0.0017257633570941762,96692.93988399973,166.86913254151673,96609.50531772897,3850764.6129002823,39.82467197212077
41-42,0.0018466098921966043,96526.07075145822,178.24599710451204,96436.94775290597,3754155.1075825533,38.892654371573904
42-43,0.0019811691792975786,96347.8247543537,190.88134089568985,96252.38408390585,3657718.1598296473,37.96368178685181
43-44,0.002131150624210737,96156.94341345801,204.92492997778754,96054.4809484691,3561465.7757457416,37.03805101657675
44-45,0.002297675671845781,95952.01848348022,220.46661853398922,95841.78517421322,3465411.2947972724,36.116085409854115
45-46,0.0024815775881227922,95731.55186494623,237.56527358426527,95612.7692281541,3369569.509623059,35.1981080843304
46-47,0.0026840387469839093,95493.98659136197,256.3095601151774,95365.83181130438,3273956.740394905,34.28442834211987
47-48,0.0029071454115080766,95237.6770312468,276.86977578407726,95099.24214335476,3178590.908583601,33.37535109703199
48-49,0.003152809077514862,94960.80725546273,299.3932951231621,94811.11060790115,3083491.666440246,32.47120317906591
49-50,0.0034233037901513254,94661.41396033956,324.054777191514,94499.3865717438,2988680.555832345,31.572321084116883
50-51,0.0037219221734144216,94337.35918314804,351.1163089251193,94161.80102868548,2894181.169260601,30.67905646629128
51-52,0.0040509437138234175,93986.24287422292,380.7329797572143,93795.87638434432,2800019.3682319154,29.791800189087684
52-53,0.004411518349770749,93605.50989446571,412.94242453908294,93399.03868219617,2706223.491847571,28.910942260756517
53-54,0.004805467297068909,93192.56746992662,447.83383530662024,92968.65055227332,2612824.4531653747,28.036833023283073
54-55,0.005236208652426986,92744.73363462,485.63077672463334,92501.91824625769,2519855.8026131014,27.169799339123692
55-56,0.005708184045280331,92259.10285789537,526.6319389653154,91995.78688841271,2427353.884366844,26.31018305159159
56-57,0.0062270233283995904,91732.47091893005,571.2202363839144,91446.8608007381,2335358.097478431,25.458358137352903
57-58,0.006798213935790017,91161.25068254613,619.7336847941323,90851.38384014906,2243911.236677693,24.61474826065891
58-59,0.007428692969782836,90541.516997752,672.6051307946734,90205.21443235467,2153059.852837544,23.779807586954846
59-60,0.008124043771548718,89868.91186695732,730.0989737086153,89503.86238010302,2062854.6384051894,22.954040452376418
60-61,0.008888173367828942,89138.8128932487,792.2812227976602,88742.67228184987,1973350.7760250864,22.137952166676726
61-62,0.009725696343098672,88346.53167045105,859.2315399927568,87916.91590045467,1884608.1037432365,21.331998756591535
62-63,0.010644500766764453,87487.30013045829,931.2586333208151,87021.67081379789,1796691.187842782,20.536594284697472
63-64,0.011651565215449711,86556.04149713747,1008.5133622950686,86051.78481598993,1709669.517028984,19.752168507908547
64-65,0.012754916488446448,85547.5281348424,1091.1515771529378,85001.95234626593,1623617.732212994,18.979130871599263
65-66,0.013964407761454207,84456.37655768947,1179.383280306498,83866.68491753621,1538615.779866728,18.21787581445373
66-67,0.015255237445558087,83276.99327738296,1270.4103061986216,82641.78812428366,1454749.094949192,17.46879945705586
67-68,0.01680146257226499,82006.58297118434,1377.830534469697,81317.6677039495,1372107.3068249081,16.731672715921384
68-69,0.018504051460389744,80628.75243671464,1491.9585842759927,79882.77314457664,1290789.6391209587,16.009048882829944
69-70,0.020378749168859202,79136.79385243864,1612.708871946566,78330.43941646536,1210906.865976382,15.30143953309864
70-71,0.022443126298080023,77524.08498049207,1739.8828303602722,76654.14356531194,1132576.4265599167,14.609349169937508
71-72,0.02471664244469652,75784.2021501318,1873.1310275014087,74847.6366363811,1055922.2829946047,13.933277029199
72-73,0.027218774924375962,73911.07112263038,2011.7688093064203,72905.18671797718,981074.6463582236,13.273717069131127
73-74,0.029969569495506977,71899.30231332396,2154.791137357628,70821.90674464515,908169.4596402465,12.631130350648059
74-75,0.03298850129698599,69744.51117596633,2300.766897386019,68594.12772727331,837347.5528956014,12.00592761748609
75-76,0.036295014980062046,67443.74427858031,2447.8717089025463,66219.80842412903,768753.4251683281,11.398439297690047
76-77,0.03991118652978949,64995.87256967777,2594.0623937948376,63698.84137278035,702533.6167441991,10.808895841671474
77-78,0.04385903433749444,62401.81017588293,2736.8831352258594,61033.36860827,638834.7753714187,10.237439804563806
78-79,0.04815807975467419,59664.92704065707,2873.34831498078,58228.25288316668,577801.4067631487,9.684104806990234
79-80,0.052824601667933825,56791.57872567629,2999.992524276955,55291.582463537816,519573.15387998207,9.148771094913682
80-81,0.058498976797668356,53791.58620139934,3146.752753105437,52218.20982484662,464281.57141644426,8.631118808769509
81-82,0.06436211975046068,50644.8334482939,3259.6088351412286,49015.029030723286,412063.36159159767,8.136335604939758
82-83,0.0707705234997066,47385.22461315268,3353.477152023997,45708.486037140676,363048.3325608744,7.6616357846724945
83-84,0.07776467168083341,44031.74746112868,3424.114384848042,42319.69026870466,317339.84652373375,7.207069099491952
84-85,0.0853859403335373,40607.63307628064,3467.3209349374747,38873.9726088119,275020.1562550291,6.772622175205561
85-86,0.09367614674933962,37140.312141343165,3479.1613304687426,35400.73147610879,236146.1836462172,6.358217527831393
86-87,0.10267699727728881,33661.150810874424,3456.225890158561,31933.037865795144,200745.4521701084,5.963713281759114
87-88,0.1124294287765731,30204.92492071586,3395.9224550753615,28506.96369317818,168812.41430431325,5.588903622420008
88-89,0.1229728418797619,26809.0024656405,3296.7792211613564,25160.612855059822,140305.45061113508,5.233520001012951
89-90,0.1343442288559899,23512.223244479144,3158.7315004694315,21932.85749424443,115144.83775607526,4.897233092711136
90-91,0.14657720465000787,20353.491744009712,2983.357924703957,18861.812781657733,93211.98026183083,4.579655492736979
91-92,0.1597009565163216,17370.133819305756,2774.026985759636,15983.120326425938,74350.1674801731,4.280345117291946
92-93,0.17373913531629445,14596.10683354612,2535.9149802445595,13328.14934342384,58367.04715374716,3.998809259165096
93-94,0.18870871957849283,12060.191853301561,2275.863362507508,10922.260172047807,45038.897810323324,3.7345092315420847
94-95,0.2046188912411883,9784.328490794052,2002.0584473258482,8783.299267131128,34116.63763827552,3.486865518709375
95=96,0.22146996884813153,7782.270043468205,1723.5391040946504,6920.500491420879,25333.33837114439,3.2552633395710937
96-97,0.23925244900075673,6058.730939373554,1449.5662150817782,5333.947831832665,18412.83787972351,3.039058519675296
97-98,0.2579462092169913,4609.164724291776,1188.9165682877424,4014.7064401479047,13078.890047890844,2.837583560197122
98-99,0.27751992425297617,3420.2481560040337,949.1870091806209,2945.6546514137235,9064.18360774294,2.650153788353435
99-100,0.29793074289872723,2471.061146823413,736.2050832212802,2102.958605212773,6118.528956329216,2.4760734732099525
100-101,0.31912426312566516,1734.8560636021325,553.6346629261226,1458.0387321390713,4015.5703511164434,2.3146417938435753
101-102,0.34103483057285283,1181.2214006760098,402.8376402485709,979.8025805517243,2557.531618977372,2.165158553268425
102-103,0.3635861695329255,778.3837604274389,283.00956988044686,636.8789754872155,1577.7290384256478,2.026929541232026
103-104,0.38669233809746023,495.37419054699205,191.55740397575315,399.5954885591155,940.8500629384323,1.8992714616390205
104-105,0.41025898149642775,303.81678657123894,124.64356542023405,241.49500386112192,541.2545743793169,1.781516355589534
105-106,0.43418484154937276,179.17322115100487,77.79429663533978,140.27607283333498,299.75957051819495,1.6730154684530758
106-107,0.45836346700895947,101.37892451566509,46.46839532263985,78.14472685434517,159.48349768485997,1.573142528851907
107-108,0.48268506051306176,54.91052919302524,26.504492106339633,41.65828313985543,81.3387708305148,1.4812964294076862
108-109,0.5070383934334513,28.406037086685608,14.402951408244105,21.204561382563554,39.680487690659376,1.3969033262037913
109-110,0.5313127201049039,14.003085678441503,7.440017541674779,10.283076907604114,18.475926308095822,1.3194182148396405
