x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006339924867467235,100000.0,633.9924867467234,99683.00375662664,7507005.5148,75.070055148
1-2,0.00034540301850707477,99366.00751325328,34.321318932074355,99348.84685378724,7407322.5110433735,74.5458401360787
2-3,0.00027930280848141446,99331.6861943212,27.743618925268454,99317.81438485856,7307973.664189586,73.57142462973093
3-4,0.0002584275350185448,99303.94257539594,25.662873097382697,99291.11113884725,7208655.849804728,72.59183938574844
4-5,0.00025933913946162365,99278.27970229855,25.746743625224482,99265.40633048593,7109364.738665881,71.61047471797883
5-6,0.00027307011356237515,99252.53295867333,27.102900446378307,99238.98150845013,7010099.332335395,70.62892123120176
6-7,0.0002899816830526824,99225.43005822695,28.773557209910877,99211.043279622,6910860.350826944,69.64807657443812
7-8,0.0003035376051468328,99196.65650101705,30.109915552891717,99181.6015432406,6811649.3075473225,68.6681340663683
8-9,0.00030964078234192597,99166.54658546415,30.706007066870168,99151.19358193071,6712467.706004082,67.68883194111346
9-10,0.0003101701459137443,99135.84057839728,30.74897813748318,99120.46608932855,6613316.512422152,66.7096427874871
10-11,0.0003125272777487338,99105.0916002598,30.973044488868098,99089.60507801536,6514196.046332823,65.7301854137608
11-12,0.00032838040604603997,99074.11855577093,32.53399927999756,99057.85155613093,6415106.441254808,64.75057799927443
12-13,0.000370523042522592,99041.58455649093,36.697189246129575,99023.23596186786,6316048.589698677,63.7716835608194
13-14,0.00044496909919548215,99004.8873672448,44.054115547753085,98982.86030947093,6217025.353736809,62.79513586713778
14-15,0.0005410970059548299,98960.83325169704,53.54741057928844,98934.0595464074,6118042.493427338,61.82286761740077
15-16,0.0006398490500471088,98907.28584111776,63.28573288817705,98875.64297467367,6019108.433880931,60.85606720166075
16-17,0.0007320176863293843,98844.00010822958,72.35555626676764,98807.8223300962,5920232.790906257,59.894710699929966
17-18,0.0008266244781254288,98771.64455196282,81.64705913135661,98730.82102239714,5821424.968576161,58.93822052860085
18-19,0.0009266458913112218,98689.99749283146,91.45068069024705,98644.27215248634,5722694.147553764,57.98656695648861
19-20,0.0010335463722456273,98598.54681214121,101.90617036637921,98547.59372695802,5624049.875401278,57.039886055488445
