x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.011627645801253476,100000.0,1162.7645801253475,99418.61770993733,7466630.3656,74.666303656
1-2,0.0008316485626431537,98837.23541987465,82.19784477256175,98796.13649748836,7367211.747890063,74.53882857602298
2-3,0.0006985457887424736,98755.03757510209,68.9849156151923,98720.54511729449,7268415.611392574,73.60045411217656
3-4,0.000570531646195757,98686.0526594869,56.30351608037823,98657.90090144672,7169695.06627528,72.65155382203892
4-5,0.0004461490729111507,98629.74914340652,44.003571141790175,98607.74735783561,7071037.165373833,71.69274206601324
5-6,0.0003676091409344027,98585.74557226473,36.24102123819783,98567.62506164562,6972429.418015997,70.72451881905289
6-7,0.00030812150645057675,98549.50455102653,30.365221802220265,98534.32194012542,6873861.792954352,69.75034348747266
7-8,0.0002637787360317311,98519.13932922432,25.9872540471968,98506.14570220072,6775327.471014227,68.7716875842055
8-9,0.00023395142890684942,98493.15207517712,23.04261366552731,98481.63076834436,6676821.325312026,67.78970095520744
9-10,0.00020623286303987894,98470.10946151159,20.307772598097806,98459.95557521255,6578339.694543681,66.80544716074391
10-11,0.00017972073814778668,98449.80168891349,17.693471030034747,98440.95495339847,6479879.738968468,65.81912434363159
11-12,0.0001777917441037358,98432.10821788345,17.500416195865164,98423.35800978552,6381438.78401507,64.83086565503095
12-13,0.0001830789194601066,98414.60780168758,18.01764005542314,98405.59898165987,6283015.426005284,63.84230518568957
13-14,0.00020087468171728202,98396.59016163216,19.765383730783704,98386.70746976677,6184609.827023624,62.853903949968306
14-15,0.00026146504095755983,98376.82477790138,25.722100519828672,98363.96372764146,6086223.1195538575,61.86643178710338
15-16,0.0003887339408048065,98351.10267738155,38.23241172627669,98331.98647151841,5987859.155826216,60.88248116005396
16-17,0.0005326909227235361,98312.87026565528,52.37037357741121,98286.68507886658,5889527.169354698,59.90596300810222
17-18,0.0006269770242245863,98260.49989207786,61.60707582115526,98229.69635416729,5791240.484275831,58.93762489135009
18-19,0.0006786399965213266,98198.8928162567,66.64169627922257,98165.57196811709,5693010.787921663,57.97428692576046
19-20,0.0007026281358023603,98132.25111997747,68.95048066651886,98097.77587964422,5594845.215953547,57.01331776352743
