x to x + n,nqx,Ix,ndx,nLx,Tx,ex
0-1,0.011403094310931726,100000.0,1140.3094310931726,99429.84528445342,7187797.1673,71.877971673
1-2,0.000961597757129712,98859.69056890682,95.06325672159815,98812.15894054603,7088367.322015546,71.70128978984451
2-3,0.0008093788709925161,98764.62731218523,79.9380025479331,98724.65831091127,6989555.163075,70.76982269149568
3-4,0.0006600903455665348,98684.6893096373,65.14081066852461,98652.11890430303,6890830.504764088,69.8267436718894
4-5,0.0005177869601831852,98619.54849896877,51.06391623191925,98594.01654085281,6792178.385859786,68.87253581302706
5-6,0.0004414677637746012,98568.48458273686,43.51480846739209,98546.72717850316,6693584.369318933,67.90795656090708
6-7,0.0003740524005568441,98524.96977426947,36.853501458856,98506.54302354004,6595037.64214043,66.93772814394482
7-8,0.00031950094766029406,98488.11627281061,31.467046482440217,98472.3827495694,6496531.099116891,65.96258863477088
8-9,0.0002823877785311921,98456.64922632817,27.802954456647623,98442.74774909984,6398058.716367321,64.98351067848878
9-10,0.0002422643571760144,98428.84627187152,23.84580116963169,98416.9233712867,6299615.968618222,64.00172517737306
10-11,0.0002206335471307098,98405.00047070188,21.711444309250123,98394.14474854726,6201199.0452469345,63.017113109950316
11-12,0.0002394980436193079,98383.28902639264,23.56260524665396,98371.50772376932,6102804.900498387,62.030909526324415
12-13,0.0002754097225351969,98359.72642114598,27.08922496228569,98346.18180866484,6004433.392774618,61.04564958899426
13-14,0.00034540760924407006,98332.6371961837,33.96484112459833,98315.6547756214,5906087.210965954,60.06232904323215
14-15,0.0004644410098194709,98298.6723550591,45.65393465249695,98275.84538773284,5807771.556190332,59.08290943353139
15-16,0.0006247272682222364,98253.0184204066,61.38133979236969,98222.32775051042,5709495.7108026,58.1101303816715
16-17,0.0008102768721829529,98191.63708061424,79.56241256820375,98151.85587433014,5611273.383052089,57.146143499423445
17-18,0.000982697296626944,98112.07466804603,96.4144705427497,98063.86743277466,5513121.527177759,56.192079780505544
18-19,0.0011008530385079494,98015.66019750328,107.90083734978417,97961.70977882839,5415057.6597449845,55.246862071158304
19-20,0.0011851272409398041,97907.7593601535,116.03315271709701,97849.74278379495,5317095.949966156,54.30719674022187
20-21,0.0012424470004995193,97791.72620743641,121.5010369000996,97730.97568898636,5219246.207182361,53.371040778145826
21-22,0.0013054114930692374,97670.22517053632,127.49983446827842,97606.47525330218,5121515.231493374,52.436811961383256
22-23,0.001415256190264396,97542.72533606803,138.04794584713002,97473.70136314447,5023908.756240072,51.50469949379606
23-24,0.0015603981886099239,97404.67739022091,151.99008216183472,97328.68234914,4926435.054876927,50.57698651514167
24-25,0.0016945254799259526,97252.68730805907,164.7971566347774,97170.28872974169,4829106.372527787,49.65524867432236
25-26,0.0017953705714310751,97087.89015142429,174.3087408202001,97000.73578101418,4731936.083798046,48.738684880450336
26-27,0.0018473627247558265,96913.58141060409,179.03453782053919,96824.06414169382,4634935.348017032,47.82544696578396
27-28,0.00187535698247272,96734.54687278355,181.41180792420926,96643.84096882145,4538111.283875339,46.913036041234044
28-29,0.0018608970901389872,96553.13506485935,179.67544808599337,96463.29734081635,4441467.442906518,46.00024059211513
29-30,0.0018405155424518617,96373.45961677335,177.3768503045282,96284.7711916211,4345004.145565702,45.085069715702865
30-31,0.0018836195690180295,96196.08276646883,181.1968239617987,96105.48435448793,4248719.37437408,44.16728053977538
31-32,0.001942928027040403,96014.88594250703,186.5500129107845,95921.61093605163,4152613.8900195924,43.249688308812296
32-33,0.0019797951522039447,95828.33592959624,189.72047491718573,95733.47569213765,4056692.2790835407,42.332909569294166
33-34,0.0020423779035422503,95638.61545467906,195.3301949300109,95540.95035721405,3960958.803391403,41.41589445393436
34-35,0.0021291705963705264,95443.28525974906,203.21503659606216,95341.67774145103,3865417.853034189,40.49963119473987
35-36,0.0022262074218421823,95240.070223153,212.02415118755383,95134.05814755922,3770076.175292738,39.584978953283326
36-37,0.0023546473693767467,95028.04607196545,223.75753870036573,94916.16730261527,3674942.1171451784,38.67218436083719
37-38,0.0025230473204479256,94804.28853326509,239.19570615082648,94684.69068018968,3580025.949842563,37.76227853433442
38-39,0.002724630898606258,94565.09282711426,257.65497384632454,94436.2653401911,3485341.2591623734,36.85653082934463
39-40,0.002949733359882108,94307.43785326794,278.1817955207931,94168.34695550754,3390904.993822182,35.95585959082103
40-41,0.0031892610631494554,94029.25605774714,299.883845141883,93879.3141351762,3296736.6468666745,35.06075433418314
41-42,0.003440629894939645,93729.37221260526,322.4880800686149,93568.12817257096,3202857.3327314984,34.17133025778188
42-43,0.003721102668774751,93406.88413253665,347.57660582751606,93233.0958296229,3109289.2045589276,33.287580818423436
43-44,0.004036080135399058,93059.30752670913,375.5948225225428,92871.51011544786,3016056.1087293047,32.41004246527045
44-45,0.004387341680029634,92683.71270418659,406.6351158069699,92480.3951462831,2923184.598613857,31.53935587306069
45-46,0.004774740983186894,92277.07758837962,440.59914416995304,92056.77801629464,2830704.2034675735,30.676136234986725
46-47,0.00519581305830462,91836.47844420966,477.16517392913534,91597.8958572451,2738647.4254512787,29.820910730097275
