x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.011068318326132892,100000.0,1106.8318326132892,99446.58408369335,6914955.3876,69.149553876
1-2,0.0010869842177159063,98893.16816738671,107.49531303787441,98839.42051086777,6815508.803516307,68.9178932156402
2-3,0.0009151138910783244,98785.67285434884,90.40014146853358,98740.47278361458,6716669.383005439,67.99234331185457
3-4,0.0007470483115377828,98695.27271288031,73.73013683691825,98658.40764446185,6617928.910221824,67.05416306487541
4-5,0.000588332794208021,98621.54257604339,58.02228771286891,98592.53143218695,6519270.502577363,66.10391941041276
5-6,0.0005149276763601282,98563.52028833052,50.753084475944384,98538.14374609255,6420677.971145175,65.14253906884204
6-7,0.0004399714492084881,98512.76720385457,43.342804952218316,98491.09580137847,6322139.8273990825,64.1758424501115
7-8,0.0003752151197888965,98469.42439890235,36.94721687137783,98450.95079046667,6223648.731597704,63.20387033426266
8-9,0.00033055348258174884,98432.47718203097,32.537198131668866,98416.20858296513,6125197.780807237,62.227406605646244
9-10,0.00027772483392146435,98399.9399838993,27.32810698991049,98386.27593040434,6026781.572224272,61.24781756178312
10-11,0.0002603516033785555,98372.61187690939,25.61146723068969,98359.80614329404,5928395.296293868,60.26469342617319
11-12,0.00029856257833855667,98347.0004096787,29.362734014176763,98332.31904267162,5830035.490150574,59.280257312014754
12-13,0.0003628304647969608,98317.63767566452,35.67263417560054,98299.80135857672,5731703.171107902,58.297812138407465
13-14,0.00048157640395040166,98281.96504148892,47.33027529785932,98258.29990383999,5633403.369749325,57.31879055705928
14-15,0.0006556137692724205,98234.63476619105,64.40397917216208,98202.43277660497,5535145.0698454855,56.34616632941857
15-16,0.0008473017409817448,98170.2307870189,83.1798074584208,98128.64088328969,5436942.637068881,55.38280386509808
16-17,0.0010721518237362508,98087.05097956047,105.16421059264637,98034.46887426414,5338813.996185591,54.42934559525193
17-18,0.0013180315649520189,97981.88676896783,129.14321955505417,97917.3151591903,5240779.527311327,53.48722810031815
18-19,0.001497779937208851,97852.74354941277,146.56187608915326,97779.46261136819,5142862.2121521365,52.55715911077283
19-20,0.0016370084558571247,97706.18167332362,159.9458455887432,97626.20875052924,5045082.749540769,51.635246236607465
20-21,0.0017543281056607205,97546.23582773488,171.12810311400403,97460.67177617789,4947456.540790239,50.719092323842915
21-22,0.0018595847085189545,97375.10772462087,181.0772613150909,97284.56909396334,4849995.869014061,49.8073479182171
22-23,0.0019756120253456785,97194.03046330578,192.01769537512112,97098.02161561823,4752711.299920098,48.89920993362258
23-24,0.0021599671011477443,97002.01276793066,209.52115632384368,96897.25218976874,4655613.27830448,47.99501727291631
24-25,0.002352714415363751,96792.49161160682,227.7250903136023,96678.62906645001,4558716.026114712,47.097827013351264
25-26,0.0025052457738497405,96564.76652129322,241.91847323025675,96443.80728467809,4462037.397048262,46.20771693228659
26-27,0.002584773368060804,96322.84804806297,248.97273237040073,96198.36168187777,4365593.589763584,45.32251359080713
27-28,0.0026267050616042413,96073.87531569257,252.35773457966442,95947.69644840274,4269395.228081706,44.43866986787769
28-29,0.002560288935906818,95821.5175811129,245.33077128472402,95698.85219547054,4173447.531633303,43.554387751169564
