x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006139166676268069,100000.0,613.9166676268069,99693.04166618659,8077727.3881,80.777273881
1-2,0.0008121370540435826,99386.0833323732,80.71512093048358,99345.72577190795,7978034.346433814,80.27315373474543
2-3,0.0003635577559949388,99305.3682114427,36.10323682520324,99287.3165930301,7878688.620661906,79.33799312728458
3-4,0.0002498542742815905,99269.2649746175,24.802850158699965,99256.86354953815,7779401.3040688755,78.36666571529483
4-5,0.0002168396208305258,99244.4621244588,21.520131536597127,99233.70205869051,7680144.440519338,77.38612589675738
5-6,0.0001891458283118699,99222.9419929222,18.76760555079189,99213.55819014681,7580910.738460647,76.40280147106917
6-7,0.00018081923007629225,99204.17438737141,17.938022433078732,99195.20537615487,7481697.1802705005,75.41716088534791
7-8,0.00017406072496407371,99186.23636493833,17.264428208139137,99177.60415083426,7382501.974894346,74.43070979860276
8-9,0.00016327318680135655,99168.97193673019,16.191634079924235,99160.87611969022,7283324.370743511,73.44358047182614
9-10,0.00014839116654799718,99152.78030265027,14.71339673558755,99145.42360428248,7184163.494623821,72.45549214752373
10-11,0.00013508210458578265,99138.06690591467,13.391778722217085,99131.37101655356,7085018.071019539,71.46617129163369
11-12,0.0001340728564604211,99124.67512719246,13.28992834001395,99118.03016302246,6985886.700002985,70.47575884651324
12-13,0.00015803048061270133,99111.38519885244,15.662619837165224,99103.55388893386,6886768.669839962,69.48514195440485
13-14,0.00021258355148060177,99095.72257901527,21.066120642383524,99085.18951869408,6787665.115951029,68.49604543262495
14-15,0.0002851490566759892,99074.65645837289,28.251044829602733,99060.53093595809,6688579.926432335,67.51050334696444
15-16,0.00036874701031899273,99046.40541354328,36.52306587908698,99028.14388060373,6589519.395496377,66.52961677895831
16-17,0.0004404601435194369,99009.8823476642,43.60990698869473,98988.07739416986,6490491.251615773,65.55397398438474
17-18,0.0004803127316195571,98966.2724406755,47.534760654186144,98942.50506034841,6391503.174221603,64.58264029346903
18-19,0.00047654410539499473,98918.73768002131,47.139141354527915,98895.16810934404,6292560.669161255,63.613434792467714
19-20,0.00044067643478598606,98871.59853866679,43.57038354561099,98849.81334689398,6193665.50105191,62.643525467323016
20-21,0.000391560539652853,98828.02815512118,38.6971560372466,98808.67957710256,6094815.687705017,61.6709227278981
21-22,0.00035268283821915017,98789.33099908393,34.841301642527995,98771.91034826267,5996007.008127914,60.694884229791114
22-23,0.0003327354326424476,98754.4896974414,32.8591178548623,98738.06013851397,5897235.097779651,59.71612142240092
23-24,0.000345217350309929,98721.63057958653,34.08041972696052,98704.59036972305,5798497.037641137,58.73583128235059
