x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004834204397857031,100000.0,483.42043978570314,99758.28978010715,7599797.9006,75.99797900600001
1-2,0.0012374498904837888,99516.57956021429,123.14678047810843,99455.00616997524,7500039.610819893,75.3647245912613
2-3,0.0006047541487164416,99393.43277973618,60.10859082871421,99363.37848432182,7400584.604649918,74.4574807175662
3-4,0.00037661476623857573,99333.32418890746,37.41039666910604,99314.6189905729,7301221.226165596,73.50223387551671
4-5,0.0002706182146607084,99295.91379223835,26.871282913559156,99282.47815078158,7201906.607175023,72.5297379532044
5-6,0.00021500184881914934,99269.04250932479,21.34302767001156,99258.37099548978,7102624.129024242,71.54923578876124
6-7,0.0001842717990944464,99247.69948165478,18.28855213946948,99238.55520558504,7003365.758028752,70.5645147908267
7-8,0.0001674641655167566,99229.41092951532,16.61737049603061,99221.1022442673,6904127.202823167,69.57742808457574
8-9,0.00015928407594484743,99212.7935590193,15.803018143955299,99204.89204994732,6804906.1005788995,68.58899801597488
9-10,0.00015730303561640793,99196.99054087534,15.603987736091794,99189.18854700729,6705701.208528952,67.59984523689542
10-11,0.00016186561724671757,99181.38655313925,16.05405635380918,99173.35952496235,6606512.019981944,66.6104019068368
11-12,0.00017778959491198827,99165.33249678544,17.63056429391611,99156.51721463849,6507338.6604569815,65.62110464025243
12-13,0.000215760652587447,99147.70193249153,21.392172871500055,99137.00584605578,6408182.143242343,64.63268455385479
13-14,0.0002648321903054135,99126.30975962002,26.251837730533058,99113.18384075476,6309045.137396287,63.64652484991762
14-15,0.0004874929443767731,99100.05792188949,48.310579024250664,99075.90263237736,6209931.953555533,62.663252512427306
15-16,0.0007318887831514366,99051.74734286523,72.49486283179317,99015.49991144934,6110856.050923156,61.693571439689755
16-17,0.0009432516431649357,98979.25248003344,93.36234254102857,98932.57130876293,6011840.551011707,60.73839113125696
17-18,0.0010722710622427588,98885.8901374924,106.03247845854972,98832.87389826313,5912907.979702944,59.7952647387969
18-19,0.0011649599935759812,98779.85765903385,115.07458234390441,98722.3203678619,5814075.105804681,58.85891358411933
19-20,0.0012423916979862513,98664.78307668994,122.58030737809396,98603.4929230009,5715352.785436819,57.926978676823346
20-21,0.0013146557375332858,98542.20276931184,129.54907225984425,98477.42823318193,5616749.2925138185,56.99841422930922
21-22,0.0013552333940102335,98412.653697052,133.37211468340954,98345.96763971029,5518271.864280636,56.07278796960171
22-23,0.0013160736370216807,98279.28158236858,129.3427715559857,98214.61019659058,5419925.896640927,55.14820427435102
23-24,0.0012459743654213424,98149.9388108126,122.29230772594582,98088.79265694963,5321711.286444336,54.22022011345436
24-25,0.0011617130727784545,98027.64650308665,113.87999843634091,97970.70650386848,5223622.493787386,53.28723763273157
25-26,0.0010777212642854464,97913.76650465031,105.52374822834173,97861.00463053613,5125651.787283518,52.348632580078316
26-27,0.0010046564372357073,97808.24275642197,98.26368069995208,97759.110916072,5027790.7826529825,51.40457124021752
27-28,0.0009492157001020253,97709.97907572202,92.74784619531572,97663.60515262435,4930031.671736911,50.45576427681249
28-29,0.0009147147876104577,97617.2312295267,89.29192493123746,97572.58526706109,4832368.066584286,49.503228126005475
29-30,0.0009019919044424381,97527.93930459546,87.96941170969858,97483.95459874062,4734795.481317225,48.54809314210665
30-31,0.0009103272630895515,97439.96989288577,88.702261108119,97395.61876233171,4637311.526718484,47.591471259855766
31-32,0.0009382107276371418,97351.26763177765,91.33600364120824,97305.59962995704,4539915.907956152,46.63437897006101
32-33,0.0009838994056001545,97259.93162813644,95.69398891763511,97212.08463367763,4442610.308326195,45.6777033867561
33-34,0.0010457741119510866,97164.23763921882,101.6118443305584,97113.43171705354,4345398.223692518,44.722197479976586
34-35,0.0011225349614211217,97062.62579488826,108.95619090209766,97008.1476994372,4248284.791975464,43.76849232322331
35-36,0.0012132838935054698,96953.66960398616,117.63232574676725,96894.85344111278,4151276.6442760266,42.81711730182259
36-37,0.00131753675467007,96836.03727823938,127.58503829068142,96772.24475909404,4054381.790834914,41.86852234757854
37-38,0.0014351974955050016,96708.4522399487,138.79572844893946,96639.05437572423,3957609.54607582,40.92309880274348
38-39,0.0015665166462187042,96569.65651149976,151.27797444488687,96494.01752427733,3860970.4917000956,39.98119731574608
39-40,0.0017120476099134012,96418.37853705487,165.07285452609037,96335.84210979183,3764476.4741758183,39.043142306412875
40-41,0.0018726080401798293,96253.30568252878,180.24471411499024,96163.18332547128,3668140.6320660263,38.10924316890076
41-42,0.002049249456372502,96073.06096841379,196.87766796156419,95974.62213443301,3571977.448740555,37.179802670333615
42-43,0.002243235814078673,95876.18330045222,215.07288809674603,95768.64685640385,3476002.826606122,36.25512308633719
43-44,0.002456030477570038,95661.11041235547,234.94660269093754,95543.63711101,3380234.179749718,35.33551058710198
44-45,0.0026892905075031085,95426.16380966453,256.6286765007675,95297.84947141416,3284690.542638708,34.421278310949376
45-46,0.0029448670674390104,95169.53513316376,280.26162983713385,95029.4043182452,3189392.693167294,33.5127484725507
46-47,0.0032248108583618172,94889.27350332664,305.999959535592,94736.27352355883,3094363.288849049,32.610253768468006
47-48,0.003531381683853644,94583.27354379105,334.00963979146263,94416.26872389531,2999627.01532549,31.71413827135825
48-49,0.003867061458882156,94249.26390399958,364.46769597117,94067.030056014,2905210.7466015946,30.824757947826352
49-50,0.0042345701672554,93884.79620802842,397.56175718137,93686.01532943774,2811143.7165455804,29.9424808923981
50-51,0.004636884432944807,93487.23445084706,433.4895021041942,93270.48969979495,2717457.7012161426,29.067687339119065
51-52,0.005077258496353704,93053.74494874287,472.4579171585353,92817.5159901636,2624187.2115163477,28.200769490382555
52-53,0.005559247481282276,92581.28703158433,514.6822867442066,92323.94588821223,2531369.695526184,27.34213118751094
53-54,0.00608673290679249,92066.60474484012,560.3848327170759,91786.41232848159,2439045.7496379716,26.492187437537368
54-55,0.006663950445496092,91506.21991212305,609.7929149490558,91201.32345464852,2347259.33730949,25.651363804161658
55-56,0.0072955199603422565,90896.426997174,663.1366974816757,90564.85864843316,2256058.0138548412,24.820095666961507
56-57,0.007986477869133885,90233.29029969232,720.646176037626,89872.9672116735,2165493.155206408,23.99882735090501
57-58,0.008742311892105862,89512.6441236547,782.5474532160664,89121.37039704666,2075620.1879947344,23.188011127538896
58-59,0.009568998234406536,88730.09667043862,849.0581383781484,88305.56760124955,1986498.8175976877,22.388106089593734
59-60,0.010473041242920072,87881.03853206047,920.3817410169173,87420.847661552,1898193.2499964382,21.599576901949625
60-61,0.01146151555561191,86960.65679104356,996.7009205367741,86462.30633077517,1810772.4023348861,20.822892433827445
61-62,0.012542110731010124,85963.95587050678,1078.169453403564,85424.871143805,1724310.096004111,20.058524279659185
62-63,0.013723178304658601,84885.78641710321,1164.9027825330745,84303.33502583667,1638885.224860306,19.306945179341533
63-64,0.015013781167131562,83720.88363457014,1256.9670260083221,83092.40012156598,1554581.8898344692,18.56862735252533
64-65,0.016423745092901895,82463.91660856182,1354.3663457413381,81786.73343569115,1471489.4897129033,17.84404076631167
65-66,0.01796371216914789,81109.55026282048,1457.0286150903407,80381.03595527532,1389702.7562772122,17.133651361327214
66-67,0.01913604524922531,79652.52164773014,1524.2342584658627,78890.4045184972,1309321.7203219368,16.437919267798204
67-68,0.020937855959817876,78128.28738926428,1635.838827743671,77310.36797539245,1230431.3158034396,15.748858152655666
68-69,0.022905359647943747,76492.4485615206,1752.0870446534668,75616.40503919388,1153120.9478280472,15.074964516276744
69-70,0.025053016201330953,74740.36151686714,1872.471487975405,73804.12577287943,1077504.5427888534,14.416635415199137
70-71,0.02739639561420823,72867.89002889174,1996.3175428041372,71869.73125748966,1003700.417015974,13.774248391410977
71-72,0.029952233275738517,70871.57248608759,2122.761871721707,69810.19155022674,931830.6857584843,13.14815874787323
72-73,0.03273848169962163,68748.81061436588,2250.7316781691707,67623.4447752813,862020.4942082575,12.538696837151218
73-74,0.03577435699313066,66498.0789361967,2378.926015220883,65308.61592858626,794397.0494329762,11.946165395171505
74-75,0.03908037804370138,64119.15292097582,2505.800735993635,62866.25255297901,729088.43350439,11.370836954177499
75-76,0.04267839604856873,61613.352184982185,2629.5590464306174,60298.57266176688,666222.1809514109,10.812951370527731
76-77,0.04659161163101638,58983.79313855157,2748.1499824356038,57609.71814733377,605923.608289644,10.272713503967834
77-78,0.05084457638142152,56235.64315611596,2859.2774538095027,54806.004429211214,548313.8901423102,9.75029108531993
78-79,0.05546317524169615,53376.36570230646,2960.4227247118833,51896.15433995052,493507.885713099,9.245812809090783
79-80,0.06047458573146112,50415.942977594575,3048.8832658309984,48891.501344679076,441611.73137314845,8.75936668623665
80-81,0.06590720961198798,47367.05971176358,3121.8307331267533,45806.1443452002,392720.23002846935,8.290998690191817
81-82,0.07179057222425705,44245.22897863683,3176.390306569618,42657.03382535202,346914.08568326914,7.840711726246724
82-83,0.07815518445188487,41068.838672067206,3209.742661640115,39463.967341247146,304257.0518579171,7.408464950455398
83-84,0.08503236208697801,37859.09601042709,3219.2483602443012,36249.471830304945,264793.08451667,6.99417345949679
84-85,0.09245399736358653,34639.84765018279,3202.592383325039,33038.55145852027,228543.61268636503,6.597708367379584
