x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005417374787633444,100000.0,541.7374787633444,99729.13126061833,8113698.0381,81.136980381
1-2,0.00028626803497194266,99458.26252123665,28.47172137367803,99444.02666054982,8013968.906839381,80.57620054571345
2-3,0.00027747145275435815,99429.79079986298,27.588928500299897,99415.99633561283,7914524.8801788315,79.5991303663664
3-4,0.00022977755351240124,99402.20187136267,22.840394759747547,99390.7816739828,7815108.883843219,78.62108420854524
4-5,0.00020624634377848944,99379.36147660292,20.496629951590215,99369.11316162713,7715718.102169236,77.63903880571584
5-6,0.00019881478611878087,99358.86484665133,19.75401146349184,99348.98784091958,7616348.989007609,76.65495173241506
6-7,0.00019679723660758663,99339.11083518784,19.549662499419732,99329.33600393812,7517000.001166689,75.6700954736553
7-8,0.00019177783000597459,99319.56117268841,19.04728991884383,99310.03752772899,7417670.665162751,74.68489165256717
8-9,0.00017777709964121705,99300.51388276956,17.65335735096118,99291.68720409408,7318360.627635023,73.69912139905745
9-10,0.0001555272133756594,99282.8605254186,15.44118663348261,99275.13993210185,7219068.940430929,72.71213684040347
10-11,0.0001326433002658594,99267.41933878511,13.167158109971451,99260.83575973012,7119793.800498827,71.7233695398086
11-12,0.00012275586926499928,99254.25218067515,12.184042004686228,99248.1601596728,7020532.964739097,70.73281809588808
12-13,0.00014174586877893744,99242.06813867047,14.067153167734352,99235.0345620866,6921284.804579425,69.74144064499288
13-14,0.0001969858744904271,99228.00098550273,19.546514548066217,99218.2277282287,6822049.770017338,68.75125672454132
14-15,0.0002738729686388766,99208.45447095466,27.170513940035185,99194.86921398464,6722831.542289109,67.76470390693727
15-16,0.00036229618184133216,99181.28395701463,35.93300048774737,99163.31745677076,6623636.673075125,66.7831309377465
16-17,0.00043677944789866785,99145.35095652689,43.304651652511474,99123.69863070063,6524473.355618354,65.80715376638483
17-18,0.00047754283976840414,99102.04630487438,47.3254726192896,99078.38356856474,6425349.656987653,64.83569105345123
18-19,0.0004720922195795817,99054.7208322551,46.76296301753514,99031.33935074633,6326271.273419089,63.86642878063688
19-20,0.0004324175005474634,99007.95786923757,42.812773676124266,98986.5514823995,6227239.934068343,62.896357707860446
20-21,0.0003789509602370976,98965.14509556144,37.5029367639667,98946.39362717945,6128253.382585943,61.92335065712739
21-22,0.0003359536165394742,98927.64215879748,33.23509915897097,98911.02460921799,6029306.988958763,60.94663591881216
22-23,0.000311167090066819,98894.4070596385,30.772684868631195,98879.02071720418,5930395.964349545,59.96695000934892
23-24,0.000318379960866881,98863.63437476987,31.47620004339686,98847.89627474817,5831516.94363234,58.98545992681563
24-25,0.0003513626323747161,98832.15817472647,34.72592725954621,98814.7952110967,5732669.047357592,58.0040864555719
25-26,0.00039453464533141633,98797.43224746693,38.979009891409,98777.94274252123,5633854.2521464955,57.02429834446372
26-27,0.0004340731482323939,98758.45323757552,42.86839271139606,98737.01904121983,5535076.309403975,56.046607940372176
27-28,0.0004785403789351889,98715.58484486413,47.239393378470076,98691.9651481749,5436339.290362755,55.07072970196348
28-29,0.0005134142642345109,98668.34545148566,50.65773598321106,98643.01658349406,5337647.32521458,54.09685650236279
29-30,0.0005465613058017133,98617.68771550244,53.90061217293059,98590.73740941597,5239004.308631086,53.12438802808726
30-31,0.0005827859685084371,98563.78710332951,57.441592126873296,98535.06630726607,5140413.57122167,52.15316621136634
31-32,0.0006242834787674684,98506.34551120264,61.49588405640378,98475.59756917444,5041878.504914404,51.183286505548175
32-33,0.000658770142584109,98444.84962714624,64.8525276255463,98412.42336333347,4943402.90734523,50.21494700909252
33-34,0.0006966107363236312,98379.99709952068,68.5325622190138,98345.73081841118,4844990.483981896,49.24771932124301
34-35,0.0007381916051888563,98311.46453730167,72.57269781525804,98275.17818839404,4746644.753163485,48.28170117801975
35-36,0.0007839410846624437,98238.89183948642,77.01350342468348,98200.38508777408,4648369.574975091,47.316999285477614
36-37,0.0008343342043364329,98161.87833606174,81.8998126576878,98120.9284297329,4550169.189887317,46.35372984927613
37-38,0.0008898979009778308,98079.97852340405,87.28116701592799,98036.33793989608,4452048.261457584,45.392019130542806
38-39,0.0009512167965643032,97992.69735638812,93.21229966603877,97946.0912065551,4354011.923517688,44.432004026612816
39-40,0.0010189396027699515,97899.48505672209,99.7536624150792,97849.60822551454,4256065.832311133,43.47383267486245
40-41,0.001093786219683605,97799.731394307,106.97199848785105,97746.24539506307,4158216.2240856183,42.51766507742854
41-42,0.0011765556034445423,97692.75939581916,114.9409634831105,97635.2889140776,4060469.9786905553,41.56367374411912
42-43,0.001268134485025943,97577.81843233605,123.74179652764545,97515.94753407223,3962834.689776478,40.61204435026849
43-44,0.001369507030625806,97454.07663580841,133.46404311588572,97387.34461425047,3865318.7422424057,39.6629764056698
44-45,0.0014817655430774334,97320.61259269252,144.20633037103954,97248.509427507,3767931.397628155,38.71668393002981
45-46,0.0016061223134011624,97176.40626232147,156.07719443405097,97098.36766510445,3670682.888200648,37.77339612963125
46-47,0.0017439227421138517,97020.32906788742,169.19595830885845,96935.731088733,3573584.5205355436,36.83335806906017
47-48,0.0018966598612109834,96851.13310957856,183.69365668173975,96759.28628123768,3476648.7894468107,35.89683133095911
48-49,0.0020659903998434237,96667.43945289681,199.71400188713025,96567.58245195325,3379889.503165573,34.96409465580697
49-50,0.0022537525496138487,96467.72545100968,217.41438219066183,96359.01825991436,3283321.92071362,34.03544455270718
50-51,0.002461985599079542,96250.31106881902,236.96687975835866,96131.82762893983,3186962.9024537057,33.111195871097244
51-52,0.0026929516214000493,96013.34418906066,258.55929090997193,95884.06454360568,3090831.074824766,32.19168232218414
