x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0047199342167839895,100000.0,471.99342167839893,99764.0032891608,7617245.1556,76.172451556
1-2,0.0008813368455119721,99528.0065783216,87.71769935783277,99484.14772864268,7517481.152310839,75.53131435818626
2-3,0.0003868330333358629,99440.28887896377,38.466788582844025,99421.05548467234,7417997.0045821965,74.59750055242898
3-4,0.00034693494513831225,99401.82209038093,34.485965693574585,99384.57910753414,7318575.949097524,73.62617500555596
4-5,0.00027665224346469725,99367.33612468735,27.49019646600541,99353.59102645435,7219191.36998999,72.65155383587279
5-6,0.0002426341574069272,99339.84592822134,24.103239813727953,99327.79430831448,7119837.778963536,71.6715202488639
6-7,0.00022440298728567437,99315.74268840761,22.28674934377404,99304.59931373573,7020509.984655222,70.6887930816901
7-8,0.00020276110680002038,99293.45593906383,20.13285102420364,99283.38951355172,6921205.385341486,69.70454719180098
8-9,0.00016581825592945358,99273.32308803963,16.461329294779887,99265.09242339224,6821921.995827934,68.71858202810412
9-10,0.00011705792463245212,99256.86175874485,11.618802243008874,99251.05235762335,6722656.903404541,67.72989579042633
10-11,8.042498211079174e-05,99245.24295650184,7.981796889357841,99241.25205805716,6623405.851046918,66.7377665038302
11-12,7.781868214148576e-05,99237.26115961248,7.722512882771494,99233.39990317108,6524164.598988861,65.74309410348843
12-13,0.00012475022050852604,99229.5386467297,12.378906827138838,99223.34919331614,6424931.19908569,64.74817163021685
13-14,0.0002533764438641012,99217.15973990256,25.139291105192985,99204.59009434997,6325707.849892374,63.756187603789456
14-15,0.0004550587694933445,99192.02044879737,45.138198768988396,99169.45134941288,6226503.259798024,62.77221929370948
15-16,0.0006766998745908044,99146.88225002839,67.09268278466347,99113.33590863606,6127333.808448611,61.800569714302405
16-17,0.00087480877523256,99079.78956724372,86.67586936162026,99036.45163256291,6028220.472539974,60.84207989207251
17-18,0.001018901818682635,98993.1136978821,100.86426358382893,98942.68156609019,5929184.020907411,59.89491389272528
18-19,0.0011002625026106014,98892.24943429827,108.80743385137285,98837.84571737258,5830241.339341321,58.95549320288036
19-20,0.0011353724667992325,98783.4420004469,112.1560002229663,98727.36400033542,5731403.493623949,58.01988043297803
20-21,0.0011543833285758104,98671.28600022393,113.90448756779426,98614.33375644003,5632676.129623613,57.08526115298457
21-22,0.0011652738798235399,98557.38151265614,114.84634234050164,98499.9583414859,5534061.795867173,56.15065772781841
22-23,0.0011518643021401933,98442.53517031563,113.39244207486706,98385.8389492782,5435561.837525687,55.21558163980245
23-24,0.0011031411693310277,98329.14272824077,108.47092548854904,98274.9072654965,5337175.998576409,54.27867924494309
24-25,0.0010247145340531387,98220.67180275221,100.6481499407435,98170.34772778185,5238901.091310913,53.338070236698535
25-26,0.0009331699656563694,98120.02365281148,91.56265910229624,98074.24232326033,5140730.743583131,52.39226971421374
26-27,0.0008543280865962145,98028.46099370917,83.7484675127272,97986.58675995281,5042656.50125987,51.44073925207777
27-28,0.0008199676909546382,97944.71252619644,80.31149977132112,97904.55677631078,4944669.914499917,50.48429656861169
28-29,0.0008376638982157336,97864.40102642511,81.97747566034309,97823.41228859495,4846765.357723607,49.52531571122471
29-30,0.0008943794711809918,97782.42355076477,87.45459226612876,97738.69625463171,4748941.945435012,48.56641687725759
30-31,0.0009667021647283766,97694.96895849863,94.44193797525219,97647.747989511,4651203.24918038,47.60944497721513
31-32,0.0010371603443570354,97600.52702052338,101.22739621403417,97549.91332241637,4553555.501190869,46.655029846645704
32-33,0.0010984649706043492,97499.29962430935,107.09956529576161,97445.74984166147,4456005.587868453,45.70294971388127
33-34,0.0011533163190379986,97392.20005901359,112.3240136750739,97336.03805217605,4358559.838026792,44.75265817371183
34-35,0.0012099003006456523,97279.87604533852,117.69895127402687,97221.0265697015,4261223.799974616,43.803754416675226
35-36,0.0012790725001702197,97162.1770940645,124.27746877768672,97100.03835967564,4164002.773404914,42.8562111095315
36-37,0.0013685400600242075,97037.89962528681,132.80025297781305,96971.4994987979,4066902.7350452384,41.91045715900323
37-38,0.0014813944114157483,96905.09937230899,143.55467264782627,96833.32203598508,3969931.2355464404,40.96720669253927
38-39,0.0016150722173886953,96761.54469966117,156.27688255603712,96683.40625838315,3873097.9135104553,40.02724352460671
39-40,0.0017645238383524491,96605.26781710514,170.4622979737047,96520.03666811828,3776414.507252072,39.091186149410085
40-41,0.0019263187283485358,96434.80551913143,185.76417193615163,96341.92343316336,3679894.470583954,38.1594015850834
41-42,0.002104835132758277,96249.04134719528,202.58836372188065,96147.74716533434,3583552.5471507907,37.23208560825023
42-43,0.002299953336346854,96046.4529834734,220.9023599836209,95936.00180348159,3487404.7999854563,36.309563671086636
43-44,0.0025131815387711377,95825.55062348978,240.8270047695336,95705.13712110501,3391468.798181975,35.39211385810312
