x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007418055579084586,100000.0,741.8055579084586,99629.09722104577,7055813.5164,70.558135164
1-2,0.0024069996414352525,99258.19444209154,238.91443843162492,99138.73722287573,6956184.419178954,70.08171424312255
2-3,0.0008139726342407127,99019.28000365991,80.59898418519778,98978.98051156731,6857045.681956079,69.24960150894483
3-4,0.00044980901577282496,98938.68101947471,44.503510731231394,98916.42926410909,6758066.701444511,68.30560739044297
4-5,0.0003331417423304689,98894.17750874348,32.945778601601475,98877.70461944268,6659150.272180403,67.336120689124
5-6,0.0002671505213121322,98861.23173014188,26.410829594266907,98848.02631534474,6560272.56756096,66.35839401099423
6-7,0.00023231335923569376,98834.82090054761,22.96064925286437,98823.34057592117,6461424.541245615,65.3759928168172
7-8,0.0002116008083090773,98811.86025129474,20.908669499697552,98801.40591654489,6362601.200669694,64.39106787878052
8-9,0.000197124763446744,98790.95158179505,19.474142961240087,98781.21451031443,6263799.794753149,63.404590141709164
9-10,0.00019048921656941676,98771.47743883381,18.814901356727276,98762.06998815545,6165018.580242835,62.4169926389999
10-11,0.00020226960532610883,98752.66253747708,19.9746620763579,98742.6752064389,6066256.510254679,61.428789405576865
11-12,0.00024921693343313544,98732.68787540072,24.60585770191828,98720.38494654976,5967513.835048241,60.4411159410464
12-13,0.0003554142526804096,98708.0820176988,35.082259203837,98690.54088809689,5868793.450101691,59.456058005963385
13-14,0.0005497633314183338,98672.99975849497,54.246797068270645,98645.87635996084,5770102.909213594,58.47701927919581
14-15,0.0008453088465392512,98618.7529614267,83.36330431296295,98577.07130927022,5671457.032853633,57.50891045105733
15-16,0.0012148125454223325,98535.38965711373,119.70202752353971,98475.53864335196,5572879.961544363,56.55714135740499
16-17,0.001599175069902526,98415.68762959019,157.38391414455506,98336.9956725179,5474404.422901011,55.62532310402765
17-18,0.001929980525805789,98258.30371544564,189.6366126695207,98163.48540911089,5376067.427228494,54.713619347607434
18-19,0.0021630039922824395,98068.66710277612,212.12291846112228,97962.60564354555,5277903.941819383,53.81845290390387
19-20,0.0023033204226966426,97856.54418431499,225.39497671424908,97743.84669595787,5179941.336175838,52.93403092612081
20-21,0.002387076704225496,97631.14920760074,233.05304188022725,97514.62268666063,5082197.48947988,52.055082120084506
21-22,0.002447323182067239,97398.09616572052,238.36461863558208,97278.91385640272,4984682.866793219,51.178442526349805
22-23,0.002497764408607851,97159.73154708494,242.6821194082022,97038.39048738084,4887403.952936816,50.302773331236644
23-24,0.0025358876980251218,96917.04942767674,245.7707533725381,96794.16405099047,4790365.562449435,49.42748041482826
24-25,0.0025595110829967804,96671.27867430421,247.43120917435192,96547.56306971703,4693571.398398444,48.55187044966669
25-26,0.0025705447633965896,96423.84746512986,247.8618161680411,96299.91655704584,4597023.835328727,47.675175344887236
26-27,0.0025781479021755264,96175.98564896183,247.95591564053447,96052.00769114155,4500723.918771681,46.79675376761023
27-28,0.0025751475229397196,95928.0297333213,247.0288281482501,95804.51531924716,4404671.91108054,45.91642216905186
28-29,0.002567269442290756,95681.00090517304,245.63890983164495,95558.18145025722,4308867.395761293,45.03367810744058
29-30,0.0025597245025130735,95435.3619953414,244.28823450568035,95313.21787808856,4213309.214311036,44.148302329661675
30-31,0.0025573943925661586,95191.07376083572,243.44111825831286,95069.35320170656,4117995.996432948,43.26031668451677
31-32,0.0025653825012138727,94947.6326425774,243.57699531295117,94825.84414492092,4022926.6432312415,42.36995205952338
32-33,0.0025888147325608575,94704.05564726445,245.17125449290148,94581.47002001801,3928100.7990863207,41.47764076458308
33-34,0.002631798256490524,94458.88439277155,248.59672725493613,94334.58602914408,3833519.3290663026,40.58399962809281
34-35,0.002697673225019014,94210.28766551662,254.14857055660326,94083.21338023832,3739184.7430371586,39.689770997332346
35-36,0.002791002296202833,93956.13909496002,262.23179995638617,93825.02319498183,3645101.52965692,38.795778165946906
36-37,0.0029166831767446656,93693.90729500364,273.2754431708114,93557.26957341823,3551276.5064619384,37.90296091805017
37-38,0.003077201380570397,93420.63185183282,287.47409730821875,93276.89480317871,3457719.23688852,37.01237262420296
38-39,0.0032699560619660175,93133.1577545246,304.5413337694451,92980.88708763987,3364442.3420853415,36.12507535665395
39-40,0.003488554104599978,92828.61642075515,323.8376508389623,92666.69759533567,3271461.4549977016,35.24194996260064
40-41,0.003727658703752819,92504.77876991619,344.82624372040704,92332.36564805599,3178794.757402366,34.36357342477266
41-42,0.00400119517374839,92159.95252619578,368.7499572606952,91975.57754756542,3086462.39175431,33.49027757883237
42-43,0.00430381499035711,91791.20256893508,395.0523535990889,91593.67639213555,2994486.8142067445,32.62280839994321
43-44,0.004636639106296793,91396.15021533599,423.7709642534029,91184.26473320929,2902893.137814609,31.761656601237373
44-45,0.005001076464423356,90972.37925108259,454.95982478518476,90744.89933869,2811708.8730813996,30.907280827745744
45-46,0.005398824460352911,90517.4194262974,488.6876580867182,90273.07559725405,2720963.9737427095,30.060114296102064
46-47,0.0058318681313083405,90028.73176821068,525.0356917011346,89766.21392236011,2630690.8981454554,29.2205704387625
47-48,0.006302479710123897,89503.69607650954,564.0952285032972,89221.6484622579,2540924.6842230954,28.389047554539673
48-49,0.006813219598141601,88939.60084800624,605.9650315485275,88636.61833223198,2451703.0357608376,27.56593252482308
49-50,0.007366939383333239,88333.63581645771,650.7485405692779,88008.26154617307,2363066.4174286057,26.751603685131407
50-51,0.007966787229723086,87682.88727588844,698.5509066147969,87333.61182258104,2275058.1558824326,25.946432953606006
51-52,0.008616215761667441,86984.33636927365,749.475810043118,86609.59846425209,2187724.5440598517,25.15078731844695
52-53,0.009318992436079025,86234.86055923052,803.6220132777987,85833.04955259162,2101114.9455955997,24.365029779951303
53-54,0.01007921231615209,85431.23854595273,861.0795917364939,85000.69875008448,2015281.8960430082,23.589519833064404
54-55,0.010901313114947686,84570.15895421624,921.925782940808,84109.19606274583,1930281.1972929237,22.82461356538209
55-56,0.011790092353734578,83648.23317127544,986.2203943160616,83155.1229741174,1846172.001230178,22.07066343469581
56-57,0.012750726468961287,82662.01277695938,1054.000714292792,82135.01241981299,1763016.8782560606,21.328017780223608
57-58,0.013788791696473684,81608.01206266659,1125.2758790954213,81045.37412311888,1680881.8658362476,20.597020112994574
58-59,0.014910286557382196,80482.73618357116,1200.0206594192389,79882.72585386154,1599836.4917131288,19.87800822357853
59-60,0.016121655763554378,79282.71552415192,1278.168647680186,78643.63120031182,1519953.7658592672,19.17131313944769
60-61,0.01742981534981714,78004.54687647174,1359.6048485030576,77324.74445222021,1441310.1346589555,18.477257959608675
61-62,0.0188421788230421,76644.94202796867,1444.157703572681,75922.86317618233,1363985.3902067353,17.796156590594073
62-63,0.020366684094271746,75200.784324396,1531.5906179764359,74434.98901540777,1288062.527030553,17.128312405282863
63-64,0.022011820928121487,73669.19370641955,1621.5930997848016,72858.39715652715,1213627.538015145,16.47401684415869
64-65,0.023786658603253973,72047.60060663475,1713.7716788136147,71190.71476722794,1140769.140858618,15.83354797735716
65-66,0.025700873428272233,70333.82892782113,1807.640834999683,69430.00851032129,1069578.4260913902,15.207169045055494
66-67,0.027764775698515206,68526.18809282145,1902.6142418714512,67574.88097188572,1000148.4175810689,14.595126993293835
67-68,0.029989335610648055,66623.57385095001,1997.9967157969356,65624.57549305154,932573.5366091832,13.997651022077156
68-69,0.032386207573414,64625.57713515307,2092.977355650745,63579.0884573277,866948.9611161316,13.414951162494994
69-70,0.03496775226440402,62532.59977950233,2186.6244575387627,61439.287550732945,803369.872658804,12.84721689953057
70-71,0.03774705568436639,60345.97532196357,2277.882890805559,59207.03387656079,741930.585108071,12.294615857141302
71-72,0.04073794435288106,58068.09243115801,2365.574718138469,56885.30507208878,682723.5512315102,11.757292562019419
72-73,0.04395499567300658,55702.51771301954,2448.403925051346,54478.315750493864,625838.2461594215,11.235367302134392
73-74,0.047413542369137446,53254.11378796819,2524.9661804166967,51991.63069775984,571359.9304089276,10.728935095677361
74-75,0.051129669773766394,50729.147607551495,2593.7645650787595,49432.265325012115,519368.29971116775,10.238064785339603
75-76,0.05512020460792215,48135.383042472735,2653.2321621818032,46808.766961381836,469936.03438615566,9.762798271938605
76-77,0.059402693770443736,45482.15088029093,2701.76228076304,44131.26973990941,423127.26742477383,9.303149900242081
77-78,0.06399537152777737,42780.38859952789,2737.7468625294787,41411.51516826315,378995.99768486444,8.859106008425714
78-79,0.06891711338469107,40042.64173699841,2759.6232808112827,38662.83009659277,337584.4825166013,8.430624650937592
79-80,0.07418737482463672,37283.01845618713,2765.929264803003,35900.05382378562,298921.6524200085,8.017635502642689
80-81,0.0798261130453744,34517.089191384126,2755.3650637887004,33139.406659489774,263021.5985962229,7.620039950004712
81-82,0.08585368979136367,31761.724127595426,2726.8612104894482,30398.2935223507,229882.19193673308,7.237711372759055
82-83,0.09229075341127045,29034.862917105977,2679.6493738126683,27695.038230199643,199483.8984143824,6.870495617076114
83-84,0.09915809836000625,26355.213543293306,2613.3328568248467,25048.547114880883,171788.86018418276,6.518211658652958
84-85,0.10647650053433162,23741.88068646846,2527.9523715987966,22477.90450066906,146740.3130693019,6.180652451553075
85-86,0.11426652709406186,21213.928314869663,2424.0419145625406,20001.907357588392,124262.40856863283,5.857585955993473
86-87,0.12254831979197989,18789.88640030712,2302.6690074398107,17638.551896587214,104260.50121104444,5.548756335713679
87-88,0.13134135132823302,16487.21739286731,2165.4534120215394,15404.490686856541,86621.94931445722,5.2538853131112075
88-89,0.14066415487041017,14321.763980845772,2014.5588266191517,13314.484567536196,71217.45862760067,4.9726736680515335
89-90,0.15053402764596557,12307.20515422662,1852.65316093092,11380.87857376116,57902.97406006448,4.704802864213169
90-91,0.1609667104208472,10454.5519932957,1682.8348432845198,9613.13457165344,46522.09548630332,4.449936785061381
91-92,0.1719760457213279,8771.71715001118,1508.525229644879,8017.454535188741,36908.96091464988,4.207723560101665
92-93,0.1835736188199187,7263.191920366301,1333.3304250052367,6596.5267078636825,28891.506379461134,3.977797460982425
93-94,0.1957683867645079,5929.861495361064,1160.879418683808,5349.42178601916,22294.97967159745,3.759780846321425
94-95,0.208566302043496,4768.982076677256,994.6489562442874,4271.657598555113,16945.55788557829,3.5532861338378
95-96,0.2219699387963264,3774.333120432969,837.7884917394538,3355.438874563242,12673.900287023178,3.357917778484085
96-97,0.2359781307327045,2936.5446286935153,692.9603122922595,2590.0644725473853,9318.461412459936,3.173274235782948
97-98,0.25058563103733295,2243.584316401256,562.2099917108719,1962.4793205458197,6728.396939912551,2.99894989046144
98-99,0.265782805423392,1681.374324690384,446.88038498307145,1457.9341321988481,4765.917619366731,2.834536931711711
99-100,0.28155537006572534,1234.4939397073124,347.5783980381876,1060.7047406882186,3307.9834871678827,2.679627157952818
100-101,0.2978841863035961,886.9155416691249,264.19811445012044,754.8164844440647,2247.278746479664,2.533813695778081
101-102,0.3147451236715604,622.7174272190044,195.99727364248145,524.7187903977637,1492.462262035599,2.396692619798342
102-103,0.33210900193126086,426.720153576523,141.7176043082534,355.8613514223963,967.7434716378353,2.2678644622869717
103-104,0.3499416212985769,285.0025492682696,99.73425416516581,235.1354221856867,611.882120215439,2.14693560386185
104-105,0.36820388798525855,185.26829510310378,68.21650657736305,151.16004181442224,376.74669802975234,2.0335195388940606
105-106,0.38685203953808867,117.05178852574073,45.28172312276385,94.41092696435881,225.5866562153301,1.9272380119652899
106-107,0.40583797134177235,71.77006540297688,29.12701774621046,57.206556529871655,131.1757292509713,1.8277220246970876
107-108,0.4251096621780471,42.64304765676642,18.127971583610336,33.579061864961254,73.96917272109965,1.7346127161566167
108-109,0.44461169306604015,24.515076073156084,10.899689478528698,19.065231333891735,40.3901108561384,1.6475621260814857
109-110,0.4642858499411789,13.615386594627386,6.321431337364309,10.454670925945232,21.324879522246665,1.566233861524096
