x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006904177809569297,100000.0,690.4177809569297,99654.79110952154,7334393.5174,73.34393517400001
1-2,0.000632923013983391,99309.58221904308,62.85532009550812,99278.15455899532,7234738.726290478,72.85035909559171
2-3,0.00036612576426188584,99246.72689894757,36.33678373636784,99228.55850707939,7135460.571731483,71.89618030423075
3-4,0.0002948489224275567,99210.39011521121,29.25207661908755,99195.76407690166,7036232.013224403,70.92232985933586
4-5,0.000255270158004511,99181.13803859212,25.317984778178626,99168.47904620304,6937036.249147502,69.9430999314431
5-6,0.0002349499879040743,99155.82005381395,23.296658722262155,99144.17172445281,6837867.770101299,68.9608312088009
6-7,0.00022335437282541568,99132.52339509169,22.14168258951155,99121.45255379693,6738723.598376846,67.97691986029378
7-8,0.00021061510276646452,99110.38171250217,20.874143229602172,99099.94464088738,6639602.145823049,66.99199449239437
8-9,0.00019001135220236587,99089.50756927257,18.82813132230405,99080.09350361141,6540502.201182162,66.00600166076875
9-10,0.00016293544046327649,99070.67943795027,16.142124791218496,99062.60837555466,6441422.107678551,65.0184509102204
10-11,0.0001398723643053378,99054.53731315905,13.854992329162858,99047.60981699446,6342359.499302996,64.0289649655497
11-12,0.00013998245586690236,99040.68232082989,13.863957942003466,99033.75034185889,6243311.889486002,63.03785215515352
12-13,0.00018737885936412723,99026.81836288789,18.555532271296542,99017.54059675224,6144278.139144143,62.046607582889116
13-14,0.0002982094845547894,99008.2628306166,29.525203025383288,98993.50022910391,6045260.598547391,61.05814227737362
14-15,0.00045955887857224235,98978.73762759121,45.486557666632024,98955.9943487579,5946267.098318287,60.076206676742984
15-16,0.0006444366635065168,98933.25106992458,63.75621422935473,98901.3729628099,5847311.103969529,59.10359803941685
16-17,0.00082667108552121,98869.49485569521,81.73255263729125,98828.62857937657,5748409.731006719,58.14138870029426
17-18,0.0009984837320071497,98787.76230305793,98.6379735809925,98738.44331626742,5649581.102427343,57.189078593517884
18-19,0.0011420821073922591,98689.12432947694,112.71108309090569,98632.76878793149,5550842.659111075,56.24573829006124
19-20,0.001256554130988185,98576.41324638603,123.8665992827448,98514.47994674466,5452209.890323143,55.30947729550335
20-21,0.0013739598737362328,98452.54664710329,135.2698485602646,98384.91172282315,5353695.410376399,54.37843501972956
21-22,0.0014893390328138147,98317.27679854303,146.42775793603016,98244.06291957501,5255310.498653576,53.452563677307374
22-23,0.0015387813121409332,98170.84904060699,151.0634679006947,98095.31730665664,5157066.435734001,52.531545628181874
23-24,0.001527766871171532,98019.7855727063,149.75138111731798,97944.90988214764,5058971.118427345,51.61173419089808
24-25,0.001490561837140121,97870.03419158899,145.88133796558134,97797.0935226062,4961026.208545197,50.689940486110004
25-26,0.0014526175598869799,97724.15285362341,141.95582046025268,97653.17494339329,4863229.11502259,49.764863373203156
26-27,0.0014070748469579152,97582.19703316316,137.30545495625518,97513.54430568503,4765575.940079197,48.83653048372772
27-28,0.0013718751886267753,97444.89157820691,133.68222901456826,97378.05046369962,4668062.395773512,47.904639434351864
28-29,0.0013534058782597794,97311.20934919234,131.7015627537649,97245.35856781546,4570684.345309813,46.969762023081344
29-30,0.0013553068922243963,97179.50778643858,131.7080566859346,97113.65375809562,4473438.986741997,46.03273970653169
30-31,0.0013791032910728535,97047.79972975265,133.83893999868107,96980.8802597533,4376325.332983902,45.0945342931069
31-32,0.0014249000803705238,96913.96078975397,138.09271051834622,96844.9144344948,4279344.4527241485,44.15611969474447
32-33,0.0014919997077168286,96775.86807923562,144.3895668882619,96703.67329579148,4182499.5382896536,43.21841406646144
33-34,0.0015793805691767893,96631.47851234736,152.61787953322585,96555.16957258074,4085795.8649938623,42.282245163741216
34-35,0.0016860277356038678,96478.86063281413,162.66603492638475,96397.52761535093,3989240.6954212817,41.34833961818649
35-36,0.0018111358607343863,96316.19459788775,174.44171400570607,96228.97374088489,3892843.1678059306,40.41732736699402
36-37,0.0019542152058650442,96141.75288388204,187.88167540420176,96047.81204617994,3796614.1940650456,39.48975424496904
37-38,0.002115131862619533,95953.87120847784,202.9550903347425,95852.39366331046,3700566.3820188656,38.566097807337954
38-39,0.002294108135883568,95750.9161181431,219.66295568493715,95641.08464030063,3604713.988355555,37.646783284118634
39-40,0.002491702323367251,95531.25316245816,238.03544545908204,95412.23543972863,3509072.9037152543,36.73219797240395
40-41,0.0027087808061023763,95293.21771699908,258.128439103542,95164.1534974473,3413660.668275526,35.822703336698986
41-42,0.002946490298347391,95035.08927789553,280.01996855989734,94895.07929361558,3318496.5147780785,34.91864468159064
42-43,0.003206234462153479,94755.06930933564,303.80696868333337,94603.16582499396,3223601.435484463,34.020358583251664
43-44,0.003489656699844229,94451.2623406523,329.6024804358022,94286.4611004344,3128998.269659469,33.12817840776207
44-45,0.0037986295070914417,94121.6598602165,357.53331440144257,93942.89320301579,3034711.8085590345,32.24243827686417
45-46,0.004135250009709705,93764.12654581506,387.7381052090038,93570.25749321056,2940768.9153560186,31.363475816298454
46-47,0.004501840978526938,93376.38844060605,420.36565190876945,93166.20561465167,2847198.657862808,30.491633970977862
47-48,0.004900956541375914,92956.02278869729,455.57342794655455,92728.236074724,2754032.4522481565,29.627262114134094
48-49,0.005335391869153947,92500.44936075073,493.5261454124359,92253.68628804451,2661304.216173433,28.770716624244447
49-50,0.005808196228470928,92006.92321533829,534.3942644125422,91739.72608313202,2569050.5298853884,27.922361058337263
50-51,0.006322688922862914,91472.52895092574,578.3523455442754,91183.35277815361,2477310.8038022565,27.082566014232683
51-52,0.006882477765005907,90894.17660538146,625.577149455058,90581.38803065394,2386127.451024103,26.25170874679369
52-53,0.007491479823737616,90268.5994559264,676.2453915411251,89930.47676015584,2295546.062993449,25.430172583039223
53-54,0.008153944269134204,89592.35406438528,730.5310619815368,89227.0885333945,2205615.586233293,24.618346166551603
54-55,0.00887447719720568,88861.82300240373,788.602221936959,88467.52189143526,2116388.4976998987,23.816622551651342
55-56,0.009658068355298149,88073.22078046677,850.6171865690135,87647.91218718226,2027920.9758084635,23.02539816118799
56-57,0.010510119712674912,87222.60359389776,916.7200054230544,86764.24359118623,1940273.0636212812,22.245071617617086
57-58,0.011436475830366312,86305.88358847471,987.0351516779996,85812.36601263571,1853508.820030095,21.476042454626032
58-59,0.012443455982074329,85318.8484367967,1061.6613349645509,84788.01776931442,1767696.4540174594,20.7187097154382
59-60,0.01353788796494223,84257.18710183215,1140.6643592257792,83686.85492221927,1682908.436248145,19.973470443704745
60-61,0.014727143516045788,83116.52274260638,1224.0689589850479,82504.48826311386,1599221.581325926,19.24071807332898
61-62,0.01601917521772852,81892.45378362133,1311.849566169565,81236.52900053654,1516717.093062812,18.520840724474162
62-63,0.01742255473218732,80580.60421745176,1403.9199873312778,79878.64422378612,1435480.5640622755,17.814219414246907
63-64,0.018946512152477096,79176.68423012049,1500.1220099588195,78426.62322514108,1355601.9198384893,17.121226192025727
64-65,0.020600976192557817,77676.56222016166,1600.2130090172864,76876.45571565302,1277175.2966133482,16.44222221103711
65-66,0.02239661486217461,76076.34921114438,1703.852693402302,75224.42286444323,1200298.8408976952,15.77755574950571
66-67,0.024344876182148447,74372.49651774208,1810.5892190816976,73467.20190820123,1125074.418033252,15.127560196461303
67-68,0.026458028390922192,72561.90729866039,1919.8450034074208,71601.98479695668,1051607.2161250508,14.492552019018735
68-69,0.028749198972845502,70642.06229525297,2030.9027047783745,69626.61094286379,980005.2313280941,13.872828729604471
69-70,0.031232411701728142,68611.15959047459,2142.8919836626756,67539.71359864325,910378.6203852304,13.26866687313094
70-71,0.033922620738922306,66468.26760681192,2254.7778331990758,65340.87869021238,842838.9067865871,12.680320055463726
71-72,0.03683574065329511,64213.48977361284,2365.35145574382,63030.81404574093,777498.0280963747,12.10801703563339
72-73,0.03998867104117959,61848.13831786902,2473.224857702639,60611.52588901771,714467.2140506338,11.551959905060095
73-74,0.043399314218797634,59374.91346016638,2576.830525971678,58086.49819718055,653855.6881616161,11.012322377535366
74-75,0.047086584239825396,56798.0829341947,2674.427716741548,55460.86907582393,595769.1899644355,10.48924821379418
75-76,0.05107040526015146,54123.65521745315,2764.1170061160437,52741.596714395135,540308.3208886116,9.982849804171751
76-77,0.055371697035569586,51359.53821133711,2843.864789724918,49937.60581647465,487566.72417421645,9.493206932039566
77-78,0.06001234510327335,48515.67342161219,2911.5393362954974,47059.903753464445,437629.1183577418,9.020365739431165
78-79,0.0650151529741262,45604.13408531669,2964.9597538094276,44121.65420841198,390569.21460427734,8.564337914488112
79-80,0.07040377346206424,42639.17433150727,3001.958770244902,41138.194946384814,346447.56039586535,8.125100118082392
80-81,0.07620261611506651,39637.21556126237,3020.4595212850168,38126.98580061986,305309.36544948054,7.702593664219461
81-82,0.08243672760763346,36616.75603997735,3018.5655435427802,35107.47326820596,267182.37964886066,7.296724465628713
82-83,0.08913164192981729,33598.19049643457,2994.661884817996,32100.85955402557,232074.9063806547,6.907363252353797
83-84,0.09631319728799455,30603.52861161657,2947.5236888794125,29129.766767176865,199974.0468266291,6.534346067228419
84-85,0.1040073168460638,27656.004922737156,2876.4268666954235,26217.791489389445,170844.28005945226,6.177475037943533
85-86,0.11223975081283015,24779.578056041733,2781.2536662571983,23388.951222913136,144626.48857006282,5.8365194210722295
86-87,0.1210357779528768,21998.324389784535,2662.5843061773153,20667.03223669588,121237.53734714969,5.5112169090228225
87-88,0.1304198653936583,19335.74008360722,2521.764618990817,18074.85777411181,100570.50511045381,5.20127518655038
88-89,0.140415286646281,16813.975464616404,2360.939184527648,15633.50587235258,82495.64733634201,4.906373719287694
89-90,0.15104369906945023,14453.036280088756,2183.0400625295724,13361.51624882397,66862.14146398942,4.626165752873819
