x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.006260932935446601,100000.0,626.09329354466,99686.95335322767,7605270.7835,76.05270783499999
1-2,0.0005672872698455291,99373.90670645534,56.37355222938937,99345.71993034064,7505583.830146772,75.52871854296545
2-3,0.0003601556575335042,99317.53315422595,35.76977145776585,99299.64826849707,7406238.110216431,74.57130553892837
3-4,0.0002901419718005798,99281.76338276819,28.805806591714962,99267.36047947232,7306938.461947935,73.59799235008512
4-5,0.00024738288056219227,99252.95757617647,24.5534825495116,99240.68083490172,7207671.1014684625,72.61920730106796
5-6,0.00022167527949572128,99228.40409362696,21.99648421136913,99217.40585152128,7108430.420633561,71.63705277297821
6-7,0.00020433363552677038,99206.40760941559,20.271205934382543,99196.2720064484,7009213.014782039,70.65282559547899
7-8,0.0001870355001389349,99186.13640348121,18.551328629073726,99176.86073916667,6910016.742775591,69.66716310701125
8-9,0.00016410614798107113,99167.58507485213,16.274010391219143,99159.44806965653,6810839.882036424,68.68010224203374
9-10,0.0001363474101355567,99151.31106446091,13.519024475184212,99144.55155222332,6711680.433966768,67.69129285242961
10-11,0.00011181882657932978,99137.79203998572,11.085471575576824,99132.24930419793,6612535.882414545,66.70045546049158
11-12,0.00010553203230340674,99126.70656841015,10.461042799707782,99121.4760470103,6513403.633110347,65.70785874556684
12-13,0.00013650996737964133,99116.24552561044,13.530355443493603,99109.4803478887,6414282.157063337,64.71474098971963
13-14,0.0002174676693262707,99102.71517016695,21.551636491961457,99091.93935192097,6315172.6767154485,63.72350813872065
14-15,0.0003379165188503897,99081.16353367499,33.481161864945626,99064.42295274252,6216080.7373635275,62.73726019831056
15-16,0.0004786013120194807,99047.68237181005,47.40435073563708,99023.98019644224,6117016.314410785,61.75829830574359
16-17,0.0006165049698244134,99000.27802107441,61.03416341399102,98969.76093936742,6017992.334214343,60.78763064618141
17-18,0.0007407365693732685,98939.24385766042,73.2879160715086,98902.59989962466,5919022.573274976,59.82482119825391
18-19,0.0008355073990216398,98865.95594158891,82.60323770054498,98824.65432273864,5820119.973375351,58.86879783789217
19-20,0.0009032355697464451,98783.35270388836,89.22463786096064,98738.74038495788,5721295.319052612,57.91760618008876
20-21,0.0009728019050659256,98694.1280660274,96.00983580145189,98646.12314812667,5622556.578667655,56.96951468993277
21-22,0.001042508911922758,98598.11823022595,102.7894169538243,98546.72352174904,5523910.455519528,56.024501832998816
22-23,0.0010635645235634102,98495.32881327214,104.7561374625092,98442.95074454088,5425363.731997779,55.082447029373405
23-24,0.0010443385273740573,98390.57267580963,102.75306577574518,98339.19614292176,5326920.781253238,54.14056079137873
24-25,0.0010135822494490476,98287.81961003388,99.62278929378036,98238.00821538699,5228581.585110316,53.196638259503594
25-26,0.0009916972441774456,98188.19682074011,97.37296419788059,98139.51033864116,5130343.576894929,52.25010482941526
