x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005709036392178455,100000.0,570.9036392178456,99714.54818039108,7603021.2632,76.030212632
1-2,0.0005448729519271026,99429.09636078216,54.17622524154371,99402.0082481614,7503306.715019609,75.46389326313077
2-3,0.0003279908046181492,99374.92013554061,32.59406001412028,99358.62310553355,7403904.706771447,74.50476132884461
3-4,0.0002701257016473922,99342.3260755265,26.834915534435623,99328.90861775927,7304546.083665914,73.52904217395235
4-5,0.0002351504121414735,99315.49115999206,23.354078678305,99303.81412065291,7205217.175048155,72.54877452542551
5-6,0.00021512277301771125,99292.13708131376,21.359999867786932,99281.45708137986,7105913.360927502,71.56572080937511
6-7,0.0002015515560865512,99270.77708144598,20.00817959468658,99260.77299164864,7006631.903846121,70.5810119537755
7-8,0.00018634039055657637,99250.76890185129,18.494427040211473,99241.52168833118,6907371.1308544725,69.59513973826385
8-9,0.00016393434137397544,99232.27447481109,16.26757755906971,99224.14068603155,6808129.609166142,68.60801735320804
9-10,0.00013531501482396527,99216.00689725201,13.425415444076297,99209.29418952997,6708905.46848011,67.61918442684198
10-11,0.00010881241336497914,99202.58148180794,10.79447230307151,99197.1842456564,6609696.17429058,66.62826788940654
11-12,9.978319485118715e-05,99191.78700950487,9.89767341080688,99186.83817279947,6510498.9900449235,65.63546424888047
12-13,0.0001275916273239296,99181.88933609407,12.654778661454142,99175.56194676334,6411312.151872124,64.64196432219941
13-14,0.00020512215926025577,99169.23455743262,20.341807524607354,99159.06365367031,6312136.58992536,63.6501493441473
14-15,0.00032174362173739674,99148.89274990802,31.900523844608124,99132.94248798571,6212977.52627169,62.66310549673238
15-16,0.0004573433378369179,99116.9922260634,45.33049606102368,99094.3269780329,6113844.583783704,61.68311251656436
16-17,0.0005893536389209815,99071.66173000238,58.38824435452544,99042.46760782512,6014750.256805671,60.71110700855635
17-18,0.0007086783408752325,99013.27348564785,70.16856237843456,98978.18920445863,5915707.789197846,59.746613569496205
18-19,0.0008007456972186468,98943.10492326942,79.2282655367611,98903.49079050103,5816729.599993387,58.78863013753483
19-20,0.000867566284092503,98863.87665773266,85.77096610292867,98820.9911746812,5717826.109202886,57.83534191156629
20-21,0.0009378716618240145,98778.10569162974,92.64118613683692,98731.78509856132,5619005.118028205,56.8851273132316
21-22,0.0010056817514509356,98685.4645054929,99.24617078663323,98635.84142009958,5520273.332929644,55.93805896938735
22-23,0.0010331539715470422,98586.21833470627,101.85474301230562,98535.29096320011,5421637.491509545,54.99386813989307
23-24,0.0010111845095262444,98484.36359169397,99.58586289447139,98434.57066024673,5323102.200546345,54.05022692348786
24-25,0.0009601045350998095,98384.7777287995,94.45967128220714,98337.5478931584,5224667.629886098,53.104430893649486
25-26,0.0009011607867064869,98290.31805751729,88.5753803463431,98246.03036734412,5126330.08199294,52.154985183719994
26-27,0.0008620264238078319,98201.74267717094,84.65249705169862,98159.4164286451,5028084.051625596,51.201576617178304
27-28,0.000856415369989076,98117.09018011924,84.02898408885835,98075.07568807481,4929924.635196951,50.24532042426862
28-29,0.0008907764669333862,98033.06119603038,87.32554389486438,97989.39842408294,4831849.559508877,49.28795959810884
29-30,0.0009526910436252033,97945.73565213551,93.31202511707126,97899.07963957697,4733860.1610847935,48.33145751130597
30-31,0.0010224798193873496,97852.42362701843,100.05212843676823,97802.39756280005,4635961.081445216,47.37706956667716
31-32,0.001094850310469085,97752.37149858166,107.02421428431147,97698.8593914395,4538158.683882416,46.42504948279708
32-33,0.0011779416567230033,97645.34728429736,115.02052215135824,97587.83702322168,4440459.8244909765,45.47538564804777
33-34,0.0012698959271767256,97530.326762146,123.85336473146441,97468.40007978026,4342871.987467755,44.52842650736749
34-35,0.0013693611046294491,97406.47339741453,133.38463600954262,97339.78107940976,4245403.587387974,43.58440911895965
35-36,0.0014783685690140222,97273.08876140499,143.80547703577224,97201.1860228871,4148063.8063085647,42.64348813352775
36-37,0.0015958927938825938,97129.28328436922,155.0079232685059,97051.77932273496,4050862.6202856777,41.70588398583986
37-38,0.0017213588984832289,96974.2753611007,166.92753181679365,96890.81159519231,3953810.8409629427,40.77174927309573
38-39,0.0018577174029183114,96807.34782928391,179.84069479282695,96717.4274818875,3856920.0293677505,39.8411909410976
39-40,0.0020090167715346814,96627.50713449108,194.12628242477967,96530.44399327869,3760202.601885863,38.9144117797867
40-41,0.0021778791725421843,96433.3808520663,210.02025169554346,96328.37072621853,3663672.1578925843,37.99174233570472
41-42,0.002370420339893418,96223.36060037075,228.08981114001776,96109.31569480074,3567343.787166366,37.07357303786188
42-43,0.002580081948934426,95995.27078923074,247.6756653463664,95871.43295655756,3471234.4714715653,36.160473770557736
43-44,0.0028085250322565035,95747.59512388437,268.90951768379,95613.14036504248,3375363.0385150076,35.25271871473896
44-45,0.003057372900056626,95478.68560620058,291.9139459054243,95332.72863324787,3279749.8981499653,34.350597490179226
45-46,0.003328194177273106,95186.77166029516,316.80005919321906,95028.37163069854,3184417.1695167175,33.45440877941887
46-47,0.003622806025501912,94869.97160110193,343.69550475566734,94698.1238487241,3089388.797886019,32.5644537017036
47-48,0.003943560486958626,94526.27609634626,372.7700873928928,94339.89105264982,2994690.674037295,31.681039365022116
48-49,0.004292925752037731,94153.50600895337,404.19401059047516,93951.40900365813,2900350.782984645,30.80449051688889
49-50,0.004673536644248115,93749.31199836289,438.1408449973984,93530.24157586419,2806399.373980987,29.93514634038055
50-51,0.005088110512739068,93311.17115336549,474.7775509014334,93073.78237791477,2712869.1324051227,29.073358515094327
51-52,0.005539655312797531,92836.39360246406,514.2816210408528,92579.25279194363,2619795.3500272078,28.21948643594955
52-53,0.006031569711919479,92322.11198142321,556.8472543675906,92043.6883542394,2527216.0972352643,27.37389822433637
53-54,0.0065674208957320086,91765.26472705562,602.6611170708445,91463.9341685202,2435172.408881025,26.536973615497573
54-55,0.007151100046622917,91162.60360998477,651.9128989256286,90836.64716052196,2343708.4747125045,25.709099805216677
55-56,0.007786255222390909,90510.69071105914,704.7393382311926,90158.32104194355,2252871.8275519824,24.890671034031925
56-57,0.008477988817256496,89805.95137282796,761.373851461916,89425.264447097,2162713.506510039,24.0820733308817
57-58,0.009232975890481169,89044.57752136604,822.1464374328541,88633.50430264961,2073288.242062942,23.28371136990864
58-59,0.010058070394125774,88222.43108393319,887.3474221831099,87778.75737284163,1984654.7377602924,22.49603318992795
59-60,0.010959076621372599,87335.08366175008,957.1118735831053,86856.52772495852,1896875.9803874507,21.719518672863202
60-61,0.011941348252093241,86377.97178816696,1031.4694424319869,85862.23706695097,1810019.4526624922,20.95464173552694
61-62,0.013009771559600841,85346.50234573497,1110.3384989289493,84791.3330962705,1724157.2155955413,20.201849732646984
62-63,0.014170126939432563,84236.16384680603,1193.6371346000815,83639.34527950599,1639365.8824992708,19.46154487140063
63-64,0.015427680440278415,83042.52671220594,1281.1535650691974,82401.94992967135,1555726.537219765,18.73409443105369
64-65,0.01678988733852646,81761.37314713675,1372.7642437836487,81074.99102524492,1473324.5872900935,18.01981217510519
65-66,0.01826907001463741,80388.6089033531,1468.6251244346622,79654.29634113578,1392249.5962648487,17.318991026933624
66-67,0.019597112850955476,78919.98377891844,1546.6038283110402,78146.68186476291,1312595.2999237129,16.631976301474367
67-68,0.021349009612340986,77373.3799506074,1651.8450323048287,76547.45743445499,1234448.61805895,15.95443573548139
68-69,0.02324159323817014,75721.53491830257,1759.8891139410853,74841.59036133203,1157901.160624495,15.29157011771852
69-70,0.02528806781744754,73961.64580436148,1870.3471149907275,73026.47224686612,1083059.570263163,14.643529879364792
70-71,0.027507114716352418,72091.29868937076,1983.023623099348,71099.78687782108,1010033.0980162969,14.010471671045337
71-72,0.029917905449507436,70108.27506627141,2097.4927446607676,69059.52869394103,938933.3111384758,13.392617494167816
72-73,0.032534583240794175,68010.78232161065,2212.7024587139745,66904.43109225367,869873.7824445347,12.790233441677813
73-74,0.03537461157428258,65798.07986289667,2327.5815174835943,64634.28910415488,802969.351352281,12.203537747992444
74-75,0.038454776561965845,63470.49834541308,2440.743832149483,62250.126429338336,738335.0622481261,11.632728298902423
75-76,0.04178483008869695,61029.75451326359,2550.117922691605,59754.69555191779,676084.9358187878,11.07795601032369
76-77,0.045389122868144074,58479.63659057199,2654.339410493886,57152.46688532504,616330.24026687,10.53922828867637
77-78,0.0493034784147728,55825.2971800781,2752.3813345162575,54449.10651281997,559177.773381545,10.016565994763642
78-79,0.05355713929027968,53072.915845561845,2842.4335464820474,51651.69907232082,504728.666868725,9.510098678908976
79-80,0.05816489864162014,50230.4822990798,2921.650911645671,48769.65684325696,453076.96779640415,9.019960531111689
80-81,0.06351917661221781,47308.831387434126,3005.018016216062,45806.32237932609,404307.3109531472,8.546127627674538
81-82,0.06907137093998253,44303.813371218064,3060.125127419161,42773.750807508484,358500.9885738211,8.091876551798608
82-83,0.07507446944338142,41243.688243798904,3096.3480127914304,39695.514237403186,315727.2377663126,7.655164977001857
83-84,0.08155835324475498,38147.340231007474,3111.2342499083607,36591.723106053294,276031.72352890944,7.235936289590678
84-85,0.08855365076335513,35036.105981099114,3102.575093158149,33484.81843452004,239440.00042285613,6.834092822759086
85-86,0.09609151233799144,31933.530887940964,3068.54127731421,30399.26024928386,205955.1819883361,6.449496070793437
86-87,0.1042033334831041,28864.989610626755,3007.8281383824747,27361.07554143552,175555.92173905222,6.081967258856059
87-88,0.11292042227710068,25857.16147224428,2919.801592333002,24397.260676077778,148194.84619761672,5.731288268307902
88-89,0.12227360712487854,22937.359879911277,2804.6337304382228,21535.043014692164,123797.58552153895,5.397202911306365
89-90,0.1322927822632931,20132.726149473056,2663.4143568587465,18801.018971043683,102262.54250684677,5.079418542109527
90-91,0.14300638994919415,17469.31179261431,2498.223214358658,16220.20018543498,83461.52353580309,4.777607986313979
91-92,0.1544408403344518,14971.088578255652,2312.1475007473164,13815.014827881994,67241.32335036811,4.491411763339035
92-93,0.16661987262212302,12658.941077508336,2109.2311498654,11604.325502575637,53426.30852248611,4.220440572032588
93-94,0.17956386421424628,10549.709927642936,1894.3466809469621,9602.536587169456,41821.983019910476,3.9642780044905495
94-95,0.1932890981656629,8655.363246695973,1672.9873562500886,7818.869568570929,32219.44643274102,3.7224834492117016
95=96,0.2078070032582901,6982.375890445885,1450.9866094164943,6256.882585737638,24400.576864170092,3.494595141684918
96-97,0.22312338525232087,5531.38928102939,1234.1823015316788,4914.298130263551,18143.694278432456,3.2801333185242605
97-98,0.23923767213130198,4297.2069794977115,1028.053794441416,3783.1800822770033,13229.396148168906,3.0786034303879988
98-99,0.2561422001429425,3269.1531850562956,837.3680894246276,2850.469140343982,9446.216065891902,2.889499369155207
99-100,0.27382157078998115,2431.785095631668,665.8752147095279,2098.847488276904,6595.74692554792,2.712306666159019
100-101,0.29225211124413747,1765.90988092214,516.0908909663788,1507.8644354389505,4496.899437271016,2.546505620616824
101-102,0.31140147152569136,1249.8189899557613,389.1954726129773,1055.2212536492725,2989.035001832065,2.391574320644516
102-103,0.331228390824455,860.6235173427839,285.0629427551327,718.0920459652175,1933.8137481827926,2.2469915232545987
103-104,0.351682662227518,575.5605745876511,202.41467514418508,474.3532370155586,1215.721702217575,2.1122393643597888
104-105,0.3727053196932692,373.145899443466,139.0734617443095,303.6091685713113,741.3684652020165,1.9868058748809554
105-106,0.3942290633853793,234.07243769915652,92.27815787847102,187.93335875992102,437.75929663070525,1.8701872844736163
106-107,0.4161789296963525,141.79427982068552,59.01179161283801,112.28838401426651,249.82593787078423,1.7618901001275695
107-108,0.43847320093166203,82.7824882078475,36.29790258558246,64.63353691505628,137.53755385651772,1.6614329532013223
108-109,0.4610245374031982,46.484585622265044,21.4305345828841,35.76931833082299,72.90401694146144,1.5683482161996964
109-110,0.4837413024829193,25.054051039380944,12.119679282263675,18.994211398249107,37.134698610638445,1.4821834022876645
