x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.003649428691754143,100000.0,364.9428691754143,99817.5285654123,7623942.4455,76.239424455
1-2,0.0007446511249918297,99635.05713082459,74.19335738109376,99597.96045213404,7524124.916934588,75.51684250108
2-3,0.00032342013697733674,99560.86377344349,32.19998819918906,99544.76377934389,7424526.956482454,74.57274550547689
3-4,0.00019152647569081266,99528.6637852443,19.062374205003657,99519.13259814179,7324982.19270311,73.59670987353375
4-5,0.00013773390399230442,99509.60141103929,13.705845887060566,99502.74848809575,7225463.060104968,72.61071251063616
5-6,0.00011343325268324863,99495.89556515223,11.28614306258803,99490.25249362094,7125960.311616872,71.62064596876388
6-7,0.0001027239621580272,99484.60942208963,10.219453253580852,99479.49969546284,7026470.059123252,70.62871433018954
7-8,9.927341994021377e-05,99474.38996883605,9.87516288867285,99469.45238739172,6926990.5594277885,69.6359189696757
8-9,0.0001003970132922068,99464.51480594739,9.9859402150756,99459.52183583986,6827521.107040397,68.6427830102093
9-10,0.0001056211761856571,99454.52886573231,10.504504315789031,99449.27661357442,6728061.585204557,67.64962502901919
10-11,0.00011699742104367468,99444.02436141652,11.634694388490091,99438.20701422228,6628612.308590982,66.65671820058431
11-12,0.00013967732979896206,99432.38966702804,13.888450684220382,99425.44544168592,6529174.1015767595,65.66445927168384
12-13,0.00018117680980721105,99418.50121634382,18.012326886191506,99409.49505290073,6429748.656135074,64.67356254087304
13-14,0.00024866036339154406,99400.48888945763,24.716961688549674,99388.13040861336,6330339.161082173,63.68519140908939
14-15,0.0003453028077893439,99375.77192776908,34.314733072892125,99358.61456123264,6230951.03067356,62.70090696958313
15-16,0.00046775651492028073,99341.45719469618,46.46761380449333,99318.22338779393,6131592.416112327,61.72239253643333
16-17,0.000606141553399624,99294.98958089169,60.18681922936117,99264.89617127701,6032274.192724533,60.751043110894116
17-18,0.0007464795349837168,99234.80276166233,74.07674941972655,99197.76438695246,5933009.296553256,59.78758592187551
18-19,0.000874315464323633,99160.72601224261,86.69775620606245,99117.37713413958,5833811.532166303,58.83187595304665
19-20,0.000978025927694857,99074.02825603654,96.89696839557661,99025.57977183876,5734694.1550321635,57.8829210437676
20-21,0.0010508211738807693,98977.13128764096,104.0072652870299,98925.12765499744,5635668.575260324,56.93909797084649
21-22,0.0010911950171117047,98873.12402235394,107.8898602594602,98819.1790922242,5536743.447605327,55.998467757057426
22-23,0.00110214551074482,98765.23416209448,108.85365944941337,98710.80733236978,5437924.268513103,55.05909356310873
23-24,0.0010897318473095875,98656.38050264507,107.50899977402499,98602.62600275806,5339213.4611807335,54.119291970554144
24-25,0.0010615032507385708,98548.87150287104,104.60994745691532,98496.56652914258,5240610.835177976,53.17778636384791
25-26,0.0010251648579920366,98444.26155541412,100.92159741758704,98393.80075670533,5142114.268648833,52.23376342514739
26-27,0.0009876501674602077,98343.33995799653,97.1288161781114,98294.77554990748,5043720.467892128,51.2868534874487
27-28,0.000954616475642582,98246.21114181842,93.78745182543967,98199.3174159057,4945425.692342221,50.337062720958244
28-29,0.0009302896693267479,98152.42368999298,91.31018577818243,98106.76859710389,4847226.374926315,49.38468346167297
29-30,0.0009175503896612359,98061.1135042148,89.97601290640696,98016.12549776159,4749119.606329211,48.43020272378497
30-31,0.0009181565142696784,97971.13749130839,89.95283809805511,97926.16107225936,4651103.48083145,47.47422148940628
31-32,0.0009330186854945588,97881.18465321034,91.32497423978849,97835.52216609045,4553177.31975919,46.517390813065255
32-33,0.0009624726862122567,97789.85967897055,94.12006892953843,97742.79964450578,4455341.7975931,45.5603659951995
33-34,0.0010065169454982355,97695.73961004101,98.33241742048946,97646.57340133077,4357598.997948594,44.603777148750176
34-35,0.0010650020003082957,97597.40719262052,103.9414338850441,97545.436475678,4259952.424547263,43.648213073321934
35-36,0.0011377708933136953,97493.46575873547,110.92522762856463,97438.0031449212,4162406.9880715855,42.6942149986973
36-37,0.0012247562582018054,97382.5405311069,119.26987595506415,97322.90559312937,4064968.9849266643,41.74227703197157
37-38,0.0013260427212185243,97263.27065515183,128.97525209417137,97198.78302910474,3967646.079333535,40.79285070929678
38-39,0.0014419036553241598,97134.29540305767,140.0582955990056,97064.26625525816,3870447.2963044303,39.84635169529004
39-40,0.001572820385228506,96994.23710745866,152.55451337229817,96917.9598507725,3773383.030049172,38.90316726620253
40-41,0.00171949043575014,96841.68259408636,166.5183470024823,96758.42342058512,3676465.0701984,37.96366370056135
41-42,0.0018828298197108497,96675.16424708389,182.02288206985372,96584.15280604897,3579706.6467778147,37.02819306961553
