x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0031790672821123546,100000.0,317.9067282112355,99841.04663589438,7879361.7149,78.793617149
1-2,0.0007237785637414792,99682.09327178876,72.14776229899944,99646.01939063927,7779520.668264106,78.04331162120373
2-3,0.00032912603834060256,99609.94550948976,32.784226744861655,99593.55339611732,7679874.648873467,77.0994764588222
3-4,0.00019731274434558278,99577.1612827449,19.647842966841107,99567.33736126148,7580281.09547735,76.12469564133768
4-5,0.00013971275488920934,99557.51343977806,13.909454472590877,99550.55871254177,7480713.758116089,75.1396203024008
5-6,0.00011123090931943151,99543.60398530547,11.072325588218913,99538.06782251135,7381163.199403547,74.15004986652028
6-7,9.659402835890107e-05,99532.53165971725,9.614248185771947,99527.72453562437,7281625.131581035,73.15824293986135
7-8,8.95003190065139e-05,99522.91741153148,8.907332856791005,99518.46374510309,7182097.407045411,72.1652619702368
8-9,8.70944886141485e-05,99514.01007867469,8.667121817745391,99509.67651776582,7082578.943300308,71.17167660815696
9-10,8.844625739178307e-05,99505.34295685694,8.800875175019819,99500.94251926943,6983069.266782542,70.17783225781382
10-11,9.469888506989008e-05,99496.54208168192,9.422211603444678,99491.8309758802,6883568.324263272,69.18399554642
11-12,0.00010982690931339047,99487.11987007847,10.926362891821515,99481.65668863256,6784076.493287392,68.19050046022848
12-13,0.00014037866249104906,99476.19350718665,13.964334994239639,99469.21133968953,6684594.8365987595,67.19793551525302
13-14,0.00019280110946858514,99462.22917219241,19.17642813461737,99452.6409581251,6585125.62525907,66.20729979677688
14-15,0.00026918838394483275,99443.0527440578,26.768914662713687,99429.66828672645,6485672.984300945,65.21997068003823
15-16,0.0003644990411227617,99416.28382939509,36.23714012780283,99398.16525933119,6386243.316014218,64.23739723538081
16-17,0.00046735027429364124,99380.04668926728,46.44529207954394,99356.82404322752,6286845.150754887,63.26063792676649
17-18,0.0005639348305372501,99333.60139718774,56.01767767057782,99305.59255835245,6187488.326711659,62.28998284247081
18-19,0.0006425050980968762,99277.58371951716,63.786353666529216,99245.6905426839,6088182.734153307,61.32484802766629
19-20,0.0006963789827559458,99213.79736585064,69.09040328498561,99179.25216420814,5988937.043610623,60.36395342803413
20-21,0.0007244762628949747,99144.70696256566,71.82798678605695,99108.79296917263,5889757.791446415,59.40567047790284
21-22,0.0007302946933251719,99072.8789757796,72.35239776845884,99036.70277689537,5790648.998477242,58.448377177904405
22-23,0.0007198371847084062,99000.52657801115,71.26426033656529,98964.89444784287,5691612.295700347,57.4907274984586
23-24,0.0006999137096820903,98929.26231767458,69.24194698487624,98894.64134418215,5592647.401252504,56.531781095201076
24-25,0.0006762874404047734,98860.0203706897,66.8577901348575,98826.59147562228,5493752.759908322,55.57102597499692
25-26,0.0006531849265397488,98793.16258055484,64.53020464280917,98760.89747823344,5394926.1684326995,54.60829502278295
26-27,0.0006339674185668097,98728.63237591203,62.5907362059885,98697.33700780904,5296165.270954466,53.643660845915186
27-28,0.000621372696892172,98666.04163970603,61.30838438533948,98635.38744751336,5197467.933946657,52.67737356816236
28-29,0.0006169703970021717,98604.7332553207,60.83620142282845,98574.31515460928,5098832.546499143,51.70981532191317
29-30,0.000621641812692091,98543.89705389786,61.25900679432787,98513.26755050069,5000258.231344534,50.74142976717959
