x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0046398356776091885,100000.0,463.98356776091885,99768.00821611955,8130434.8733,81.304348733
1-2,0.00044579751601087585,99536.01643223908,44.3729088791099,99513.82997779953,8030666.865083881,80.68101530415275
2-3,0.0002257362200192887,99491.64352335996,22.458867532469824,99480.41408959373,7931153.0351060815,79.71677574352162
3-4,0.00015915973683624905,99469.1846558275,15.831489253137766,99461.26891120092,7831672.6210164875,78.73466187658813
4-5,0.00011891492458982357,99453.35316657436,11.826487992008282,99447.43992257836,7732211.352105287,77.74711566692588
5-6,9.636155256447334e-05,99441.52667858236,9.582339900129693,99436.7355086323,7632763.912182708,76.75630259432297
6-7,8.458518801309976e-05,99431.94433868224,8.410469706395508,99427.73910382904,7533327.176674076,75.76365147818365
7-8,7.795606624735086e-05,99423.53386897585,7.7506675928356135,99419.65853517943,7433899.437570247,74.77001820682541
8-9,7.266403883452228e-05,99415.78320138302,7.223952331309743,99412.17122521736,7334479.779035067,73.77580845667002
9-10,6.81564046791834e-05,99408.55924905172,6.7753299927529484,99405.17158405534,7235067.60780985,72.78113335979032
10-11,6.697400805247032e-05,99401.78391905896,6.65733587662497,99398.45525112064,7135662.436225794,71.78606011775636
11-12,7.421436183787016e-05,99395.12658318234,7.376545889165202,99391.43831023776,7036263.980974673,70.79083475069702
12-13,9.615472703266886e-05,99387.75003729317,9.55660197522705,99382.97173630555,6936872.542664436,69.79605172731569
13-14,0.0001363227164224131,99378.19343531794,13.547505282254562,99371.41968267682,6837489.57092813,68.80271551100827
14-15,0.00018939145372294294,99364.64593003568,18.818814741354963,99355.236522665,6738118.151245453,67.81202799222851
15-16,0.0002505842195945276,99345.82711529432,24.894496557658886,99333.3798670155,6638762.914722788,66.82477872994374
16-17,0.0003077446015043436,99320.93261873667,30.56548082979288,99305.64987832177,6539429.534855773,65.84140283860086
17-18,0.000351812650324826,99290.36713790687,34.93160721451203,99272.90133429962,6440123.884977451,64.86151749275538
18-19,0.00037562252310622066,99255.43553069235,37.28257712604548,99236.79424212933,6340850.983643151,63.884168657769834
19-20,0.00038250079427442924,99218.15295356631,37.95102231118092,99199.17744241073,6241614.189401021,62.90798612550337
20-21,0.0003894334333418343,99180.20193125513,38.62408655762511,99160.88988797631,6142415.01195861,61.93186636397563
21-22,0.00039856155242250983,99141.5778446975,39.51402117539974,99121.8208341098,6043254.122070634,60.955799306898484
22-23,0.0003909986866977296,99102.0638235221,38.74877680403172,99082.68943512008,5944132.301236524,59.979904271435274
23-24,0.00036187840162158456,99063.31504671807,35.848874108441805,99045.39060966385,5845049.6118014045,59.00316993273333
24-25,0.0003203924666364384,99027.46617260962,31.72765415179886,99011.60234553373,5746004.221191741,58.024348630471664
25-26,0.00027465954516597856,98995.73851845783,27.19012451484977,98982.1434562004,5646992.618846207,57.04278490526459
26-27,0.00024447330861308603,98968.54839394298,24.195168474501564,98956.45080970573,5548010.475390007,56.05831918748798
27-28,0.00024140146584964,98944.35322546848,23.88531190617265,98932.4105695154,5449054.024580301,55.07190503497781
28-29,0.0002687660384978598,98920.46791356232,26.586462287482792,98907.17468241857,5350121.614010786,54.085081953774974
29-30,0.00031407002227964304,98893.88145127484,31.059603550722265,98878.35164949947,5251214.439328367,53.0994876757431
30-31,0.00036205642138892124,98862.82184772412,35.79391948659745,98844.92488798081,5152336.087678867,52.116012788051705
31-32,0.0004074206489209693,98827.02792823753,40.26417184945329,98806.8958423128,5053491.162790886,51.1347074654561
32-33,0.00045335681737533156,98786.76375638807,44.78565281540485,98764.37092998037,4954684.266948573,50.1553454991907
33-34,0.0004995978594045775,98741.97810357266,49.33128089391857,98717.31246312571,4855919.896018593,49.17786729900337
34-35,0.0005478561614769301,98692.64682267874,54.06937465427112,98665.6121353516,4757202.5835554665,48.20219881327878
35-36,0.0005992501082966862,98638.57744802447,59.10917821795974,98609.02285891549,4658536.971420115,47.22834708230492
36-37,0.000656608918559967,98579.46826980652,64.72815805285423,98547.10419078008,4559927.948561199,46.256365839597855
37-38,0.0007220906796821769,98514.74011175366,71.13657564600922,98479.17182393066,4461380.844370419,45.286429617633814
38-39,0.0007961543462896628,98443.60353610765,78.37630281968853,98404.4153846978,4362901.672546488,44.31879285022557
39-40,0.0008778075500690244,98365.22723328797,86.34573912963539,98322.05436372315,4264497.2571617905,43.35370716978971
40-41,0.0009666924569186929,98278.88149415833,95.00545341480897,98231.37876745092,4166175.2027980676,42.39135752725985
41-42,0.0010654497596290849,98183.87604074352,104.60998712706206,98131.57104717998,4067943.824030617,41.431892771706586
42-43,0.0011743282132293856,98079.26605361646,115.17724925959295,98021.67742898666,3969812.252983437,40.47555016177712
