x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004952425877788782,100000.0,495.24258777887815,99752.37870611055,7888225.4957,78.882254957
1-2,0.000529814635775881,99504.75741222112,52.71907680632333,99478.39787381796,7788473.116993889,78.27236927706245
2-3,0.0002523991426205249,99452.03833541479,25.10160920772227,99439.48753081093,7688994.719120071,77.31359605911693
3-4,0.00017328914629882895,99426.93672620707,17.229608984392108,99418.32192171487,7589555.2315892605,76.33298863957454
4-5,0.00012961409655898995,99409.70711722269,12.884899377192612,99403.2646675341,7490136.909667546,75.3461319510304
5-6,0.00010860813088883014,99396.82221784549,10.795303077369542,99391.4245663068,7390733.645000012,74.35583432236827
6-7,0.00010033290244590316,99386.02691476812,9.971688542925337,99381.04107049666,7291342.220433705,73.36385653776706
7-8,9.683102642579398e-05,99376.0552262252,9.622685429701773,99371.24388351035,7191961.179363208,72.37116791354845
8-9,9.2774863559573e-05,99366.4325407955,9.218707221373817,99361.82318718481,7092589.935479698,71.37812794645507
9-10,8.797362084593756e-05,99357.21383357413,8.740813858103593,99352.84342664508,6993228.112292513,70.38470426522173
10-11,8.718229129955585e-05,99348.47301971602,8.661427514970947,99344.14230595854,6893875.268865868,69.39085281660803
11-12,9.929226880764874e-05,99339.81159220105,9.863675275914007,99334.8797545631,6794531.12655991,68.39685940267411
12-13,0.0001350956023529233,99329.94791692513,13.419039145521499,99323.23839735237,6695196.2468053475,67.40360170534764
13-14,0.00020081009075297455,99316.52887777961,19.94376117721734,99306.556997191,6595873.008407995,66.4126413089303
14-15,0.00028815774733002527,99296.5851166024,28.61308028476426,99282.27857646001,6496566.451410804,65.42587989085415
15-16,0.00038736515751387784,99267.97203631763,38.4529536239314,99248.74555950567,6397284.172834344,64.44459417881399
16-17,0.0004812096170291949,99229.5190826937,47.750198875774224,99205.64398325581,6298035.427274838,63.46937368532765
17-18,0.0005606783109805099,99181.76888381793,55.60906665783833,99153.96435048901,6198829.783291582,62.49968974190131
18-19,0.0006178275421439552,99126.15981716009,61.24287168200492,99095.53838131909,6099675.818941093,61.5344711243939
19-20,0.0006571400477038242,99064.9169454781,65.09952424732685,99032.36718335444,6000580.280559774,60.57220321359867
20-21,0.0007009534152849492,98999.81742123076,69.39426013399812,98965.12029116377,5901547.913376419,59.611705022304584
21-22,0.0007486881918278552,98930.42316109677,74.0680396332461,98893.38914128015,5802582.793085255,58.65316863788623
22-23,0.0007691815309286873,98856.35512146352,76.03848257435729,98818.33588017634,5703689.4039439745,57.69673984981466
23-24,0.0007490371193646873,98780.31663888917,73.99012382512524,98743.32157697661,5604871.068063798,56.74076839167771
24-25,0.0007001135127734076,98706.32651506405,69.10563298942044,98671.77369856933,5506127.746486822,55.782926392732335
