x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005389616213910127,100000.0,538.9616213910127,99730.5191893045,7646264.9536,76.462649536
1-2,0.000609239342319743,99461.03837860898,60.595577608222456,99430.74058980487,7546534.434410695,75.87427758077501
2-3,0.00027747549838555554,99400.44280100075,27.58118740595259,99386.65220729778,7447103.69382089,74.92022654999595
3-4,0.00018663112936315656,99372.8616135948,18.546069390993864,99363.5885788993,7347717.041613592,73.94088207084882
4-5,0.00013974180198708905,99354.3155442038,13.88395108934089,99347.37356865912,7248353.453034692,72.9545909841211
5-6,0.0001202200644874018,99340.43159311445,11.942713092330546,99334.46023656828,7149006.079466034,71.96471733430188
6-7,0.00011528753672356133,99328.48888002212,11.451336809451403,99322.76321161739,7049671.619229466,70.9733098602224
7-8,0.00011478920195696327,99317.03754321267,11.400523480315142,99311.33728147252,6950348.8560178485,69.98143549130494
8-9,0.00011195769361680397,99305.63701973236,11.118030083876741,99300.07800469041,6851037.5187363755,68.98941212546728
9-10,0.00010693630302673338,99294.51898964848,10.618188771570782,99289.2098952627,6751737.440731685,67.9970809006644
10-11,0.00010658461404837604,99283.90080087692,10.582136248078719,99278.60973275287,6652448.230836422,67.00429956089785
11-12,0.0001234399308190002,99273.31866462884,12.254291588134345,99267.19151883478,6553169.6211036695,66.0113886515871
12-13,0.00017265253831107567,99261.0643730407,17.13767471946456,99252.49553568097,6453902.429584835,65.01947637121765
13-14,0.00026299871130631465,99243.92669832124,26.10102482663684,99230.87618590792,6354649.934049154,64.03061774617031
14-15,0.00038329217918646523,99217.8256734946,38.029416616536565,99198.81096518633,6255419.057863246,63.047330612228286
15-16,0.000518861951210473,99179.79625687806,51.46062260650092,99154.06594557481,6156220.24689806,62.071313707413765
16-17,0.0006477987266524408,99128.33563427156,64.21520959905689,99096.22802947203,6057066.180952485,61.10327730407672
17-18,0.0007615875187791134,99064.1204246725,75.44599767426162,99026.39742583537,5957969.952923013,60.14256147818323
18-19,0.0008521310811951019,98988.67442699823,84.35132616554793,98946.49876391546,5858943.555497178,59.18801912857221
19-20,0.0009253040325628897,98904.32310083268,91.51656900310346,98858.56481633113,5759997.056733263,58.238071665087496
20-21,0.0010087659042023862,98812.80653182958,99.67899012785652,98762.96703676565,5661138.491916931,57.29154641603429
21-22,0.001098871155127611,98713.12754170173,108.47300848800897,98658.89103745772,5562375.524880165,56.34889364163159
22-23,0.0011513807986145447,98604.65453321372,113.5315058835629,98547.88878027194,5463716.633842708,55.41033189262201
23-24,0.0011426520850415457,98491.12302733015,112.54108708526219,98434.85248378752,5365168.745062436,54.47362747172315
24-25,0.001086951281246461,98378.58194024488,106.93272568715913,98325.1155774013,5266733.892578648,53.5353711011779
25-26,0.0010168067627867915,98271.64921455772,99.92327751157357,98221.68757580193,5168408.777001247,52.59308069326276
26-27,0.0009607969656663205,98171.72593704615,94.32309639453956,98124.56438884888,5070187.089425445,51.64610320365321
27-28,0.0009251990484553704,98077.40284065162,90.74111978314491,98032.03228076005,4972062.525036596,50.69529148436779
28-29,0.0009166970575935018,97986.66172086848,89.82408448292995,97941.749678627,4874030.492755836,49.74177512690792
29-30,0.0009285041638631306,97896.83763638555,90.89762137441681,97851.38882569835,4776088.743077209,48.78695633475773
30-31,0.0009485658408561583,97805.94001501113,92.77537373106601,97759.5523281456,4678237.35425151,47.831832642613534
31-32,0.0009761312969929323,97713.16464128006,95.38087813457663,97665.47420221278,4580477.801923364,46.8767726307811
32-33,0.001017860174340059,97617.78376314549,99.36125439984546,97568.10313594557,4482812.3277211515,45.922086682463565
33-34,0.0010733506756496868,97518.42250874564,104.67146468805376,97466.08677640161,4385244.224585206,44.968367122549886
34-35,0.0011409774188091302,97413.75104405759,111.14689022276404,97358.1775989462,4287778.137808804,44.01614856068482
35-36,0.0012172844118426241,97302.60415383482,118.44494326815649,97243.38168220075,4190419.960209858,43.065856218861626
36-37,0.0013060355640504835,97184.15921056666,126.92596819134442,97120.69622647099,4093176.5785276573,42.11773412227672
37-38,0.0014116959880112862,97057.23324237533,137.0153067757369,96988.72558898745,3996055.882301186,41.172159444542075
38-39,0.001533646330530821,96920.21793559959,148.6413365911798,96845.897267304,3899067.1567121986,40.22965733839977
39-40,0.0016690243852355297,96771.5765990084,161.51412114143298,96690.81953843769,3802221.2594448947,39.29068217210233
40-41,0.0018167275954889058,96610.06247786697,175.51416650544823,96522.30539461425,3705530.439906457,38.35553300418764
41-42,0.0019810612447045475,96434.54831136152,191.04274631022668,96339.0269382064,3609008.134511843,37.424431365192014
42-43,0.002163059207089969,96243.5055650513,208.18040083509888,96139.41536463375,3512669.1075736363,36.49772612656354
43-44,0.0023639976261990237,96035.32516421619,227.02728071945845,95921.81152385646,3416529.6922090026,35.57576013166912
44-45,0.0025853459715738524,95808.29788349674,247.69759697644594,95684.44908500851,3320607.880685146,34.658875630198736
45-46,0.0028287739378806656,95560.60028652029,270.31933557874027,95425.44061873092,3224923.4316001376,33.7474170519107
46-47,0.0030961597100398713,95290.28095094155,295.0339286386851,95142.76398662222,3129497.9909814065,32.84173327805142
47-48,0.0033895999962481973,94995.24702230286,321.9958889503944,94834.24907782767,3034355.2269947845,31.94217944696099
48-49,0.003711422078561844,94673.25113335247,351.3723945055545,94497.56493609969,2939520.977916957,31.049118338362334
49-50,0.004064198031403427,94321.87873884692,383.3427938886945,94130.20734190257,2845023.4129808573,30.16292138177185
50-51,0.004450761197718638,93938.53594495823,418.0979907543176,93729.48694958107,2750893.205638955,29.28396933129548
51-52,0.004874224978874611,93520.43795420391,455.83965471167386,93292.51812684807,2657163.7186893737,28.412652643805647
52-53,0.005338003978631338,93064.59829949224,496.7791959924169,92816.20870149603,2563871.2005625255,27.549371591458467
53-54,0.005845837536716566,92567.81910349982,541.136431607228,92297.25088769621,2471054.9918610295,26.69453613353632
54-55,0.006401815688578004,92026.68267189259,589.1378608967115,91732.11374144423,2378757.7409733334,25.848565567167505
55-56,0.007010407591035791,91437.54481099588,641.0144582486809,91117.03758187154,2287025.627231889,25.011887971830813
56-57,0.007676492456075993,90796.5303527472,696.9988802907388,90448.03091260183,2195908.589650017,24.18493945879702
57-58,0.008405393034861595,90099.53147245647,757.3219742828786,89720.87048531503,2105460.5587374154,23.36816323380169
58-59,0.00920291168957907,89342.20949817359,822.2084641635639,88931.1052660918,2015739.6882521003,22.562008479243037
59-60,0.01007536908061419,88520.00103401003,891.8716814340007,88074.06519329302,1926808.5829860084,21.766929060989444
60-61,0.011029645479488462,87628.12935257603,966.5072007896704,87144.8757521812,1838734.5177927155,20.983382064388
61-62,0.01207322469270332,86661.62215178636,1046.285236472672,86138.47953355002,1751589.6420405342,20.211826164212052
62-63,0.013214240546757553,85615.33691531369,1131.3416564906468,85049.66608706837,1665451.162506984,19.452719833998472
63-64,0.014461525838611017,84483.99525882304,1221.76748038456,83873.11151863076,1580401.4964199157,18.706519401435
