x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0124334532785382,100000.0,1243.34532785382,99378.3273360731,7553914.9338,75.539149338
1-2,0.0004843900219366974,98756.65467214618,47.83673812303574,98732.73630308466,7454536.606463927,75.48389150292311
2-3,0.00039509593906627893,98708.81793402314,38.99945311576523,98689.31820746526,7355803.870160842,74.52023055404688
3-4,0.000305491125444038,98669.81848090737,30.14275389509133,98654.74710395983,7257114.551953377,73.54948720573181
4-5,0.00023099149054967355,98639.67572701228,22.78492572351902,98628.28326415052,7158459.804849417,72.57180999520548
5-6,0.00017849516082309644,98616.89080128876,17.602637783449776,98608.08948239703,7059831.521585266,71.5884618164519
6-7,0.00014481985342647998,98599.2881635053,14.2791344597941,98592.14859627541,6961223.432102869,70.60115302819638
7-8,0.00012638785898930693,98585.00902904551,12.459948219622554,98578.7790549357,6862631.283506594,69.61130653733264
8-9,0.0001210430518488214,98572.54908082589,11.931522169260901,98566.58331974126,6764052.504451658,68.62004247151387
9-10,0.00012714150452590605,98560.61755865662,12.531145203410036,98554.35198605491,6665485.921131916,67.62828892752289
10-11,0.00014337341494484357,98548.08641345322,14.129175685376328,98541.02182561053,6566931.569145861,66.63682480443762
11-12,0.00016864929533588874,98533.95723776784,16.61768245480614,98525.64839654043,6468390.54732025,65.64630842656273
12-13,0.0002020168708585481,98517.33955531304,19.902164662273407,98507.3884729819,6369864.89892371,64.65729715881454
13-14,0.0002425520108541384,98497.43739065077,23.890751503081944,98485.49201489922,6271357.510450728,63.67026063407002
14-15,0.00028916059117312765,98473.54663914768,28.4746689610905,98459.30930466714,6172872.018435829,62.68558642511444
15-16,0.0003461496879223502,98445.07197018659,34.076730939973395,98428.0336047166,6074412.709131163,61.703573247127665
16-17,0.00040777316568746483,98410.99523924662,40.12936306716163,98390.93055771304,5975984.675526446,60.72476618083427
17-18,0.0004611847974696041,98370.86587617946,45.367147856015414,98348.18230225146,5877593.744968733,59.74933424258893
18-19,0.0004992377861454252,98325.49872832345,49.087804306773016,98300.95482617007,5779245.562666481,58.77667174244114
19-20,0.0005261066836159295,98276.41092401667,51.70387662891072,98250.55898570221,5680944.607840312,57.805780191063214
20-21,0.0005615883838216444,98224.70704738777,55.161854482096984,98197.12612014671,5582694.04885461,56.835945014947015
21-22,0.0006065360170838398,98169.54519290567,59.54336494023702,98139.77351043555,5484496.922734464,55.86760040455812
