x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.013609350025385018,100000.0,1360.9350025385017,99319.53249873075,7230461.5106,72.304615106
1-2,0.0005415802174207228,98639.0649974615,53.420966267502,98612.35451432774,7131141.978101269,72.29531198703872
2-3,0.000430282775456029,98585.644031194,42.41970453386225,98564.43417892707,7032529.6235869415,71.33421597734598
3-4,0.00035295573191536464,98543.22432666013,34.781395867516295,98525.83362872637,6933965.1894080145,70.36470784051748
4-5,0.0002893725100189429,98508.44293079262,28.505635388941254,98494.19011309814,6835439.355779288,69.38937569626945
5-6,0.0002445890334918152,98479.93729540368,24.087112681417352,98467.89373906297,6736945.16566619,68.4093161580498
6-7,0.0002135232487903068,98455.85018272226,21.022612993426577,98445.33887622555,6638477.271927127,67.42593009564092
7-8,0.0001906573722453149,98434.82756972883,18.767325561865174,98425.4439069479,6540031.933050901,66.44022338961382
8-9,0.0001728095106658358,98416.06024416696,17.00723121245391,98407.55662856073,6441606.489143953,65.45279777673016
9-10,0.00016001791668199852,98399.05301295451,15.745611466614509,98391.1802072212,6343198.932515392,64.46402417795923
10-11,0.0001557066674877001,98383.3074014879,15.318936931903659,98375.64793302194,6244807.752308171,63.47426120595869
11-12,0.0001664866409995956,98367.988464556,16.376955981350896,98359.79998656533,6146432.104375149,62.48406824532998
12-13,0.00020082967032010278,98351.61150857464,19.751921714717874,98341.73554771728,6048072.304388584,61.49438948299583
13-14,0.00026447572891095847,98331.85958685992,26.006390239404798,98318.85639174022,5949730.568840866,60.50664142668088
14-15,0.0003531510703835162,98305.85319662052,34.71681728135134,98288.49478797984,5851411.712449126,59.522515925331305
15-16,0.0004567933467941957,98271.13637933916,44.889601279987176,98248.69157869917,5753123.217661146,58.54336715364066
16-17,0.000568076312459743,98226.24677805918,55.80000405644057,98198.34677603096,5654874.526082447,57.56989309445525
17-18,0.0006878782842086587,98170.44677400275,67.52931848689846,98136.6821147593,5556676.179306416,56.60233157641003
18-19,0.0008122672265584852,98102.91745551585,79.68578467888787,98063.07456317641,5458539.497191656,55.64094971657491
19-20,0.0009394408579691662,98023.23167083696,92.08702886176142,97977.18815640607,5360476.42262848,54.68577531323407
20-21,0.001082039900790053,97931.1446419752,105.96540603265917,97878.16193895887,5262499.234472074,53.736727511060494
21-22,0.0012285836513261873,97825.17923594255,120.18641589733302,97765.08602799388,5164621.072533115,52.79439417204308
22-23,0.0013481128508115406,97704.99282004521,131.71735640915227,97639.13414184064,5066855.986505121,51.85872124096407
23-24,0.001429338845674962,97573.27546363606,139.46527291991865,97503.5428271761,4969216.85236328,50.92805205883679
24-25,0.0014864094097025047,97433.81019071615,144.8265322906483,97361.39692457083,4871713.309536104,50.000234005015834
25-26,0.0015474612510185642,97288.9836584255,150.55093236239176,97213.7081922443,4774351.912611533,49.073921147885905
26-27,0.0016283274624564106,97138.43272606311,158.1731776678231,97059.3461372292,4677138.204419289,48.149203905823065
27-28,0.0017156408271897662,96980.25954839529,166.3832927126871,96897.06790203895,4580078.858282059,47.226918958661884
28-29,0.001802660421148857,96813.8762556826,174.52254294412214,96726.61498421054,4483181.790380021,46.30722334203487
29-30,0.0018850915326375196,96639.35371273848,182.17402740344554,96548.26669903676,4386455.17539581,45.38994733382216
30-31,0.0019585708514622308,96457.17968533502,188.918220545952,96362.72057506205,4289906.908696773,44.474728814292654
31-32,0.0020481340979147103,96268.26146478907,197.17030885300323,96169.67631036257,4193544.1881217114,43.56102545443324
32-33,0.002170645850303305,96071.09115593607,208.53631535174316,95966.82299826019,4097374.5118113486,42.64940121436498
33-34,0.002326457921250343,95862.55484058433,223.02020006017284,95751.04474055424,4001407.6888130885,41.74109166469924
34-35,0.002501620209034899,95639.53464052416,239.25379263942853,95519.90774420445,3905656.644072534,40.83726106314238
35-36,0.0026824959256514184,95400.28084788473,255.91086468045182,95272.3254155445,3810136.7363283294,39.93842263843619
36-37,0.002866864642690889,95144.36998320428,272.7660302559487,95007.98696807631,3714864.4109127847,39.04450060017808
37-38,0.003061035866975578,94871.60395294832,290.40538245747683,94726.40126171958,3619856.4239447084,38.15532017082772
38-39,0.0032669402880898053,94581.19857049084,308.99112810575843,94426.70300643797,3525130.022682989,37.270938367901195
39-40,0.0034863223670839162,94272.20744238509,328.66330540076194,94107.87578968471,3430703.319676551,36.391460566713064
40-41,0.0037204612634624316,93943.54413698432,349.5133169140234,93768.7874785273,3336595.4438868663,35.51702753540563
41-42,0.003993489545643192,93594.0308200703,373.7667836145575,93407.14742826302,3242826.656408339,34.647793539766504
42-43,0.004290722694760317,93220.26403645574,399.9823025127697,93020.27288519936,3149419.508980076,33.78470916740194
43-44,0.004613228456046894,92820.28173394297,428.2011649933155,92606.18115144632,3056399.2360948767,32.92814004654327
