x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.015571587613728377,100000.0,1557.1587613728377,99221.42061931358,6884848.193,68.84848193
1-2,0.0005970537131976343,98442.84123862717,58.77566389924755,98413.45340667754,6785626.772380686,68.92961120384781
2-3,0.0004642786194528634,98384.06557472792,45.677618141194664,98361.22676565732,6687213.318974009,67.97049176520069
3-4,0.0003987891246264379,98338.38795658672,39.21627965038226,98318.77981676154,6588852.092208351,67.00183142230398
4-5,0.0003456538410028665,98299.17167693634,33.97748625753323,98282.18293380758,6490533.312391589,66.02836220963238
5-6,0.00030818322128574067,98265.19419067881,30.283684085952245,98250.05234863584,6392251.129457782,65.05102017153634
6-7,0.0002795309902254742,98234.91050659286,27.459701808618743,98221.18065568856,6294001.077109146,64.07091984561573
7-8,0.00025237892851715746,98207.45080478424,24.7854912065129,98195.05805918098,6195779.896453457,63.0886948564561
8-9,0.00022257647866051413,98182.66531357773,21.853151910999934,98171.73873762223,6097584.838394276,62.1044949118023
9-10,0.00019170376717975285,98160.81216166673,18.81779748081561,98151.40326292632,5999413.099656654,61.11820967593333
10-11,0.0001676335098698299,98141.99436418591,16.45188698089355,98133.76842069547,5901261.696393727,60.129832643254524
11-12,0.00016438862081695504,98125.54247720502,16.130722594743272,98117.47711590765,5803127.927973032,59.13983027733195
12-13,0.00019967613281987606,98109.41175461028,19.590107932393472,98099.61670064408,5705010.450857124,58.14947158307714
13-14,0.0002857593355016937,98089.82164667788,28.030082253234323,98075.80660555126,5606910.834156481,57.16098510559761
14-15,0.00041512796799662513,98061.79156442465,40.708192270248205,98041.43746828953,5508835.027550929,56.17718113921806
15-16,0.0005636332702147444,98021.0833721544,55.24794377103949,97993.45940026888,5410793.59008264,55.20030389319004
16-17,0.0007226801767967956,97965.83542838336,70.79796726742987,97930.43644474965,5312800.130682371,54.23115219148234
17-18,0.0009071529344158836,97895.03746111594,88.80577049760417,97850.63457586714,5214869.694237621,53.27001071233029
18-19,0.0011177478305834099,97806.23169061833,109.32270328972699,97751.57033897346,5117019.0596617535,52.31792464766418
19-20,0.0013483596911266819,97696.9089873286,131.73057402618593,97631.04370031551,5019267.48932278,51.37590883222093
20-21,0.0016050764932172058,97565.17841330242,156.59957442773447,97486.87862608855,4921636.445622465,50.444600477986
21-22,0.001863541077899274,97408.57883887469,181.52488800603297,97317.81639487167,4824149.566996376,49.52489425983814
22-23,0.0020803497595935343,97227.05395086865,202.26627831267717,97125.9208117123,4726831.750601504,48.61642473493123
23-24,0.002226945984555661,97024.78767255598,216.06896130976415,96916.7531919011,4629705.829789791,47.716732402593344
24-25,0.002315110920411778,96808.71871124621,224.12292187947813,96696.65725030647,4532789.07659789,46.82211619924393
25-26,0.0023986094498000526,96584.59578936674,231.66872416549342,96468.76142728399,4436092.419347583,45.929605886863015
26-27,0.0024911977687024005,96352.92706520125,240.0341969127745,96232.90996674486,4339623.657920299,45.03883576867064
27-28,0.002554909335800037,96112.89286828847,245.559727279939,95990.1130046485,4243390.747953555,44.15006791824097
28-29,0.0025905190837579436,95867.33314100854,248.34615601076297,95743.16006300316,4147400.634948906,43.26187554261692
29-30,0.002619443863313986,95618.98698499777,250.46856867415232,95493.7527006607,4051657.474885903,42.37293870851813
30-31,0.002648309268024774,95368.51841632361,252.56533119974117,95242.23575072375,3956163.722185242,41.48291058601673
31-32,0.002709370451333116,95115.95308512387,257.7043527392215,94987.10090875426,3860921.4864345184,40.59173420655516
32-33,0.0028288532325149544,94858.24873238464,268.3400635573139,94724.07870060598,3765934.385525764,39.700652667015476
33-34,0.003006793170433823,94589.90866882732,284.41229137738907,94447.70252313864,3671210.306825158,38.81186014967607
34-35,0.003213278957028779,94305.49637744993,303.02986704181365,94153.98144392902,3576762.6043020193,37.927403403788084
35-36,0.0034189078433571477,94002.46651040812,321.3857700473519,93841.77362538445,3482608.6228580903,37.048055781307504
36-37,0.00361937633883273,93681.08074036078,339.0670870279404,93511.5471968468,3388766.849232706,36.17343888916855
37-38,0.003828298926888051,93342.01365333283,357.3411307026239,93163.34308798153,3295255.302035859,35.30302350530232
38-39,0.0040496733459553964,92984.67252263021,376.55754989728666,92796.39374768156,3202091.9589478774,34.43677191172089
39-40,0.004285861398591607,92608.11497273292,396.9055451579694,92409.66220015394,3109295.5652001956,33.57476357353437
40-41,0.004537073254431534,92211.20942757496,418.36901205263524,92002.02492154864,3016885.903000042,32.7171275783947
41-42,0.0048531545231553595,91792.84041552233,445.48483865587025,91570.0979961944,2924883.8780784933,31.863965259581295
42-43,0.005203004696579483,91347.35557686645,475.2807200865522,91109.71521682317,2833313.780082299,31.01692175093277
43-44,0.005588129131568698,90872.0748567799,507.8048887532631,90618.17241240328,2742204.0648654755,30.176531890433463
44-45,0.00601022711574968,90364.26996802664,543.1097856567582,90092.71507519826,2651585.892453072,29.343300105133103
45-46,0.006471230582764077,89821.16018236987,581.2534387515029,89530.53346299412,2561493.177377874,28.517703091087938
46-47,0.006973332362158464,89239.90674361837,622.2995296912774,88928.75697877273,2471962.6439148798,27.700193042746005
47-48,0.007519006961708039,88617.6072139271,666.3164055714263,88284.44901114139,2383033.886936107,26.891200991055317
48-49,0.008111026416385123,87951.29080835567,713.3752431017429,87594.6031868048,2294749.4379249658,26.09113995751563
49-50,0.008752473236481756,87237.91556525392,763.5475211913401,86856.14180465825,2207154.834738161,25.300407746299374
50-51,0.009446752011141745,86474.36804406258,816.9019102324596,86065.91708894634,2120298.6929335026,24.51938928137775
51-52,0.010197600805817896,85657.46613383012,873.5006456706652,85220.71581099479,2034232.7758445563,23.74845845505513
52-53,0.01100910314544089,84783.96548815946,933.3954211386482,84317.26777759014,1949012.0600335614,22.987979493666778
53-54,0.01188570109911693,83850.57006702082,996.6228128071705,83352.25866061723,1864694.7922559713,22.23830787036441
54-55,0.012832209769659847,82853.94725421365,1063.199231410402,82322.34763850845,1781342.533595354,21.499790808153218
55-56,0.013853833331723877,81790.74802280325,1133.1153911849406,81224.19032721077,1699020.1859568455,20.77276742209472
56-57,0.01495618264450386,80657.63263161831,1206.330285311778,80054.46748896243,1617795.9956296347,20.057568550498818
57-58,0.01614529437831578,79451.30234630653,1282.76466512169,78809.9200137457,1537741.5281406722,19.354516322943038
