x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005997542359614562,100000.0,599.7542359614562,99700.12288201928,8032166.6838,80.321666838
1-2,0.00025269956002575385,99400.24576403854,25.11839837102434,99387.68656485302,7932466.56091798,79.8032892166935
2-3,0.0002161450602360653,99375.12736566752,21.479442890418866,99364.38764422231,7833078.874353127,78.82333418834266
3-4,0.00017036513899590223,99353.6479227771,16.926398038113856,99345.18472375805,7733714.486708905,77.84026705008311
4-5,0.00013547084009629472,99336.721524739,13.457229117368074,99329.99291018031,7634369.3019851465,76.85344538055718
5-6,0.00011094686298735012,99323.26429562163,11.019604595262697,99317.754493324,7535039.309074966,75.86379044740202
6-7,9.503892419224149e-05,99312.24469102637,9.438528894551792,99307.52542657909,7435721.554581642,74.87215275130637
7-8,8.588956266148928e-05,99302.80616213182,8.529074592324145,99298.54162483566,7336414.029155063,73.8792216725164
8-9,8.230095715749608e-05,99294.27708753949,8.172014044566133,99290.19108051721,7237115.487530228,72.88552472314055
9-10,8.369245872191959e-05,99286.10507349492,8.309498250523646,99281.95032436967,7137825.296449711,71.89148261144952
10-11,9.009395687881176e-05,99277.7955752444,8.944329433579558,99273.3234105276,7038543.346125341,70.89745804025941
11-12,0.00010213269754140382,99268.85124581082,10.138595559571003,99263.78194803103,6939270.022714813,69.90380099727057
12-13,0.0001208996805244908,99258.71265025124,12.000346648687609,99252.7124769269,6840006.240766782,68.91089011871715
13-14,0.0001472633488608275,99246.71230360256,14.615403217255604,99239.40460199393,6740753.528289855,67.91916197354149
14-15,0.00018039824137114198,99232.09690038531,17.90129576840026,99223.14625250112,6641514.1236878615,66.9290918074117
15-16,0.00021901402927115775,99214.1956046169,21.729300740263938,99203.33095424678,6542290.977435361,65.94107766097653
16-17,0.0002601988776785752,99192.46630387664,25.809768406438593,99179.56141967342,6443087.6464811135,64.95541331478421
17-18,0.0003016313770288576,99166.6565354702,29.911775166141638,99151.70064788713,6343908.08506144,63.97218890597903
18-19,0.0003407427958177121,99136.74476030406,33.780131577892924,99119.85469451512,6244756.384413553,62.99133988625834
19-20,0.0003770839727434474,99102.96462872617,37.37013961285341,99084.27955891975,6145636.529719038,62.01264061819652
20-21,0.0004209295842500226,99065.59448911331,41.6996395017838,99044.74466936242,6046552.250160119,61.03584479901947
21-22,0.0004653419753492972,99023.89484961153,46.079974836099325,99000.85486219349,5947507.505490757,60.061336857364466
22-23,0.0004891883294333114,98977.81487477543,48.41879190955095,98953.60547882065,5848506.650628563,59.08906615111645
23-24,0.0004841750205103786,98929.39608286587,47.89914237750095,98905.44651167712,5749553.045149743,58.11774126604154
24-25,0.0004622367468601353,98881.49694048837,45.70666147043177,98858.64360975316,5650647.598638065,57.14565185070869
25-26,0.0004364875718535535,98835.79027901794,43.14059411111558,98814.21998196238,5551788.955028312,56.171847661210165
26-27,0.0004253395820273478,98792.64968490682,42.02042432435246,98771.63947274465,5452974.7350463495,55.19615834212649
27-28,0.0004390022535772033,98750.62926058247,43.35174878756262,98728.95338618869,5354203.095573605,54.21943268275255
28-29,0.0004838707905518114,98707.2775117949,47.761568402849235,98683.39672759348,5255474.142187417,53.24302599227722
29-30,0.0005503405597852293,98659.51594339206,54.29633323242614,98632.36777677585,5156790.745459823,52.26855915671265
30-31,0.0006218336723571938,98605.21961015963,61.31604582377315,98574.56158724775,5058158.377683047,51.29706518256045
31-32,0.0006901677697674463,98543.90356433587,68.01182614717598,98509.89765126228,4959583.816095799,50.328672162432255
32-33,0.0007603164521788695,98475.89173818869,74.87284063153007,98438.45531787293,4861073.918444537,49.363086057330165
33-34,0.0008306766269936712,98401.01889755715,81.73942647056327,98360.14918432187,4762635.463126664,48.40026573388356
34-35,0.000901904053010341,98319.27947108659,88.67455664402941,98274.94219276457,4664275.313942342,47.44008844485071
35-36,0.0009736723605788208,98230.60491444256,95.6444249681308,98182.7827019585,4566000.371749577,46.4824621178552
36-37,0.0010491718089033258,98134.96048947443,102.9604340133983,98083.48027246773,4467817.589047618,45.52727760589274
37-38,0.0011330788961686812,98032.00005546103,111.07799041204987,97976.46106025501,4369734.10877515,44.57456857253752
38-39,0.0012290823285613787,97920.92206504899,120.3528749065877,97860.7456275957,4271757.647714895,43.62456518615257
39-40,0.001336359517733896,97800.5691901424,130.69672147703923,97735.22082940389,4173896.9020872996,42.677634053156396
40-41,0.001455345683249416,97669.87246866536,142.1434272807931,97598.80075502496,4076161.6812578957,41.73407395986534
41-42,0.0015784297242200946,97527.72904138456,153.94066645460475,97450.75870815726,3978562.880502871,40.79417125374284
42-43,0.0016991142402960858,97373.78837492995,165.44919045942095,97291.06377970024,3881112.1217947137,39.85787332059839
43-44,0.0018239022746594654,97208.33918447053,177.29851095442464,97119.68992899332,3783821.0580150136,38.92486066277219
