x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0064029003994566505,100000.0,640.2900399456651,99679.85498002717,7757848.6726,77.57848672600001
1-2,0.00032566780607756583,99359.70996005433,32.35825875519416,99343.53083067673,7658168.817619973,77.07519295999145
2-3,0.0002473654910640433,99327.35170129914,24.5701591296828,99315.0666217343,7558825.286789296,76.1001391592567
3-4,0.00019784574654326505,99302.78154216945,19.646632948033275,99292.95822569543,7459510.220167562,75.1188446518977
4-5,0.00016234891297135776,99283.13490922142,16.11850902890076,99275.07565470698,7360217.261941867,74.13361059430295
5-6,0.00013850697840842323,99267.01640019251,13.74917449721006,99260.14181294391,7260942.18628716,73.14556687202979
6-7,0.00012240281360621007,99253.26722569531,12.148879168034142,99247.19278611129,7161682.044474216,72.15563018383092
7-8,0.00011033684337661313,99241.11834652728,10.949951731520708,99235.64337066152,7062434.851688105,71.16440210828438
8-9,9.9968846995363e-05,99230.16839479575,9.91992552158344,99225.20843203495,6963199.208317443,70.17219985573094
9-10,9.1541471163669e-05,99220.24846927417,9.082767514102136,99215.70708551712,6863973.999885408,69.17916560157572
10-11,8.797948351669328e-05,99211.16570176007,8.728547117529926,99206.8014282013,6764758.292799891,68.18545316900637
11-12,9.462451491849208e-05,99202.43715464254,9.386982494490246,99197.74366339529,6665551.491371689,67.19140862417562
12-13,0.00011821338407515304,99193.05017214805,11.725946137586064,99187.18719907926,6566353.747708295,66.19771986356389
13-14,0.0001634910320708503,99181.32422601047,16.21525705986408,99173.21659748054,6467166.560509215,65.20548713155002
14-15,0.00022730305314435848,99165.1089689506,22.54053203403548,99153.83870293359,6367993.343911734,64.21606762823812
15-16,0.0003011848961060815,99142.56843691657,29.86024417436279,99127.63831482938,6268839.505208801,63.23055377769037
16-17,0.00037842758573329366,99112.70819274221,37.506982876867866,99093.95470130378,6169711.866893971,62.24945296516239
17-18,0.00046017557550654347,99075.20120986535,45.59198773517638,99052.40521599776,6070617.912192668,61.27282950789698
18-19,0.0005433124437596159,99029.60922213018,53.80401899103534,99002.70721263466,5971565.50697667,60.30080855496501
19-20,0.0006260300846404413,98975.80520313914,61.96183170867703,98944.8242872848,5872562.799764035,59.333316740501544
20-21,0.0007211499113503389,98913.84337143047,71.33170937862839,98878.17751674115,5773617.97547675,58.37017123878495
