x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005038077070829423,100000.0,503.80770708294233,99748.09614645853,7858791.8716,78.587918716
1-2,0.0002926596792918803,99496.19229291705,29.11852372720836,99481.63303105345,7759043.775453541,77.98332374982648
2-3,0.00022013499161222108,99467.07376918984,21.89618344987278,99456.12567746491,7659562.142422488,77.00600663287086
3-4,0.00017212609723316337,99445.17758573996,17.117110306492275,99436.61903058672,7560106.016745023,76.02285199025188
4-5,0.00013910050191579665,99428.06047543346,13.830493116646977,99421.14522887515,7460669.397714437,75.03585368194734
5-6,0.00011763861217106502,99414.22998231681,11.694952045174832,99408.38250629422,7361248.252485562,74.04622309899635
6-7,0.00010354442126029757,99402.53503027164,10.292577961515933,99397.38874129088,7261839.869979268,73.05487599252652
7-8,9.301629836048716e-05,99392.24245231012,9.245098478661957,99387.6199030708,7162442.481237977,72.06238942314461
8-9,8.358617793167347e-05,99382.99735383147,8.30704490020039,99378.84383138137,7063054.861334906,71.06904651092823
9-10,7.548558586761703e-05,99374.69030893127,7.501356718382682,99370.93963057207,6963676.017503524,70.07494560088874
10-11,7.171767887771857e-05,99367.18895221289,7.126384148256388,99363.62576013876,6864305.077872952,69.08019790289222
11-12,7.773463940662198e-05,99360.06256806463,7.723718635147903,99356.20070874706,6764941.4521128135,68.08511666826523
12-13,0.00010038649879703426,99352.33884942949,9.973633444390794,99347.35203270729,6665585.251404067,67.09037078136528
13-14,0.00014452294214137504,99342.3652159851,14.357250900297164,99335.18659053496,6566237.8993713595,66.09705622667006
14-15,0.00020691927293700258,99328.0079650848,20.55287919041615,99317.7315254896,6466902.712780825,65.10653787654769
15-16,0.0002794251551941115,99307.45508589438,27.749001049308294,99293.58058536972,6367584.981255336,64.11990898113133
16-17,0.0003544200153696395,99279.70608484508,35.18671495648409,99262.11272736684,6268291.400669966,63.13769095280201
17-18,0.0004317507451931872,99244.5193698886,42.848895194289106,99223.09492229145,6169029.2879425995,62.15989887512439
18-19,0.0005073882771457717,99201.67047469431,50.33376467213772,99176.50359235825,6069806.193020308,61.18653208131889
19-20,0.0005800466795011065,99151.33671002218,57.51240362674453,99122.5805082088,5970629.68942795,60.21733934752331
20-21,0.0006638162397089559,99093.82430639543,65.78008982945136,99060.93426148071,5871507.108919742,59.2519982957283
21-22,0.0007472085211883267,99028.04421656598,73.9945984752325,98991.04691732836,5772446.174658261,58.291024732695
22-23,0.0007968831790558402,98954.04961809075,78.85481764011351,98914.62220927069,5673455.127740933,57.33423896886897
23-24,0.0007977736030149365,98875.19480045064,78.88002040475922,98835.75479024826,5574540.505531662,56.37956533771861
24-25,0.0007660897990928856,98796.31478004588,75.68684894096283,98758.4713555754,5475704.750741414,55.424180172430425
25-26,0.0007258670905500958,98720.62793110491,71.65805497362965,98684.7989036181,5376946.279385839,54.46628928594638
26-27,0.0007098523220340816,98648.96987613129,70.02620033284195,98613.95677596486,5278261.480482221,53.50549009391458
27-28,0.0007185443702047135,98578.94367579845,70.83334499897252,98543.52700329896,5179647.5237062555,52.543142892064495
28-29,0.000754437059681736,98508.11033079948,74.3181691127724,98470.95124624309,5081103.996702957,51.58056508890621
29-30,0.0008047358267047704,98433.79216168671,79.2131991109205,98394.18556213124,4982633.045456714,50.61913125598446
30-31,0.000853110036458883,98354.57896257579,83.90727844466112,98312.62532335347,4884238.859894583,49.65949639978684
