x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00532535467113094,100000.0,532.535467113094,99733.73226644345,7582116.4712,75.821164712
1-2,0.0003696781831386551,99467.46453288691,36.77095156992625,99449.07905710195,7482382.738933556,75.2244241277474
2-3,0.000250870917369386,99430.69358131698,24.944269313419312,99418.22144666027,7382933.659876454,74.25205833285776
3-4,0.00019412314176745995,99405.74931200357,19.296956366194653,99396.10083382047,7283515.438429793,73.2705652222299
4-5,0.0001573422781867233,99386.45235563738,15.637690834532217,99378.63351022011,7184119.337595973,72.28469441578248
5-6,0.00013477393142374212,99370.81466480285,13.392595361155527,99364.11836712227,7084740.704085753,71.2959909605649
6-7,0.0001197663251002724,99357.42206944169,11.899673312693734,99351.47223278534,6985376.585718631,70.3055337007083
7-8,0.00010649307067852286,99345.52239612899,10.57960973812574,99340.23259125992,6886025.113485846,69.3138950543599
8-9,9.116744437631673e-05,99334.94278639086,9.056112871102894,99330.41472995532,6786684.8808945855,68.32122403783553
9-10,7.46470347138999e-05,99325.88667351977,7.414382910507118,99322.17948206452,6687354.46616463,67.32740768925323
10-11,6.258646288256672e-05,99318.47229060926,6.215991879569448,99315.36429466947,6588032.286682566,66.33239652947698
11-12,6.485194473191011e-05,99312.2562987297,6.44059295668651,99309.03600225135,6488716.922387896,65.33651700420478
12-13,9.358065413051181e-05,99305.81570577301,9.293103192710293,99301.16915417666,6389407.886385645,64.34072205112761
13-14,0.00015711095797565273,99296.5226025803,15.600571789742446,99288.72231668542,6290106.717231468,63.346696866784484
14-15,0.0002495874726666582,99280.92203079055,24.77927441368056,99268.53239358371,6190817.994914783,62.35657232307724
15-16,0.0003570367076622914,99256.14275637687,35.43808642499519,99238.42371316437,6091549.462521199,61.37201480288068
16-17,0.0004667813325734787,99220.70466995187,46.31437274471971,99197.5474835795,5992311.038808035,60.39375610907906
17-18,0.0005789567064185405,99174.39029720715,57.41767836753791,99145.68145802338,5893113.4913244555,59.421726452402616
18-19,0.0006876109130631354,99116.97261883962,68.1539120424941,99082.89566281837,5793967.809866432,58.455859342551655
19-20,0.0007917077719743842,99048.81870679712,78.41771957505304,99009.60984700959,5694884.914203614,57.49573784480489
20-21,0.0009105711590706874,98970.40098722206,90.11959274062549,98925.34119085174,5595875.304356605,56.54089756672887
21-22,0.00103001784092857,98880.28139448144,101.84845395235324,98829.35716750527,5496949.9631657535,55.5919732998711
22-23,0.0011061908551045342,98778.43294052909,109.26779920036977,98723.7990409289,5398120.605998248,54.64877752462686
23-24,0.0011186815738850823,98669.16514132872,110.3793769542287,98613.9754528516,5299396.806957319,53.7087427401127
24-25,0.0010871870016626777,98558.7857643745,107.15183078268451,98505.20984898316,5200782.831504468,52.7683330427592
25-26,0.001042846249568874,98451.63393359182,102.66991721157392,98400.29897498603,5102277.621655485,51.82522034217435
26-27,0.0010298744958910741,98348.96401638024,101.28708973777898,98298.32047151135,5003877.3226804985,50.878800531616086
27-28,0.00104379739783603,98247.67692664247,102.55066951946436,98196.40159188274,4905579.002208987,49.93073786234949
28-29,0.0010879420005463032,98145.126257123,106.77620500404392,98091.73815462098,4807382.600617104,48.9823874496081
29-30,0.0011465377566236053,98038.35005211896,112.4046699318362,97982.14771715304,4709290.862462483,48.03519092231703
30-31,0.0011991480458385154,97925.94538218711,117.42770604193888,97867.23152916615,4611308.714745331,47.089754372533584
31-32,0.0012432035627527583,97808.51767614517,121.59589764254982,97747.7197273239,4513441.483216165,46.14568945989621
32-33,0.0012890671705839576,97686.92177850263,125.92500386007077,97623.9592765726,4415693.76348884,45.20250697939973
33-34,0.0013385614064501637,97560.99677464255,130.59138505734543,97495.70108211388,4318069.8042122675,44.260205891362865
34-35,0.0013932727998154635,97430.40538958521,135.74713370430302,97362.53182273306,4220574.103130153,43.3188601264027
35-36,0.0014559714767957142,97294.6582558809,141.65824726514924,97223.82913224833,4123211.5713074203,42.37860171586754
36-37,0.0015285094348753438,97153.00000861575,148.49927713961353,97078.75037004595,4025987.742175172,41.43966467137544
37-38,0.0016133258840275212,97004.50073147615,156.49987189725707,96926.25079552752,3928908.991805126,40.502337130531394
38-39,0.0017134909048336195,96848.00085957888,165.94816862420697,96765.02677526679,3831982.7410095986,39.56697822359429
39-40,0.001831891676142101,96682.05269095468,177.1110475568919,96593.49716717623,3735217.7142343316,38.634034034982676
40-41,0.001970431270707565,96504.94164339779,190.1563547919597,96409.86346600181,3638624.2170671555,37.70401966059409
41-42,0.0021429958266769708,96314.78528860582,206.40218292077077,96211.58419714544,3542214.353601154,36.77747235782088
42-43,0.002335353061933903,96108.38310568505,224.44700676337817,95996.15960230336,3446002.7694040085,35.85538178927254
43-44,0.002548655772818703,95883.93609892167,244.37514725909634,95761.74852529212,3350006.609801705,34.93814236355051
44-45,0.002784294189780174,95639.56095166257,266.2886738708409,95506.41661472715,3254244.861276413,34.026137603466715
45-46,0.003043901656456781,95373.27227779172,290.3068614680738,95228.11884705769,3158738.4446616857,33.11974486375276
46-47,0.003329359921050964,95082.96541632366,316.5654142317828,94924.68270920776,3063510.325814628,32.21933931489153
47-48,0.00364280549613417,94766.40000209188,345.2155627764695,94593.79222070365,2968585.6431054203,31.32529718381084
48-49,0.003986638005634423,94421.1844393154,376.4230824227924,94232.97289810401,2873991.8508847165,30.437998294035744
49-50,0.004363531056452353,94044.76135689262,410.36723687745103,93839.5777384539,2779758.8779866123,29.557827973401324
50-51,0.004776445916492641,93634.39412001516,447.239619437809,93410.77431029626,2685919.300248158,28.685178405762972
51-52,0.005228648120124978,93187.15450057735,487.2428401992397,92943.53308047773,2592508.5259378618,27.820449501135904
52-53,0.005723727029028509,92699.91166037811,530.5889899590613,92434.61716539858,2499564.992857384,26.964049351146798
53-54,0.00626561832890103,92169.32267041906,577.497797486171,91880.57377167598,2407130.3756919852,26.11639432677021
54-55,0.006858629423615082,91591.82487293289,628.1943850360973,91277.72768041484,2315249.801920309,25.277908865035716
