x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.008532261401069245,100000.0,853.2261401069245,99573.38692994654,7436822.5389,74.368225389
1-2,0.0010481891147131983,99146.77385989307,103.92456911887099,99094.81157533363,7337249.151970053,74.00391224366527
2-3,0.000878510692480328,99042.8492907742,87.0102021156628,98999.34418971637,7238154.3403947195,73.08103908788648
3-4,0.0007089642359199942,98955.83908865854,70.1561508493127,98920.76101323389,7139154.996205003,72.14485837272063
4-5,0.0005512968806065513,98885.68293780922,54.5153685402627,98858.42525353908,7040234.235191769,71.19568805141877
5-6,0.0004484122264569617,98831.16756926896,44.31710389307696,98809.00901732242,6941375.80993823,70.23468386198257
6-7,0.0003661733273777067,98786.85046537589,36.17310973607064,98768.76391050786,6842566.800920907,69.26596777492345
7-8,0.0003258027372151437,98750.67735563981,32.173240984316955,98734.59073514765,6743798.0370104,68.29115726187219
8-9,0.000317388591634925,98718.5041146555,31.33212698925706,98702.83805116087,6645063.446275252,67.31325100466897
9-10,0.00031226230495254867,98687.17198766624,30.816283794117254,98671.76384576918,6546360.608224091,66.33446350091221
10-11,0.0002996754624680674,98656.35570387212,29.564889020972036,98641.57325936163,6447688.844378322,65.35502754360569
11-12,0.0002891974825997787,98626.79081485115,28.52261962054993,98612.52950504087,6349047.27111896,64.3744688300547
12-13,0.00029173211812520526,98598.2681952306,28.764281624071682,98583.88605441856,6250434.74161392,63.39294650934109
13-14,0.0003091105062057979,98569.50391360653,30.468869251189293,98554.26947898093,6151850.855559501,62.41129975607293
14-15,0.00037726723904605544,98539.03504435535,37.17554968944644,98520.44726951062,6053296.5860805195,61.43044310669118
15-16,0.0005167319264410105,98501.8594946659,50.89905561470045,98476.40996685855,5954776.138811009,60.45343884227357
16-17,0.0007019392324715413,98450.9604390512,69.10659160667367,98416.40714324785,5856299.728844151,59.48443471478022
17-18,0.0008919183240318815,98381.85384744452,87.74857819876223,98337.97955834515,5757883.321700903,58.52586728675945
18-19,0.0010768634207702255,98294.10526924576,105.84932644178863,98241.18060602486,5659545.342142558,57.57766782290774
19-20,0.001284521483314855,98188.25594280397,126.12492416774919,98125.19348072009,5561304.161536532,56.63919893613417
20-21,0.0014756919747208543,98062.13101863622,144.70949976822644,97989.77626875212,5463178.968055813,55.71140369178355
21-22,0.0015996565322296107,97917.421518868,156.63424295173743,97839.10439739213,5365189.19178706,54.792999126853296
22-23,0.0017512788353341543,97760.78727591626,171.20639768191663,97675.1840770753,5267350.087389668,53.87998843056883
23-24,0.0018726033435350808,97589.58087823434,182.74657544676882,97498.20759051095,5169674.903312593,52.97363567697829
24-25,0.0018866106663021243,97406.83430278757,183.76877256636266,97314.94991650438,5072176.695722082,52.07208233413379
25-26,0.0018980771534850476,97223.06553022121,184.5368794746925,97130.79709048386,4974861.745805577,51.16956268221322
26-27,0.0019143447483951862,97038.52865074652,185.76519771455241,96945.64605188924,4877730.948715094,50.26592031574017
27-28,0.0018722237145365897,96852.76345303196,181.33004055516918,96762.09843275438,4780785.302663204,49.36137217170485
28-29,0.0018771988879746268,96671.43341247679,181.4715073008146,96580.69765882638,4684023.20423045,48.453023182605584
29-30,0.00194072767565927,96489.96190517598,187.26073949268368,96396.33153542964,4587442.5065716235,47.543209842697024
30-31,0.0019890162069726653,96302.70116568329,191.54763339378945,96206.9273489864,4491046.175036194,46.63468543119684
31-32,0.0021195912498150433,96111.1535322895,203.71636003667103,96009.29535227118,4394839.247687208,45.72663094934884
32-33,0.002243126045697553,95907.43717225283,215.132470297182,95799.87093710424,4298829.952334937,44.8226965403538
33-34,0.002251504447031247,95692.30470195565,215.45164958312228,95584.5788771641,4203030.081397832,43.92234145147447
34-35,0.0022205659322769027,95476.85305237253,212.01264720910646,95370.84672876798,4107445.5025206683,43.0203276627434
35-36,0.0022175995240511044,95264.84040516343,211.25926474129483,95159.21077279278,4012074.6557919,42.11495698442846
36-37,0.0022157371080680542,95053.58114042213,210.61374698759107,94948.27426692833,3916915.4450191073,41.20744739993194
37-38,0.0022606513477386654,94842.96739343453,214.40688206150207,94735.76395240378,3821967.170752179,40.29784469835929
38-39,0.002363437713794387,94628.56051137303,223.64870871465325,94516.7361570157,3727231.406799775,39.38801759910333
39-40,0.0025183078939394086,94404.91180265837,237.74063461928824,94286.04148534873,3632714.670642759,38.48014474327876
40-41,0.0027218990275332216,94167.17116803909,256.31353162784,94039.01440222516,3538428.6291574105,37.57603191502024
41-42,0.0029700332882382887,93910.85763641125,278.91837330714833,93771.39844975767,3444389.6147551853,36.67722456641395
42-43,0.003197997391647459,93631.9392631041,299.4346975383002,93482.22191433495,3350618.2163054277,35.784992201114726
43-44,0.003448978988322997,93332.5045655658,321.90184717419663,93171.55364197871,3257135.9943910926,34.898195538114635
44-45,0.003723915001017487,93010.6027183916,346.36357871669634,92837.42092903325,3163964.440749114,34.017244790130604
45-46,0.004024005445655601,92664.2391396749,372.88140291558466,92477.79843821711,3071127.0198200806,33.14252669998079
46-47,0.004350705421188188,92291.35773675931,401.5325104341372,92090.59148154224,2978649.2213818636,32.2744111087606
47-48,0.00470571754709245,91889.82522632518,432.4075629667769,91673.62144484179,2886558.6299003214,31.413256285891396
48-49,0.0050909863770398,91457.4176633584,465.6084674033968,91224.6134296567,2794885.0084554795,30.55941311117103
49-50,0.005508695593949865,90991.80919595501,501.24617840328415,90741.18610675336,2703660.395025823,29.71322824457053
50-51,0.005961268311852422,90490.56301755173,539.4385258382158,90220.84375463262,2612919.2089190693,28.875046433430438
51-52,0.006451370513040903,89951.12449171352,580.308032160712,89660.97047563316,2522698.365164437,28.045212101787932
52-53,0.006981917481722521,89370.8164595528,623.9796657947666,89058.82662665543,2433037.3946888037,27.224070351756726
53-54,0.007556083014976164,88746.83679375803,670.5784661301768,88411.54756069294,2343978.568062148,26.411967488028946
54-55,0.008177311166036396,88076.25832762786,720.2269706852175,87716.14484228526,2255567.0205014553,25.609251157231853
55-56,0.008849330280601005,87356.03135694264,773.0423734801234,86969.51017020257,2167850.87565917,24.816270176024656
56-57,0.009576169108206025,86582.9889834625,829.1333443995762,86168.42231126272,2080881.3654889676,24.033374106389644
57-58,0.010362174797425577,85753.85563906292,888.596441685169,85309.55741822034,1994712.943177705,23.260912623840852
58-59,0.01121203260935921,84865.25919737776,951.512053522721,84389.5031706164,1909403.3857594845,22.499234714155953
59-60,0.012130787204857442,83913.74714385504,1017.9398101643195,83404.77723877288,1825013.882588868,21.748687726460478
60-61,0.013123865375218067,82895.80733369073,1087.9134156173716,82351.85062588204,1741609.105350095,21.009616304711056
61-62,0.014197100092716521,81807.89391807336,1161.4348583292226,81227.17648890875,1659257.254724213,20.282361215482197
62-63,0.01535675575594668,80646.45905974414,1238.4679743624442,80027.22507256291,1578030.0782353042,19.567258087131577
63-64,0.016609554495457604,79407.9910853817,1318.931355307459,78748.52540772797,1498002.8531627413,18.864636073616907
64-65,0.01796270338757631,78089.05973007424,1402.6906177460535,77387.7144212012,1419254.3277550132,18.174816455222594
65-66,0.01942392239859183,76686.36911232819,1489.550082667632,75941.59407099437,1341866.613333812,17.49811118802979
66-67,0.02100147284755366,75196.81902966056,1579.2439530738225,74407.19705312364,1265925.0192628177,16.834821413968154
67-68,0.022704186133634577,73617.57507658674,1671.427127245643,72781.86151296392,1191517.822209694,16.185235943592538
68-69,0.024541492423069227,71946.1479493411,1765.6658447677723,71063.31502695722,1118735.96069673,15.549629724227309
69-70,0.026523448930798395,70180.48210457333,1861.4284330394612,69249.7678880536,1047672.6456697729,14.928262306729025
70-71,0.02866076736279923,68319.05367153387,1958.0765037264266,67340.01541967066,978422.8777817193,14.32137632476302
71-72,0.030964840006371466,66360.97716780745,2054.8570406676276,65333.54864747363,911082.8623620487,13.729196001110523
72-73,0.03344776386717974,64306.12012713982,2150.895921227067,63230.67216652628,845749.313714575,13.151925696068144
73-74,0.036122362153587356,62155.22420591275,2245.1935185033994,61032.627446661056,782518.6415480487,12.589748513425983
74-75,0.03900220230097222,59910.03068740935,2336.6231367277933,58741.719119045454,721486.0141013877,12.042824979774458
75-76,0.04210160961185425,57573.40755068156,2423.933128722977,56361.44098632007,662744.2949823423,11.511291812959518
76-77,0.04543567546281187,55149.47442195858,2505.753621780754,53896.5976110682,606382.8539960223,10.995260795351877
77-78,0.04902025889794198,52643.72080017782,2580.60882297569,51353.41638868998,552486.2563849541,10.494817767194904
78-79,0.0528719802933795,50063.11197720213,2646.935869883882,48739.64404226019,501132.8399962641,10.010021754629863
79-80,0.05700820564138926,47416.17610731824,2703.1111182543264,46064.62054819108,452393.1959540039,9.540904246054993
80-81,0.06144701987008471,44713.06498906392,2747.4845928354,43339.322692646216,406328.5754058128,9.087468629251743
81-82,0.06620718749144748,41965.58039622852,2778.4230494805147,40576.36887148827,362989.2527131666,8.649689800210382
82-83,0.07130809876293237,39187.157346748005,2794.3616863204775,37789.976503587764,322412.8838416783,8.227513952818885
83-84,0.07676969946495907,36392.795660427524,2793.8639855406877,34995.86366765718,284622.9073380906,7.820858556562648
84-85,0.08261240234802673,33598.93167488684,2775.688461989611,32211.087443892033,249627.0436704334,7.429612527145156
85-86,0.08885697830063839,30823.243212897225,2738.8602533237085,29453.813086235372,217415.95622654137,7.053636592516943
86-87,0.09552442534580735,28084.382959573515,2682.7445434048445,26743.010687871094,187962.143140306,6.6927638542342525
87-88,0.1026358137040135,25401.63841616867,2607.1178282586,24098.07950203937,161219.13245243492,6.3468005414097854
88-89,0.11021210537934857,22794.52058791007,2512.232105106475,21538.404535356833,137121.05295039556,6.015526951820293
89-90,0.11827394704871927,20282.288482803593,2398.866314041961,19082.855325782613,115582.64841503873,5.698698572058861
90-91,0.1268414354762519,17883.422168761634,2268.3589391135515,16749.242699204857,96499.79308925611,5.396047366024821
91-92,0.13593385524954227,15615.063229648082,2122.615744771432,14553.755357262366,79750.55039005126,5.1072832185930634
92-93,0.1455693893510175,13492.44748487665,1964.0873412241656,12510.403814264566,65196.79503278889,4.8320955190573365
93-94,0.15576480394139608,11528.360143652484,1795.712757541834,10630.503764881567,52686.391218524324,4.570154866955076
94-95,0.16653510974122826,9732.64738611065,1620.8275005186154,8922.233635851342,42055.88745364276,4.321114881204906
95-96,0.1778932035401046,8111.819885592035,1443.037625988292,7390.301072597888,33133.65381779142,4.084614092164744
96-97,0.1898494946198835,6668.782259603743,1266.0649417158154,6035.749788745836,25743.35274519353,3.860277895281468
97-98,0.20241152221421438,5402.7173178879275,1093.5722364067929,4855.931199684531,19707.602956447692,3.64772054447445
98-99,0.21558357149401802,4309.145081481134,928.9808867515842,3844.654638105342,14851.67175676316,3.4465471632851967
99-100,0.2293662969055891,3380.1641947295498,775.2957442779795,2992.51632259056,11007.017118657819,3.2563557521318875
100-101,0.24375636291942013,2604.8684504515704,634.9532593656205,2287.39182076876,8014.500796067259,3.076739170716239
101-102,0.25874611328732955,1969.9151910859498,509.7078991991566,1715.0612414863715,5727.108975298499,2.9072870757148337
102-103,0.2743232806592617,1460.2072918867932,400.5688547529613,1259.9228645103126,4012.0477338121273,2.7475877953108956
103-104,0.2904707487836754,1059.638437133832,307.7939702742277,905.7414519967181,2752.1248693018147,2.5972301238391395
104-105,0.3071663794165844,751.8444668596043,230.94134276965684,636.3737954747759,1846.3834173050966,2.4558050217717184
105-106,0.3243829154177389,520.9031240899475,168.97207404250537,436.4170870686948,1210.0096218303206,2.3229072084071065
106-107,0.34208797026479093,351.9310500474421,120.39137858388602,291.7353607554991,773.5925347616258,2.1981366368706072
107-108,0.3602441123461141,231.5396714635561,83.41080341929964,189.83426975390626,481.8571740061267,2.0810998433241283
108-109,0.37880904991831293,148.12886804425645,56.11255576931993,120.07259015959649,292.0229042522204,1.9714111645339298
109-110,0.39773591959819604,92.01631227493652,36.59819258070665,73.71721598458319,171.95031409262396,1.868693820057163
