x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.011306252245157933,100000.0,1130.6252245157932,99434.6873877421,7296558.7035,72.965587035
1-2,0.0024604763245512197,98869.3747754842,243.26575585826046,98747.74189755507,7197124.016112258,72.79427054591699
2-3,0.0010074995805077938,98626.10901962595,99.36576346438908,98576.42613789375,7098376.274214703,71.9725876319644
3-4,0.0006511442160654518,98526.74325616156,64.15511899901536,98494.66569666205,6999799.848076809,71.04466885582421
4-5,0.0005328439881974819,98462.58813716254,52.46519815125176,98436.35553808692,6901305.182380147,70.09063353856124
5-6,0.000488127451443792,98410.12293901129,48.03668250648983,98386.10459775804,6802868.82684206,69.12773425817252
6-7,0.0004446819432376085,98362.0862565048,43.73984365744782,98340.21633467608,6704482.722244302,68.16124969900103
7-8,0.0004049035920257933,98318.34641284736,39.80945162459817,98298.44168703505,6606142.505909625,67.19135082042423
8-9,0.0003628174235731132,98278.53696122277,35.65716557280582,98260.70837843636,6507844.06422259,66.21836532619889
9-10,0.00030889870181512896,98242.87979564996,30.347098031456035,98227.70624663423,6409583.355844154,65.2422177482623
10-11,0.00025250749163282154,98212.5326976185,24.799400278382116,98200.1329974793,6311355.64959752,64.26222271478557
11-12,0.00021515328572214496,98187.73329734012,21.125413436532387,98177.17059062186,6213155.516600041,63.27832722021248
12-13,0.00020623890117124334,98166.60788390359,20.24577334168459,98156.48499723275,6114978.346009419,62.29183709027899
13-14,0.0002252182927160997,98146.36211056191,22.104356110836846,98135.3099325065,6016821.861012187,61.30458359968793
14-15,0.0002918575936814396,98124.25775445107,28.63830974999143,98109.93859957608,5918686.55107968,60.31828098909823
15-16,0.0004140579154012632,98095.61944470108,40.61726769726855,98075.31081085245,5820576.612480104,59.33574450550574
16-17,0.0005694828524018403,98055.00217700381,55.840642332028786,98027.0818558378,5722501.301669251,58.36011600243798
17-18,0.0007361926938139863,97999.16153467179,72.14626672172201,97963.08840131093,5624474.219813413,57.39308512168741
18-19,0.0009150803424933668,97927.01526795006,89.6110866707489,97882.20972461469,5526511.131412102,56.4350002528959
19-20,0.0011197867668317951,97837.40418127931,109.55703050337031,97782.62566602763,5428628.9216874875,55.486232153389736
20-21,0.0013231199090090837,97727.84715077594,129.3056602297883,97663.19432066104,5330846.29602146,54.54787403427554
21-22,0.0014859198349093028,97598.54149054615,145.02360865902108,97526.02968621664,5233183.101700799,53.619480596518024
22-23,0.0016339497129033047,97453.51788188714,159.23414756452655,97373.90080810487,5135657.072014582,52.69852934646194
23-24,0.0017284032984089684,97294.28373432261,168.16376092274126,97210.20185386125,5038283.171206477,51.78395870577869
24-25,0.001737794258070401,97126.11997339987,168.78521359843117,97041.72736660065,4941072.969352616,50.87275153898702
25-26,0.001730071681990469,96957.33475980144,167.74313922920263,96873.46319018684,4844031.241986016,49.96044140431915
