x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.01459237574644067,100000.0,1459.2375746440669,99270.38121267797,7162657.8169,71.626578169
1-2,0.0038726396753911672,98540.76242535593,381.61286621172854,98349.95599225006,7063387.435687322,71.67985371574325
2-3,0.0011298603953061172,98159.1495591442,110.90613552380695,98103.6964913823,6965037.479695072,70.95657929980742
3-4,0.0005941606949993084,98048.2434236204,58.25641245603966,98019.11521739238,6866933.78320369,70.03627544386384
4-5,0.0005140913641462954,97989.98701116435,50.37580609524725,97964.79910811673,6768914.667986298,69.07761572838142
5-6,0.0005293729932952055,97939.6112050691,51.84658514579608,97913.6879124962,6670949.868878181,68.11288902209681
6-7,0.0005271305904520343,97887.7646199233,51.59963516212992,97861.96480234223,6573036.180965685,67.14870041712916
7-8,0.00048792926310296873,97836.16498476117,47.73712788583499,97812.29642081825,6475174.216163343,66.18385151515196
8-9,0.0004098973253123076,97788.42785687534,40.08321502502875,97768.38624936283,6377361.919742525,65.21591623373402
9-10,0.00030549341783416543,97748.3446418503,29.86147589227078,97733.41390390416,6279593.533493162,64.2424539924597
10-11,0.00020618100542561926,97718.48316595802,20.147695107823676,97708.40931840411,6181860.119589258,63.2619328432517
11-12,0.0001446899923285204,97698.3354708502,14.135971409786528,97691.2674851453,6084151.710270854,62.27487583026585
12-13,0.000126984778943786,97684.19949944041,12.404406479737132,97677.99729620054,5986460.442785708,61.28381533003198
13-14,0.0001487095534409318,97671.79509296067,14.524729032048375,97664.53272844465,5888782.445489508,60.29153492965668
14-15,0.00021463218664988582,97657.27036392862,20.96039348046909,97646.79016718839,5791117.912761063,59.30042782457405
15-16,0.00032195783225236587,97636.30997044814,31.43477470720554,97620.59258309453,5693471.122593875,58.31305099831337
16-17,0.0004518233844922056,97604.87519574094,44.100165053879,97582.825113214,5595850.53001078,57.33167035753721
17-18,0.0005988099879892545,97560.77503068706,58.420366524348076,97531.56484742489,5498267.704897567,56.35735984229446
18-19,0.0007728545499198947,97502.3546641627,75.3551384301014,97464.67709494765,5400736.140050142,55.390827828235
19-20,0.0009750941120405969,97426.99952573261,95.00049359132389,97379.49927893694,5303271.4629551945,54.43328326614928
20-21,0.0011890350761801856,97331.99903214129,115.73116088395187,97274.13345169931,5205891.963676258,53.48592462338261
21-22,0.0013858818920574885,97216.26787125734,134.73026525618576,97148.90273862924,5108617.830224559,52.549001747216394
22-23,0.0015306727342625274,97081.53760600115,148.60006261378814,97007.23757469426,5011468.92748593,51.621235623859164
23-24,0.0016014668523322802,96932.93754338736,155.23488637493008,96855.3201001999,4914461.689911235,50.699605463947826
24-25,0.0016068971889792666,96777.70265701243,155.51181835542457,96699.94674783472,4817606.369811036,49.780127421344154
25-26,0.0015824127528257517,96622.190838657,152.89618698905434,96545.74274516247,4720906.423063201,48.85944297150465
26-27,0.0015658531970986456,96469.29465166795,151.05675345216554,96393.76627494187,4624360.680318038,47.93608885620771
27-28,0.0016014451985210626,96318.23789821578,154.2483796121071,96241.11370840973,4527966.914043096,47.01048329837617
28-29,0.0016915727325504753,96163.98951860367,162.66838252293968,96082.6553273422,4431725.800334686,46.0850867618937
29-30,0.001816077697192794,96001.32113608073,174.3458582162794,95914.14820697259,4335643.145007344,45.1623279106922
30-31,0.0019406654598580764,95826.97527786445,185.9681010444253,95733.99122734224,4239728.996800371,44.243585738844956
31-32,0.0020353061874757127,95641.00717682003,194.65873368339084,95543.67780997834,4143995.005573029,43.328642471441746
32-33,0.002089456527989145,95446.34844313664,199.4309958272384,95346.63294522301,4048451.327763051,42.415989650719496
33-34,0.0021167132484414854,95246.9174473094,201.61041203393228,95146.11224129243,3953104.694817828,41.50375467011503
34-35,0.002143221827135777,95045.30703527547,203.703176604824,94943.45544697306,3857958.5825765356,40.59073196685743
35-36,0.0021890715708975635,94841.60385867064,207.61505874534456,94737.79632929797,3763015.1271295627,39.676839846962785
36-37,0.00226248559781964,94633.9887999253,214.1080367240561,94526.93478156326,3668277.3308002646,38.76278890194218
37-38,0.002366558086801311,94419.88076320125,223.45013237496943,94308.15569701376,3573750.396018701,37.84955421603876
38-39,0.0025084632330216795,94196.43063082627,236.28828291930483,94078.28648936663,3479442.2403216874,36.93815378162558
39-40,0.0027092191855277612,93960.14234790696,254.558620323869,93832.86303774503,3385363.953832321,36.02978741025431
