x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.00419267097124338,100000.0,419.26709712433797,99790.36645143783,8005639.4618,80.056394618
1-2,0.0009671792113863956,99580.73290287566,96.31241471828258,99532.57669551652,7905849.095348562,79.39135277362735
2-3,0.0004422251542240591,99484.42048815738,43.99451319326654,99462.42323156075,7806316.518653045,78.46772871921497
3-4,0.00026281019229618563,99440.42597496412,26.133957472494934,99427.35899622788,7706854.095421485,77.5022232644279
4-5,0.00018303684609142885,99414.29201749162,18.19647846729398,99405.19377825798,7607426.736425256,76.52246555341112
5-6,0.00014331056396845194,99396.09553902433,14.244510507959708,99388.97328377035,7508021.542646999,75.53638301314604
6-7,0.00012387601711806394,99381.85102851638,12.311027879233375,99375.69551457676,7408632.569363228,74.54713806082574
7-8,0.0001173042328860703,99369.54000063715,11.65646766201642,99363.71176680614,7309256.873848652,73.55631186178164
8-9,0.00012072292540309239,99357.88353297513,11.994774361960499,99351.88614579415,7209893.162081845,72.56488268179554
9-10,0.00013295164958210555,99345.88875861318,13.208199789657977,99339.28465871834,7110541.275936051,71.5735836156539
10-11,0.00015327905860715478,99332.68055882351,15.225619764981694,99325.06774894103,7011201.991277333,70.58303422231107
11-12,0.00018094597855304755,99317.45493905853,17.97109407134615,99308.46939202286,6911876.923528392,69.59377813063715
12-13,0.0002149794767549734,99299.48384498719,21.34735107903428,99288.81016944768,6812568.454136369,68.60628263457262
13-14,0.0002542029633410649,99278.13649390815,25.23679649173017,99265.5180956623,6713279.643966921,67.62092723586585
14-15,0.00029732268486309927,99252.89969741642,29.510138618483744,99238.14462810717,6614014.125871259,66.63799391287128
15-16,0.00034303322692658876,99223.38955879794,34.03691950694845,99206.37109904447,6514775.981243151,65.65766408718194
16-17,0.000390111743332429,99189.35263929098,38.69493127812887,99170.00517365192,6415569.610144107,64.68002300080306
17-18,0.0004374879819252861,99150.65770801286,43.37722114724336,99128.96909743924,6316399.604970455,63.70507015265109
18-19,0.00048428753170764224,99107.28048686562,47.996420241241125,99083.282276745,6217270.635873016,62.73273371371512
19-20,0.0005298511816139739,99059.28406662439,52.48667871253523,99033.04072726812,6118187.353596271,61.762886853506394
20-21,0.0005737355720273687,99006.79738791185,56.8037215339514,98978.39552714488,6019154.312869003,60.795364274694805
21-22,0.0006157007326197976,98949.9936663779,60.9235835931132,98919.53187458134,5920175.917341858,59.82997772897754
22-23,0.0006556895345088755,98889.07008278478,64.84052833059671,98856.64981861948,5821256.385467277,58.86652974483454
23-24,0.0006938031143015962,98824.22955445418,68.56455823333616,98789.94727533752,5722399.735648657,57.90482517746822
24-25,0.0007302752850841961,98755.66499622085,72.11882140879455,98719.60558551644,5623609.788373319,56.944680475682304
25-26,0.0007654480057030726,98683.54617481206,75.53712361521697,98645.77761300445,5524890.182787803,55.98593075486755
26-27,0.0007997492051214604,98608.00905119684,78.86167685730445,98568.57821276819,5426244.405174798,55.02843488460979
27-28,0.0008336736662944679,98529.14737433955,82.1411555284336,98488.07679657533,5327675.8269620305,54.07207886130094
28-29,0.0008677672478481876,98447.00621881112,85.42908764539114,98404.29167498842,5229187.750165455,53.1167777569885
29-30,0.0009026144338709132,98361.57713116573,88.78257925689732,98317.18584153728,5130783.458490467,52.16247652931121
30-31,0.000938829021959451,98272.79455190884,92.26135159439065,98226.66387611165,5032466.27264893,51.20914995442327
31-32,0.000977047659426316,98180.53320031444,95.92706016459495,98132.56967023214,4934239.608772818,50.25680191312116
