x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.005581394243152353,100000.0,558.1394243152354,99720.93028784238,7726324.7782,77.263247782
1-2,0.0007720503434935389,99441.86057568477,76.77412261509403,99403.47351437723,7626603.847912157,76.69409847885521
2-3,0.0004218317056650367,99365.08645306967,41.915343902052214,99344.12878111865,7527200.37439778,75.7529696102352
3-4,0.00026381999043159036,99323.17110916761,26.203438051655812,99310.06939014178,7427856.245616661,74.78472709507625
4-5,0.00019246208574539339,99296.96767111596,19.110901506175875,99287.41222036286,7328546.17622652,73.80433006272243
5-6,0.00016582770005092119,99277.85676960977,16.463018654089165,99269.62526028273,7229258.764006157,72.81844108281683
6-7,0.00015904423468776247,99261.39375095569,15.786952403161395,99253.5002747541,7129989.138745875,71.83043547257493
7-8,0.00015627014296076345,99245.60679855253,15.50912516263752,99237.85223597121,7030735.638471121,70.84178197168988
8-9,0.00014774914954481495,99230.09767338989,14.661162540492276,99222.76709211964,6931497.78623515,69.85277601005467
9-10,0.00013419747896403213,99215.4365108494,13.314461454071978,99208.77928012235,6832275.01914303,68.86302433791045
10-11,0.0001262831624057349,99202.12204939533,12.527557689757325,99195.85827055045,6733066.239862908,67.87219971474337
11-12,0.00014297864549618126,99189.59449170557,14.181993867739545,99182.5034947717,6633870.3815923575,66.8807087637312
12-13,0.00020648776442467608,99175.41249783784,20.478509212573616,99165.17324323155,6534687.878097585,65.8902011447651
13-14,0.0003280038891650475,99154.93398862527,32.523203978172646,99138.67238663619,6435522.704854354,64.90370620984545
14-15,0.0004884028605517298,99122.4107846471,48.41166897200527,99098.2049501611,6336384.032467718,63.924837807205044
15-16,0.0006655449279465476,99073.99911567509,65.9381976028183,99041.03001687369,6237285.827517557,62.95582981600587
16-17,0.000828384227438653,99008.06091807227,82.0167160538164,98967.05256004535,6138244.797500683,61.99742465999805
17-18,0.0009631725167257567,98926.04420201846,95.28284696378157,98878.40277853656,6039277.744940638,61.04841039239103
18-19,0.0010577746883969697,98830.76135505468,104.54067779637823,98778.49101615649,5940399.342162101,60.10678518220562
19-20,0.00112151742708261,98726.2206772583,110.7231769995487,98670.85908875853,5841620.851145945,59.16990249472366
20-21,0.001184312702974726,98615.49750025876,116.79158639972879,98557.1017070589,5742949.992057186,58.235775690754046
21-22,0.001247327945185181,98498.70591385903,122.86018845093322,98437.27581963356,5644392.890350127,57.304233979341504
22-23,0.0013278897302938452,98375.8457254081,130.6322752477411,98310.52958778423,5545955.6145304935,56.37517597572335
23-24,0.0013943993651358065,98245.21345016036,136.9930632625354,98176.71691852908,5447645.08494271,55.44947070328563
24-25,0.001447667149796811,98108.22038689782,142.02804777913775,98037.20636300826,5349468.368024181,54.526199200516665
25-26,0.0014886716880471475,97966.19233911869,145.83949692102735,97893.27259065818,5251431.161661172,53.60452454335345
26-27,0.00151947228591908,97820.35284219767,148.63531514254507,97746.0351846264,5153537.889070514,52.6836976082485
27-28,0.0015431365753580937,97671.71752705512,150.72079969404294,97596.3571272081,5055791.853885887,51.763109955401674
28-29,0.0015623325559237303,97520.99672736108,152.36022807328777,97444.81661332444,4958195.496758679,50.8423381953353
29-30,0.0015793663850980353,97368.6364992878,153.78075144980477,97291.74612356289,4860750.680145355,49.9211127412769
30-31,0.0015964545395299459,97214.855747838,155.19909776838483,97137.25619895381,4763458.934021792,48.99929025639406
31-32,0.001615468495390409,97059.6566500696,156.79681749159764,96981.25824132381,4666321.677822839,48.07684097468412
32-33,0.001638204543418048,96902.859832578,158.74670524793157,96823.48647995404,4569340.419581515,47.153824226406755
33-34,0.0016663859509494262,96744.11312733007,161.2130309524448,96663.50661185385,4472516.933101561,46.23037814419823
34-35,0.0017019002838233775,96582.90009637762,164.37446508650999,96500.71286383437,4375853.426489707,45.306709801871285
35-36,0.0017465304543767867,96418.52563129111,168.3978913811587,96334.32668560054,4279352.7136258725,44.38309635629894
36-37,0.0018016973463712092,96250.12773990995,173.41359973688566,96163.42094004151,4183018.386940272,43.459873614336935
37-38,0.001868437043228271,96076.71414017306,179.51329169115277,95986.9574943275,4086854.9660002305,42.537414008951544
38-39,0.0019478055748795029,95897.20084848191,186.78910242801246,95803.8062972679,3990868.008505903,41.61610530021096
39-40,0.0020407786270608525,95710.4117460539,195.32376267854076,95612.74986471463,3895064.2022086354,40.69634777607387
40-41,0.002148436106279107,95515.08798337536,205.20806371790928,95412.4839515164,3799451.4523439207,39.77854737468519
41-42,0.0022716900910629634,95309.87991965745,216.51450979388676,95201.6226647605,3704038.9683924043,38.86311651546268
42-43,0.0024113427609800935,95093.36540986357,229.30269829830937,94978.71406071442,3608837.345727644,37.95046405365013
43-44,0.0025683527015562656,94864.06271156526,243.64437174585163,94742.24052569234,3513858.6316669295,37.04098824389207
44-45,0.0027439965795467204,94620.41833981941,259.63810427974425,94490.59928767954,3419116.391141237,36.13508005071205
45-46,0.002939320174791115,94360.78023553967,277.35654505535246,94222.101963012,3324625.791853558,35.233131641713406
46-47,0.0031692280453156857,94083.42369048431,298.1718249592011,93934.33777800472,3230403.689890546,34.33552440138583
47-48,0.0034193220817864034,93785.25186552512,320.68198264968953,93624.91087420027,3136469.352112541,33.4430978189385
48-49,0.0036904555757646725,93464.56988287542,344.92684306070447,93292.10646134507,3042844.441238341,32.55612736517659
49-50,0.003982543288636988,93119.64303981472,370.85300942848613,92934.21653510048,2949552.3347769957,31.674867283542632
50-51,0.004295675598305544,92748.79003038624,398.41871410589465,92549.58067333329,2856618.118241895,30.79951897276518
51-52,0.00463250886434357,92350.37131628035,427.8139137480889,92136.46435940631,2764068.5375685617,29.930237401019383
52-53,0.004998507221659291,91922.55740253226,459.4755670099482,91692.81961902729,2671932.0732091554,29.06720775302918
53-54,0.005394069845623532,91463.0818355223,493.35825171678823,91216.4027096639,2580239.253590128,28.210718486724097
54-55,0.0058217965068668035,90969.72358380552,529.6072189908376,90704.9199743101,2489022.850880464,27.36100268115535
55-56,0.0062860469966699185,90440.11636481468,568.5108218535213,90155.86095388791,2398317.9309061537,26.518297712398883
56-57,0.006793072302455008,89871.60554296116,610.5043143910514,89566.35338576563,2308162.069952266,25.682884555221385
57-58,0.007348533460814085,89261.10122857011,655.9381891272607,88933.13213400649,2218595.7165665003,24.855123744052428
58-59,0.007960663532504582,88605.16303944285,705.3558901997155,88252.48509434299,2129662.584432494,24.03542312183849
59-60,0.00863527501791864,87899.80714924313,759.0390087557255,87520.28764486527,2041410.0993381508,23.2242841656306
60-61,0.009374477179516684,87140.7681404874,816.8991423385536,86732.31856931813,1953889.8116932856,22.422223872794483
61-62,0.010182412179929906,86323.86899814884,878.9852151054243,85884.37639059612,1867157.4931239674,21.629678034519134
62-63,0.011069329514990112,85444.88378304342,945.8175739645426,84971.97499606115,1781273.1167333713,20.847042419254432
63-64,0.012043460749280187,84499.06620907888,1017.6611872398693,83990.23561545895,1696301.1417373102,20.074791566809687
64-65,0.013112932593292248,83481.40502183902,1094.686036844704,82934.06200341666,1612310.9061218512,19.31341363624708
65-66,0.014288539535462311,82386.71898499431,1177.1858914141146,81798.12603928725,1529376.8441184345,18.563390592080637
66-67,0.015577662830754558,81209.53309358019,1265.0547251747964,80577.0057309928,1447578.7180791472,17.825231385224917
67-68,0.01698523236878823,79944.4783684054,1357.8755416889296,79265.54059756093,1367001.7123481543,17.099388728870643
68-69,0.018518583986565067,78586.60282671647,1455.3126046653806,77858.94652438378,1287736.1717505935,16.386204841937918
