x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004214988644744101,100000.0,421.49886447441014,99789.25056776279,8068929.3386,80.689293386
1-2,0.0008788063898704999,99578.50113552558,87.51022309162671,99534.74602397977,7969140.088032237,80.02872103072026
2-3,0.00037054920854952245,99490.99091243396,36.86630794041014,99472.55775846375,7869605.342008257,79.09867285304873
3-4,0.00020904204543700008,99454.12460449355,20.79009363446961,99443.72955767631,7770132.784249794,78.12780832519361
4-5,0.00014588117066789984,99433.33451085909,14.50545124185701,99426.08178523816,7670689.0546921175,77.1440391939627
5-6,0.0001221038426556411,99418.82905961723,12.139421060503581,99412.75934908698,7571262.972906879,76.15522174744902
6-7,0.00011772479161066023,99406.68963855672,11.702631822404667,99400.83832264552,7471850.213557792,75.16446066884916
7-8,0.000124364795416364,99394.98700673431,12.361237224504672,99388.80638812206,7372449.375235146,74.17325156182817
8-9,0.00013795069817907618,99382.6257695098,13.709902611773725,99375.77081820392,7273060.568847024,73.18241506030293
9-10,0.00015626918350289542,99368.91586689802,15.528299348088064,99361.15171722398,7173684.79802882,72.19244303357176
10-11,0.00017800818169231715,99353.38756754993,17.685715865871632,99344.544709617,7074323.646311596,71.20364810411517
11-12,0.00020233488884346365,99335.70185168406,20.099078192347942,99325.65231258789,6974979.101601979,70.2162361727324
12-13,0.00022869223469222416,99315.60277349172,22.712707138075075,99304.24641992268,6875653.449289391,69.23034505434798
13-14,0.00025669310840423075,99292.89006635363,25.48780059357188,99280.14616605685,6776349.202869468,68.24606674597842
14-15,0.0002860618414731078,99267.40226576006,28.39661589039508,99253.20395781485,6677069.056703412,67.26346115945968
15-16,0.00031660007093340785,99239.00564986966,31.4190762281096,99223.29611175561,6577815.852745597,66.28256510301135
16-17,0.0003481659122501037,99207.58657364156,34.54069988154305,99190.3162237008,6478592.556633841,65.30339846363259
17-18,0.0003806607750312393,99173.04587376001,37.751288504514136,99154.17022950776,6379402.240410141,64.32596865614725
18-19,0.00041402077643424266,99135.2945852555,41.04407163622486,99114.77254943739,6280248.070180633,63.35027395091537
19-20,0.0004482110449511109,99094.25051361928,44.41513757135645,99072.04294483359,6181133.297631196,62.37630604796467
20-21,0.00048322192099556474,99049.83537604792,47.86305172470832,99025.90385018557,6082061.254686362,61.4040521278556
21-22,0.0005190664570270266,99001.97232432321,51.38860301307419,98976.27802281668,5983035.350836176,60.43349652910137
22-23,0.0005557788481954925,98950.58372131015,54.994641448901405,98923.0864005857,5884059.07281336,59.46462215306932
23-24,0.0005934135605156116,98895.58907986125,58.6859836351693,98866.24608804367,5785135.986412775,58.497411666571885
24-25,0.000632045007340458,98836.90309622609,62.46937114296235,98805.6684106546,5686269.740324731,57.53184855244469
25-26,0.0006717676781840046,98774.43372508313,66.35347200743894,98741.25698907941,5587464.071914077,56.56791804512443
26-27,0.0007126966589745008,98708.08025307569,70.34891901015395,98672.90579357061,5488722.814924997,55.605607979129665
27-28,0.0007549685066847565,98637.73133406554,74.46838072805167,98600.49714370152,5390049.909131426,54.644909571941035
28-29,0.0007987424581811767,98563.26295333749,78.72666293770648,98523.89962186864,5291449.411987725,53.68581815815939
29-30,0.0008442019656205883,98484.53629039977,83.14083911958765,98442.96587083998,5192925.512365856,52.72833388841432
30-31,0.0008915565604008418,98401.39545128019,87.73040966718641,98357.5302464466,5094482.546495017,51.77246240392354
31-32,0.0009410440555613852,98313.665041613,92.51749006786308,98267.40629657907,4996125.01624857,50.81821549561672
32-33,0.0009929331033065576,98221.14755154513,97.527028848687,98172.38403712079,4897857.609951991,49.865611755163634
33-34,0.001047526130442296,98123.62052269644,102.78705651112847,98072.22699444088,4799685.225914869,48.91467722396852
34-35,0.0011051626802939972,98020.83346618532,108.3289670381409,97966.66898266625,4701612.998920429,47.965446045124324
35-36,0.0011662231953390887,97912.50449914718,114.18783386064833,97855.41058221685,4603646.329937763,47.017961122400465
36-37,0.001231133280515225,97798.31666528653,120.402762425001,97738.11528407404,4505790.919355546,46.07227478951971
37-38,0.001300368493089589,97677.91390286153,127.01728170999867,97614.40526200653,4408052.804071472,45.1284494922279
38-39,0.0013744597112079154,97550.89662115154,134.07977719798114,97483.85673255255,4310438.398809466,44.18655848494633
39-40,0.0014539991398787898,97416.81684395355,141.64396790083808,97345.99486000313,4212954.542076913,43.246686543098654
40-41,0.001539647020274229,97275.17287605272,149.76943006527506,97200.28816102009,4115608.5472169095,42.30893069150323
41-42,0.0016321391159189293,97125.40344598744,158.52217011360327,97046.14236093064,4018408.259055889,41.37340094850234
42-43,0.0017322950576700415,96966.88127587383,167.97524919187393,96882.8936512779,3921362.1166949584,40.440221084749126
43-44,0.0018410276384249536,96798.90602668196,178.2094613644213,96709.80129599974,3824479.2230436807,39.50952939477941
