x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.0038163889382148244,100000.0,381.63889382148244,99809.18055308926,7789460.7074,77.89460707399999
1-2,0.0010236239011255466,99618.36110617852,101.97173541923988,99567.3752384689,7689651.526846911,77.19110655364902
2-3,0.00039837133037476065,99516.38937075928,39.64447642772206,99496.56713254542,7590084.151608442,76.26968984305437
3-4,0.00023060236172629814,99476.74489433155,22.939572309477327,99465.27510817682,7490587.584475896,75.29988634461972
4-5,0.00017395780196389655,99453.80532202208,17.300765370764235,99445.15493933669,7391122.309367719,74.31713935365228
5-6,0.00015036092002229597,99436.50455665131,14.951364308939317,99429.02887449684,7291677.154428382,73.329982655154
6-7,0.0001446856017221529,99421.55319234237,14.384867247785087,99414.36075871848,7192248.1255538855,72.3409350851687
7-8,0.0001443919791223861,99407.16832509458,14.353597773412577,99399.99152620787,7092833.764795167,71.35133093822003
8-9,0.00014214376938389021,99392.81472732117,14.128069335016066,99385.75069265366,6993433.7732689595,70.36156277951348
9-10,0.0001400411888994309,99378.68665798615,13.917109430848393,99371.72810327073,6894048.022576306,69.37149457712515
10-11,0.0001464102622437494,99364.7695485553,14.548021967393705,99357.4955375716,6794676.294473035,68.3811407739719
11-12,0.00016863511198003816,99350.2215265879,16.753935732377748,99341.84455872171,6695318.798935464,67.39108072490484
12-13,0.00021652950981991895,99333.46759085552,21.50862704616075,99322.71327733244,6595976.954376742,66.40236281234944
13-14,0.00030543025898965495,99311.95896380936,30.332877347086278,99296.79252513581,6496654.24109941,65.41663570916852
14-15,0.00043926089355322053,99281.62608646227,43.61053578815615,99259.8208185682,6397357.448574274,64.43646927179607
15-16,0.0005951796534432874,99238.01555067411,59.06444770384978,99208.48332682218,6298097.627755705,63.46456640439061
16-17,0.0007446619432693586,99178.95110297027,73.85479045975454,99142.02370774039,6198889.144428883,62.50206395097916
17-18,0.0008697520363909764,99105.09631251052,86.19685933452988,99061.99788284325,6099747.120721143,61.54826893550117
18-19,0.0009662094161408478,99018.899453176,95.6729930275625,98971.06295666221,6000685.1228383,60.601412013025865
19-20,0.0010418371954648614,98923.22646014843,103.06189682157641,98871.69551173765,5901714.059881638,59.659538725813434
20-21,0.0011057527697304836,98820.16456332686,109.27067067112085,98765.5292279913,5802842.3643699,58.721237613921076
21-22,0.0011592903218629732,98710.89389265575,114.43458395219868,98653.67660067965,5704076.835141908,57.78568717394931
22-23,0.0011947525006978448,98596.45930870355,117.79836631902687,98537.56012554403,5605423.158541229,56.85217499535922
23-24,0.001204482264539123,98478.66094238452,118.6158005406638,98419.35304211419,5506885.598415685,55.91958243255885
24-25,0.0011916111860020035,98360.04514184386,117.20693004668317,98301.44167682051,5408466.24537357,54.98641483515065
25-26,0.0011703451194859933,98242.83821179718,114.97802622562888,98185.34919868436,5310164.80369675,54.051418916143405
26-27,0.0011702611647171036,98127.86018557155,114.83522395196407,98070.44257359557,5211979.454498066,53.11416599364938
27-28,0.0011947070029162273,98013.0249616196,117.09684729864992,97954.47653797027,5113909.01192447,52.17581044893777
28-29,0.0012445860143796203,97895.92811432094,121.83990299579652,97835.00816282304,5015954.5353865,51.237621747954286
29-30,0.0013121501213253243,97774.08821132514,128.29428170896324,97709.94107047067,4918119.527223676,50.3008477726107
30-31,0.001385786723024304,97645.79392961618,135.3162447868293,97578.13580722276,4820409.5861532055,49.366279817723566
31-32,0.001455934109146631,97510.47768482935,141.9688304605245,97439.49326959909,4722831.450345983,48.43409203276582
32-33,0.0015190346687909094,97368.50885436883,147.9061405982609,97294.5557840697,4625391.957076384,47.50398266850778
33-34,0.0015770815595335982,97220.60271377057,153.32481974662966,97143.94030389725,4528097.401292314,46.57549197286495
34-35,0.0016346904615920095,97067.27789402394,158.67495330606184,96987.9404173709,4430953.460988416,45.648271560948075
35-36,0.0016970249134827526,96908.60294071787,164.45631352120617,96826.37478395728,4333965.520571046,44.72219585316148
36-37,0.0017682272102228882,96744.14662719666,171.065632496002,96658.61381094866,4237139.145787088,43.7973695929625
37-38,0.0018504594806120274,96573.08099470066,178.70457329855705,96483.72870805139,4140480.5319761396,42.874064794550186
38-39,0.0019442513785110115,96394.3764214021,187.41489923802038,96300.6689717831,4043996.803268088,41.95262165076067
39-40,0.0020493092005591726,96206.96152216409,197.15781140521315,96108.38261646147,3947696.134296305,41.03337296840871
40-41,0.002165884642071049,96009.80371075888,207.94615934538865,95905.83063108618,3851587.7516798438,40.116608958843585
41-42,0.0023081912773156125,95801.85755141349,221.12901195080545,95691.29304543808,3755681.9210487576,39.202600210890644
42-43,0.0024647490381031287,95580.72853946268,235.5825087288369,95462.93728509826,3659990.6280033197,38.29213988981272
43-44,0.0026361456159455406,95345.14603073384,251.3436887106064,95219.47418637855,3564527.6907182215,37.38551818431555
44-45,0.002823461812410059,95093.80234202323,268.4937195095728,94959.55548226845,3469308.216531843,36.483010786063694
45-46,0.003027611379522007,94825.30862251366,287.09418345220865,94681.76153078757,3374348.6610495746,35.58489510940994
46-47,0.0032506635030539735,94538.21443906146,307.31192332094724,94384.55847740098,3279666.899518787,34.69144111699754
47-48,0.0034955764204422793,94230.90251574051,329.3913209110176,94066.20685528501,3185282.341041386,33.80294845960231
48-49,0.0037653733819988126,93901.5111948295,353.5742507824745,93724.72406943826,3091216.134186101,32.919769818958066
49-50,0.004061759185214947,93547.93694404702,379.96919214039167,93357.95234797682,2997491.4101166627,32.04230374326187
50-51,0.004386430141388472,93167.96775190663,408.6747819588724,92963.6303609272,2904133.457768686,31.17094348888226
51-52,0.004739520347645996,92759.29296994775,439.63455646432357,92539.47569171559,2811169.8274077587,30.306072172397048
52-53,0.005121144221305923,92319.65841348343,472.78228519714736,92083.26727088485,2718630.351716043,29.448011381712206
53-54,0.0055311858803585795,91846.87612828628,508.0221443958206,91592.86505608837,2626547.084445158,28.597021424839234
54-55,0.005972344167955021,91338.85398389047,545.5070718983834,91066.10044794128,2534954.21938907,27.753295654838876
55-56,0.006449213867071247,90793.34691199209,585.5457119426297,90500.57405602078,2443888.1189411287,26.91703965170533
56-57,0.006968740839935872,90207.80120004946,628.6347883036009,89893.48380589766,2353387.544885108,26.088514669214856
57-58,0.0075371671711829385,89579.16641174586,675.1731523005442,89241.57983559558,2263494.06107921,25.268085780963627
