x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.009359805994502245,100000.0,935.9805994502245,99532.00970027488,7783995.9424,77.839959424
1-2,0.0004031242962637942,99064.01940054978,39.93511310590948,99044.05184399681,7684463.932699725,77.57068589786171
2-3,0.0002677537704334288,99024.08428744387,26.514071931680746,99010.82725147803,7585419.880855728,76.60176749362327
3-4,0.00021886284469185483,98997.57021551218,21.666889834948638,98986.73677059471,7486409.05360425,75.62214948616169
4-5,0.00018347936710557463,98975.90332567724,18.1600361008978,98966.8233076268,7387422.316833655,74.63859453270726
5-6,0.00015947623645239518,98957.74328957633,15.781408467643898,98949.85258534251,7288455.4935260285,73.65219993142017
6-7,0.00014445635932132278,98941.96188110868,14.292795597454058,98934.81548330995,7189505.640940686,72.66386782970595
7-8,0.0001354798113757615,98927.66908551122,13.402701947548813,98920.96773453745,7090570.8254573755,71.67429386543434
8-9,0.00013083202514707463,98914.26638356368,12.941153786898843,98907.79580667023,6991649.857722838,70.6839378519075
9-10,0.0001300525454956268,98901.32522977678,12.862369099023327,98894.89404522727,6892742.061916168,69.69312136012644
10-11,0.00013394614651351605,98888.46286067776,13.245728534832732,98881.83999641034,6793847.167870941,68.70212127215159
11-12,0.00014445015883000586,98875.21713214292,14.28254081908936,98868.07586173338,6694965.32787453,67.7112579072971
12-13,0.00016404876174995836,98860.93459132384,16.2180139051503,98852.82558437125,6596097.252012797,66.7209679867995
13-14,0.00019400921710074835,98844.71657741869,19.176786077730362,98835.12818437982,6497244.426428425,65.73183323703046
14-15,0.0002319286615297162,98825.53979134095,22.920475168757417,98814.07955375657,6398409.298244045,64.74449126970183
15-16,0.0002779246142630259,98802.6193161722,27.45967986162375,98788.8894762414,6299595.218690288,63.759394865143605
16-17,0.00032567651799610657,98775.15963631058,32.1687500548632,98759.07526128314,6200806.329214047,62.776981095706354
17-18,0.0003665185193245578,98742.99088625572,36.19113481330875,98724.89531884907,6102047.253952764,61.797269853632955
18-19,0.00039524511295860884,98706.7997514424,39.01338021754164,98687.29306133364,6003322.358633915,60.819744675656835
19-20,0.00041590769000853656,98667.78637122487,41.0366911079119,98647.26802567091,5904635.065572581,59.84359518675275
20-21,0.0004387351623735026,98626.74968011695,43.271023035276905,98605.1141685993,5805987.79754691,58.86828691382285
21-22,0.0004692071148665844,98583.47865708167,46.25606959420079,98560.35062228456,5707382.683378311,57.89390637381739
22-23,0.0005038293751351334,98537.22258748747,49.64594728380536,98512.39961384557,5608822.332756027,56.920848644543085
23-24,0.0005439834750403987,98487.57664020367,53.57561418904558,98460.78883310914,5510309.9331421815,55.949289454775915
24-25,0.0005906717963721131,98434.00102601462,58.14218821013048,98404.92993190956,5411849.144309073,54.97946936931683
25-26,0.000641523605742063,98375.8588378045,63.110435679600535,98344.30361996469,5313444.214377163,54.01166787410327
26-27,0.00070091613370154,98312.7484021249,68.90899150358963,98278.2939063731,5215099.910757198,53.046018909227044
27-28,0.0007721430621015846,98243.83941062131,75.85829899513348,98205.91026112375,5116821.616850825,52.08287509473736
28-29,0.0008544615692277982,98167.98111162617,83.88076718856495,98126.04072803189,5018615.706589702,51.12273523159315
29-30,0.0009428838206795582,98084.10034443761,92.4819112806805,98037.85938879727,4920489.66586167,50.166027404876054
30-31,0.0010339838896658382,97991.61843315692,101.32175478216625,97940.95755576584,4822451.806472872,49.21290089480882
31-32,0.0011255449711735442,97890.29667837475,110.17993115303099,97835.20671279824,4724510.848917106,48.26332138352598
32-33,0.0012174812120234338,97780.11674722172,119.04545504920036,97720.59401969712,4626675.642204308,47.31714172693262
33-34,0.001310728460646081,97661.07129217252,128.00714563983644,97597.0677193526,4528955.048184611,46.37421019717612
34-35,0.0014084517777770748,97533.06414653268,137.37061758922943,97464.37883773806,4431357.9804652585,45.4344177458388
35-36,0.001510922327090902,97395.69352894345,147.15732791538355,97322.11486498575,4333893.60162752,44.49779497016057
36-37,0.0016235905778040694,97248.53620102807,157.8918070812271,97169.59029748745,4236571.486762535,43.564372814875824
37-38,0.0017507231040504749,97090.64439394684,169.97883432763146,97005.65497678303,4139401.8964650473,42.634405429109705
38-39,0.0018909120370214228,96920.66555961921,183.26845314281164,96829.03133304781,4042396.2414882644,41.70830047593563
