x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.010109047961390043,100000.0,1010.9047961390044,99494.54760193049,7424257.363,74.24257363
1-2,0.0005772459284347541,98989.095203861,57.141052165869006,98960.52467777807,7324762.815398069,73.99565376684413
2-3,0.0003154553112692712,98931.95415169513,31.208610391400253,98916.34984649943,7225802.290720291,73.03810333758057
3-4,0.00025607492022091055,98900.74554130372,25.326000524277926,98888.08254104159,7126885.940873792,72.06099308824123
4-5,0.0002177713254105834,98875.41954077945,21.532231163923036,98864.65342519748,7027997.85833275,71.07932275760585
5-6,0.0001945920998299856,98853.88730961553,19.236185507934852,98844.26921686156,6929133.204907553,70.09469625817695
6-7,0.0001806943242558271,98834.6511241076,17.858860497931044,98825.72169385862,6830288.935690692,69.10824147205047
7-8,0.00017030103599370217,98816.79226360966,16.82860209606718,98808.37796256163,6731463.213996833,68.12064083237567
8-9,0.00015987296462354419,98799.9636615136,15.795443095264615,98792.06593996596,6632654.836034272,67.1321586590618
9-10,0.00014981889697085335,98784.16821841833,14.799735120666663,98776.768350858,6533862.770094306,66.14281304315388
10-11,0.0001448358184260034,98769.36848329766,14.305342319697923,98762.21581213782,6435086.001743448,65.15264905061785
11-12,0.0001537856258416786,98755.06314097796,15.187109190169782,98747.46958638288,6336323.78593131,64.16201442639837
12-13,0.0001878189009595226,98739.87603178779,18.54521499716989,98730.6034242892,6237576.316344927,63.171806234968685
13-14,0.00025373436234902576,98721.33081679062,25.048993925045597,98708.8063198281,6138845.712920638,62.18357939595904
14-15,0.00034439485548129007,98696.28182286558,33.99049171492647,98679.28657700811,6040136.90660081,61.19923461191072
15-16,0.00044589886772929696,98662.29133115066,43.993403992138106,98640.29462915458,5941457.620023802,60.220146317926684
16-17,0.0005486078244907888,98618.29792715852,54.1027698808029,98591.24654221813,5842817.325394647,59.24678734275328
17-18,0.0006535847007572952,98564.19515727772,64.420049997253,98531.9851322791,5744226.078852429,58.279033980711105
18-19,0.0007570660442454182,98499.77510728047,74.57083509953215,98462.4896897307,5645694.09372015,57.316822171128564
19-20,0.0008582728407920998,98425.20427218094,84.47567967622746,98382.96643234283,5547231.604030419,56.35986884711295
20-21,0.0009721480520420772,98340.72859250472,95.60174773760207,98292.92771863591,5448848.637598076,55.40785303896328
21-22,0.0010862512911954463,98245.12684476712,106.7188958887887,98191.76739682272,5350555.70987944,54.46128354369802
22-23,0.0011683657169932733,98138.40794887833,114.66155136776959,98081.07717319444,5252363.942482618,53.519962798037724
23-24,0.0012038615045653648,98023.74639751056,118.00701482124083,97964.74289009994,5154282.865309423,52.58198196595679
24-25,0.0012064254383668933,97905.73938268932,118.11597455339577,97846.68139541263,5056318.122419323,51.644757031612066
25-26,0.0011963722599606747,97787.62340813593,116.99040001297496,97729.12820812945,4958471.44102391,50.70653389671566
26-27,0.0011999438979690687,97670.63300812295,117.19928008887344,97612.03336807851,4860742.312815781,49.76667154815643
27-28,0.001239254462925689,97553.43372803408,120.89352812119168,97492.98696397348,4763130.279447703,48.8258598126507
28-29,0.001319943777210133,97432.5401999129,128.60547513465116,97368.23746234557,4665637.292483729,47.8858221587032
29-30,0.0014261010695818042,97303.93472477824,138.7652453855243,97234.55210208548,4568269.055021384,46.948451446928836
30-31,0.0015418425315010056,97165.16947939272,149.81339088383112,97090.2627839508,4471034.502919299,46.014786233327555
31-32,0.001656115999898234,97015.35608850888,160.6686834540041,96935.02174678187,4373944.2401353475,45.085071234959116
32-33,0.0017695271443599401,96854.68740505488,171.38699842174142,96768.993905844,4277009.218388566,44.15903177201672
33-34,0.0018831653250539122,96683.30040663313,182.07063883754233,96592.26508721436,4180240.2244827216,43.236424562477275
34-35,0.00200603589628334,96501.2297677956,193.58493094968435,96404.43730232076,4083647.9593955074,42.317056157954816
35-36,0.002143313221855354,96307.64483684591,206.41744854456135,96204.43611257363,3987243.5220931866,41.40111129129933
36-37,0.002304840405942303,96101.22738830135,221.49799194520605,95990.47839232875,3891039.085980613,40.48896347867331
37-38,0.0024952736866765447,95879.72939635615,239.2461658483951,95760.10631343196,3795048.607588284,39.58134458118853
38-39,0.0027114488719371206,95640.48323050776,259.32428036688134,95510.82109032432,3699288.501274852,38.67910717639326
39-40,0.002942736645394681,95381.15895014087,280.6816317227944,95240.81813427947,3603777.6801845278,37.78290932770434
40-41,0.0031810036035714168,95100.47731841808,302.5149610512497,94949.21983789245,3508536.8620502483,36.892946922893636
41-42,0.003425174417797284,94797.96235736684,324.69955552576283,94635.61257960396,3413587.642212356,36.009082445716544
42-43,0.0036885778067541103,94473.26280184108,348.4719805025196,94299.02681158982,3318952.029632752,35.131125264449665
43-44,0.003972534127490474,94124.79082133855,373.9139437806695,93937.83384944822,3224653.002821162,34.259337786386
44-45,0.004278612687658446,93750.87687755788,401.123691287424,93550.31503191417,3130715.1689717136,33.39398278973479
45-46,0.004608852392260501,93349.75318627045,430.2352332894699,93134.63556962571,3037164.8539397996,32.53532816395807
46-47,0.004965014904056379,92919.51795298098,461.3467915142848,92688.84455722384,2944030.218370174,31.683657892628204
47-48,0.005348515164462773,92458.1711614667,494.5139305355993,92210.9141961989,2851341.37381295,30.839257774560963
48-49,0.005761308439820236,91963.6572309311,529.8309945612987,91698.74173365046,2759130.4596167514,30.002400325253095
49-50,0.006206002022265808,91433.8262363698,567.4385105264114,91150.1069811066,2667431.7178831007,29.17335769135812
50-51,0.006685554713497799,90866.3877258434,607.4922067590309,90562.64162246388,2576281.610901994,28.35241584242345
51-52,0.007203105190537277,90258.89551908436,650.1443188056784,89933.82335968151,2485718.9692795305,27.53987798082406
52-53,0.007761727918697481,89608.75120027868,695.5187459508195,89260.99182730327,2395785.145919849,26.73606220183993
53-54,0.008364665677903237,88913.23245432787,743.7294638221485,88541.36772241679,2306524.154092546,25.941292318635927
54-55,0.00901532343896459,88169.50299050572,794.8765869121647,87772.06469704963,2217982.7863701293,25.155895305534006
55-56,0.009715535711972622,87374.62640359355,848.8913031443791,86950.18075202136,2130210.7216730798,24.38019834080193
56-57,0.01047095521634707,86525.73510044916,906.0070972983129,86072.73155180001,2043260.5409210585,23.614483466092526
57-58,0.011291548969911587,85619.72800315086,966.7793515380883,85136.33832738182,1957187.8093692586,22.859075297427164
58-59,0.01218712156597386,84652.94865161277,1031.6757761353476,84137.11076354509,1872051.4710418768,22.114427209691904
59-60,0.013162872548068024,83621.27287547741,1100.696157167127,83070.92479689386,1787914.3602783317,21.38109477167085
60-61,0.01422137063148826,82520.57671831029,1173.5557062352518,81933.79886519266,1704843.4354814377,20.65961610158202
61-62,0.015362623879536805,81347.02101207504,1249.7036875292863,80722.1691683104,1622909.6366162451,19.950449523841108
62-63,0.016589164168110265,80097.31732454576,1328.747546522112,79432.9435512847,1542187.4674479347,19.253921591395578
63-64,0.017901182262319886,78768.56977802365,1410.0505241386631,78063.54451595432,1462754.52389665,18.57028162398801
64-65,0.01930408762825843,77358.519253885,1493.3356344693127,76611.85143665034,1384690.9793806956,17.899657241838373
65-66,0.02081251233657245,75865.18361941568,1578.945069995423,75075.71108441797,1308079.1279440452,17.24215332432514
66-67,0.022435774199036588,74286.23854942026,1666.6692741905601,73452.90391232498,1233003.4168596272,16.598005780563913
67-68,0.024169920142316666,72619.5692752297,1755.209190151735,71741.96468015383,1159550.5129473023,15.96746613233936
68-69,0.026018449000596605,70864.36008507796,1843.7807388335148,69942.46971566121,1087808.5482671484,15.350573221308327
69-70,0.027991930628664924,69020.57934624444,1932.0192690103374,68054.56971173927,1017866.0785514872,14.747283899854304
70-71,0.030100879170340603,67088.5600772341,2019.42464059696,66078.84775693562,949811.5088397479,14.157577800839668
