x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.011515213200590468,100000.0,1151.5213200590467,99424.23933997047,7012584.4862,70.12584486200001
1-2,0.000745852008643902,98848.47867994095,73.72633637482788,98811.61551175354,6913160.24686003,69.93694125778082
2-3,0.0003619120560360758,98774.75234356613,35.74777370511421,98756.87845671357,6814348.6313482765,68.98876959616231
3-4,0.00029230623366078445,98739.00456986102,28.86202654123106,98724.5735565904,6715591.752891563,68.01356548151207
4-5,0.00025109231505749665,98710.14254331979,24.785358210857655,98697.74986421436,6616867.179334972,67.0333058878028
5-6,0.00022862350011244463,98685.35718510894,22.561791769506392,98674.07628922418,6518169.429470758,66.0500160854088
6-7,0.00021573049144616756,98662.79539333943,21.284573337657793,98652.15310667061,6419495.3531815335,65.06500578651661
7-8,0.00020392284255887878,98641.51082000177,20.11525728071716,98631.45319136142,6320843.200074863,64.07893743242597
8-9,0.0001879211122293194,98621.39556272105,18.533042343754204,98612.12904154918,6222211.746883501,63.09190527451328
9-10,0.0001689459512793945,98602.8625203773,16.658554407376496,98594.5332431736,6123599.6178419525,62.103669825776585
10-11,0.00015540513205305171,98586.20396596992,15.320802045940646,98578.54356494696,6025005.084598779,61.1140792750119
11-12,0.00016287388375466684,98570.88316392398,16.0546225660358,98562.85585264096,5926426.541033831,60.12350047810922
12-13,0.00021099606099737257,98554.82854135794,20.794680614497956,98544.4312010507,5827863.68518119,59.13321317113917
13-14,0.0003119277412332434,98534.03386074344,30.735498616781623,98518.66611143504,5729319.253980139,58.14558715902461
14-15,0.0004537852786006033,98503.29836212666,44.699346690336,98480.9486887815,5630800.587868704,57.16357402742241
15-16,0.0006088579593721428,98458.59901543632,59.94730167917863,98428.62536459674,5532319.639179923,56.189298796670535
16-17,0.0007648984066072813,98398.65171375715,75.26497190815768,98361.01922780307,5433891.013815326,55.22322632654134
17-18,0.0009340489983444153,98323.386741849,91.83886090005463,98277.46731139897,5335529.994587523,54.26511607656597
18-19,0.001116471044420077,98231.54788094894,109.67267885764386,98176.71154152013,5237252.527276124,53.31538228048057
19-20,0.0013084286507997326,98121.8752020913,128.38547278461206,98057.68246569899,5139075.815734603,52.37441503385652
20-21,0.0015300196445975538,97993.48972930668,149.93196432850783,97918.52374714242,5041018.133268905,51.44237792932993
21-22,0.0017489866838513838,97843.55776497816,171.12707963159048,97757.99422516237,4943099.6095217625,50.52044020511978
22-23,0.001900444152598544,97672.43068534657,185.6209997660535,97579.62018546354,4845341.6152966,49.60807856728735
23-24,0.001946993516008574,97486.80968558052,189.8061863541871,97391.90659240342,4747761.995111137,48.70158342881322
24-25,0.0019129683528507013,97297.00349922634,186.12608852122392,97203.94045496573,4650370.088518733,47.79561467744185
25-26,0.001845088036129417,97110.87741070511,179.17811808852247,97021.28835166086,4553166.148063768,46.88626309911031
26-27,0.0017939649328212667,96931.6992926166,173.89206940973017,96844.75325791174,4456144.859712107,45.97200804516935
27-28,0.0018019540244190923,96757.80722320687,174.35312011982433,96670.63066314695,4359300.106454195,45.05372983905985
28-29,0.001882991177545105,96583.45410308705,181.8657919729455,96492.52120710057,4262629.475791048,44.13415854066876
29-30,0.0020096061452091096,96401.5883111141,193.72922427793358,96304.72369897514,4166136.9545839475,43.216476279817016
30-31,0.002152483941323007,96207.85908683616,207.0858717134816,96104.31615097943,4069832.2308849725,42.3024924316379
31-32,0.0022915321695736487,96000.77321512268,219.9888601263979,95890.77878505948,3973727.914733993,41.39266572186342
32-33,0.002428641694529282,95780.78435499629,232.6172064192619,95664.47575178665,3877837.135948933,40.48658780634271
33-34,0.002565934864799112,95548.16714857702,245.17037335418692,95425.58196189992,3782172.6601971467,39.58393732781795
34-35,0.002719113994788024,95302.99677522284,259.13971227674637,95173.42691908446,3686747.0782352467,38.68448215674303
35-36,0.002898119001615553,95043.85706294609,275.44840814095664,94906.13285887562,3591573.651316162,37.788593206371225
36-37,0.0031175850713063393,94768.40865480513,295.44857605367895,94620.68436677828,3496667.5184572865,36.896974087577355
37-38,0.003383424144938064,94472.96007875145,319.6420941742175,94313.13903166434,3402046.834090508,36.01079961138727
38-39,0.0036905598236073637,94153.31798457724,347.4784526132094,93979.57875827064,3307733.6950588436,35.131355600242
39-40,0.004022350288467742,93805.83953196403,377.3199457013542,93617.17955911336,3213754.116300573,34.25963812418626
40-41,0.0043652825980458375,93428.51958626267,407.8418907110971,93224.59864090712,3120136.9367414596,33.395979627619305
41-42,0.0046860602888194065,93020.67769555158,435.90050378819336,92802.72744365748,3026912.3381005526,32.54020947909419
42-43,0.005032586000859423,92584.7771917634,465.9408535879573,92351.80676496941,2934109.610656895,31.691058721021818
43-44,0.0054069322040450575,92118.83633817543,498.0803027960368,91869.79618677741,2841757.8038919256,30.848824375718458
44-45,0.005811334390299193,91620.7560353794,532.4388504136126,91354.5366101726,2749888.0077051483,30.013810480272372
45-46,0.006248203317664261,91088.31718496578,569.1383256355577,90803.74802214801,2658533.4710949757,29.186327657107814
46-47,0.006720138077848936,90519.17885933022,608.3013806282034,90215.02816901612,2567729.723072828,28.366692621716822
47-48,0.007229940024743252,89910.87747870201,650.0502517430543,89585.85235283048,2477514.6949038114,27.5552276251634
48-49,0.007780627599884254,89260.82722695895,694.5052559105767,88913.57459900367,2387928.842550981,26.752259829267725
49-50,0.008375452088487677,88566.32197104837,741.7829863220892,88195.43047788732,2299015.267951977,25.958120612748342
50-51,0.009017914336280032,87824.53898472628,791.9941691875478,87428.5419001325,2210819.8374740896,25.17314480704051
51-52,0.009711782452780432,87032.54481553874,845.2411415603757,86609.92424475856,2123391.2955739573,24.397669861020177
52-53,0.010461110520673922,86187.30367397837,901.6149092123733,85736.49621937219,2036781.3713291986,23.632034934446413
53-54,0.011270258323242351,85285.688764766,961.1917436545607,84805.09289293873,1951044.8751098264,22.876579920591084
54-55,0.012143912092191308,84324.49702111144,1024.0292790426251,83812.48238159013,1866239.7822168877,22.131644399250394
55-56,0.013087106266317658,83300.46774206881,1090.1620733744207,82755.38670538159,1782427.2998352975,21.39756652212803
56-57,0.014105246236947228,82210.30566869439,1159.5966046716328,81630.50736635858,1699671.913129916,20.674681833437695
57-58,0.015204132038544847,81050.70906402275,1232.3056824270855,80434.55622280922,1618041.4057635574,19.963322029489596
58-59,0.01638998292192604,79818.40338159566,1308.2222682797567,79164.29224745579,1537606.8495407482,19.263813661991716
59-60,0.017669462722614018,78510.1811133159,1387.2327185274105,77816.5647540522,1458442.5572932924,18.5764767908035
60-61,0.019049705907580112,77122.9483947885,1469.1694856461986,76388.3636519654,1380625.99253924,17.901623592914067
61-62,0.020538344149343767,75653.7789091423,1553.8033474343297,74876.87723542514,1304237.6288872748,17.239556935465462
62-63,0.022143533236632037,74099.97556170798,1640.8352716843024,73279.55792586583,1229360.7516518496,16.590568921687147
63-64,0.023873980084933213,72459.14029002367,1729.888072255407,71594.19625389596,1156081.1937259838,15.95493941963255
64-65,0.025738969557761286,70729.25221776827,1820.4980696763573,69819.00318293009,1084486.9974720879,15.332934584591127
65-66,0.027748390749732326,68908.75414809192,1912.1070361784928,67952.70063000267,1014667.9942891578,14.724805386969168
66-67,0.02991276231515749,66996.64711191342,2004.0547809711486,65994.61972142785,946715.2936591551,14.130786158264465
67-68,0.03224325635038477,64992.59233094227,2095.572815402623,63944.80592324096,880720.6739377272,13.551093168481382
68-69,0.034751720254317275,62897.01951553965,2185.7796270343683,61804.12970202247,816775.8680144863,12.985923248917853
69-70,0.0374506958993447,60711.23988850528,2273.678182736577,59574.400797136994,754971.7383124639,12.435452474680984
70-71,0.04035343534455171,58437.561705768705,2358.1563679869882,57258.48352177521,695397.3375153269,11.899834921529251
71-72,0.043473912215078764,56079.40533778172,2437.9911447285417,54860.40976541745,638138.8539935517,11.379201511675552
72-73,0.04682682775690923,53641.41419305318,2511.857263055127,52385.48556152562,583278.4442281342,10.873658962997132
73-74,0.05042761045672196,51129.55692999805,2578.3413796907303,49840.386240152686,530892.9586666087,10.383288855670296
74-75,0.05429240799402268,48551.215550307315,2635.962403263023,47233.2343486758,481052.57242645597,9.908146829568123
75-76,0.058438070170639005,45915.25314704429,2683.1987853096275,44573.65375438948,433819.33807778015,9.448261924821958
76-77,0.06288212134485614,43232.05436173466,2718.5232883620165,41872.79271755365,389245.68432339065,9.00363607675137
77-78,0.06764272078912258,40513.531073372644,2740.445470577587,39143.30833808385,347372.891605837,8.574243774918608
78-79,0.0727386092977226,37773.08560279506,2747.5617156311405,36399.30474497949,308229.5832677531,8.160031894374692
79-80,0.07818904030177849,35025.523887163916,2738.612098804365,33656.21783776173,271830.27852277365,7.7609197052551
80-81,0.08401369371248552,32286.91178835955,2712.542717909277,30930.64042940491,238174.0606850119,7.3767990647802115
81-82,0.09023257072003162,29574.369070450273,2668.5713486497198,28240.083396125414,207243.420255607,7.007534793453218
82-83,0.0968658678369471,26905.797721800554,2606.253446167565,25602.67099871677,179003.33685948158,6.652965234866211
83-84,0.10393382860343718,24299.54427563299,2525.5446698852725,23036.771940690352,153400.6658607648,6.31290299606941
84-85,0.1114565715820277,21773.99960574772,2426.855345685063,20560.571932905186,130363.89392007445,5.987135862979536
85-86,0.11945389357317533,19347.144260062654,2311.0917113863943,18191.59840436946,109803.32198716927,5.675427882854566
86-87,0.12794504739525925,17036.05254867626,2179.6785507685113,15946.213273292004,91611.72358279981,5.377520603499092
87-88,0.1369484941028068,14856.373997907749,2034.5580468415617,13839.094974486969,75665.51030950781,5.093134456642241
88-89,0.14648163017421129,12821.815951066188,1878.1605023058805,11882.735699913248,61826.415335020836,4.821970270902205
89-90,0.15656049098846914,10943.655448760308,1713.3440702665494,10086.983413627033,49943.67963510759,4.563710897967387
90-91,0.1671994328274439,9230.311378493758,1543.302827304858,8458.659964841328,39856.69622148055,4.318022934128203
91-92,0.17841079667592621,7687.008551188899,1371.4453196722689,7001.285891352765,31398.036256639225,4.084558518122514
92-93,0.19020455822694676,6315.56323151663,1201.248914404969,5714.938774314146,24396.75036528646,3.862957185439783
93-94,0.20258796970409862,5114.314317111662,1036.098553932255,4596.265040145534,18681.811590972316,3.6528477587828383
94-95,0.2155652003438538,4078.2157631794066,879.1213980352313,3638.655064161791,14085.546550826783,3.4538502543194496
95-96,0.22913698358459314,3199.0943651441753,733.0308330316053,2832.5789486283725,10446.891486664992,3.2655777836657145
96-97,0.24330028011930369,2466.06353211257,599.9939481549877,2166.066558035076,7614.31253803662,3.0876384322158024
97-98,0.2580479669099359,1866.0695839575824,481.53546225272413,1625.3018528312202,5448.245980001544,2.9196370954435897
98-99,0.27336856295112366,1384.5341217048583,378.4881032072533,1195.2900701012318,3822.9441271703236,2.761177256117681
99-100,0.2892460029254316,1006.046018497605,290.9947896094771,860.5486236928665,2627.654057069092,2.6118626869505843
100-101,0.30565946983202386,715.0512288881279,218.5621795246823,605.7701391257867,1767.1054333762254,2.471299064997055
101-102,0.32258329712761974,496.4890493634456,160.15907453141784,416.4095120977367,1161.3352942504387,2.3390954860724524
102-103,0.33998694984424066,336.32997483202774,114.34780228433134,279.15607368986207,744.9257821527019,2.21486586952215
103-104,0.3578350925208801,221.9821725476964,79.43301125159091,182.26566692190093,465.76970846283984,2.0982302457768847
104-105,0.3760877496179616,142.5491612961055,53.610993281780146,115.74366465521543,283.50404154093894,1.9888159212107859
105-106,0.39470056142473603,88.93816801432536,35.103944847341715,71.3861955906545,167.76037688572353,1.8862585168012704
106-107,0.41362513541139007,53.83422316698364,22.2671878472106,42.70062924337834,96.37418129506904,1.7902028788663755
107-108,0.43280948964875315,31.56703531977304,13.662512446475136,24.735779096535474,53.6735520516907,1.7003038615435173
108-109,0.4521985814811114,17.904522873297907,8.096399845401427,13.856322950597194,28.937772955155225,1.616226981301572
109-110,0.4717349112766099,9.80812302789648,4.62683404635482,7.4947060047190694,15.08145000455803,1.5376489427857947
