x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.003631775781316205,100000.0,363.1775781316205,99818.4112109342,8116086.1258,81.160861258
1-2,0.00074363139440413,99636.82242186838,74.09306919157066,99599.7758872726,8016267.714589065,80.45487119859864
2-3,0.00032566631264867454,99562.7293526768,32.42422694552421,99546.51723920404,7916667.938701793,79.51437239791727
3-4,0.00019431129778100622,99530.30512573128,19.33986275752038,99520.63519435252,7817121.421462589,78.54011310010192
4-5,0.00014041950175009256,99510.96526297375,13.973280160897543,99503.97862289331,7717600.786268236,77.55528012288126
5-6,0.000115812394474749,99496.99198281286,11.522984884564462,99491.23049037058,7618096.807645343,76.5661017064847
6-7,0.00010469372381986115,99485.4689979283,10.415504215358464,99480.26124582061,7518605.577154973,75.57491212421726
7-8,0.00010072868215895473,99475.05349371294,10.01999104611323,99470.04349818989,7419125.315909152,74.58277281929844
8-9,0.00010102923080554317,99465.03350266683,10.048875826822012,99460.00906475342,7319655.272410962,73.59023583111455
9-10,0.00010421293885360839,99454.98462684001,10.364496231603441,99449.80237872421,7220195.263346208,72.59762082752046
10-11,0.00010983623683536154,99444.62013060841,10.922622848668068,99439.15881918407,7120745.460967484,71.60513511555729
11-12,0.00011847152616291964,99433.69750775975,11.780061895766396,99427.80747681187,7021306.3021483,70.61294589392456
12-13,0.00013182233454379113,99421.91744586398,13.106029262533864,99415.36443123271,6921878.494671488,69.62125326581541
13-14,0.00015212175576602871,99408.81141660144,15.12224293130745,99401.25029513579,6822463.130240255,68.63036619207472
14-15,0.00018066784066341938,99393.68917367014,17.95724319857807,99384.71055207084,6723061.879945119,67.64073187984746
15-16,0.0002164116956127076,99375.73193047156,21.50607064982724,99364.97889514665,6623677.169393048,66.65286424282456
16-17,0.00025575534426153874,99354.22585982173,25.410374238617383,99341.52067270242,6524312.190497901,65.66718359522034
17-18,0.0002938022323348117,99328.81548558311,29.183027724836933,99314.2239717207,6424970.669825199,64.68385471442312
18-19,0.0003262374725985356,99299.63245785827,32.395261123015196,99283.43482729676,6325656.445853478,63.70271761618071
19-20,0.0003507509753425602,99267.23719673525,34.81808026631616,99249.82815660209,6226373.011026181,62.723343439953794
20-21,0.0003674347393568327,99232.41911646894,36.46143805380775,99214.18839744203,6127123.18286958,61.745175996144816
21-22,0.0003782694819196305,99195.95767841513,37.522803519535685,99177.19627665536,6027908.994472138,60.767687873069455
22-23,0.00038618619787221184,99158.4348748956,38.293618951295265,99139.28806541995,5928731.798195482,59.790493926971884
23-24,0.0003941762957414256,99120.1412559443,39.07081011363498,99100.60585088748,5829592.510130063,58.8133999433789
24-25,0.0004047109269716686,99081.07044583066,40.09919186547732,99061.02084989792,5730491.904279175,57.83639476737521
25-26,0.00041951067772581443,99040.97125396518,41.548744973373836,99020.19688147849,5631430.883429278,56.85960882783466
26-27,0.00043957703841158996,98999.4225089918,43.51787295096031,98977.66357251632,5532410.686547799,55.88326220837609
27-28,0.000465361665069168,98955.90463604084,46.050284549853764,98932.87949376591,5433433.022975283,54.90761812505695
28-29,0.0004969715239056542,98909.85435149098,49.15538104634678,98885.27666096781,5334500.143481517,53.93294913290006
29-30,0.0005343491161653225,98860.69897044463,52.8261271183431,98834.28590688546,5235614.86682055,52.95951699052611
30-31,0.00057740356561148,98807.87284332629,57.05201809022232,98779.34683428118,5136780.580913664,51.98756367378486
31-32,0.0006260918914269687,98750.82082523606,61.827088190437735,98719.90728114084,5038001.234079382,51.017309952242
32-33,0.0006804608694723069,98688.99373704563,67.15399848565713,98655.4167378028,4939281.326798242,50.048958245119344
33-34,0.0007406625267074482,98621.83973855998,73.04550100929886,98585.31698805533,4840625.910060438,49.0826973304556
34-35,0.0008069546119801971,98548.79423755068,79.524404015079,98509.03203554315,4742040.593072383,48.11870738511271
35-36,0.0008796942179421211,98469.26983353561,86.62284731754382,98425.95840987684,4643531.561036839,47.15716455384332
36-37,0.0009593296583333902,98382.64698621807,94.38139111922311,98335.45629065846,4545105.602626963,46.19824472972011
37-38,0.0010463933506622773,98288.26559509884,102.8481875668393,98236.84150131542,4446770.146336304,45.24212650831477
38-39,0.0011414969009562461,98185.417407532,112.07834968979324,98129.3782326871,4348533.304834989,44.288993413205205
39-40,0.0012453286887392982,98073.33905784221,122.13354272918724,98012.27228647762,4250403.926602302,43.33903553641093
40-41,0.0013586538053119662,97951.20551511302,133.08177810800277,97884.66462605902,4152391.6543158246,42.39245073584262
41-42,0.0014823160301369195,97818.12373700502,144.99737285327924,97745.62505057838,4054506.9896897655,41.44944550961498
42-43,0.0016172415109396814,97673.12636415174,157.9610344593632,97594.14584692207,3956761.364639187,40.51023563930281
43-44,0.001764443861851415,97515.16532969238,172.06003490340163,97429.13531224067,3859167.2187922653,39.57504666832768
44-45,0.001925030464494304,97343.10529478897,187.38844320094555,97249.4110731885,3761738.0834800247,38.64411426046217
45-46,0.002100209826365316,97155.71685158802,204.04739121927147,97053.69315597838,3664488.6724068364,37.71768446734424
