x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.004711848582940486,100000.0,471.1848582940486,99764.40757085297,8148973.7661,81.48973766099999
1-2,0.00034646954031029034,99528.81514170596,34.48370282977473,99511.57329029107,8049209.358529147,80.87315564913476
2-3,0.00025533902382596414,99494.33143887618,25.40478546581958,99481.62904614327,7949697.7852388555,79.90101215085515
3-4,0.00020081472937991045,99468.92665341037,19.974825587614763,99458.93924061656,7850216.1561927125,78.92129150589926
4-5,0.0001572085597230489,99448.95182782275,15.634226482818885,99441.13471458133,7750757.216952096,77.93704281942641
5-6,0.00012694213787276294,99433.31760133994,12.62227791209552,99427.00646238388,7651316.082237515,76.9492184995184
6-7,0.00010694923252331799,99420.69532342783,10.632967061775236,99415.37883989695,7551889.075775131,75.95892435883596
7-8,9.421100711611551e-05,99410.06235636606,9.36552209206909,99405.37959532003,7452473.696935234,74.9669954960851
8-9,8.666223639234044e-05,99400.696834274,8.61428668661522,99396.3896909307,7353068.317339914,73.97401176773772
9-10,8.357583310542166e-05,99392.08254758739,8.306776102997455,99387.92915953588,7253671.927648983,72.98037974177709
10-11,8.556939779864422e-05,99383.77577148439,8.504209843721407,99379.52366656253,7154283.998489447,71.98643785620976
11-12,9.443776892957393e-05,99375.27156164066,9.38477893305188,99370.57917217414,7054904.474822884,70.9925554311251
12-13,0.00011254318901587546,99365.88678270762,11.182953777916344,99360.29530581865,6955533.89565071,69.99921321953283
13-14,0.00014100652046916554,99354.7038289297,14.009661079161857,99347.69899839013,6856173.600344892,69.00703576299664
14-15,0.0001770349601344222,99340.69416785054,17.58677583173125,99331.90077993467,6756825.901346502,68.0166970640437
15-16,0.00021908762789824067,99323.1073920188,21.760463993999615,99312.22716002181,6657494.000566567,67.02865199625778
16-17,0.00026082011512122493,99301.34692802481,25.899788737460128,99288.39703365607,6558181.773406546,66.04323079484531
17-18,0.0002954808209325911,99275.44713928735,29.33399061916668,99260.78014397777,6458893.37637289,65.0603302477279
18-19,0.00031858071350393145,99246.11314866818,31.617897539394622,99230.30419989848,6359632.596228912,64.07941222546762
19-20,0.0003327799581589663,99214.49525112878,33.016595578433595,99197.98695333957,6260402.292029013,63.09967385494296
20-21,0.00034746367425219374,99181.47865555035,34.461960991423055,99164.24767505463,6161204.305075673,62.120512706541334
21-22,0.0003646451813343862,99147.01669455893,36.15348188135086,99128.93995361826,6062040.057400619,61.14193103838793
22-23,0.0003770147276950754,99110.86321267758,37.3662551057515,99092.1800851247,5962911.117447,60.16405189259078
23-24,0.0003835411108862796,99073.49695757183,37.99875908249554,99054.49757803058,5863818.937361876,59.18655460272138
24-25,0.0003870418054142697,99035.49819848934,38.33087802284497,99016.33275947791,5764764.439783845,58.20907194539442
25-26,0.0003916771098228153,98997.1673204665,38.77492437672598,98977.77985827814,5665748.107024367,57.231416417033586
26-27,0.00040165073409868086,98958.39239608977,39.74671095111477,98938.5190406142,5566770.327166089,56.25364552088312
27-28,0.0004175680822115439,98918.64568513865,41.305269173706556,98897.9930505518,5467831.8081254745,55.27604801151207
28-29,0.0004406262577806753,98877.34041596494,43.56795248679255,98855.55643972153,5368933.8150749225,54.2989302957429
29-30,0.0004702696156725355,98833.77246347815,46.47852019186669,98810.53320338222,5270078.258635201,53.32264596681911
30-31,0.0005025809153489322,98787.29394328628,49.64860861486084,98762.46963897884,5171267.7254318185,52.34749853964661
31-32,0.0005405197911054132,98737.64533467141,53.36965143053697,98710.96050895614,5072505.255792839,51.37356920554034
32-33,0.0005889569845265745,98684.27568324088,58.12079342659071,98655.21528652759,4973794.295283883,50.401082247884005
33-34,0.0006475008030256658,98626.1548898143,63.86051449048845,98594.22463256905,4875139.079997355,49.430489158214556
34-35,0.0007122743499905203,98562.2943753238,70.20339415975808,98527.19267824393,4776544.855364786,48.46219221699296
35-36,0.0007809917412847204,98492.09098116404,76.92150963815241,98453.63022634496,4678017.662686543,47.49637880650927
36-37,0.0008521048768311733,98415.1694715259,83.86004586085362,98373.23944859547,4579564.032460198,46.533111277984304
37-38,0.0009268211742221884,98331.30942566504,91.13553966470022,98285.74165583268,4481190.793011602,45.57236976895159
38-39,0.001007507936077128,98240.17388600034,98.97775483174237,98190.68500858446,4382905.051355769,44.61418254859535
39-40,0.0010975586698325692,98141.1961311686,107.7157206815027,98087.33827082785,4284714.366347184,43.658672761849544
40-41,0.0011994412191397685,98033.4804104871,117.58539726006926,97974.68771185707,4186627.0280763567,42.70609398489226
41-42,0.001312572714362935,97915.89501322703,128.52173209678756,97851.63414717863,4088652.3403644995,41.756778506821405
42-43,0.0014364577303308916,97787.37328113023,140.467428278432,97717.13956699101,3990800.7062173206,40.811002201113574
43-44,0.0015720853112502812,97646.9058528518,153.50926638030742,97570.15121966165,3893083.5666503296,39.86899054965428
44-45,0.0017205444588434642,97493.3965864715,167.74172327068183,97409.52572483616,3795513.415430668,38.930979413197974
45-46,0.0018830310048859637,97325.65486320082,183.2672256782375,97234.02125036171,3698103.8897058317,37.997215584152194
46-47,0.002060855803969002,97142.38763752258,200.19645337419504,97042.28941083548,3600869.86845547,37.06795721237332
47-48,0.0022554541620810587,96942.19118414838,218.6486685875452,96832.8668498546,3503827.5790446345,36.14347412870906
48-49,0.0024683964562719745,96723.54251556084,238.75204958348203,96604.1664907691,3406994.71219478,35.22404808164118
49-50,0.0027013999349860744,96484.79046597736,260.6440066919363,96354.4684626314,3310390.545704011,34.309972895379055
50-51,0.002956341716826427,96224.14645928543,284.47145834360145,96081.91073011362,3214036.0772413793,33.40155455264349
51-52,0.0032352730279511695,95939.67500094183,310.3910428409482,95784.47947952135,3117954.1665112656,32.499111201707294
52-53,0.003540434735871405,95629.28395810089,338.5692386917705,95459.999338755,3022169.687031744,31.602973084645082
53-54,0.0038742742510426685,95290.71471940912,369.18236240085935,95106.12353820869,2926709.687692989,30.71348238189746
54-55,0.004239463878110758,94921.53235700827,402.4164076824581,94720.32415316704,2831603.5641547805,29.8309929669579
