x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.017107511953225095,100000.0,1710.7511953225096,99144.62440233874,6633391.562,66.33391562
1-2,0.0006814311563491036,98289.2488046775,66.97735646965613,98255.76012644266,6534246.937597661,66.47977288525887
2-3,0.0005019888191457753,98222.27144820784,49.30648205810166,98197.61820717879,6435991.177471219,65.52476421668672
3-4,0.0003826860727187279,98172.96496614974,37.569426410049104,98154.18025294472,6337793.55926404,64.55742231529143
4-5,0.0003131985412781428,98135.3955397397,30.735862730800033,98120.0276083743,6239639.379011095,63.58194558337891
5-6,0.0002766192811329102,98104.6596770089,27.137640435643004,98091.09085679107,6141519.35140272,62.60170894657313
6-7,0.00025552535067264163,98077.52203657325,25.061293211499116,98064.9913899675,6043428.260545929,61.618892229886534
7-8,0.00023463095580621499,98052.46074336175,23.00614258336634,98040.95767207007,5945363.269155961,60.63451364792463
8-9,0.00020402379766414625,98029.45460077838,20.000341610595818,98019.45442997308,5847322.311483892,59.648626377622044
9-10,0.00016545806005638668,98009.45425916779,16.216454168907067,98001.34603208334,5749302.857053919,58.66069656760822
10-11,0.00013337488015805263,97993.23780499888,13.069836348541278,97986.70288682461,5651301.511021836,57.67032131612605
11-12,0.00013446446186541968,97980.16796865033,13.174850559387998,97973.58054337064,5553314.808135011,56.67794741801061
12-13,0.00020233139217919505,97966.99311809095,19.82179810519296,97957.08221903835,5455341.22759164,55.68550237135161
13-14,0.0003583579209830587,97947.17131998576,35.10014468040157,97929.62124764555,5357384.145372602,54.69667039051538
14-15,0.0005824413768559484,97912.07117530536,57.02804154616248,97883.55715453227,5259454.524124957,53.716099159093844
15-16,0.0008350508448901037,97855.0431337592,81.71393644560315,97814.1861655364,5161570.966970424,52.74711248060064
16-17,0.0010841847411515208,97773.3291973136,106.00435160731186,97720.32702150993,5063756.780804887,51.79077793889848
17-18,0.0013268460092663195,97667.32484570629,129.58950020724265,97602.53009560266,4966036.453783377,50.84644697321918
18-19,0.0015455290986226046,97537.73534549905,150.74740819021932,97462.36164140394,4868433.923687775,49.91333770917239
19-20,0.0017389697820865621,97386.98793730883,169.35302919140858,97302.31142271313,4770971.5620463705,48.98982567483861
20-21,0.0019457721992574373,97217.63490811743,189.16337128177426,97123.05322247653,4673669.250623657,48.074294905866076
21-22,0.0021469171009932154,97028.47153683566,208.31208482566592,96924.31549442282,4576546.197401181,47.16704411512606
22-23,0.0022750499153449512,96820.15945200999,220.27069556498,96710.0241042275,4479621.881906758,46.26744995320043
23-24,0.002303669242617152,96599.88875644501,222.5341925684608,96488.62166016079,4382911.857802531,45.3718106120501
24-25,0.002258689705450073,96377.35456387655,217.68653859193955,96268.51129458057,4286423.23614237,44.47541910170852
25-26,0.0021879304627526294,96159.66802528461,210.3906669607002,96054.47269180426,4190154.7248477894,43.574970784487455
26-27,0.0021494165884926217,95949.27735832392,206.23496840786095,95846.15987411999,4094100.252155985,42.66942247898867
27-28,0.002170075165890975,95743.04238991605,207.76959859720372,95639.15759061745,3998254.0922818654,41.76025737722926
28-29,0.002264219728776723,95535.27279131884,216.3128494481702,95427.11636659475,3902614.934691248,40.84998996355902
29-30,0.0024213420252938637,95318.95994187068,230.79980351455382,95203.5600401134,3807187.8183246534,39.941558538263834
30-31,0.0026067424505699576,95088.16013835612,247.870343579247,94964.2249665665,3711984.25828454,39.03729184457341
31-32,0.0028258208684476525,94840.28979477688,268.0016700717034,94706.28895974102,3617020.0333179734,38.13801118854418
32-33,0.003111001242863666,94572.28812470517,294.21450589641853,94425.18087175697,3522313.7443582322,37.244670867153275
33-34,0.003461777424956178,94278.07361880875,326.3697069219487,94114.88876534777,3427888.5634864755,36.35934032070212
34-35,0.003858222896488643,93951.7039118868,362.48661519696327,93770.46060428831,3333773.674721128,35.48390860316625
35-36,0.004288081441548717,93589.21729668984,401.31818581900586,93388.55820378034,3240003.2141168397,34.6194071037651
36-37,0.0047385454791046815,93187.89911087083,441.57509803908016,92967.11156185128,3146614.655913059,33.7663439774445
37-38,0.005209980838188493,92746.32401283176,483.2065709192747,92504.72072737211,3053647.544351208,32.92472857391875
38-39,0.005712547612909094,92263.11744191249,527.0574513023486,91999.5887162613,2961142.823623836,32.094545531567675
39-40,0.006263606714215673,91736.05999061014,574.5986012928774,91448.7606899637,2869143.234907575,31.27606783200906
40-41,0.006873927532522807,91161.46138931726,626.6372793490428,90848.14274964275,2777694.4742176114,30.470052058019277
41-42,0.007361076178640071,90534.82410996822,666.4337370932558,90201.60724142159,2686846.3314679684,29.677489936959372
42-43,0.00787663124828419,89868.39037287496,707.860171843989,89514.46028695296,2596644.724226547,28.89386038241867
43-44,0.008422319240226094,89160.53020103097,750.9384489809028,88785.06097654051,2507130.263939594,28.119283928513514
44-45,0.009000007882082587,88409.59175205007,795.6870226201543,88011.74824074,2418345.2029630532,27.353878182646127
45-46,0.009611719189149135,87613.90472942991,842.1202493241456,87192.84460476783,2330333.454722313,26.59775822021483
46-47,0.010259643669389236,86771.78448010577,890.2475893229242,86326.66068544431,2243140.6101175454,25.851036988087206
47-48,0.01094615576251487,85881.53689078284,940.0726799306759,85411.5005508175,2156813.949432101,25.113825712911517
48-49,0.011673830605310059,84941.46421085217,991.592264564495,84445.66807856991,2071402.4488812836,24.386234310011343
49-50,0.012445462219170108,83949.87194628768,1044.7949596116919,83427.47446648183,1986956.7808027137,23.668371788273806
50-51,0.013264083219071599,82905.07698667598,1099.6598404348078,82355.24706645857,1903529.306336232,22.96034664610656
51-52,0.014132986145630846,81805.41714624118,1156.1548271653785,81227.33973265848,1821174.0592697733,22.262267253207856
52-53,0.015055746523277303,80649.2623190758,1214.2348507653048,80042.14489369316,1739946.7195371147,21.574242212573452
53-54,0.016036247747534177,79435.0274683105,1273.8397803140097,78798.10757815349,1659904.5746434215,20.896380696860934
54-55,0.017078707902557215,78161.18768799648,1334.8920938402432,77493.74164107637,1581106.467065268,20.228792752954604
55-56,0.018187708605960886,76826.29559415624,1397.2942775419303,76127.64845538528,1503612.7254241917,19.571589568332165
56-57,0.019368225970982138,75429.0013166143,1460.925942265695,74698.53834548146,1427485.0769688063,18.92488369263856
57-58,0.02062566376552264,73968.07537434861,1525.6406520541498,73205.25504832153,1352786.5386233248,18.28878920773512
58-59,0.02196588883277389,72442.43472229446,1591.2624678853995,71646.80348835177,1279581.2835750033,17.66342183942648
59-60,0.0233952688180343,70851.17225440906,1657.5822209647533,70022.38114392669,1207934.4800866514,17.04889900408785
60-61,0.024920712219892234,69193.5900334443,1724.3535446846688,68331.41326110196,1137912.0989427248,16.445339783536625
61-62,0.026549710749928377,67469.23648875963,1791.2887132950816,66573.5921321121,1069580.6856816227,15.852864821729748
62-63,0.028290383942060803,65677.94777546455,1858.0543590945103,64748.92059591729,1003007.0935495106,15.271596137238108
63-64,0.030151525899001726,63819.89341637004,1924.267169215211,62857.759831762436,938258.1729535933,14.70165684596594
64-65,0.03214265399721277,61895.626247154825,1989.4896984030988,60900.88139795328,875400.4131218309,14.143170789261879
65-66,0.03427405929123556,59906.136548751725,2053.2264759807704,58879.52331076134,814499.5317238776,13.596262063420438
66-67,0.03655685826116275,57852.91007277095,2114.9206335260824,56795.44975600791,755620.0084131163,13.06105444760948
67-68,0.03900304543097264,55737.98943924487,2173.951334329941,54651.013772079896,698824.5586571085,12.537670728486471
68-69,0.04162554624805506,53564.03810491493,2229.63234536872,52449.22193223057,644173.5448850286,12.026231921187446
69-70,0.04443826945306138,51334.40575954621,2281.2121553555007,50193.799681868455,591724.3229527981,11.5268563879842
70-71,0.04745615798184338,49053.19360419071,2327.876105194424,47889.2555515935,541530.5232709297,11.039658857699036
71-72,0.05069523722560288,46725.317498996286,2368.75105505323,45540.94197146967,493641.2677193362,10.564749350926084
72-73,0.054172659229780554,44356.566443943055,2402.913158570846,43155.10986465763,448100.32574786653,10.10223201821013
73-74,0.0579067411357426,41953.65328537221,2429.3993404947455,40738.95361512484,404945.2158832089,9.652203900545636
74-75,0.06191699586212455,39524.25394487746,2447.2230679585377,38300.642410898196,364206.26226808404,9.214753623838787
75-76,0.06622415268644576,37077.03087691892,2455.3949539531422,35849.33339994235,325905.61985718587,8.789960041273629
76-77,0.07085016502604131,34621.635922965776,2452.9486186136455,33395.16161365895,290056.2864572435,8.377890839780877
77-78,0.07581820233690195,32168.68730435213,2438.972042953899,30949.20128287518,256661.12484358455,7.978601128957496
78-79,0.08115262265951041,29729.715261398233,2412.644364382939,28523.393079206762,225711.92356070937,7.592132032753744
79-80,0.08687892195624666,27317.070897015295,2373.277670535049,26130.43206174777,197188.53048150262,7.218509305953726
80-81,0.09302365602451783,24943.793226480248,2320.3628410467963,23783.61180595685,171058.09841975485,6.8577419988456345
81-82,0.09961433045835796,22623.43038543345,2253.6178705162242,21496.62145017534,147274.486613798,6.509821194429632
82-83,0.10667925390035253,20369.812514917227,2173.036401181433,19283.29431432651,125777.86516362267,6.17471884296986
83-84,0.11424734971380716,18196.776113735792,2078.9334443298258,17157.309391570878,106494.57084929616,5.852386718596213
84-85,0.12234792125765315,16117.842669405965,1971.984545759723,15131.850396526104,89337.26145772528,5.542755521947148
85-86,0.1310103662156243,14145.858123646241,1853.2540532131584,13219.231097039663,74205.41106119918,5.245734151479809
86-87,0.1402638359738032,12292.604070433083,1724.2078010261316,11430.500169920017,60986.17996415951,4.961209164040936
87-88,0.15013683691624996,10568.39626940695,1586.7055871662558,9775.043475823823,49555.6797942395,4.6890444425983215
88-89,0.16065677177520146,8981.690682240695,1442.9694300921967,8260.205967194595,39780.63631841568,4.4290810857106315
89-90,0.17184942088145833,7538.721252148498,1295.5248813684618,6890.9588114642675,31520.430351221083,4.181137529423563
90-91,0.1837383653491165,6243.196370780036,1147.1146957206604,5669.639022919706,24629.471539756814,3.945009907910291
91-92,0.19634435691101498,5096.081675059376,1000.5868792555411,4595.788235431605,18959.83251683711,3.7204726544372355
92-93,0.20968464227857037,4095.4947958038347,858.7623612118737,3666.113615197898,14364.044281405502,3.5072793392687562
93-94,0.22377225347035062,3236.732434591961,724.2909107692174,2874.586979207352,10697.930666207605,3.3051637360801003
94-95,0.23861527942325098,2512.4415238227434,599.5069362415423,2212.688055701972,7823.343687000253,3.113841103492366
95-96,0.25421613819375377,1912.934587581201,486.298843472154,1669.785165845124,5610.655631298281,2.9330096636459704
96-97,0.27057087293661863,1426.635744109047,386.00607864616734,1233.6327047859634,3940.870465453157,2.762352255455567
97-98,0.28766849831688684,1040.6296654628798,299.35637316771096,890.9514788790243,2707.2377606671935,2.6015381364925765
98-99,0.3054904267229438,741.2732922951689,226.45189438157257,628.0473451043825,1816.2862817881692,2.4502249044539153
