x to x + 1,qx,Ix,dx,Lx,Tx,ex
0-1,0.007924152042881676,100000.0,792.4152042881676,99603.79239785591,7955912.5215,79.559125215
1-2,0.00047465764238542737,99207.58479571184,47.089638305884954,99184.0399765589,7856308.729102144,79.19060569088388
2-3,0.0002865279791628971,99160.49515740595,28.41225629024377,99146.28902926084,7757124.689125585,78.22797452566202
3-4,0.0002325404631357877,99132.0829011157,23.052220469440744,99120.55679088099,7657978.400096324,77.25025214828948
4-5,0.0001972567142002397,99109.03068064626,19.549921739635028,99099.25571977644,7558857.843305443,76.26810383871019
5-6,0.00017757954485019166,99089.48075890663,17.596264892608463,99080.68262646033,7459758.587585667,75.28305255464919
6-7,0.0001659973837443923,99071.88449401403,16.445673628632957,99063.66165719971,7360677.9049592065,74.29633485374897
7-8,0.0001557079092943476,99055.43882038539,15.423715282956366,99047.72696274391,7261614.243302007,73.30858688606993
8-9,0.00014195744077149042,99040.01510510243,14.059467078290094,99032.98537156328,7162566.516339263,72.31992552442831
9-10,0.00012502052783032846,99025.95563802414,12.380277242768468,99019.76549940275,7063533.530967699,71.33012234476668
10-11,0.00011052347525991694,99013.57536078137,10.94332444678324,99008.10369855797,6964513.765468297,70.33897867127112
11-12,0.00010884637531287822,99002.63203633459,10.776077643589655,98997.24399751279,6865505.661769738,69.34669837111052
12-13,0.00013263814625557227,98991.855958691,13.1300962687594,98985.29091055662,6766508.417772226,68.35419290043284
13-14,0.00018932154961848213,98978.72586242224,18.738805759536714,98969.35645954248,6667523.126861669,67.3631941487037
14-15,0.00026957415149565984,98959.9870566627,26.67705454282133,98946.6485293913,6568553.770402127,66.37585518924018
15-16,0.00036403576254761367,98933.31000211989,36.01526294798117,98915.3023706459,6469607.121872735,65.39361840551082
16-17,0.00045164890157383346,98897.2947391719,44.66685453757065,98874.96131190313,6370691.819502089,64.4172506063378
17-18,0.000514494792588676,98852.62788463433,50.85916228035051,98827.19830349417,6271816.858190186,63.446131806528115
18-19,0.0005388077392488632,98801.76872235398,53.23515763908059,98775.15114353444,6172989.659886692,62.47853393428217
19-20,0.0005344472255197126,98748.5335647149,52.77587978780209,98722.145624821,6074214.508743158,61.51194645095583
20-21,0.0005254694805382284,98695.7576849271,51.86160852202551,98669.82688066609,5975492.363118337,60.544571552855295
